
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.64"	"5.32"	"6.63"	"7.99"	"8.67"	"8.36"	"6.93"	"6.11"	"6.52"	"7.05"	"6.02"	"5.01"
"1902"	"4.8"	"5.52"	"6.8"	"8.13"	"8.8"	"8.32"	"6.8"	"6.16"	"6.58"	"6.97"	"5.96"	"4.92"
"1903"	"4.73"	"5.47"	"6.53"	"7.89"	"8.62"	"8.36"	"6.94"	"6.14"	"6.55"	"7.04"	"5.93"	"4.89"
"1904"	"4.68"	"5.5"	"6.56"	"8.02"	"8.76"	"8.36"	"6.84"	"6.06"	"6.51"	"6.97"	"5.93"	"4.99"
"1905"	"4.72"	"5.13"	"6.32"	"7.74"	"8.7"	"8.4"	"6.89"	"6.11"	"6.61"	"7.01"	"6.06"	"5.04"
"1906"	"4.7"	"5.33"	"6.5"	"7.87"	"8.8"	"8.36"	"6.84"	"6.12"	"6.51"	"6.98"	"6.02"	"5.01"
"1907"	"4.92"	"5.43"	"6.5"	"7.87"	"8.62"	"8.22"	"6.93"	"6.11"	"6.51"	"6.93"	"6.01"	"4.91"
"1908"	"4.7"	"5.5"	"6.59"	"8.02"	"8.74"	"8.42"	"6.86"	"6"	"6.51"	"6.95"	"5.91"	"4.93"
"1909"	"4.68"	"5.39"	"6.64"	"7.94"	"8.72"	"8.35"	"6.75"	"6.03"	"6.46"	"6.92"	"6.05"	"4.92"
"1910"	"4.67"	"5.46"	"6.67"	"7.91"	"8.75"	"8.36"	"6.79"	"6.04"	"6.54"	"6.94"	"5.87"	"4.87"
"1911"	"4.8"	"5.57"	"6.51"	"7.9"	"8.8"	"8.31"	"6.84"	"6.23"	"6.57"	"7.04"	"5.85"	"4.87"
"1912"	"4.75"	"5.59"	"6.6"	"7.99"	"8.72"	"8.4"	"6.92"	"6.1"	"6.48"	"6.98"	"5.91"	"4.89"
"1913"	"4.77"	"5.52"	"6.44"	"8.04"	"8.79"	"8.26"	"6.72"	"6.05"	"6.55"	"7.05"	"6"	"4.86"
"1914"	"4.88"	"5.48"	"6.56"	"7.96"	"8.82"	"8.38"	"6.8"	"6.07"	"6.58"	"6.92"	"5.95"	"4.91"
"1915"	"4.74"	"5.34"	"6.59"	"7.94"	"8.81"	"8.38"	"6.92"	"6.15"	"6.62"	"7.09"	"6"	"4.98"
"1916"	"4.83"	"5.35"	"6.73"	"8.15"	"8.79"	"8.29"	"7.02"	"6.04"	"6.5"	"6.96"	"5.84"	"4.81"
"1917"	"4.74"	"5.52"	"6.69"	"7.94"	"8.55"	"8.25"	"6.76"	"6.03"	"6.48"	"6.88"	"5.76"	"4.89"
"1918"	"4.63"	"5.5"	"6.68"	"7.81"	"8.77"	"8.32"	"6.88"	"6.18"	"6.57"	"7.01"	"6"	"4.86"
"1919"	"4.77"	"5.4"	"6.63"	"8"	"8.64"	"8.39"	"6.9"	"6.06"	"6.5"	"6.99"	"5.95"	"4.9"
"1920"	"4.69"	"5.39"	"6.63"	"8.03"	"8.61"	"8.18"	"6.73"	"6.01"	"6.54"	"7.05"	"6.02"	"4.97"
"1921"	"4.77"	"5.46"	"6.72"	"8.16"	"8.85"	"8.4"	"6.98"	"6.13"	"6.53"	"6.97"	"5.9"	"5.06"
"1922"	"4.69"	"5.51"	"6.71"	"8.06"	"8.78"	"8.32"	"6.83"	"6.11"	"6.52"	"6.98"	"5.91"	"4.92"
