
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.47"	"3.2"	"4.88"	"6.31"	"7.36"	"7.35"	"5.87"	"4.99"	"5.04"	"4.84"	"3.48"	"2.68"
"1902"	"2.73"	"3.49"	"5.13"	"6.52"	"7.4"	"7.04"	"5.75"	"5.11"	"4.93"	"4.66"	"3.41"	"2.55"
"1903"	"2.61"	"3.31"	"4.63"	"6.18"	"7.3"	"7.42"	"5.89"	"5.01"	"5"	"4.67"	"3.33"	"2.55"
"1904"	"2.57"	"3.39"	"4.71"	"6.49"	"7.39"	"7.13"	"5.64"	"4.9"	"4.92"	"4.66"	"3.37"	"2.62"
"1905"	"2.47"	"2.88"	"4.44"	"6.06"	"7.62"	"7.29"	"5.89"	"5.07"	"5.12"	"4.76"	"3.56"	"2.62"
"1906"	"2.51"	"3.16"	"4.64"	"6.27"	"7.66"	"7.07"	"5.8"	"4.99"	"4.9"	"4.74"	"3.52"	"2.69"
"1907"	"2.77"	"3.18"	"4.56"	"6.07"	"7.12"	"7.12"	"5.96"	"4.89"	"4.99"	"4.68"	"3.47"	"2.55"
"1908"	"2.61"	"3.38"	"4.79"	"6.46"	"7.4"	"7.24"	"5.56"	"4.76"	"4.92"	"4.62"	"3.34"	"2.57"
"1909"	"2.55"	"3.27"	"4.84"	"6.16"	"7.3"	"6.98"	"5.46"	"4.83"	"4.82"	"4.66"	"3.5"	"2.52"
"1910"	"2.55"	"3.38"	"4.83"	"6.18"	"7.45"	"7.03"	"5.59"	"4.88"	"4.94"	"4.54"	"3.3"	"2.57"
"1911"	"2.73"	"3.41"	"4.58"	"6.36"	"7.59"	"7.06"	"5.96"	"5.16"	"4.93"	"4.7"	"3.22"	"2.59"
"1912"	"2.66"	"3.48"	"4.73"	"6.41"	"7.45"	"7.35"	"5.72"	"4.89"	"4.84"	"4.66"	"3.31"	"2.57"
"1913"	"2.66"	"3.33"	"4.54"	"6.53"	"7.18"	"6.82"	"5.54"	"5"	"5.03"	"4.78"	"3.41"	"2.56"
"1914"	"2.78"	"3.27"	"4.73"	"6.37"	"7.53"	"7"	"5.59"	"4.95"	"4.93"	"4.56"	"3.44"	"2.54"
"1915"	"2.58"	"3.19"	"4.82"	"6.38"	"7.69"	"7.23"	"5.96"	"5.07"	"5.14"	"4.79"	"3.44"	"2.66"
"1916"	"2.68"	"3.24"	"5.14"	"6.54"	"7.34"	"6.96"	"5.84"	"4.83"	"4.89"	"4.55"	"3.22"	"2.51"
"1917"	"2.65"	"3.39"	"4.78"	"5.96"	"6.85"	"6.9"	"5.48"	"4.78"	"4.72"	"4.43"	"3.18"	"2.58"
"1918"	"2.54"	"3.42"	"4.79"	"6.04"	"7.66"	"7.07"	"5.95"	"5.06"	"4.98"	"4.72"	"3.41"	"2.51"
"1919"	"2.64"	"3.27"	"4.88"	"6.25"	"7.26"	"7.35"	"5.66"	"4.83"	"4.89"	"4.62"	"3.33"	"2.55"
"1920"	"2.59"	"3.26"	"4.83"	"6.23"	"6.83"	"6.79"	"5.58"	"4.93"	"5.11"	"4.78"	"3.5"	"2.62"
"1921"	"2.67"	"3.44"	"5.16"	"6.78"	"7.66"	"7.31"	"5.92"	"4.91"	"4.91"	"4.6"	"3.4"	"2.74"
"1922"	"2.55"	"3.49"	"4.94"	"6.45"	"7.4"	"7.01"	"5.74"	"4.92"	"4.87"	"4.6"	"3.35"	"2.57"
"1923"	"2.57"	"3.28"	"4.94"	"6.49"	"7.26"	"7.32"	"5.7"	"4.81"	"4.94"	"4.59"	"3.34"	"2.57"
"1924"	"2.54"	"3.33"	"5.01"	"6.47"	"6.99"	"7.29"	"5.79"	"4.9"	"4.72"	"4.57"	"3.3"	"2.58"
"1925"	"2.43"	"3.15"	"4.93"	"6.71"	"7.33"	"6.68"	"5.47"	"4.99"	"5.09"	"4.71"	"3.29"	"2.57"
"1926"	"2.65"	"3.54"	"4.69"	"5.97"	"7.05"	"7.3"	"5.78"	"4.86"	"4.82"	"4.57"	"3.21"	"2.55"
"1927"	"2.47"	"3.12"	"4.69"	"6.24"	"7.23"	"7.16"	"5.62"	"4.83"	"4.87"	"4.66"	"3.33"	"2.66"
"1928"	"2.56"	"3.41"	"4.89"	"6.37"	"7.62"	"7.16"	"5.75"	"5.04"	"4.95"	"4.71"	"3.45"	"2.51"
"1929"	"2.58"	"3.25"	"5.13"	"6.49"	"7.44"	"7.14"	"5.59"	"4.86"	"5.01"	"4.66"	"3.45"	"2.49"
"1930"	"2.53"	"3.31"	"4.91"	"6.25"	"7.3"	"6.93"	"5.47"	"4.91"	"4.97"	"4.69"	"3.31"	"2.57"
"1931"	"2.67"	"3.09"	"4.69"	"6.52"	"7.32"	"7.14"	"5.64"	"4.92"	"4.87"	"4.55"	"3.33"	"2.62"
"1932"	"2.82"	"3.33"	"4.95"	"6.35"	"7.27"	"7.3"	"5.66"	"4.81"	"4.99"	"4.66"	"3.31"	"2.59"
"1933"	"2.49"	"3.37"	"4.8"	"6.15"	"7.01"	"6.97"	"5.54"	"4.7"	"4.77"	"4.54"	"3.33"	"2.62"
"1934"	"2.42"	"3.55"	"4.71"	"6.35"	"7.25"	"6.98"	"5.64"	"4.83"	"4.98"	"4.61"	"3.35"	"2.66"
"1935"	"2.44"	"3.38"	"4.83"	"5.97"	"7.4"	"7.22"	"5.57"	"4.87"	"4.87"	"4.56"	"3.41"	"2.57"
"1936"	"2.48"	"3.48"	"4.71"	"6.34"	"7.68"	"6.8"	"5.55"	"4.81"	"4.89"	"4.69"	"3.36"	"2.57"
"1937"	"2.55"	"3.37"	"4.62"	"6.17"	"7.4"	"7.19"	"5.54"	"5.06"	"4.95"	"4.51"	"3.31"	"2.47"
