
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.83"	"6.994"	"7.712"	"8.565"	"13.578"	"24.734"	"29.182"	"28.476"	"24.448"	"13.66"	"8.276"	"8.513"
"1902"	"7.927"	"7.827"	"9.113"	"9.041"	"13.378"	"22.039"	"27.774"	"30.195"	"22.863"	"12.255"	"8.183"	"7.392"
"1903"	"7.369"	"7.594"	"6.905"	"8.182"	"13.011"	"25.011"	"29.559"	"27.359"	"24.448"	"12.621"	"7.677"	"7.273"
"1904"	"7.165"	"7.595"	"7.187"	"8.811"	"13.011"	"22.582"	"27.617"	"28.533"	"23.876"	"12.255"	"8.257"	"7.912"
"1905"	"6.241"	"5.324"	"6.046"	"7.586"	"14.465"	"22.831"	"28.756"	"29.276"	"25.071"	"13.256"	"8.975"	"7.912"
"1906"	"6.805"	"6.427"	"6.741"	"8.343"	"15.111"	"21.86"	"28.872"	"28.604"	"22.843"	"12.715"	"8.303"	"8.139"
"1907"	"8.229"	"6.845"	"6.72"	"7.782"	"12.132"	"22.93"	"30.64"	"27.348"	"24.857"	"12.255"	"8.318"	"7.212"
"1908"	"7.569"	"7.595"	"7.495"	"9.007"	"13.011"	"23.48"	"26.097"	"25.747"	"22.863"	"12.021"	"7.675"	"7.82"
"1909"	"6.888"	"7.038"	"7.849"	"7.912"	"12.435"	"21.597"	"25.354"	"26.937"	"22.037"	"12.255"	"8.668"	"7.23"
"1910"	"7.424"	"7.595"	"7.712"	"8.075"	"13.011"	"22.012"	"26.914"	"27.375"	"22.863"	"11.886"	"7.478"	"7.683"
"1911"	"7.654"	"7.594"	"6.547"	"9.007"	"14.097"	"21.897"	"30.673"	"30.978"	"23.358"	"12.549"	"7.108"	"7.912"
"1912"	"7.943"	"7.748"	"7.552"	"9.007"	"13.588"	"24.505"	"28.175"	"27.276"	"22.863"	"12.255"	"7.637"	"7.912"
"1913"	"7.47"	"7.511"	"6.502"	"8.925"	"12.321"	"20.539"	"26.973"	"28.101"	"23.952"	"13.256"	"8.276"	"7.827"
"1914"	"8.156"	"7.354"	"7.185"	"8.382"	"14.335"	"22.097"	"26.973"	"27.276"	"22.863"	"11.708"	"8.276"	"7.245"
"1915"	"7.169"	"6.525"	"7.613"	"9.007"	"15.08"	"22.706"	"30.539"	"30"	"26.132"	"13.229"	"8.22"	"7.912"
"1916"	"7.732"	"6.997"	"9.036"	"9.225"	"13.158"	"21.606"	"27.263"	"27.267"	"22.863"	"12.003"	"7.018"	"7.273"
"1917"	"7.549"	"7.769"	"7.595"	"6.98"	"10.506"	"21.333"	"26.267"	"27.108"	"21.491"	"10.988"	"6.803"	"8.011"
"1918"	"6.969"	"7.595"	"7.669"	"7.512"	"13.922"	"21.832"	"31.746"	"29.915"	"23.551"	"12.255"	"8.276"	"7.246"
"1919"	"7.068"	"7.251"	"7.732"	"8.242"	"12.811"	"24.655"	"27.346"	"27.267"	"22.898"	"12.255"	"7.915"	"7.312"
"1920"	"7.435"	"7.328"	"7.712"	"8.366"	"10.567"	"20.242"	"27.262"	"28.626"	"25.736"	"13.256"	"8.376"	"7.838"
"1921"	"7.574"	"7.595"	"9.781"	"10.316"	"15.218"	"23.425"	"30.115"	"27.333"	"22.882"	"12.255"	"8.273"	"8.513"
"1922"	"7.184"	"7.809"	"7.937"	"8.97"	"13.164"	"22.012"	"27.598"	"27.376"	"22.863"	"12.255"	"8.276"	"7.873"
"1923"	"7.273"	"7.27"	"7.712"	"9.007"	"12.947"	"24.531"	"27.208"	"27.184"	"22.863"	"12.255"	"7.676"	"7.686"
"1924"	"6.954"	"7.53"	"8.245"	"8.99"	"11.269"	"23.873"	"28.35"	"27.31"	"22.08"	"11.888"	"8.042"	"7.912"
"1925"	"6.598"	"6.457"	"7.828"	"9.878"	"13.011"	"19.352"	"25.668"	"28.372"	"24.495"	"13.226"	"7.691"	"7.748"
"1926"	"7.407"	"8.503"	"7.246"	"7.342"	"11.862"	"23.887"	"28.8"	"27.277"	"22.863"	"11.822"	"7.018"	"7.339"
