
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.3421"	"1.0001"	"1.0133"	"0.0002"	"1.7247"	"1.5135"	"7.7704"	"5.4945"	"0.5922"	"0.5498"	"0"	"1.001"
"1902"	"0"	"0"	"0.5108"	"1.0226"	"1.1187"	"3.663"	"6.3832"	"4.9524"	"3.0949"	"0.9281"	"0"	"0"
"1903"	"0.9646"	"0"	"0.6496"	"0"	"1.5027"	"1.0537"	"7.617"	"5.8814"	"3.4549"	"1.0132"	"0"	"0.9107"
"1904"	"1.0733"	"0.8408"	"1.6544"	"0.5124"	"1.8315"	"2.6807"	"5.0935"	"5.1683"	"3.4464"	"1.0132"	"1.0001"	"1.0033"
"1905"	"1.7592"	"1.1189"	"1.0133"	"1.0226"	"0.6973"	"1.5151"	"4.8967"	"1.036"	"3.6666"	"0.0002"	"0"	"0.79"
"1906"	"0"	"2.3092"	"1.2192"	"0"	"0.9727"	"2.9435"	"6.2957"	"5.4652"	"4.9371"	"0"	"0"	"1.0014"
"1907"	"1.1159"	"1.4246"	"1.0133"	"2.0137"	"1.0002"	"1.3333"	"4.4004"	"7.2551"	"0.5922"	"0"	"0"	"0"
"1908"	"1.6027"	"1.0001"	"0"	"1.1739"	"1.0018"	"1.5893"	"11.4472"	"9.0681"	"3.9492"	"0"	"0.7733"	"0.0002"
"1909"	"1.0624"	"1.0328"	"0"	"2.1341"	"1.5827"	"3.5662"	"10.3161"	"5.9"	"4.7499"	"0.2584"	"0"	"1.0203"
"1910"	"1.0747"	"1.0001"	"0.4248"	"1.0366"	"0.496"	"3.1043"	"6.094"	"7.4657"	"2.8202"	"1.0132"	"0"	"0.0002"
"1911"	"1.5914"	"0"	"1.8247"	"0.9102"	"0.2007"	"2.3178"	"2.9329"	"2.7685"	"4.6483"	"1.0132"	"1.0001"	"0"
"1912"	"1.6112"	"1.0001"	"0.9171"	"1.855"	"1.0006"	"2.1191"	"6.8583"	"7.1028"	"2.9632"	"1.0132"	"0.9996"	"0.2079"
