
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.538"	"16.995"	"25.373"	"29.728"	"34.065"	"35.203"	"32.698"	"30.206"	"30.444"	"29.296"	"22.486"	"18.494"
"1902"	"17.664"	"19.736"	"26.928"	"31.321"	"33.503"	"32.756"	"33.017"	"31.486"	"29.778"	"27.888"	"22.32"	"17.115"
"1903"	"15.879"	"18.005"	"21.873"	"28.204"	"33.473"	"35.138"	"32.418"	"30.272"	"30.464"	"28.212"	"20.382"	"16.086"
"1904"	"15.526"	"19.732"	"23.205"	"30.7"	"33.576"	"33.431"	"31.02"	"30.246"	"30.509"	"27.992"	"22.368"	"17.204"
"1905"	"14.081"	"14.355"	"21.235"	"27.957"	"35.305"	"33.539"	"31.88"	"31.211"	"30.506"	"28.448"	"23.599"	"17.622"
"1906"	"14.478"	"16.279"	"22.38"	"28.843"	"34.546"	"33.422"	"31.922"	"30.49"	"29.183"	"28.03"	"23.172"	"18.014"
"1907"	"18.113"	"17.678"	"22.869"	"28.698"	"31.783"	"33.581"	"33.342"	"28.624"	"28.353"	"26.803"	"22.581"	"16.438"
"1908"	"16.3"	"18.822"	"23.239"	"29.873"	"32.904"	"33.926"	"29.557"	"28.33"	"27.944"	"26.228"	"20.823"	"15.902"
"1909"	"14.882"	"17.768"	"23.986"	"28.291"	"31.82"	"33.686"	"29.731"	"28.209"	"27.571"	"26.686"	"22.047"	"15.675"
"1910"	"15.383"	"19.261"	"23.861"	"27.884"	"32.731"	"33.467"	"29.345"	"28.726"	"29.375"	"26.553"	"20.393"	"16.235"
"1911"	"16.319"	"19.561"	"21.897"	"28.913"	"34.004"	"33.25"	"32.292"	"30.618"	"29.725"	"27.91"	"19.854"	"17.391"
"1912"	"17.316"	"19.743"	"23.245"	"29.886"	"33.994"	"34.722"	"31.458"	"29.177"	"28.402"	"27.206"	"20.487"	"16.987"
"1913"	"16.872"	"18.483"	"21.776"	"30.624"	"32.637"	"33.655"	"30.839"	"29.211"	"29.018"	"27.974"	"21.74"	"16.445"
"1914"	"17.958"	"17.473"	"22.826"	"29.685"	"34.804"	"33.482"	"30.691"	"29.477"	"30.12"	"27.481"	"22.847"	"15.8"
"1915"	"15.576"	"17.611"	"24.844"	"29.044"	"33.996"	"34.701"	"32.638"	"31.221"	"31.963"	"29.06"	"22.182"	"17.508"
"1916"	"17.568"	"17.346"	"26.339"	"29.89"	"32.596"	"33.2"	"32.174"	"29.587"	"29.106"	"25.886"	"19.655"	"15.936"
"1917"	"17.016"	"19.712"	"23.627"	"27.153"	"30.688"	"32.432"	"29.819"	"28.42"	"27.816"	"25.178"	"20.566"	"16.386"
"1918"	"15.106"	"19.364"	"23.335"	"27.327"	"33.371"	"32.655"	"31.673"	"30.755"	"29.12"	"27.511"	"22.146"	"15.994"
"1919"	"15.576"	"18.722"	"23.891"	"28.499"	"33.139"	"34.299"	"31.178"	"29.435"	"28.281"	"26.945"	"21.234"	"16.228"
"1920"	"16.385"	"18.385"	"24.567"	"28.678"	"30.367"	"31.265"	"30.35"	"28.871"	"30.793"	"28.657"	"22.783"	"16.523"
"1921"	"16.767"	"19.189"	"26.494"	"31.569"	"33.739"	"34.436"	"32.229"	"29.122"	"29.199"	"27.267"	"22.126"	"18.054"
"1922"	"15.538"	"20.029"	"24.662"	"30.588"	"32.678"	"33.524"	"31.976"	"29.486"	"28.869"	"26.925"	"21.668"	"16.823"
"1923"	"16.336"	"17.898"	"25.243"	"29.675"	"32.236"	"33.905"	"31.504"	"28.596"	"29.586"	"27.054"	"20.636"	"16.544"
"1924"	"15.367"	"19.235"	"26.294"	"30.085"	"31.27"	"34.312"	"32.482"	"30.129"	"28.256"	"26.594"	"20.499"	"17.025"
"1925"	"14.132"	"16.709"	"25.701"	"32.326"	"33.171"	"32.678"	"30.222"	"30.79"	"30.923"	"29.415"	"21.615"	"17.459"
"1926"	"16.709"	"21.625"	"23.453"	"27.209"	"31.646"	"34.852"	"31.892"	"29.689"	"28.596"	"26.696"	"19.683"	"16.567"
"1927"	"14.166"	"17.043"	"22.76"	"28.674"	"32.391"	"33.748"	"30.536"	"28.291"	"28.667"	"27.371"	"21.032"	"17.427"
"1928"	"15.903"	"19.646"	"24.895"	"29.92"	"33.569"	"33.415"	"31.662"	"29.645"	"28.382"	"27.588"	"22.084"	"15.96"
"1929"	"15.401"	"17.928"	"26.311"	"30.326"	"33.538"	"33.764"	"30.371"	"28.77"	"29.179"	"26.895"	"22.426"	"14.771"
"1930"	"15.259"	"18.857"	"24.321"	"28.561"	"32.846"	"33.387"	"29.73"	"29.024"	"31.211"	"28.225"	"21.123"	"17.165"
"1931"	"17.27"	"16.604"	"23.873"	"31.079"	"33.265"	"34.633"	"32.208"	"30.146"	"29.59"	"26.94"	"21.609"	"17.391"
"1932"	"18.956"	"19.239"	"25.057"	"29.696"	"33.324"	"33.941"	"31.316"	"28.619"	"30.361"	"27.635"	"21.524"	"17.859"
"1933"	"15.21"	"19.358"	"23.856"	"28.867"	"31.946"	"33.099"	"31.035"	"27.96"	"28.703"	"27.23"	"21.869"	"17.614"
"1934"	"13.528"	"20.768"	"23.351"	"29.861"	"32.844"	"33.878"	"30.742"	"29.262"	"28.94"	"26.583"	"21.482"	"18.136"
"1935"	"13.778"	"18.95"	"24.268"	"27.196"	"33.147"	"34.693"	"30.647"	"29.35"	"28.943"	"26.888"	"22.329"	"17.502"
"1936"	"15.113"	"19.654"	"23.138"	"29.58"	"35.026"	"32.378"	"30.828"	"29.738"	"29.9"	"28.428"	"22.27"	"17.044"
"1937"	"15.832"	"19.458"	"22.874"	"29.397"	"33.406"	"34.646"	"30.561"	"30.012"	"30.022"	"27.128"	"22.323"	"15.365"
"1938"	"15.413"	"17.696"	"25.598"	"30.596"	"33.957"	"32.973"	"31.159"	"30.125"	"30.468"	"28.937"	"20.69"	"17.328"
"1939"	"17.1"	"19.347"	"21.802"	"27.711"	"32.724"	"32.903"	"31.661"	"31.414"	"30.09"	"28.428"	"22.647"	"19.174"
"1940"	"17.644"	"19.572"	"22.548"	"28.725"	"34.106"	"33.558"	"31.904"	"29.505"	"29.255"	"28.408"	"23.035"	"16.758"
"1941"	"15.378"	"20.784"	"26.119"	"31.034"	"34.103"	"33.713"	"31.016"	"30.68"	"30.188"	"30.197"	"22.553"	"18.06"
"1942"	"15.762"	"19.619"	"25.503"	"31.414"	"33.076"	"35.131"	"30.975"	"29.606"	"29.272"	"27.956"	"22.608"	"16.05"
"1943"	"15.374"	"19.318"	"25.301"	"29.134"	"34.469"	"33.908"	"31.03"	"28.774"	"29.103"	"27.231"	"21.615"	"18.657"
"1944"	"16.084"	"18.681"	"23.664"	"29.225"	"33.664"	"33.681"	"30.781"	"28.522"	"28.909"	"26.78"	"22.498"	"17.618"
"1945"	"13.973"	"18.288"	"24.769"	"28.589"	"32.499"	"33.423"	"30.102"	"29.733"	"29.011"	"27.295"	"21.407"	"15.665"
"1946"	"16.31"	"20.412"	"23.682"	"32.269"	"33.145"	"34.338"	"31.139"	"28.73"	"28.615"	"28.329"	"20.825"	"15.968"
"1947"	"15.359"	"19.383"	"24.796"	"30.332"	"34.149"	"33.856"	"32.483"	"30.703"	"28.54"	"25.766"	"23.003"	"17.225"
"1948"	"15.754"	"18.333"	"24.339"	"30.083"	"34.355"	"33.99"	"31.711"	"28.77"	"29.638"	"28.374"	"21.157"	"17.527"
"1949"	"17.416"	"19.055"	"24.791"	"31.296"	"35.006"	"33.098"	"30.763"	"29.213"	"31.21"	"27.346"	"20.686"	"16.505"
"1950"	"16.611"	"16.398"	"23.616"	"28.522"	"33.378"	"33.197"	"30.21"	"28.618"	"28.968"	"27.068"	"20.515"	"14.916"
"1951"	"15.519"	"18.339"	"23.643"	"28.036"	"32.989"	"33.305"	"32.351"	"29.375"	"30.819"	"30.381"	"23.182"	"18.016"
"1952"	"17.015"	"20.301"	"24.374"	"31.158"	"34.075"	"33.929"	"30.433"	"28.873"	"28.897"	"27.577"	"21.666"	"17.226"
"1953"	"15.804"	"21.422"	"27.034"	"29.879"	"32.52"	"33.994"	"31.589"	"29.069"	"29.055"	"27.123"	"22.086"	"19.278"
"1954"	"15.556"	"19.746"	"24.877"	"30.323"	"34.008"	"34.178"	"31.665"	"30.391"	"29.801"	"25.914"	"22.473"	"17.193"
"1955"	"16.447"	"20.53"	"26.575"	"27.906"	"32.592"	"33.992"	"31.813"	"29.566"	"28.912"	"26.322"	"20.391"	"17.455"
