
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1902"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1903"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.921"	"11.509"	"16.634"	"17.731"	"17.517"
"1904"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1905"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1906"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1907"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.477"	"17.731"	"17.517"
"1908"	"17.039"	"17.009"	"17.115"	"16.508"	"15.358"	"12.569"	"9.587"	"8.818"	"11.62"	"16.634"	"17.731"	"17.517"
"1909"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1910"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1911"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1912"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.496"
"1913"	"17.039"	"17.009"	"17.115"	"16.511"	"15.363"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1914"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"16.314"	"17.517"
"1915"	"17.039"	"17.009"	"17.115"	"16.389"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.741"	"17.517"
"1916"	"17.039"	"17.009"	"17.178"	"16.515"	"15.358"	"12.569"	"9.985"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1917"	"17.045"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1918"	"17.039"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.517"
"1919"	"17.618"	"17.009"	"17.115"	"16.511"	"15.358"	"12.569"	"9.587"	"8.818"	"11.509"	"16.634"	"17.731"	"17.682"
"1920"	"17.009"	"17.009"	"17.115"	"16.32"	"15.358"	"12.569"	"9.587"	"8.818"	"11.508"	"16.634"	"17.731"	"17.517"
