
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.1276"	"2.2867"	"0"	"0.2171"	"0.0006"	"0"	"0"	"0"	"0"	"0"	"0.1429"	"0.5778"
"1902"	"0.2131"	"0.0179"	"0"	"0"	"0"	"0.1637"	"0"	"0"	"0"	"0.0169"	"0.0657"	"2.3783"
"1903"	"3.4721"	"1.1937"	"0.942"	"0.4691"	"0.0444"	"0"	"0"	"0"	"0"	"0"	"0.8842"	"4.0014"
"1904"	"3.6184"	"0.0364"	"0.5393"	"0"	"0"	"0.0338"	"0.0064"	"0"	"0"	"0"	"0.0666"	"1.668"
"1905"	"6.3782"	"2.8345"	"1.1323"	"0.4499"	"0"	"0.0021"	"0"	"0"	"0"	"0"	"0"	"1.4899"
"1906"	"5.6119"	"2.2062"	"0.8258"	"0.3075"	"0"	"0.0401"	"0"	"0"	"0"	"0"	"0"	"0.1968"
"1907"	"0.0009"	"1.7273"	"0.8103"	"0.3974"	"0.2745"	"0.045"	"0"	"0.1046"	"0.1597"	"0.2048"	"0.0315"	"3.8317"
"1908"	"2.1858"	"0.6052"	"0.6509"	"0.0196"	"0.0894"	"0"	"0.1775"	"0.1753"	"0.2476"	"0.3582"	"0.7369"	"4.102"
"1909"	"4.8771"	"1.2162"	"0.2861"	"0.4132"	"0.2421"	"0"	"0.1592"	"0.1537"	"0.2972"	"0.1698"	"0.1018"	"4.33"
"1910"	"3.7277"	"0.2528"	"0.3697"	"0.5099"	"0.0241"	"0"	"0.1948"	"0.1085"	"0.0003"	"0.272"	"0.9758"	"3.5725"
"1911"	"2.0408"	"0.0284"	"0.942"	"0.2796"	"0"	"0.001"	"0"	"0"	"0"	"0.0024"	"1.1877"	"2.0672"
"1912"	"0.6472"	"0.3785"	"0.514"	"0.0807"	"0"	"0"	"0"	"0.0543"	"0.1265"	"0.0259"	"0.9408"	"2.3565"
"1913"	"0.8241"	"0.8985"	"0.981"	"0"	"0.1261"	"0.0041"	"0.0581"	"0.0314"	"0.0493"	"0"	"0.4716"	"3.028"
"1914"	"0.2069"	"1.5905"	"0.7507"	"0.1387"	"0"	"0.041"	"0.0462"	"0.0009"	"0"	"0.1153"	"0"	"4.3904"
"1915"	"3.0828"	"1.6507"	"0.0221"	"0.234"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2242"	"1.9732"
"1916"	"0.3884"	"1.8014"	"0"	"0.0217"	"0.1246"	"0.0582"	"0"	"0.0016"	"0.0904"	"0.4542"	"1.185"	"4.2169"
"1917"	"1.038"	"0"	"0.4485"	"0.5521"	"0.4566"	"0.1284"	"0.1283"	"0.1809"	"0.3349"	"0.5953"	"0.9945"	"2.8025"
"1918"	"4.3804"	"0.27"	"0.5031"	"0.5826"	"0.0129"	"0.1199"	"0"	"0"	"0.073"	"0.0207"	"0.4243"	"4.2911"
"1919"	"3.5423"	"0.7227"	"0.3091"	"0.3351"	"0.0454"	"0"	"0.0021"	"0.033"	"0.1802"	"0.1933"	"0.6757"	"4.3794"
"1920"	"2.1377"	"0.9313"	"0.0649"	"0.3562"	"0.5235"	"0.2046"	"0.0723"	"0.0723"	"0"	"0"	"0.0034"	"3.4931"
"1921"	"1.504"	"0.2656"	"0"	"0"	"0"	"0"	"0"	"0.0746"	"0.0299"	"0.2085"	"0.1949"	"0.8111"
"1922"	"3.704"	"0.0809"	"0.0013"	"0"	"0.0863"	"0.046"	"0"	"0"	"0.0636"	"0.2502"	"0.3821"	"2.839"
"1923"	"2.1479"	"1.1366"	"0.0011"	"0.1147"	"0.2507"	"0"	"0"	"0.1344"	"0.0233"	"0.2308"	"0.8831"	"3.846"
"1924"	"4.2073"	"0.3014"	"0"	"0.0001"	"0.411"	"0"	"0"	"0"	"0.2249"	"0.1581"	"0.885"	"2.3124"
