
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.037"	"8.502"	"16.841"	"21.486"	"26.387"	"28.934"	"27.906"	"25.808"	"24.682"	"20.973"	"13.622"	"9.742"
"1902"	"9.164"	"11.247"	"18.388"	"23.064"	"25.823"	"26.479"	"28.229"	"27.06"	"24.016"	"19.565"	"13.463"	"8.378"
"1903"	"7.365"	"9.521"	"13.339"	"19.956"	"25.783"	"28.862"	"27.637"	"25.82"	"24.707"	"19.892"	"11.516"	"7.334"
"1904"	"7.025"	"11.238"	"14.661"	"22.448"	"25.915"	"27.167"	"26.237"	"25.829"	"24.749"	"19.678"	"13.501"	"8.447"
"1905"	"5.569"	"5.844"	"12.694"	"19.714"	"27.637"	"27.283"	"27.094"	"26.802"	"24.743"	"20.139"	"14.748"	"8.86"
"1906"	"5.977"	"7.796"	"13.835"	"20.586"	"26.868"	"27.16"	"27.13"	"26.092"	"23.437"	"19.721"	"14.291"	"9.274"
"1907"	"9.601"	"9.196"	"14.321"	"20.453"	"24.098"	"27.308"	"28.549"	"24.243"	"22.592"	"18.598"	"13.726"	"7.676"
"1908"	"7.785"	"10.307"	"14.7"	"21.629"	"25.241"	"27.662"	"24.765"	"23.922"	"22.129"	"17.921"	"11.946"	"7.156"
"1909"	"6.356"	"9.269"	"15.455"	"20.026"	"24.138"	"27.434"	"24.949"	"23.787"	"21.814"	"18.376"	"13.195"	"6.924"
"1910"	"6.872"	"10.765"	"15.33"	"19.638"	"25.049"	"27.217"	"24.553"	"24.308"	"23.628"	"18.242"	"11.539"	"7.466"
"1911"	"7.819"	"11.061"	"13.348"	"20.668"	"26.319"	"26.99"	"27.508"	"26.241"	"23.974"	"19.584"	"10.986"	"8.617"
"1912"	"8.814"	"11.234"	"14.707"	"21.628"	"26.306"	"28.472"	"26.674"	"24.789"	"22.638"	"18.891"	"11.62"	"8.242"
"1913"	"8.351"	"9.989"	"13.222"	"22.382"	"24.956"	"27.405"	"26.049"	"24.814"	"23.253"	"19.663"	"12.874"	"7.681"
"1914"	"9.459"	"8.967"	"14.296"	"21.446"	"27.134"	"27.198"	"25.905"	"25.077"	"24.358"	"19.175"	"14.7"	"7.057"
"1915"	"7.063"	"9.118"	"16.304"	"20.843"	"26.315"	"28.433"	"27.853"	"26.827"	"26.217"	"20.746"	"13.322"	"8.765"
"1916"	"9.059"	"8.839"	"17.766"	"21.648"	"24.927"	"26.939"	"27.204"	"25.192"	"23.347"	"17.565"	"10.779"	"7.179"
"1917"	"8.497"	"11.216"	"15.083"	"18.894"	"23.001"	"26.175"	"25.03"	"24.023"	"22.054"	"16.87"	"11.711"	"7.629"
"1918"	"6.595"	"10.873"	"14.783"	"19.097"	"25.706"	"26.393"	"26.881"	"26.358"	"23.358"	"19.201"	"13.282"	"7.234"
"1919"	"6.763"	"10.231"	"15.353"	"20.261"	"25.469"	"28.026"	"26.387"	"25.037"	"22.522"	"18.636"	"12.368"	"7.393"
"1920"	"7.875"	"9.892"	"16.012"	"20.537"	"22.681"	"24.994"	"25.559"	"24.471"	"25.038"	"20.348"	"13.927"	"7.766"
"1921"	"8.263"	"10.679"	"18.004"	"23.317"	"26.072"	"28.162"	"27.442"	"24.736"	"23.438"	"18.899"	"13.268"	"9.287"
"1922"	"7.038"	"11.528"	"16.102"	"22.337"	"25.009"	"27.251"	"27.191"	"25.086"	"23.107"	"18.499"	"12.802"	"8.053"
"1923"	"7.837"	"9.406"	"16.688"	"21.415"	"24.559"	"27.631"	"26.712"	"24.217"	"23.838"	"18.744"	"11.776"	"7.782"
"1924"	"6.837"	"10.744"	"17.758"	"21.828"	"23.58"	"28.044"	"27.696"	"25.74"	"22.497"	"18.268"	"11.645"	"8.278"
"1925"	"5.609"	"8.216"	"17.163"	"24.099"	"25.5"	"26.428"	"25.435"	"26.39"	"25.159"	"21.106"	"12.763"	"8.689"
"1926"	"8.197"	"13.134"	"14.911"	"18.93"	"23.965"	"28.585"	"27.11"	"25.268"	"22.839"	"18.372"	"10.79"	"7.81"
"1927"	"5.666"	"8.539"	"14.211"	"20.422"	"24.712"	"27.473"	"25.752"	"23.896"	"22.907"	"19.043"	"12.166"	"8.69"
"1928"	"7.392"	"11.149"	"16.357"	"21.663"	"25.887"	"27.141"	"26.876"	"25.235"	"22.65"	"19.276"	"13.198"	"7.208"
"1929"	"6.879"	"9.422"	"17.768"	"22.055"	"25.86"	"27.491"	"25.585"	"24.365"	"23.422"	"18.575"	"13.561"	"6.018"
"1930"	"6.757"	"10.378"	"15.79"	"20.294"	"25.171"	"27.118"	"24.941"	"24.614"	"25.451"	"19.901"	"12.269"	"8.425"
"1931"	"8.77"	"8.263"	"15.334"	"22.826"	"25.598"	"28.38"	"27.424"	"25.751"	"23.772"	"18.634"	"12.759"	"8.645"
"1932"	"10.445"	"10.744"	"16.455"	"21.422"	"25.657"	"27.658"	"26.531"	"24.239"	"24.618"	"19.324"	"12.671"	"9.087"
"1933"	"6.676"	"10.891"	"15.309"	"20.613"	"24.269"	"26.848"	"26.242"	"23.549"	"22.946"	"18.908"	"13.093"	"8.896"
"1934"	"5.015"	"12.236"	"14.798"	"21.605"	"25.173"	"27.616"	"25.951"	"24.864"	"23.184"	"18.269"	"12.615"	"9.38"
"1935"	"5.28"	"10.467"	"15.716"	"18.943"	"25.476"	"28.444"	"25.858"	"24.924"	"23.119"	"18.583"	"13.473"	"8.728"
"1936"	"6.598"	"10.802"	"14.553"	"21.317"	"27.338"	"26.105"	"26.045"	"25.342"	"24.14"	"20.114"	"13.397"	"8.273"
"1937"	"7.32"	"10.951"	"14.337"	"21.141"	"25.731"	"28.396"	"25.772"	"25.521"	"24.257"	"18.832"	"13.468"	"6.487"
"1938"	"6.898"	"9.189"	"17.045"	"22.356"	"26.279"	"26.711"	"26.38"	"25.739"	"24.72"	"20.626"	"11.833"	"8.577"
"1939"	"8.589"	"10.856"	"13.248"	"19.463"	"25.048"	"26.628"	"26.876"	"27.018"	"24.331"	"20.121"	"13.794"	"10.417"
