
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.15"	"5.83"	"7.23"	"8.48"	"9.13"	"8.6"	"7.18"	"6.45"	"6.93"	"7.46"	"6.38"	"5.44"
"1902"	"5.35"	"6.03"	"7.35"	"8.62"	"9.21"	"8.51"	"7.11"	"6.55"	"6.97"	"7.39"	"6.37"	"5.38"
"1903"	"5.24"	"5.98"	"7.05"	"8.32"	"9.07"	"8.58"	"7.18"	"6.45"	"6.95"	"7.51"	"6.28"	"5.27"
"1904"	"5.15"	"6.05"	"7.13"	"8.49"	"9.17"	"8.57"	"7.06"	"6.41"	"6.96"	"7.43"	"6.36"	"5.44"
"1905"	"5.17"	"5.68"	"6.91"	"8.25"	"9.15"	"8.61"	"7.1"	"6.46"	"6.97"	"7.41"	"6.45"	"5.49"
"1906"	"5.18"	"5.83"	"7.02"	"8.35"	"9.17"	"8.57"	"7.11"	"6.49"	"6.91"	"7.38"	"6.4"	"5.4"
"1907"	"5.41"	"5.98"	"7.1"	"8.41"	"9.06"	"8.46"	"7.2"	"6.44"	"6.86"	"7.26"	"6.36"	"5.33"
"1908"	"5.22"	"6.03"	"7.12"	"8.46"	"9.11"	"8.64"	"7.09"	"6.35"	"6.87"	"7.32"	"6.27"	"5.27"
"1909"	"5.14"	"5.88"	"7.19"	"8.43"	"9.05"	"8.57"	"7.1"	"6.36"	"6.83"	"7.29"	"6.37"	"5.27"
"1910"	"5.12"	"6.02"	"7.23"	"8.36"	"9.07"	"8.6"	"7.02"	"6.34"	"6.92"	"7.38"	"6.24"	"5.27"
"1911"	"5.19"	"6.1"	"7.07"	"8.34"	"9.15"	"8.55"	"7.12"	"6.49"	"6.94"	"7.45"	"6.21"	"5.32"
"1912"	"5.29"	"6.1"	"7.17"	"8.44"	"9.14"	"8.64"	"7.17"	"6.42"	"6.88"	"7.41"	"6.25"	"5.31"
"1913"	"5.29"	"6.04"	"7"	"8.47"	"9.15"	"8.57"	"7.11"	"6.39"	"6.88"	"7.4"	"6.34"	"5.28"
"1914"	"5.36"	"5.96"	"7.08"	"8.4"	"9.19"	"8.66"	"7.11"	"6.36"	"6.96"	"7.39"	"6.22"	"5.31"
"1915"	"5.2"	"5.87"	"7.24"	"8.4"	"9.13"	"8.59"	"7.13"	"6.43"	"7.02"	"7.52"	"6.39"	"5.36"
"1916"	"5.36"	"5.87"	"7.27"	"8.56"	"9.11"	"8.5"	"7.25"	"6.43"	"6.95"	"7.37"	"6.19"	"5.19"
"1917"	"5.25"	"6.1"	"7.26"	"8.38"	"9.01"	"8.5"	"7.03"	"6.36"	"6.9"	"7.25"	"6.21"	"5.3"
"1918"	"5.13"	"6.03"	"7.21"	"8.3"	"9.12"	"8.53"	"7.06"	"6.5"	"6.96"	"7.39"	"6.38"	"5.31"
"1919"	"5.23"	"5.97"	"7.21"	"8.4"	"9.08"	"8.58"	"7.12"	"6.41"	"6.89"	"7.37"	"6.31"	"5.3"
"1920"	"5.22"	"5.96"	"7.23"	"8.47"	"9.04"	"8.44"	"7.01"	"6.33"	"6.91"	"7.44"	"6.42"	"5.32"
"1921"	"5.25"	"5.99"	"7.27"	"8.6"	"9.18"	"8.59"	"7.19"	"6.42"	"6.9"	"7.42"	"6.32"	"5.47"
"1922"	"5.17"	"6.05"	"7.22"	"8.53"	"9.14"	"8.53"	"7.12"	"6.43"	"6.91"	"7.41"	"6.31"	"5.34"
"1923"	"5.26"	"5.92"	"7.23"	"8.52"	"9.1"	"8.52"	"7.13"	"6.36"	"6.91"	"7.42"	"6.28"	"5.32"
"1924"	"5.16"	"5.96"	"7.32"	"8.58"	"9.04"	"8.5"	"7.14"	"6.51"	"6.92"	"7.38"	"6.24"	"5.38"
"1925"	"5.12"	"5.78"	"7.19"	"8.63"	"9.25"	"8.57"	"6.99"	"6.39"	"6.97"	"7.51"	"6.37"	"5.38"
"1926"	"5.22"	"6.19"	"7.29"	"8.35"	"8.96"	"8.54"	"7.14"	"6.48"	"6.91"	"7.42"	"6.19"	"5.32"
"1927"	"5.09"	"5.87"	"7.09"	"8.39"	"9.07"	"8.57"	"7.11"	"6.36"	"6.85"	"7.39"	"6.28"	"5.38"
"1928"	"5.18"	"6.04"	"7.25"	"8.49"	"9.17"	"8.56"	"7.11"	"6.44"	"6.86"	"7.37"	"6.39"	"5.31"
"1929"	"5.17"	"5.87"	"7.28"	"8.57"	"9.17"	"8.61"	"7.08"	"6.36"	"6.91"	"7.37"	"6.42"	"5.2"
"1930"	"5.1"	"5.96"	"7.26"	"8.42"	"9.1"	"8.58"	"7.02"	"6.3"	"6.92"	"7.47"	"6.31"	"5.33"
"1931"	"5.36"	"5.69"	"7.11"	"8.58"	"9.19"	"8.72"	"7.22"	"6.46"	"7.04"	"7.27"	"6.43"	"5.37"
"1932"	"5.43"	"6.13"	"7.21"	"8.53"	"9.19"	"8.63"	"7.18"	"6.28"	"7.01"	"7.59"	"6.48"	"5.48"
"1933"	"5.16"	"5.97"	"7.18"	"8.37"	"8.92"	"8.5"	"7.11"	"6.23"	"6.75"	"7.36"	"6.38"	"5.49"
"1934"	"5.05"	"6.24"	"7.18"	"8.59"	"9.14"	"8.61"	"7.05"	"6.36"	"6.97"	"7.53"	"6.32"	"5.44"
"1935"	"5.06"	"5.87"	"7.3"	"8.17"	"9.1"	"8.98"	"7.18"	"6.44"	"7.03"	"7.44"	"6.38"	"5.44"
"1936"	"5.21"	"6.09"	"7.16"	"8.46"	"9.26"	"8.47"	"7.04"	"6.44"	"6.96"	"7.44"	"6.45"	"5.27"
"1937"	"5.22"	"5.96"	"7.12"	"8.47"	"9.12"	"8.78"	"7.08"	"6.5"	"7.07"	"7.44"	"6.44"	"5.32"
"1938"	"5.07"	"5.87"	"7.25"	"8.66"	"9.2"	"8.48"	"7.19"	"6.46"	"7.05"	"7.64"	"6.41"	"5.47"
"1939"	"5.32"	"5.96"	"6.94"	"8.35"	"9.19"	"8.44"	"7.09"	"6.6"	"7.08"	"7.51"	"6.54"	"5.55"
"1940"	"5.33"	"6.03"	"7.02"	"8.38"	"9.14"	"8.57"	"7.19"	"6.42"	"7"	"7.52"	"6.54"	"5.47"
"1941"	"5.11"	"6.09"	"7.36"	"8.65"	"9.16"	"8.51"	"7.11"	"6.49"	"6.97"	"7.53"	"6.59"	"5.56"
"1942"	"5.09"	"5.96"	"7.36"	"8.6"	"9.11"	"8.79"	"7.11"	"6.4"	"6.89"	"7.44"	"6.53"	"5.37"
