
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.931"	"0.006"	"0.149"	"0.012"	"6.766"	"5.995"	"93.194"	"51.908"	"0.554"	"2.141"	"0"	"2.818"
"1902"	"0.025"	"0"	"0"	"0.009"	"10.08"	"43.154"	"16.605"	"80.353"	"42.358"	"0.89"	"0.16"	"0"
"1903"	"0.478"	"0.028"	"6.798"	"0"	"9.763"	"2.382"	"183.743"	"92.367"	"87.405"	"0.034"	"0"	"0.526"
"1904"	"3.521"	"2.554"	"14.034"	"0.463"	"4.385"	"24.628"	"27.2"	"22.378"	"45.406"	"7.015"	"2.895"	"5.758"
"1905"	"4.846"	"8.786"	"0.421"	"12.948"	"0.075"	"10.124"	"27.542"	"1.208"	"29.462"	"0"	"0"	"0.8"
"1906"	"0"	"69.363"	"8.077"	"0"	"0.734"	"14.496"	"78.659"	"59.569"	"66.964"	"0.086"	"0"	"8.835"
"1907"	"1.085"	"24.075"	"3.025"	"15.83"	"3.251"	"36.407"	"59.069"	"156.761"	"0.719"	"0"	"0.012"	"0"
"1908"	"7.674"	"0.011"	"0"	"6.029"	"2.342"	"8.467"	"230.896"	"209.535"	"166.879"	"0"	"3.415"	"0"
"1909"	"6.865"	"1.182"	"0"	"42.041"	"0.133"	"24.49"	"203.5"	"63.718"	"149.57"	"0.005"	"0"	"3.187"
"1910"	"1.618"	"0.536"	"0"	"13.739"	"0.082"	"91.676"	"73.021"	"138.099"	"6.783"	"0.919"	"0.018"	"0"
"1911"	"2.262"	"0"	"48.078"	"1.401"	"0.006"	"20.575"	"2.999"	"10.1"	"53.639"	"1.6"	"2.808"	"0"
"1912"	"0.304"	"0.012"	"0.117"	"3.213"	"1.138"	"37.114"	"90.484"	"142.747"	"24.009"	"15.222"	"25.9"	"0"
"1913"	"0"	"1.478"	"0.966"	"1.408"	"8.993"	"32.73"	"90.438"	"44.44"	"72.785"	"0"	"2.257"	"1.592"
"1914"	"1.717"	"7.089"	"1.604"	"6.091"	"0.841"	"68.024"	"67.652"	"60.958"	"40.44"	"5.207"	"21.14"	"0"
"1915"	"3.207"	"9.852"	"4.667"	"1.576"	"0.074"	"8.437"	"23.567"	"15.596"	"10.654"	"33.596"	"0"	"0"
"1916"	"0.073"	"0.114"	"0.289"	"6.518"	"22.991"	"29.254"	"64.913"	"234.662"	"83.508"	"22.801"	"0.055"	"0"
"1917"	"1.256"	"11.552"	"0.557"	"33.562"	"53.45"	"109.42"	"99.955"	"268.264"	"184.438"	"14.828"	"0"	"8.579"
"1918"	"0.073"	"0"	"1.313"	"0.475"	"0.694"	"3.671"	"1.605"	"34.293"	"6.609"	"0"	"0.074"	"2.768"
"1919"	"7.751"	"0.843"	"0.81"	"47.546"	"6.058"	"1.339"	"133.282"	"108.03"	"61.214"	"0.141"	"9.784"	"0.541"
"1920"	"2.06"	"4.048"	"0.038"	"10.679"	"32.14"	"101.852"	"68.626"	"16.02"	"0.951"	"0"	"0"	"0"
"1921"	"0.021"	"0"	"0"	"0.471"	"0.006"	"3.137"	"134.57"	"91.618"	"51.336"	"0.016"	"0"	"0.49"
"1922"	"0.219"	"1.195"	"0.117"	"3.849"	"1.771"	"10.553"	"92.651"	"26.963"	"75.402"	"1.806"	"0.099"	"0.85"
"1923"	"1.895"	"7.963"	"0.98"	"2.251"	"7.048"	"9.37"	"160.018"	"123.755"	"2.083"	"0.932"	"0"	"2.444"
