
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.8"	"3.61"	"5.48"	"6.84"	"7.8"	"7.42"	"6.11"	"5.26"	"5.37"	"5.27"	"3.82"	"3.04"
"1902"	"3.07"	"3.91"	"5.69"	"7.07"	"7.7"	"7.08"	"6.13"	"5.41"	"5.28"	"5.11"	"3.8"	"2.9"
"1903"	"2.9"	"3.73"	"5.04"	"6.61"	"7.71"	"7.4"	"6.07"	"5.3"	"5.37"	"5.15"	"3.6"	"2.82"
"1904"	"2.9"	"3.91"	"5.19"	"6.97"	"7.71"	"7.15"	"5.92"	"5.26"	"5.37"	"5.13"	"3.79"	"2.91"
"1905"	"2.76"	"3.34"	"4.95"	"6.6"	"7.99"	"7.16"	"6"	"5.35"	"5.36"	"5.16"	"3.92"	"2.95"
"1906"	"2.8"	"3.56"	"5.08"	"6.72"	"7.86"	"7.15"	"6.01"	"5.3"	"5.22"	"5.13"	"3.88"	"2.98"
"1907"	"3.14"	"3.7"	"5.17"	"6.69"	"7.45"	"7.19"	"6.19"	"5.08"	"5.17"	"4.97"	"3.83"	"2.85"
"1908"	"2.95"	"3.81"	"5.19"	"6.85"	"7.61"	"7.22"	"5.75"	"5.05"	"5.14"	"4.93"	"3.66"	"2.8"
"1909"	"2.85"	"3.7"	"5.3"	"6.63"	"7.46"	"7.18"	"5.75"	"5.04"	"5.06"	"4.96"	"3.8"	"2.77"
"1910"	"2.87"	"3.87"	"5.28"	"6.56"	"7.6"	"7.17"	"5.73"	"5.11"	"5.25"	"4.96"	"3.59"	"2.83"
"1911"	"2.94"	"3.9"	"5.05"	"6.73"	"7.78"	"7.13"	"6.06"	"5.32"	"5.28"	"5.12"	"3.55"	"2.92"
"1912"	"3.07"	"3.89"	"5.2"	"6.86"	"7.77"	"7.35"	"5.97"	"5.15"	"5.15"	"5.04"	"3.64"	"2.88"
"1913"	"3.03"	"3.75"	"5.04"	"6.98"	"7.57"	"7.17"	"5.89"	"5.15"	"5.19"	"5.13"	"3.74"	"2.86"
"1914"	"3.12"	"3.67"	"5.15"	"6.84"	"7.9"	"7.16"	"5.88"	"5.17"	"5.36"	"5.07"	"3.69"	"2.78"
"1915"	"2.9"	"3.69"	"5.41"	"6.72"	"7.78"	"7.35"	"6.11"	"5.35"	"5.53"	"5.25"	"3.79"	"2.93"
"1916"	"3.07"	"3.66"	"5.61"	"6.87"	"7.54"	"7.14"	"6.15"	"5.18"	"5.23"	"4.9"	"3.55"	"2.8"
"1917"	"3.05"	"3.91"	"5.24"	"6.47"	"7.29"	"7.04"	"5.76"	"5.06"	"5.1"	"4.82"	"3.64"	"2.83"
"1918"	"2.87"	"3.87"	"5.22"	"6.51"	"7.7"	"7.07"	"5.97"	"5.34"	"5.24"	"5.05"	"3.77"	"2.8"
"1919"	"2.94"	"3.8"	"5.29"	"6.66"	"7.63"	"7.29"	"5.94"	"5.17"	"5.16"	"5.01"	"3.72"	"2.85"
"1920"	"2.96"	"3.75"	"5.37"	"6.67"	"7.23"	"6.86"	"5.81"	"5.12"	"5.44"	"5.19"	"3.86"	"2.87"
"1921"	"3.01"	"3.86"	"5.61"	"7.13"	"7.74"	"7.32"	"6.05"	"5.13"	"5.25"	"5.07"	"3.79"	"2.98"
"1922"	"2.9"	"3.94"	"5.38"	"6.96"	"7.58"	"7.17"	"6.01"	"5.17"	"5.2"	"5.03"	"3.74"	"2.88"
"1923"	"2.94"	"3.72"	"5.46"	"6.83"	"7.53"	"7.22"	"5.97"	"5.08"	"5.27"	"5.02"	"3.64"	"2.87"
"1924"	"2.88"	"3.87"	"5.58"	"6.88"	"7.38"	"7.28"	"6.08"	"5.26"	"5.15"	"4.97"	"3.61"	"2.9"
"1925"	"2.77"	"3.59"	"5.53"	"7.21"	"7.66"	"7.07"	"5.82"	"5.34"	"5.46"	"5.28"	"3.73"	"2.93"
"1926"	"3.01"	"4.09"	"5.22"	"6.48"	"7.43"	"7.36"	"6.01"	"5.2"	"5.19"	"4.97"	"3.55"	"2.86"
"1927"	"2.77"	"3.62"	"5.12"	"6.7"	"7.55"	"7.2"	"5.84"	"5.04"	"5.19"	"5.05"	"3.69"	"2.95"
"1928"	"2.91"	"3.9"	"5.42"	"6.86"	"7.73"	"7.16"	"5.98"	"5.2"	"5.16"	"5.07"	"3.79"	"2.79"
"1929"	"2.87"	"3.73"	"5.59"	"6.92"	"7.72"	"7.2"	"5.84"	"5.11"	"5.23"	"5"	"3.82"	"2.71"
"1930"	"2.87"	"3.81"	"5.35"	"6.68"	"7.62"	"7.18"	"5.75"	"5.14"	"5.45"	"5.14"	"3.68"	"2.9"
"1931"	"3.07"	"3.54"	"5.28"	"7.03"	"7.67"	"7.32"	"6.05"	"5.25"	"5.3"	"5"	"3.74"	"2.92"
"1932"	"3.21"	"3.87"	"5.47"	"6.85"	"7.68"	"7.23"	"5.94"	"5.08"	"5.36"	"5.1"	"3.73"	"2.94"
"1933"	"2.87"	"3.87"	"5.29"	"6.72"	"7.48"	"7.12"	"5.92"	"5.04"	"5.18"	"5.04"	"3.74"	"2.95"
"1934"	"2.73"	"4.02"	"5.21"	"6.85"	"7.6"	"7.21"	"5.88"	"5.16"	"5.21"	"4.97"	"3.71"	"2.98"
"1935"	"2.74"	"3.85"	"5.34"	"6.47"	"7.65"	"7.33"	"5.84"	"5.16"	"5.23"	"5"	"3.8"	"2.95"
"1936"	"2.87"	"3.98"	"5.2"	"6.85"	"7.96"	"7.04"	"5.89"	"5.2"	"5.3"	"5.17"	"3.79"	"2.9"
"1937"	"2.9"	"3.88"	"5.16"	"6.81"	"7.7"	"7.33"	"5.84"	"5.29"	"5.35"	"5.01"	"3.81"	"2.77"
"1938"	"2.89"	"3.7"	"5.51"	"6.97"	"7.79"	"7.11"	"5.93"	"5.26"	"5.36"	"5.22"	"3.64"	"2.92"
"1939"	"3.06"	"3.87"	"5.03"	"6.54"	"7.59"	"7.11"	"5.97"	"5.39"	"5.36"	"5.16"	"3.85"	"3.07"
"1940"	"3.07"	"3.9"	"5.1"	"6.71"	"7.79"	"7.17"	"6.02"	"5.14"	"5.25"	"5.15"	"3.88"	"2.87"
"1941"	"2.87"	"4.01"	"5.57"	"7.09"	"7.8"	"7.2"	"5.92"	"5.32"	"5.36"	"5.37"	"3.83"	"2.95"
"1942"	"2.9"	"3.9"	"5.51"	"7.09"	"7.65"	"7.4"	"5.92"	"5.19"	"5.25"	"5.12"	"3.83"	"2.83"
"1943"	"2.89"	"3.87"	"5.47"	"6.74"	"7.84"	"7.21"	"6.03"	"5.11"	"5.22"	"5.04"	"3.75"	"3.05"
"1944"	"2.94"	"3.78"	"5.25"	"6.78"	"7.73"	"7.19"	"5.93"	"5.08"	"5.21"	"4.99"	"3.83"	"2.9"
"1945"	"2.77"	"3.76"	"5.39"	"6.68"	"7.56"	"7.15"	"5.79"	"5.2"	"5.22"	"5.04"	"3.69"	"2.77"
"1946"	"2.94"	"3.96"	"5.26"	"7.2"	"7.67"	"7.32"	"5.98"	"5.11"	"5.19"	"5.15"	"3.65"	"2.81"
"1947"	"2.87"	"3.87"	"5.48"	"6.93"	"7.79"	"7.27"	"6.08"	"5.34"	"5.18"	"4.88"	"3.88"	"2.92"
"1948"	"2.93"	"3.76"	"5.35"	"6.85"	"7.83"	"7.22"	"5.99"	"5.07"	"5.27"	"5.16"	"3.68"	"2.94"
"1949"	"3.08"	"3.83"	"5.39"	"7.08"	"7.95"	"7.13"	"5.9"	"5.15"	"5.52"	"5.05"	"3.64"	"2.87"
"1950"	"2.99"	"3.57"	"5.23"	"6.67"	"7.68"	"7.15"	"5.82"	"5.09"	"5.22"	"5.02"	"3.64"	"2.73"
"1951"	"2.9"	"3.75"	"5.24"	"6.61"	"7.62"	"7.14"	"6.11"	"5.18"	"5.43"	"5.41"	"3.89"	"2.96"
"1952"	"3"	"3.95"	"5.37"	"7.05"	"7.88"	"7.25"	"5.83"	"5.11"	"5.22"	"5.29"	"3.75"	"2.94"
"1953"	"2.91"	"4.07"	"5.69"	"6.86"	"7.56"	"7.24"	"5.98"	"5.13"	"5.23"	"5.03"	"3.74"	"3.09"
"1954"	"2.9"	"3.9"	"5.43"	"6.91"	"7.78"	"7.28"	"5.97"	"5.2"	"5.37"	"4.94"	"3.79"	"2.92"
"1955"	"2.95"	"4"	"5.62"	"6.58"	"7.55"	"7.21"	"6"	"5.16"	"5.2"	"4.95"	"3.6"	"2.95"
"1956"	"2.93"	"3.88"	"5.38"	"6.81"	"7.86"	"7.15"	"5.65"	"5.06"	"5.26"	"4.88"	"3.65"	"2.92"
"1957"	"2.87"	"3.7"	"5.22"	"6.62"	"7.43"	"7.2"	"6.02"	"5.12"	"5.18"	"5.03"	"3.92"	"2.92"
"1958"	"3.17"	"3.94"	"5.51"	"7.13"	"7.74"	"7.41"	"5.89"	"5.4"	"5.13"	"5.04"	"3.82"	"2.95"
"1959"	"2.92"	"3.8"	"5.58"	"6.92"	"7.69"	"7.26"	"5.86"	"5.04"	"5.14"	"5.18"	"3.78"	"2.94"
"1960"	"2.94"	"4.11"	"5.17"	"6.62"	"7.59"	"7.18"	"5.92"	"5.21"	"5.44"	"5.13"	"3.74"	"2.96"
"1961"	"2.94"	"3.63"	"5.5"	"6.62"	"7.57"	"7.07"	"5.82"	"5.24"	"5.12"	"4.96"	"3.67"	"2.78"
"1962"	"2.86"	"3.9"	"5.48"	"6.79"	"7.74"	"7.13"	"5.93"	"5.18"	"5.19"	"4.9"	"3.7"	"2.9"
"1963"	"3.07"	"4.07"	"5.29"	"6.73"	"7.43"	"7.25"	"6.11"	"5.27"	"5.22"	"5.13"	"3.88"	"3.06"
"1964"	"2.73"	"3.85"	"5.61"	"7.03"	"7.64"	"7.07"	"5.83"	"5.28"	"5.25"	"5.02"	"3.72"	"2.87"
"1965"	"3.15"	"3.87"	"5.24"	"6.49"	"7.44"	"7.18"	"5.83"	"5.13"	"5.19"	"5.15"	"3.94"	"2.87"
"1966"	"3.18"	"4.13"	"5.19"	"6.67"	"7.57"	"7.26"	"6"	"5.15"	"5.19"	"5.13"	"3.81"	"2.9"
"1967"	"2.8"	"3.99"	"5.19"	"6.58"	"7.55"	"7.13"	"5.98"	"5.05"	"5.17"	"4.98"	"3.9"	"2.94"
"1968"	"2.87"	"3.54"	"5.4"	"6.8"	"7.4"	"7.17"	"6.02"	"5.25"	"5.46"	"5.1"	"3.85"	"2.92"
"1969"	"2.94"	"3.8"	"5.74"	"6.83"	"7.63"	"7.23"	"5.95"	"5.25"	"5.4"	"5.18"	"3.91"	"3.08"
"1970"	"3.07"	"3.87"	"5.32"	"7.08"	"8"	"7.23"	"5.95"	"5.09"	"5.13"	"5.12"	"3.79"	"2.93"
"1971"	"2.91"	"3.83"	"5.28"	"7.09"	"7.59"	"7.02"	"5.64"	"5.07"	"5.44"	"5.05"	"3.83"	"3.02"
"1972"	"3.03"	"3.46"	"5.54"	"6.8"	"7.6"	"7.25"	"6.07"	"5.25"	"5.17"	"4.98"	"3.81"	"2.92"
"1973"	"2.77"	"4.02"	"5.34"	"7.22"	"7.88"	"7.13"	"5.93"	"5.09"	"5.19"	"4.96"	"3.79"	"2.87"
"1974"	"2.86"	"3.59"	"5.62"	"6.98"	"7.82"	"7.05"	"6.01"	"5.46"	"5.48"	"5.09"	"3.8"	"2.9"
"1975"	"2.87"	"3.76"	"5.2"	"6.79"	"7.83"	"7.01"	"5.88"	"5.16"	"4.98"	"4.96"	"3.64"	"2.95"
"1976"	"3.06"	"3.75"	"5.32"	"6.72"	"7.69"	"7.14"	"5.92"	"5.01"	"4.98"	"5.05"	"3.88"	"2.93"
"1977"	"2.9"	"4.11"	"5.73"	"6.84"	"7.62"	"7.03"	"5.68"	"5.06"	"5.13"	"5.14"	"4"	"3.09"
"1978"	"2.92"	"3.75"	"5.23"	"6.96"	"7.97"	"7.28"	"5.63"	"5.13"	"5.18"	"5.09"	"3.8"	"3.04"
"1979"	"2.94"	"3.74"	"5.12"	"6.91"	"7.35"	"7.3"	"5.89"	"5.15"	"5.24"	"5.06"	"3.9"	"3.06"
"1980"	"2.94"	"3.94"	"5.28"	"7.11"	"7.79"	"7.07"	"5.92"	"5.22"	"5.28"	"5.21"	"3.88"	"2.93"
"1981"	"2.95"	"3.91"	"5.27"	"7.01"	"7.66"	"7.34"	"5.92"	"5.17"	"5.35"	"5.16"	"3.62"	"2.99"
"1982"	"2.94"	"3.62"	"5.05"	"6.69"	"7.35"	"7.2"	"6"	"5.16"	"5.34"	"5.18"	"3.64"	"3"
"1983"	"2.9"	"3.72"	"5.18"	"6.44"	"7.5"	"7.24"	"6.02"	"5.22"	"5.31"	"4.98"	"3.67"	"2.93"
"1984"	"2.87"	"3.56"	"5.62"	"7"	"7.93"	"7.14"	"5.89"	"5.12"	"5.06"	"4.91"	"3.7"	"2.81"
"1985"	"2.92"	"3.99"	"5.63"	"6.8"	"7.78"	"7.08"	"5.85"	"5.1"	"5.36"	"4.98"	"3.9"	"3.03"
"1986"	"2.97"	"3.74"	"5.34"	"6.97"	"7.68"	"7.25"	"5.92"	"5.06"	"5.29"	"5.13"	"3.82"	"2.82"
"1987"	"3.14"	"3.96"	"5.44"	"6.87"	"7.38"	"7.29"	"5.98"	"5.45"	"5.36"	"5.17"	"3.97"	"2.96"
"1988"	"3.12"	"4.04"	"5.34"	"7.18"	"7.99"	"7.27"	"5.87"	"5.15"	"5.35"	"5.14"	"3.85"	"3.06"
"1989"	"2.9"	"3.72"	"5.49"	"6.89"	"7.7"	"7.11"	"5.95"	"5.16"	"5.3"	"5.11"	"3.87"	"2.94"
"1990"	"3.15"	"3.79"	"5.23"	"6.92"	"7.77"	"7.13"	"5.91"	"5.18"	"5.26"	"5"	"3.82"	"2.95"
