
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.457"	"6.811"	"8.873"	"11.573"	"17.405"	"26.907"	"29.72"	"27.863"	"25.254"	"15.018"	"9.124"	"8.4"
"1902"	"7.467"	"8.148"	"10.131"	"12.358"	"17.153"	"23.802"	"29.774"	"30.71"	"24.141"	"13.592"	"8.964"	"7.551"
"1903"	"6.876"	"7.57"	"7.686"	"10.712"	"16.986"	"26.982"	"29.847"	"27.782"	"25.765"	"13.616"	"8.313"	"7.149"
"1904"	"6.932"	"7.582"	"8.342"	"11.571"	"16.98"	"24.707"	"27.725"	"27.857"	"25.016"	"13.624"	"9.249"	"7.813"
"1905"	"6.232"	"5.647"	"7.145"	"10.572"	"19.449"	"24.687"	"29.347"	"29.7"	"25.461"	"13.915"	"9.667"	"7.759"
"1906"	"6.458"	"6.707"	"7.825"	"10.834"	"18.105"	"24.6"	"28.99"	"28.506"	"24.09"	"13.603"	"9.502"	"8.08"
"1907"	"7.947"	"7.215"	"8.155"	"10.759"	"15.934"	"24.753"	"31.051"	"27.788"	"23.894"	"13.592"	"9.117"	"7.22"
"1908"	"6.947"	"7.641"	"8.338"	"11.402"	"16.98"	"25.043"	"26.391"	"26.511"	"23.453"	"12.702"	"8.408"	"7.174"
"1909"	"6.516"	"7.376"	"9.007"	"10.789"	"16.004"	"24.688"	"26.058"	"26.5"	"22.705"	"13.286"	"9.513"	"7.146"
"1910"	"6.994"	"7.627"	"8.873"	"10.143"	"16.98"	"24.742"	"26.624"	"27.788"	"24.268"	"13.429"	"7.984"	"7.25"
"1911"	"6.841"	"7.605"	"7.647"	"10.692"	"17.123"	"24.645"	"29.614"	"29.219"	"24.243"	"13.688"	"7.862"	"7.813"
"1912"	"7.483"	"7.736"	"8.292"	"11.63"	"17.496"	"26.347"	"27.761"	"27.781"	"24.155"	"13.609"	"8.383"	"7.716"
"1913"	"7.131"	"7.707"	"7.623"	"11.563"	"16.98"	"24.006"	"27.61"	"27.788"	"23.989"	"13.96"	"8.835"	"7.386"
"1914"	"7.816"	"7.234"	"8.306"	"11.036"	"18.256"	"24.673"	"27.582"	"27.767"	"24.17"	"13.326"	"9.176"	"7.149"
"1915"	"7.013"	"7.117"	"8.857"	"11.045"	"17.561"	"26.258"	"29.96"	"29.549"	"27.47"	"14.588"	"8.964"	"7.813"
