
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1"	"0.0067"	"0.1507"	"0.0123"	"1.0035"	"1.1611"	"5.0714"	"3.8192"	"0.4797"	"1.0769"	"0"	"0.9979"
"1902"	"0.0246"	"0"	"0"	"0.0094"	"1.0257"	"2.5369"	"2.8483"	"5.0138"	"2.2829"	"0.6933"	"0.0615"	"0"
"1903"	"0.4401"	"0.0286"	"1.1006"	"0"	"1.0402"	"0.8525"	"7.1718"	"4.8563"	"3.2487"	"0.034"	"0"	"0.4549"
"1904"	"0.8712"	"1.0171"	"1.2233"	"0.4217"	"0.9929"	"1.923"	"2.4793"	"2.8074"	"2.1515"	"1.1264"	"0.6844"	"1"
"1905"	"1"	"1.0441"	"0.4148"	"1.0602"	"0.0689"	"1.1676"	"3.1928"	"0.9277"	"2.0585"	"0"	"0"	"0.6212"
"1906"	"0"	"1.149"	"1.1934"	"0"	"0.6963"	"1.9224"	"4.9479"	"4.6075"	"3.182"	"0.0808"	"0"	"1"
"1907"	"0.8345"	"1.0584"	"1.0158"	"1.1057"	"1.01"	"1.834"	"4.1262"	"6.2263"	"0.539"	"0"	"0.0123"	"0"
"1908"	"1"	"0.0121"	"0"	"0.814"	"1.01"	"1.0911"	"7.8502"	"7.7952"	"4.0282"	"0"	"0.9106"	"0"
"1909"	"1"	"0.641"	"0"	"1.0701"	"0.1177"	"1.9501"	"7.6944"	"4.6144"	"4.3085"	"0.0054"	"0"	"1"
"1910"	"0.9842"	"0.535"	"0"	"1.0649"	"0.0693"	"3.485"	"4.5928"	"6.8"	"1.2339"	"0.7352"	"0.0184"	"0"
"1911"	"0.9859"	"0"	"1.2373"	"0.7075"	"0.0067"	"1.8532"	"1.0458"	"1.9412"	"2.4961"	"0.6713"	"0.9988"	"0"
"1912"	"0.3058"	"0.013"	"0.1179"	"1.0577"	"0.9349"	"2.1449"	"5.1478"	"6.0922"	"1.3862"	"1.1096"	"0.9871"	"0"
"1913"	"0"	"0.9161"	"0.7416"	"0.7137"	"1.0711"	"2.1994"	"4.7962"	"3.9197"	"3.2638"	"0"	"0.6662"	"0.8277"
"1914"	"0.6473"	"1.0489"	"0.8563"	"1.069"	"0.5721"	"3.3912"	"5.0701"	"3.7237"	"2.8061"	"1.1131"	"0.9975"	"0"
"1915"	"1"	"1.0414"	"1.1212"	"0.9523"	"0.0677"	"1.2459"	"2.7658"	"2.048"	"1.2634"	"1.274"	"0"	"0"
"1916"	"0.0731"	"0.115"	"0.2903"	"0.8413"	"1.4179"	"2.1889"	"5.0867"	"8.4543"	"3.498"	"1.1594"	"0.0553"	"0"
