
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.599"	"17.511"	"24.934"	"29.816"	"34.791"	"36.774"	"32.655"	"28.749"	"30.064"	"29.25"	"22.51"	"17.993"
"1902"	"17.67"	"19.906"	"27.185"	"31.246"	"34.908"	"34.861"	"30.553"	"30.384"	"28.649"	"27.155"	"21.461"	"16.425"
"1903"	"16.37"	"18.114"	"23.559"	"28.76"	"33.484"	"36.93"	"32.316"	"28.824"	"29.187"	"26.589"	"20.589"	"15.944"
"1904"	"16.146"	"18.986"	"23.987"	"31.298"	"34.118"	"34.746"	"28.903"	"27.751"	"28.746"	"27.095"	"21.292"	"16.998"
"1905"	"14.803"	"14.086"	"21.591"	"27.937"	"35.62"	"36.679"	"31.375"	"29.835"	"30.842"	"28.435"	"23.721"	"17.49"
"1906"	"15.468"	"17.062"	"22.995"	"30.103"	"36.539"	"34.406"	"30.235"	"29.633"	"28.227"	"27.287"	"22.582"	"17.606"
"1907"	"17.92"	"17.35"	"22.491"	"28.32"	"32.783"	"35.604"	"33.331"	"28.354"	"29.63"	"27.941"	"22.259"	"15.844"
"1908"	"15.78"	"18.939"	"23.878"	"31.143"	"34.34"	"35.695"	"28.823"	"27.905"	"28.525"	"26.638"	"21.317"	"16.146"
"1909"	"15.904"	"18.147"	"25.311"	"28.269"	"33.335"	"33.557"	"28.899"	"28.274"	"28.277"	"27.263"	"23.065"	"16.071"
"1910"	"15.52"	"19.065"	"24.637"	"29.186"	"34.632"	"33.397"	"30.058"	"29.052"	"28.796"	"25.688"	"20.71"	"16.805"
"1911"	"18.075"	"19.225"	"22.61"	"29.984"	"35.879"	"34.971"	"32.413"	"30.343"	"28.18"	"27.878"	"20.27"	"16.928"
"1912"	"17.207"	"20.096"	"23.79"	"30.47"	"35.038"	"36.644"	"31.017"	"28.844"	"27.907"	"27.089"	"20.665"	"16.674"
"1913"	"16.748"	"18.762"	"22.591"	"31.499"	"32.963"	"33.131"	"30.528"	"30.093"	"30.573"	"28.87"	"21.884"	"16.973"
"1914"	"18.294"	"18.813"	"24.064"	"30.865"	"35.163"	"34.115"	"30.094"	"28.953"	"29.509"	"26.866"	"22.799"	"16.257"
"1915"	"16.173"	"16.834"	"24.195"	"29.853"	"36.104"	"35.858"	"33.065"	"30.032"	"31.35"	"29.068"	"22.067"	"17.831"
"1916"	"17.254"	"18.246"	"26.938"	"31.62"	"34.352"	"33.142"	"31.083"	"28.325"	"28.761"	"26.092"	"19.714"	"15.828"
"1917"	"16.999"	"18.928"	"24.018"	"27.45"	"30.914"	"33.107"	"28.968"	"27.973"	"27.597"	"25.154"	"18.731"	"16.665"
"1918"	"15.201"	"19.113"	"24.208"	"28.112"	"35.879"	"34.472"	"32.964"	"30.702"	"29.929"	"28.09"	"21.989"	"15.797"
"1919"	"16.32"	"17.842"	"25.039"	"29.435"	"33.784"	"35.988"	"29.445"	"28.155"	"28.477"	"26.742"	"21.194"	"16.097"
"1920"	"16.251"	"18.395"	"24.969"	"29.688"	"31.288"	"33.075"	"28.969"	"29.122"	"30.857"	"28.892"	"23.14"	"17.44"
"1921"	"17.113"	"19.514"	"27.262"	"32.585"	"36.322"	"35.927"	"33.054"	"28.683"	"27.74"	"26.669"	"21.717"	"18.72"
"1922"	"16.026"	"20.234"	"25.715"	"30.968"	"34.629"	"34.119"	"30.344"	"28.209"	"27.949"	"26.639"	"21.316"	"16.529"
"1923"	"16.146"	"18.265"	"25.058"	"30.791"	"33.733"	"37.092"	"30.909"	"27.893"	"28.817"	"26.388"	"21.314"	"16.774"
"1924"	"15.177"	"18.516"	"25.939"	"30.873"	"32.18"	"36.113"	"30.394"	"28.396"	"27.949"	"25.658"	"20.555"	"16.598"
"1925"	"14.297"	"16.562"	"24.592"	"32.022"	"33.587"	"31.302"	"28.346"	"30.065"	"30.575"	"28.258"	"21.125"	"16.782"
"1926"	"16.708"	"20.652"	"23.286"	"27.087"	"32.432"	"36.526"	"31.044"	"28.652"	"27.745"	"26.097"	"19.29"	"15.549"
"1927"	"14.069"	"16.811"	"22.966"	"29.237"	"33.455"	"35.046"	"30.07"	"28.053"	"28.372"	"27.039"	"20.125"	"17.411"
"1928"	"15.814"	"18.986"	"24.882"	"29.872"	"35.422"	"34.872"	"30.536"	"30.142"	"29.693"	"27.629"	"22.38"	"16.245"
"1929"	"15.642"	"17.114"	"26.259"	"30.865"	"35.009"	"34.953"	"29.924"	"28.429"	"30.001"	"27.55"	"22.546"	"16.05"
"1930"	"16.08"	"18.619"	"25.615"	"29.793"	"33.877"	"34.432"	"29.007"	"28.761"	"30.273"	"28.131"	"21.269"	"17.03"
"1931"	"17.897"	"17.439"	"23.962"	"31.567"	"34.759"	"36.184"	"31.199"	"29.173"	"28.656"	"26.091"	"21.341"	"17.453"
"1932"	"19.2"	"18.244"	"24.834"	"29.559"	"33.764"	"36.017"	"31.268"	"28.61"	"29.544"	"27.426"	"20.562"	"16.804"
"1933"	"14.374"	"19.065"	"24.68"	"28.336"	"31.707"	"33.667"	"29.727"	"28.026"	"27.594"	"25.896"	"21.142"	"16.822"
"1934"	"14.823"	"19.751"	"23.285"	"29.798"	"33.74"	"33.75"	"29.795"	"28.181"	"28.369"	"25.176"	"20.701"	"17.526"
"1935"	"14.293"	"19.013"	"24.278"	"27.286"	"34.485"	"35.869"	"29.866"	"28.294"	"28.393"	"25.809"	"21.963"	"16.59"
"1936"	"14.54"	"18.731"	"23.979"	"29.432"	"36.003"	"32.687"	"29.472"	"28.501"	"28.604"	"26.794"	"21.648"	"16.746"
"1937"	"15.3"	"19.513"	"22.756"	"29.018"	"34.434"	"35.671"	"29.81"	"29.717"	"29.258"	"26.719"	"22.193"	"15.69"
"1938"	"15.664"	"17.314"	"26.21"	"31.059"	"36.152"	"32.278"	"30.532"	"29.426"	"30.555"	"28.123"	"20.51"	"16.752"
"1939"	"17.477"	"18.664"	"22.031"	"28.503"	"35.097"	"33.6"	"30.19"	"31.136"	"29.206"	"28.121"	"21.501"	"17.103"
"1940"	"16.462"	"18.372"	"23.07"	"28.813"	"35.06"	"35.22"	"31.321"	"28.246"	"28.816"	"27.318"	"22.767"	"16.8"
"1941"	"15.652"	"19.692"	"26.711"	"32.187"	"35.432"	"34.51"	"32.19"	"30.149"	"30.267"	"30.126"	"22.626"	"18.648"
"1942"	"14.849"	"19.837"	"26.187"	"31.994"	"35.325"	"36.172"	"29.165"	"28.002"	"27.962"	"26.891"	"22.348"	"16.014"
"1943"	"16.761"	"18.842"	"25.509"	"29.097"	"34.656"	"34.151"	"29.892"	"27.882"	"28.746"	"26.719"	"22.432"	"18.026"
"1944"	"15.7"	"18.461"	"23.358"	"29.138"	"35.118"	"33.57"	"29.457"	"28.939"	"29.001"	"25.912"	"22.007"	"18.089"
"1945"	"14.222"	"18.242"	"25.534"	"29.262"	"33.993"	"35.088"	"29.93"	"29.122"	"28.269"	"26.088"	"21.411"	"15.465"
"1946"	"16.668"	"20.582"	"24.203"	"32.21"	"34.756"	"34.268"	"30.064"	"28.421"	"28.85"	"27.638"	"21.107"	"17.265"
"1947"	"14.848"	"19.415"	"25.86"	"31.208"	"35.309"	"36.026"	"31.068"	"29.305"	"28.093"	"25.572"	"22.611"	"17.373"
"1948"	"16.094"	"18.158"	"23.742"	"31.514"	"36.055"	"36.145"	"30.747"	"28.776"	"28.62"	"27.812"	"21.166"	"17.449"
"1949"	"18.154"	"19.566"	"25.331"	"31.845"	"36.211"	"35.268"	"30.399"	"28.989"	"29.19"	"27.073"	"20.57"	"16.481"
"1950"	"17.553"	"17.389"	"23.565"	"29.038"	"35.002"	"35.367"	"30.038"	"28.429"	"28.305"	"26.586"	"20.584"	"15.649"
"1951"	"15.346"	"18.31"	"24.181"	"28.042"	"34.127"	"34.332"	"32.002"	"29.08"	"29.482"	"30.302"	"23.492"	"17.249"
"1952"	"17.819"	"20.964"	"24.684"	"32.062"	"36.174"	"33.799"	"29.718"	"28.03"	"29.73"	"27.586"	"22.066"	"17.673"
"1953"	"15.207"	"20.378"	"27.601"	"31.694"	"35.839"	"35.591"	"30.877"	"28.734"	"29.136"	"27.236"	"21.532"	"19.729"
"1954"	"15.392"	"20.562"	"24.982"	"31.356"	"36.353"	"35.85"	"30.745"	"29.344"	"28.16"	"25.14"	"22.391"	"16.956"
"1955"	"16.098"	"19.13"	"26.468"	"28.563"	"34.153"	"35.267"	"31.102"	"28.658"	"28.946"	"25.804"	"20.885"	"17.512"
"1956"	"16.204"	"18.563"	"24.911"	"30.861"	"35.935"	"34.22"	"28.568"	"28.276"	"29.305"	"25.752"	"20.386"	"17.465"
"1957"	"15.495"	"17.318"	"23.066"	"29.188"	"33.467"	"34.416"	"30.033"	"29.455"	"27.998"	"27.093"	"23.145"	"17.792"
"1958"	"18.591"	"19.665"	"26.032"	"32.339"	"35.074"	"36.02"	"29.639"	"28.743"	"28.078"	"26.707"	"22.306"	"18.773"
"1959"	"16.066"	"18.539"	"25.967"	"30.589"	"34.074"	"35.185"	"29.6"	"28.454"	"28.625"	"27.504"	"22.005"	"18.363"
"1960"	"15.892"	"21.609"	"24.23"	"29.525"	"34.811"	"35.518"	"30.475"	"27.978"	"29.385"	"26.412"	"21.037"	"17.543"
"1961"	"15.685"	"17.284"	"25.108"	"29.987"	"34.708"	"34.194"	"30.378"	"28.307"	"28.724"	"26.008"	"21.224"	"15.188"
"1962"	"15.201"	"19.768"	"24.69"	"31.163"	"33.885"	"34.728"	"30.87"	"28.409"	"27.416"	"25.259"	"21.449"	"18.056"
"1963"	"15.861"	"21.522"	"25.324"	"30.257"	"34.222"	"34.781"	"31.855"	"28.026"	"28.274"	"28.04"	"24.472"	"17.534"
"1964"	"15.326"	"19.316"	"26.802"	"32.252"	"33.459"	"33.689"	"29.944"	"29.377"	"28.37"	"27.37"	"21.022"	"17.77"
"1965"	"18.354"	"19.402"	"24.695"	"29.419"	"34.063"	"36.292"	"30.899"	"29.882"	"28.787"	"28.048"	"23.503"	"17.131"
"1966"	"17.455"	"22.275"	"25.096"	"31.095"	"34.844"	"33.559"	"32.317"	"28.299"	"28.896"	"28.223"	"22.735"	"16.671"
"1967"	"15.078"	"21.257"	"23.528"	"29.323"	"34.058"	"34.445"	"30.138"	"27.365"	"27.408"	"26.831"	"22.391"	"18.148"
"1968"	"15.583"	"17.694"	"24.457"	"29.64"	"33.397"	"35.414"	"29.506"	"28.441"	"30.001"	"26.904"	"22.213"	"17.645"
"1969"	"16.615"	"19.83"	"27.259"	"30.882"	"33.221"	"36.238"	"30.254"	"28.526"	"28.295"	"28.727"	"23.691"	"17.958"
"1970"	"17.107"	"18.364"	"24.206"	"31.4"	"34.881"	"33.383"	"31.317"	"29.101"	"28.47"	"27.337"	"21.686"	"17.75"
"1971"	"15.082"	"18.963"	"24.61"	"31.244"	"33.139"	"31.434"	"28.379"	"27.735"	"28.239"	"26.607"	"21.236"	"17.151"
"1972"	"16.101"	"16.707"	"25.307"	"29.762"	"35.811"	"35.226"	"32.145"	"28.181"	"28.045"	"26.867"	"22.324"	"17.729"
"1973"	"15.783"	"20.159"	"24.359"	"32.946"	"36.257"	"35.323"	"30.192"	"28.233"	"28.573"	"26.671"	"21.244"	"15.874"
"1974"	"15.211"	"17.618"	"26.365"	"32.051"	"34.148"	"34.402"	"29.538"	"28.794"	"30.039"	"27.303"	"21.218"	"16.094"
"1975"	"14.538"	"17.758"	"24.06"	"31.663"	"35.832"	"33.202"	"29.555"	"28.259"	"27.628"	"26.629"	"20.332"	"17.93"
"1976"	"17.169"	"19.555"	"24.36"	"30.072"	"33.957"	"32.559"	"30.234"	"28.033"	"28.202"	"27.535"	"22.894"	"17.027"
"1977"	"15.273"	"19.417"	"26.615"	"29.871"	"32.496"	"33.064"	"27.952"	"28.229"	"26.929"	"27.199"	"23.517"	"18.641"
"1978"	"15.742"	"17.739"	"22.642"	"30.138"	"36.559"	"33.855"	"28.437"	"27.184"	"27.839"	"27.141"	"22.518"	"17.026"
"1979"	"16.845"	"17.415"	"22.759"	"29.349"	"30.358"	"33.177"	"29.006"	"28.478"	"29.13"	"28.32"	"23.884"	"17.942"
"1980"	"15.868"	"20.619"	"24.176"	"30.979"	"33.875"	"31.851"	"28.203"	"27.959"	"29.116"	"28.62"	"22.315"	"17.074"
"1981"	"16.466"	"19.897"	"24.315"	"30.482"	"33.257"	"34.214"	"28.311"	"27.978"	"29.581"	"27.463"	"21.015"	"16.622"
"1982"	"16.446"	"17.454"	"22.065"	"29.113"	"31.153"	"34.213"	"31.399"	"28.087"	"29.155"	"27.829"	"21.933"	"17.626"
"1983"	"15.214"	"17.535"	"23.752"	"27.139"	"32.376"	"33.433"	"30.149"	"28.68"	"28.835"	"26.082"	"20.084"	"16.942"
"1984"	"15.338"	"16.459"	"25.901"	"30.894"	"36.817"	"34.649"	"30.032"	"28.28"	"27.601"	"26.06"	"21.093"	"17.389"
"1985"	"15.782"	"19.62"	"26.609"	"31.056"	"35.456"	"35.003"	"29.931"	"28.276"	"28.224"	"24.768"	"21.897"	"18.283"
"1986"	"15.893"	"17.83"	"24.51"	"30.746"	"33.147"	"34.181"	"29.252"	"29.117"	"29.784"	"27.587"	"23.232"	"16.396"
"1987"	"16.77"	"20.342"	"25.588"	"31.387"	"32.009"	"35.639"	"33.148"	"30.881"	"30.658"	"28.46"	"22.195"	"17.054"
"1988"	"16.897"	"20.694"	"25.136"	"31.719"	"36.94"	"33.81"	"29.352"	"28.601"	"29.968"	"26.963"	"21.939"	"18.074"
"1989"	"15.09"	"18.64"	"24.263"	"29.594"	"35.063"	"33.409"	"30.202"	"28.773"	"29.055"	"27.564"	"21.952"	"16.928"
"1990"	"17.995"	"18.684"	"23.406"	"30.769"	"34.115"	"34.313"	"29.102"	"28.664"	"28.053"	"26.659"	"22.289"	"17.423"
"1991"	"15.751"	"19.715"	"25.063"	"29.497"	"34.866"	"35.481"	"31.837"	"28.708"	"28.925"	"26.615"	"21.367"	"17.314"
"1992"	"16.245"	"17.976"	"24.556"	"30.192"	"33.587"	"36.386"	"30.602"	"28.673"	"27.783"	"26.684"	"21.843"	"18.201"
"1993"	"16.44"	"20.038"	"23.294"	"30.098"	"35.529"	"34.229"	"30.309"	"30.154"	"28.045"	"27.692"	"23.088"	"17.463"
"1994"	"17.859"	"18.787"	"26.294"	"29.049"	"35.413"	"34.699"	"28.943"	"28.146"	"27.977"	"26.738"	"22.044"	"17.574"
"1995"	"15.113"	"18.994"	"23.356"	"30.115"	"35.263"	"36.368"	"30.669"	"28.174"	"29.239"	"28.116"	"22.045"	"17.997"
"1996"	"15.977"	"19.059"	"25.905"	"30.379"	"33.96"	"33.303"	"29.978"	"27.806"	"28.512"	"26.704"	"21.443"	"16.135"
"1997"	"15.604"	"18.97"	"24.691"	"28.591"	"32.072"	"32.603"	"30.422"	"28.761"	"28.983"	"25.172"	"21.665"	"15.287"
"1998"	"15.908"	"19.518"	"23.019"	"30.872"	"35.608"	"34.733"	"30.474"	"29.666"	"29.504"	"27.69"	"22.8"	"18.225"
"1999"	"16.048"	"19.64"	"25.687"	"32.501"	"34.962"	"33.906"	"30.693"	"29.455"	"28.656"	"27.286"	"23.378"	"17.633"
"2000"	"17.211"	"17.918"	"24.387"	"32.446"	"34.707"	"33.491"	"29.474"	"29.659"	"29.439"	"28.137"	"23.897"	"18.538"
"2001"	"16.103"	"20.037"	"25.239"	"30.314"	"34.007"	"31.973"	"29.386"	"29.808"	"30.445"	"28.464"	"23.243"	"18.828"
"2002"	"16.63"	"19.13"	"25.708"	"32.346"	"35.74"	"34.712"	"32.598"	"29.433"	"28.807"	"27.983"	"23.176"	"19.49"
