
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.545"	"16.194"	"27.778"	"23.801"	"26.591"	"46.528"	"66.192"	"65.071"	"44.679"	"18.737"	"11.3"	"15.326"
"1902"	"20.619"	"16.195"	"27.825"	"23.801"	"26.591"	"46.5"	"66.237"	"64.947"	"44.392"	"18.737"	"11.3"	"15.326"
"1903"	"20.619"	"16.195"	"27.825"	"23.801"	"26.513"	"46.53"	"66.237"	"65.395"	"44.679"	"18.309"	"11.3"	"15.326"
"1904"	"20.619"	"16.195"	"27.825"	"23.801"	"26.591"	"46.528"	"65.69"	"65.171"	"44.679"	"18.737"	"11.3"	"15.326"
"1905"	"20.619"	"16.195"	"27.825"	"23.801"	"26.591"	"46.528"	"66.237"	"65.395"	"44.679"	"18.737"	"11.3"	"15.326"
"1906"	"20.619"	"16.195"	"27.746"	"23.801"	"26.591"	"46.528"	"66.237"	"65.349"	"44.679"	"18.209"	"11.3"	"15.326"
"1907"	"20.619"	"16.195"	"27.825"	"23.801"	"26.591"	"46.621"	"66.184"	"65.395"	"44.679"	"19.356"	"12.025"	"15.373"
"1908"	"20.619"	"16.195"	"27.825"	"23.754"	"26.591"	"46.553"	"66.237"	"65.046"	"44.679"	"18.737"	"11.3"	"15.326"
"1909"	"20.413"	"16.195"	"27.825"	"23.801"	"26.212"	"46.628"	"66.237"	"64.992"	"44.252"	"18.737"	"11.3"	"15.326"
"1910"	"20.619"	"16.195"	"27.825"	"23.801"	"26.538"	"46.528"	"66.336"	"65.046"	"44.679"	"18.737"	"11.3"	"15.326"
"1911"	"20.619"	"16.195"	"27.825"	"23.801"	"26.591"	"46.53"	"66.237"	"65.298"	"44.679"	"18.737"	"11.096"	"15.326"
"1912"	"20.619"	"16.195"	"27.645"	"23.352"	"26.591"	"46.528"	"65.433"	"65.092"	"44.252"	"18.545"	"10.896"	"15.326"
"1913"	"20.619"	"16.195"	"27.825"	"23.801"	"26.069"	"46.428"	"66.093"	"65.349"	"44.283"	"18.737"	"11.3"	"15.326"
"1914"	"20.619"	"16.195"	"27.702"	"23.799"	"26.212"	"46.253"	"65.44"	"65.299"	"44.051"	"18.24"	"11.379"	"15.326"
"1915"	"20.619"	"16.245"	"27.346"	"23.801"	"25.789"	"46.081"	"65.789"	"64.745"	"43.948"	"18.24"	"10.928"	"15.326"
