
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1902"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1903"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1904"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1905"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1906"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1907"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1908"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1909"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1910"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1911"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1912"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1913"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1914"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.726"	"15.404"
"1915"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1916"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.657"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1917"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1918"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1919"	"14.958"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1920"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1921"	"14.877"	"15.273"	"15.973"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1922"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.507"	"15.781"	"15.404"
"1923"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1924"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1925"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1926"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1927"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1928"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.406"
"1929"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1930"	"14.877"	"15.12"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1931"	"14.877"	"15.207"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1932"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.194"	"9.894"	"14.428"	"15.781"	"15.404"
"1933"	"15.125"	"15.12"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1934"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1935"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1936"	"14.877"	"15.602"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1937"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.526"
"1938"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1939"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1940"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1941"	"14.877"	"15.273"	"16.073"	"15.363"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1942"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1943"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1944"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.677"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1945"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1946"	"14.976"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1947"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12.111"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1948"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.271"	"9.894"	"14.428"	"15.781"	"15.404"
"1949"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.995"	"14.428"	"15.781"	"15.404"
"1950"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1951"	"15.073"	"15.273"	"15.952"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1952"	"14.754"	"15.273"	"16.073"	"15.463"	"14.455"	"12"	"8.554"	"7.371"	"9.894"	"15.13"	"15.68"	"15.404"
"1953"	"14.877"	"15.273"	"16.073"	"15.136"	"14.332"	"12"	"8.554"	"7.046"	"9.894"	"14.428"	"15.78"	"15.404"
"1954"	"14.922"	"15.248"	"16.073"	"15.531"	"14.232"	"11.975"	"8.554"	"6.723"	"9.894"	"14.534"	"15.826"	"15.404"
"1955"	"15.054"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.354"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1956"	"14.629"	"15.273"	"15.873"	"15.061"	"14.332"	"11.975"	"8.901"	"7.371"	"9.695"	"14.003"	"15.781"	"15.404"
"1957"	"14.877"	"15.273"	"16.073"	"15.394"	"14.332"	"12"	"8.554"	"6.723"	"9.894"	"14.428"	"16.258"	"15.404"
"1958"	"14.578"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.805"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1959"	"14.852"	"15.298"	"16.098"	"15.463"	"14.082"	"12.22"	"8.554"	"7.371"	"10.188"	"14.382"	"15.881"	"15.829"
"1960"	"14.922"	"15.273"	"16.073"	"15.336"	"14.631"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1961"	"14.852"	"14.628"	"15.148"	"15.161"	"13.631"	"12.319"	"8.154"	"7.024"	"9.525"	"13.41"	"14.861"	"15.204"
"1962"	"14.552"	"14.751"	"16.396"	"15.014"	"14.006"	"12"	"8.287"	"7.296"	"9.245"	"14.126"	"15.006"	"14.511"
"1963"	"16.17"	"15.842"	"15.649"	"14.713"	"14.184"	"11.953"	"8.578"	"6.972"	"9.601"	"14.081"	"14.833"	"16.075"
"1964"	"14.191"	"14.874"	"16.073"	"15.068"	"14.006"	"11.953"	"7.954"	"7.294"	"9.57"	"14.751"	"15.781"	"14.279"
"1965"	"15.173"	"14.628"	"15.873"	"15.068"	"13.163"	"11.806"	"8.407"	"7.123"	"9.773"	"14.079"	"15.432"	"15.404"
"1966"	"15.919"	"15.767"	"16.172"	"14.836"	"14.856"	"12.4"	"9.302"	"7.371"	"9.894"	"14.828"	"16.328"	"16.145"
"1967"	"15.746"	"16.266"	"16.398"	"15.463"	"14.68"	"12.647"	"9.003"	"7.025"	"10.311"	"14.572"	"16.048"	"15.404"
"1968"	"14.977"	"15.297"	"16.84"	"15.608"	"14.579"	"12.321"	"8.655"	"7.371"	"11.342"	"14.527"	"16.218"	"15.329"
"1969"	"14.877"	"14.952"	"17.634"	"15.213"	"14.378"	"12.089"	"8.9"	"7.552"	"9.626"	"14.527"	"15.97"	"16.468"
"1970"	"15.102"	"15.715"	"15.973"	"16.654"	"14.579"	"12.4"	"9.404"	"7.696"	"9.894"	"15.623"	"16.497"	"16.297"
"1971"	"15.402"	"15.521"	"16.197"	"15.887"	"14.082"	"11.806"	"8.107"	"7.739"	"11.142"	"14.828"	"16.305"	"16.898"
"1972"	"14.877"	"15.12"	"16.84"	"15.861"	"14.668"	"12.277"	"9.647"	"7.765"	"9.446"	"13.66"	"15.087"	"14.655"
"1973"	"13.252"	"15.421"	"16.12"	"16.53"	"14.831"	"12.476"	"8.854"	"7.271"	"9.919"	"14.327"	"16.329"	"15.514"
"1974"	"14.777"	"15.273"	"16.172"	"16.058"	"16.18"	"12"	"8.554"	"7.897"	"10.965"	"14.72"	"16.181"	"14.98"
"1975"	"14.777"	"15.321"	"15.453"	"15.662"	"14.879"	"12"	"8.655"	"7.669"	"8.894"	"15.028"	"16.228"	"15.798"
"1976"	"15.177"	"15.021"	"15.973"	"15.91"	"14.924"	"11.804"	"8.554"	"7.171"	"10.265"	"15.151"	"16.149"	"15.404"
"1977"	"14.229"	"15.813"	"17.089"	"15.361"	"14.232"	"11.076"	"8.255"	"7.225"	"9.525"	"14.575"	"16.206"	"14.829"
"1978"	"15.077"	"14.975"	"15.925"	"15.955"	"15.625"	"12.9"	"8.287"	"7.122"	"9.249"	"14.604"	"14.634"	"15.73"
"1979"	"14.976"	"14.952"	"14.701"	"15.26"	"14.184"	"12.22"	"8.256"	"8.164"	"9.994"	"14.428"	"15.481"	"15.086"
"1980"	"14.677"	"15.084"	"15.873"	"15.955"	"14.332"	"11.652"	"8.162"	"7.223"	"9.494"	"13.959"	"16.305"	"15.854"
"1981"	"14.23"	"15.321"	"16.073"	"15.81"	"13.985"	"12"	"8.409"	"7.449"	"9.894"	"15.073"	"15.112"	"15.63"
"1982"	"14.477"	"14.952"	"15.873"	"15.336"	"13.806"	"12"	"8.655"	"7.171"	"10.572"	"14.327"	"15.421"	"14.936"
"1983"	"14.477"	"15.273"	"16.073"	"14.762"	"13.882"	"11.252"	"8.753"	"7.42"	"9.694"	"14.202"	"16.006"	"15.63"
"1984"	"14.922"	"15.073"	"16.119"	"15.26"	"14.332"	"11.975"	"8.655"	"7.371"	"9.894"	"15.072"	"15.78"	"14.054"
"1985"	"14.629"	"16.644"	"15.704"	"15.463"	"14.332"	"11.604"	"8.309"	"7.147"	"9.803"	"14.326"	"15.826"	"15.404"
"1986"	"14.877"	"15.32"	"16.048"	"15.361"	"14.332"	"12"	"8.68"	"7.271"	"9.894"	"14.327"	"15.881"	"15.381"
"1987"	"16.102"	"15.423"	"16.073"	"15.312"	"13.631"	"12"	"7.906"	"7.371"	"10.24"	"14.028"	"17.249"	"15.329"
"1988"	"14.798"	"15.273"	"15.825"	"15.463"	"14.431"	"11.953"	"8.23"	"7.071"	"9.225"	"14.476"	"15.881"	"15.404"
"1989"	"14.509"	"14.484"	"16.028"	"15.496"	"13.763"	"11.583"	"8.753"	"7.271"	"9.894"	"14.327"	"15.535"	"15.182"
"1990"	"14.729"	"15.075"	"15.873"	"15.415"	"13.863"	"11.626"	"8.564"	"7.271"	"9.76"	"14.003"	"15.68"	"14.779"
"1991"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1992"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1993"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1994"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"1995"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.756"	"15.404"
"1996"	"14.877"	"15.273"	"15.905"	"15.463"	"14.332"	"12"	"8.554"	"7.246"	"9.894"	"14.428"	"15.712"	"15.404"
"1997"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.455"	"7.371"	"9.894"	"14.428"	"15.781"	"15.429"
"1998"	"14.852"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.649"	"14.428"	"15.829"	"15.404"
"1999"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.694"	"14.428"	"15.781"	"15.067"
"2000"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
"2001"	"14.798"	"15.183"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.569"	"14.428"	"15.711"	"15.404"
"2002"	"14.877"	"15.273"	"16.073"	"15.463"	"14.332"	"12"	"8.554"	"7.371"	"9.894"	"14.428"	"15.781"	"15.404"
