
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.9204"	"0.876"	"0.0283"	"0.1169"	"0"	"0"	"0"	"0"	"0"	"0"	"0.002"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.002"	"0.034"	"1.8641"
"1903"	"0.0379"	"0.4684"	"0.2003"	"0.1604"	"0"	"0"	"0"	"0"	"0"	"0.0365"	"0.1632"	"2.4303"
"1904"	"0.5649"	"0"	"0.1018"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0141"	"0.1019"	"0.904"
"1905"	"3.6708"	"1.449"	"0.3848"	"0.2377"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0271"
"1906"	"2.1053"	"0.8764"	"0.2946"	"0.051"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1907"	"0"	"0.8645"	"0.3042"	"0.2387"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6863"
"1908"	"0.9465"	"0.1035"	"0.1175"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0795"	"0.1039"	"2.7551"
"1909"	"1.8924"	"0.4493"	"0"	"0.2197"	"0"	"0"	"0"	"0"	"0"	"0.0243"	"0"	"2.5046"
"1910"	"1.5993"	"0.0722"	"0.0217"	"0.1488"	"0"	"0"	"0"	"0"	"0"	"0.2005"	"0.1437"	"1.1296"
"1911"	"0"	"0"	"0.273"	"0.0688"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1798"	"1.6473"
"1912"	"0"	"0"	"0.1579"	"0.0066"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1585"	"1.6126"
"1913"	"0.0376"	"0.0784"	"0.3113"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0303"	"1.0379"
"1914"	"0"	"0.296"	"0.1105"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0647"	"0"	"2.2332"
"1915"	"0.2113"	"0.8988"	"0.1155"	"0.0663"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0406"	"0.4393"
"1916"	"0"	"0.4683"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1645"	"0.2353"	"3.5196"
"1917"	"0"	"0.2003"	"0.1181"	"0.2843"	"0"	"0"	"0"	"0"	"0"	"0.2296"	"0.2788"	"0.972"
"1918"	"2.4401"	"0.0226"	"0.0973"	"0.2174"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0066"	"3.0809"
"1919"	"0.3794"	"0.6784"	"0"	"0.1235"	"0"	"0"	"0"	"0"	"0"	"0.0501"	"0.1069"	"2.5317"
"1920"	"0.4867"	"0.4539"	"0.0025"	"0.0845"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2248"
"1921"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.089"	"0.0695"	"0"
"1922"	"1.2336"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0937"	"0.0927"	"2.1306"
"1923"	"0.2112"	"0.4324"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1094"	"0.0931"	"1.051"
"1924"	"2.2169"	"0.2571"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1499"	"0.193"	"1.6111"
"1925"	"3.6819"	"1.0311"	"0.0615"	"0"	"0"	"0.0048"	"0"	"0"	"0"	"0"	"0.1686"	"1.29"
"1926"	"0.1078"	"0"	"0.2003"	"0.2864"	"0"	"0"	"0"	"0"	"0"	"0.1509"	"0.2829"	"3.0147"
"1927"	"3.9509"	"1.0224"	"0.2796"	"0.1433"	"0"	"0"	"0"	"0"	"0"	"0.0248"	"0.1859"	"0.2783"
"1928"	"1.5933"	"0"	"0"	"0.0638"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.1746"
"1929"	"1.4217"	"0.86"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0086"	"0"	"3.2445"
"1930"	"1.0729"	"0.3163"	"0"	"0.0795"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0957"	"0.9092"
"1931"	"0"	"0.7832"	"0.1039"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1296"	"0.1085"	"0"
"1932"	"0"	"0.3348"	"0.0182"	"0.089"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1843"	"0.7278"
"1933"	"3.7474"	"0"	"0.0025"	"0.2176"	"0"	"0"	"0"	"0"	"0"	"0.1711"	"0.0881"	"0.906"
"1934"	"3.2564"	"0"	"0.217"	"0.0572"	"0"	"0"	"0"	"0"	"0"	"0.2254"	"0.1677"	"0.3304"
"1935"	"4.0112"	"0"	"0.0635"	"0.2773"	"0"	"0"	"0"	"0"	"0"	"0.1632"	"0.0161"	"1.5539"
"1936"	"3.7013"	"0.1014"	"0.1105"	"0.1073"	"0"	"0"	"0"	"0"	"0"	"0.0916"	"0.0497"	"0.9625"
"1937"	"2.2111"	"0"	"0.2685"	"0.165"	"0"	"0"	"0"	"0"	"0"	"0.1003"	"0"	"3.1202"
"1938"	"1.4406"	"0.8337"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1889"	"1.2505"
"1939"	"0"	"0"	"0.3225"	"0.1923"	"0"	"0"	"0"	"0"	"0"	"0"	"0.089"	"0.9086"
"1940"	"0"	"0.238"	"0.278"	"0.1832"	"0"	"0"	"0"	"0"	"0"	"0.0111"	"0"	"1.1407"
"1941"	"1.8229"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1942"	"3.3809"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0435"	"0"	"2.3863"
"1943"	"0.0033"	"0.0996"	"0"	"0.1604"	"0"	"0"	"0"	"0"	"0"	"0.077"	"0"	"0"
"1944"	"1.7199"	"0.2911"	"0.211"	"0.1396"	"0"	"0"	"0"	"0"	"0"	"0.1632"	"0"	"0"
"1945"	"3.9274"	"0.481"	"0"	"0.1509"	"0"	"0"	"0"	"0"	"0"	"0.1296"	"0.1155"	"4.0687"
"1946"	"0.0004"	"0"	"0.1059"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0815"	"0.295"
"1947"	"2.8878"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2499"	"0.002"	"0.1384"
"1948"	"0.3896"	"0.4462"	"0.1608"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1019"	"0.0925"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0025"	"0.1848"	"2.3335"
"1950"	"0"	"0.8409"	"0.1812"	"0.1852"	"0"	"0"	"0"	"0"	"0"	"0.1094"	"0.1814"	"3.7453"
"1951"	"2.495"	"0.4737"	"0.1018"	"0.2362"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0888"
"1952"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0517"	"0.3118"
"1953"	"2.3744"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0086"	"0.0497"	"0"
"1954"	"2.0485"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2499"	"0"	"1.1554"
"1955"	"0.9688"	"0.0492"	"0"	"0.231"	"0"	"0"	"0"	"0"	"0"	"0.1661"	"0.154"	"0.4844"
"1956"	"0.3512"	"0.1587"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1823"	"0.2021"	"0.0777"
"1957"	"1.5766"	"0.7501"	"0.2504"	"0.1235"	"0"	"0"	"0"	"0"	"0"	"0.0232"	"0"	"0.1463"
"1958"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1039"	"0"	"0"
"1959"	"0.2413"	"0.276"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0422"	"0"
"1960"	"1.2862"	"0"	"0.0752"	"0.1317"	"0"	"0"	"0"	"0"	"0"	"0.0978"	"0.1433"	"0.1447"
"1961"	"1.3835"	"0.7127"	"0"	"0.0633"	"0"	"0"	"0"	"0"	"0"	"0.0554"	"0.0522"	"3.6673"
"1962"	"2.8889"	"0"	"0.0394"	"0"	"0"	"0"	"0"	"0"	"0"	"0.251"	"0.0041"	"0"
"1963"	"2.8516"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.5379"
"1964"	"2.4811"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.1478"	"0"
"1965"	"0"	"0"	"0.0091"	"0.1169"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.0101"
"1966"	"0.2143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.5642"
"1967"	"3.0399"	"0"	"0.1953"	"0.116"	"0"	"0"	"0"	"0.0067"	"0"	"0.0717"	"0.0025"	"0"
"1968"	"1.8003"	"0.8569"	"0.0823"	"0.1048"	"0"	"0"	"0"	"0"	"0"	"0.0476"	"0.0324"	"0.1323"
"1969"	"0.2292"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.0822"
"1970"	"0.0401"	"0.4208"	"0.0957"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0667"	"0.6413"
"1971"	"2.4559"	"0.009"	"0.0278"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0.0654"	"0.0906"	"1.2072"
"1972"	"0.8858"	"1.043"	"0"	"0.1107"	"0"	"0"	"0"	"0"	"0"	"0.0259"	"0"	"0"
"1973"	"0.0038"	"0"	"0.0378"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0715"	"0.123"	"3.303"
"1974"	"2.205"	"0.6063"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0161"	"0.084"	"2.8639"
"1975"	"3.2072"	"0.5312"	"0.1166"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0699"	"0.1773"	"0.0275"
"1976"	"0"	"0"	"0.0221"	"0.0845"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.905"
"1977"	"1.2022"	"0.2171"	"0"	"0.0683"	"0"	"0"	"0"	"0"	"0.0023"	"0"	"0"	"0"
"1978"	"1.7099"	"0.6153"	"0.3295"	"0.0517"	"0"	"0"	"0"	"0"	"0"	"0.0232"	"0"	"0.6954"
"1979"	"0.0032"	"0.6363"	"0.1898"	"0.1075"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1980"	"1.2487"	"0"	"0.0615"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0166"	"1.1969"
"1981"	"0.2064"	"0"	"0.1064"	"0.0086"	"0"	"0"	"0"	"0"	"0"	"0.0211"	"0.1362"	"1.5683"
"1982"	"0.0021"	"0.7212"	"0.3295"	"0.1777"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0406"	"0"
"1983"	"2.8347"	"0.6125"	"0.1696"	"0.2752"	"0"	"0"	"0"	"0"	"0"	"0.1251"	"0.198"	"1.2939"
"1984"	"2.3959"	"1.0154"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1761"	"0.1255"	"0.583"
"1985"	"1.147"	"0.0566"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2722"	"0.0141"	"0.0157"
"1986"	"1.2961"	"0.502"	"0.005"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0075"	"0"	"2.643"
"1987"	"1.2405"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.7623"
"1988"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0394"	"0.0431"	"0"
"1989"	"2.7195"	"0.1909"	"0.0802"	"0.0921"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"1.051"
"1990"	"0"	"0.2006"	"0.217"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0278"	"0"	"0.0223"
"1991"	"1.4799"	"0"	"0.01"	"0.1007"	"0"	"0"	"0"	"0"	"0"	"0.0378"	"0.0886"	"0.5305"
"1992"	"0.7922"	"0.4619"	"0"	"0.0324"	"0"	"0"	"0"	"0"	"0"	"0.0683"	"0.0476"	"0"
"1993"	"0.1232"	"0"	"0.2447"	"0.0365"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1994"	"0"	"0.1261"	"0"	"0.1802"	"0"	"0"	"0"	"0"	"0"	"0.0581"	"0.0041"	"0.6605"
"1995"	"2.1239"	"0.0791"	"0.1716"	"0.0617"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1996"	"0.7318"	"0.0176"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0435"	"0.0779"	"2.1859"
"1997"	"1.8832"	"0.1552"	"0.0387"	"0.224"	"0"	"0"	"0"	"0"	"0"	"0.2437"	"0.0572"	"3.4789"
"1998"	"1.6465"	"0"	"0.219"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1999"	"1.2623"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2164"
"2000"	"0"	"0.4131"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2001"	"1.2095"	"0"	"0"	"0.036"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"
"2002"	"0.0353"	"0.0327"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
