
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.198"	"9.889"	"16.914"	"22.078"	"27.653"	"30.775"	"28.4"	"25.1"	"25.115"	"22.047"	"14.631"	"10.29"
"1902"	"10.269"	"12.285"	"19.133"	"23.553"	"27.77"	"28.862"	"26.3"	"26.737"	"23.678"	"19.951"	"13.582"	"8.745"
"1903"	"8.967"	"10.46"	"15.539"	"21.046"	"26.346"	"30.929"	"28.062"	"25.153"	"24.239"	"19.386"	"12.71"	"8.265"
"1904"	"8.743"	"11.365"	"15.968"	"23.585"	"26.949"	"28.744"	"24.649"	"24.084"	"23.796"	"19.89"	"13.414"	"9.296"
"1905"	"7.348"	"6.464"	"13.538"	"20.244"	"28.45"	"30.679"	"27.099"	"26.187"	"25.896"	"21.23"	"15.84"	"9.788"
"1906"	"8.036"	"9.411"	"14.973"	"22.409"	"29.4"	"28.407"	"25.982"	"25.985"	"23.278"	"20.083"	"14.704"	"9.904"
"1907"	"10.518"	"9.728"	"14.472"	"20.585"	"25.62"	"29.606"	"29.076"	"24.705"	"24.681"	"20.739"	"14.379"	"8.164"
"1908"	"8.359"	"11.319"	"15.859"	"23.449"	"27.202"	"29.697"	"24.568"	"24.225"	"23.576"	"19.435"	"13.439"	"8.444"
"1909"	"8.481"	"10.527"	"17.26"	"20.554"	"26.172"	"27.557"	"24.646"	"24.626"	"23.354"	"20.061"	"15.185"	"8.371"
"1910"	"8.119"	"11.414"	"16.585"	"21.473"	"27.494"	"27.396"	"25.778"	"25.383"	"23.874"	"18.483"	"12.831"	"9.123"
"1911"	"10.674"	"11.604"	"14.59"	"22.29"	"28.743"	"28.971"	"28.158"	"26.672"	"23.208"	"20.675"	"12.39"	"9.247"
"1912"	"9.805"	"12.445"	"15.768"	"22.775"	"27.901"	"30.642"	"26.763"	"25.197"	"22.986"	"19.884"	"12.785"	"8.972"
"1913"	"9.346"	"11.142"	"14.538"	"23.782"	"25.795"	"27.131"	"26.272"	"26.445"	"25.625"	"21.667"	"14.005"	"9.271"
"1914"	"10.894"	"11.192"	"16.044"	"23.127"	"28.024"	"28.115"	"25.841"	"25.283"	"24.561"	"19.663"	"14.974"	"8.577"
