
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.84"	"5.63"	"6.95"	"8.16"	"8.69"	"8.22"	"6.7"	"5.69"	"6.19"	"6.92"	"6.13"	"5.14"
"1902"	"5"	"5.8"	"7.09"	"8.28"	"8.79"	"8.23"	"6.52"	"5.74"	"6.25"	"6.82"	"6.05"	"5.05"
"1903"	"4.92"	"5.75"	"6.91"	"8.11"	"8.61"	"8.21"	"6.69"	"5.7"	"6.24"	"6.84"	"6.01"	"5.01"
"1904"	"4.87"	"5.79"	"6.9"	"8.21"	"8.77"	"8.25"	"6.52"	"5.59"	"6.17"	"6.82"	"6.03"	"5.12"
"1905"	"4.92"	"5.46"	"6.71"	"7.94"	"8.66"	"8.28"	"6.61"	"5.66"	"6.27"	"6.88"	"6.19"	"5.19"
"1906"	"4.91"	"5.66"	"6.82"	"8.06"	"8.8"	"8.26"	"6.51"	"5.7"	"6.2"	"6.79"	"6.1"	"5.12"
"1907"	"5.07"	"5.74"	"6.83"	"8.07"	"8.62"	"8.12"	"6.7"	"5.7"	"6.2"	"6.86"	"6.13"	"5.05"
"1908"	"4.85"	"5.77"	"6.89"	"8.21"	"8.74"	"8.29"	"6.53"	"5.6"	"6.18"	"6.8"	"6.05"	"5.05"
"1909"	"4.9"	"5.68"	"7.03"	"8.13"	"8.7"	"8.18"	"6.44"	"5.61"	"6.16"	"6.77"	"6.14"	"5.09"
"1910"	"4.83"	"5.77"	"6.99"	"8.12"	"8.77"	"8.17"	"6.49"	"5.66"	"6.24"	"6.78"	"5.98"	"5.01"
"1911"	"5"	"5.88"	"6.84"	"8.07"	"8.78"	"8.21"	"6.59"	"5.79"	"6.21"	"6.87"	"6"	"5.03"
"1912"	"4.95"	"5.89"	"6.93"	"8.15"	"8.71"	"8.27"	"6.64"	"5.71"	"6.17"	"6.83"	"6.01"	"5.03"
"1913"	"4.94"	"5.81"	"6.79"	"8.21"	"8.78"	"8.11"	"6.47"	"5.66"	"6.26"	"6.93"	"6.11"	"5.05"
"1914"	"5.04"	"5.82"	"6.91"	"8.17"	"8.81"	"8.22"	"6.53"	"5.65"	"6.24"	"6.81"	"6.12"	"5.07"
"1915"	"4.93"	"5.63"	"6.9"	"8.11"	"8.76"	"8.23"	"6.66"	"5.72"	"6.3"	"6.97"	"6.11"	"5.14"
"1916"	"5"	"5.68"	"7.03"	"8.3"	"8.84"	"8.13"	"6.61"	"5.66"	"6.21"	"6.83"	"5.94"	"4.97"
"1917"	"4.94"	"5.81"	"7"	"8.13"	"8.59"	"8.1"	"6.47"	"5.64"	"6.2"	"6.77"	"5.84"	"5.02"
"1918"	"4.83"	"5.77"	"6.99"	"8.01"	"8.75"	"8.17"	"6.6"	"5.77"	"6.27"	"6.9"	"6.12"	"5.01"
"1919"	"4.91"	"5.68"	"6.97"	"8.18"	"8.68"	"8.26"	"6.56"	"5.62"	"6.19"	"6.83"	"6.06"	"5.01"
"1920"	"4.9"	"5.72"	"6.97"	"8.25"	"8.65"	"8.1"	"6.41"	"5.6"	"6.25"	"6.93"	"6.17"	"5.14"
"1921"	"4.96"	"5.76"	"7.05"	"8.31"	"8.84"	"8.25"	"6.71"	"5.76"	"6.17"	"6.79"	"6.01"	"5.21"
"1922"	"4.9"	"5.82"	"7.03"	"8.24"	"8.79"	"8.21"	"6.54"	"5.66"	"6.17"	"6.8"	"6.03"	"5.07"
"1923"	"4.9"	"5.72"	"6.94"	"8.23"	"8.68"	"8.25"	"6.66"	"5.65"	"6.2"	"6.81"	"6.03"	"5.11"
"1924"	"4.86"	"5.69"	"7.01"	"8.3"	"8.66"	"8.19"	"6.6"	"5.67"	"6.19"	"6.77"	"5.98"	"5.1"
"1925"	"4.83"	"5.57"	"6.87"	"8.29"	"8.88"	"8.1"	"6.32"	"5.61"	"6.28"	"6.93"	"6.07"	"5.07"
"1926"	"4.9"	"5.91"	"6.99"	"8.01"	"8.54"	"8.21"	"6.64"	"5.7"	"6.19"	"6.83"	"5.93"	"5"
"1927"	"4.78"	"5.6"	"6.83"	"8.11"	"8.68"	"8.21"	"6.56"	"5.64"	"6.17"	"6.86"	"5.95"	"5.09"
"1928"	"4.89"	"5.76"	"6.98"	"8.14"	"8.76"	"8.25"	"6.53"	"5.69"	"6.26"	"6.85"	"6.13"	"5.08"
"1929"	"4.9"	"5.59"	"6.99"	"8.25"	"8.79"	"8.25"	"6.54"	"5.61"	"6.22"	"6.86"	"6.14"	"5.04"
"1930"	"4.89"	"5.71"	"7.04"	"8.21"	"8.73"	"8.21"	"6.46"	"5.58"	"6.22"	"6.91"	"6.07"	"5.04"
"1931"	"5.12"	"5.68"	"6.94"	"8.37"	"8.86"	"8.47"	"6.7"	"5.74"	"6.29"	"6.73"	"6.19"	"5.17"
"1932"	"5.19"	"5.91"	"7.04"	"8.31"	"8.76"	"8.31"	"6.69"	"5.61"	"6.36"	"7.08"	"6.22"	"5.18"
"1933"	"4.85"	"5.77"	"7.1"	"8.18"	"8.58"	"8.16"	"6.54"	"5.58"	"6.1"	"6.81"	"6.14"	"5.18"
"1934"	"4.83"	"5.98"	"6.93"	"8.31"	"8.84"	"8.25"	"6.53"	"5.65"	"6.35"	"7.04"	"6"	"5.14"
"1935"	"4.78"	"5.64"	"7.13"	"7.97"	"8.75"	"8.61"	"6.66"	"5.7"	"6.32"	"6.91"	"6.17"	"5.16"
"1936"	"4.95"	"5.78"	"6.99"	"8.19"	"8.89"	"8.14"	"6.49"	"5.67"	"6.25"	"6.86"	"6.14"	"5.01"
