
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.887"	"4.702"	"1.665"	"0.479"	"7.168"	"24.828"	"201.355"	"233.167"	"14.789"	"10.59"	"0"	"5.427"
"1902"	"3.248"	"0"	"0.002"	"0.347"	"0.515"	"57.007"	"295.36"	"146.266"	"97.526"	"4.859"	"8.474"	"0.815"
"1903"	"2.117"	"0.936"	"2.017"	"0"	"6.615"	"6.061"	"273.441"	"285.879"	"85.79"	"10.662"	"0"	"0"
"1904"	"3.047"	"2.582"	"12.351"	"0"	"17.937"	"68.409"	"321.892"	"282.163"	"50.228"	"6.434"	"15.106"	"5.465"
"1905"	"9.49"	"12.132"	"3.313"	"2.185"	"4.256"	"21.315"	"203.53"	"23.767"	"90.47"	"0"	"0"	"0.685"
"1906"	"0.344"	"12.105"	"4.906"	"0"	"0.77"	"121.958"	"217.513"	"127.188"	"172.605"	"0.176"	"0"	"10.035"
"1907"	"9.98"	"31.794"	"1.637"	"16.938"	"7.974"	"20.324"	"129.069"	"411.547"	"2.847"	"0"	"0.526"	"0"
"1908"	"16.501"	"0"	"0.143"	"0.992"	"6.556"	"41.546"	"585.784"	"400.332"	"121.512"	"3.552"	"1.548"	"0.685"
"1909"	"17.666"	"1.551"	"0"	"9.822"	"16.369"	"55.813"	"448.379"	"161.995"	"168.709"	"0"	"0"	"8.986"
"1910"	"5.546"	"1.483"	"0.001"	"3.868"	"4.111"	"77.293"	"174.776"	"255.17"	"99.532"	"10.671"	"0.911"	"0"
"1911"	"11.295"	"0"	"5.963"	"0"	"0"	"35.05"	"54.707"	"95.56"	"197.555"	"0.32"	"73.767"	"4.188"
"1912"	"11.206"	"0.936"	"2.617"	"0.601"	"0.77"	"32.939"	"291.036"	"273.087"	"117.11"	"6.954"	"27.206"	"1.371"
"1913"	"0"	"18.122"	"0.65"	"0"	"17.453"	"62.272"	"170.742"	"69.302"	"61.616"	"0"	"0"	"3.371"
"1914"	"0"	"3.394"	"0.482"	"5.798"	"25.371"	"98.69"	"392.842"	"166.222"	"171.792"	"6.607"	"10.742"	"0.62"
"1915"	"8.156"	"12.419"	"20.671"	"2.402"	"5.604"	"49.811"	"184.513"	"130.213"	"54.046"	"29.767"	"0.155"	"0.544"
"1916"	"0"	"5.006"	"0"	"0.71"	"11.889"	"64.021"	"306.86"	"369.392"	"137.118"	"11.356"	"2.83"	"0"
"1917"	"1.245"	"9.054"	"3.833"	"13.731"	"47.629"	"85.746"	"421.986"	"383.146"	"254.539"	"34.64"	"0"	"7.13"
"1918"	"8.134"	"0"	"2.475"	"0"	"13.432"	"27.553"	"76.683"	"143.465"	"38.046"	"0"	"3.947"	"0"
"1919"	"17.716"	"0"	"0.619"	"12.08"	"4.079"	"36.693"	"286.69"	"366.596"	"64.408"	"6.593"	"14.113"	"3.504"
"1920"	"5.916"	"9.766"	"2.781"	"0"	"13.344"	"105.057"	"307.605"	"70.799"	"50.783"	"0"	"0"	"0"
"1921"	"13.995"	"0"	"0"	"0.347"	"0"	"44.258"	"166.95"	"130.18"	"214.501"	"0"	"0"	"0"
"1922"	"7.61"	"1.402"	"0.154"	"1.058"	"0.335"	"60.708"	"255.834"	"167.77"	"194.266"	"1.194"	"5.363"	"17.852"
"1923"	"1.115"	"7.544"	"0.931"	"0.852"	"2.668"	"3.325"	"312.89"	"269.327"	"166.753"	"2.114"	"0"	"3.359"
"1924"	"6.484"	"6.109"	"0.002"	"0"	"9.015"	"20.448"	"216.945"	"217.093"	"217.456"	"12.525"	"1.664"	"19.184"
"1925"	"0"	"0"	"0"	"0"	"23.433"	"137.736"	"498.41"	"95.131"	"24.969"	"0.32"	"65.612"	"0.104"
"1926"	"27.524"	"3.286"	"17.016"	"6.29"	"22.344"	"22.331"	"248.274"	"357.102"	"156.8"	"0"	"2.626"	"0"
"1927"	"0"	"12.096"	"0.694"	"1.058"	"5.404"	"25.63"	"293.695"	"365.545"	"91.515"	"8.076"	"39.946"	"7.318"
"1928"	"2.571"	"17.776"	"0.256"	"0"	"2.071"	"23.151"	"251.529"	"156.457"	"86.025"	"46.427"	"22.255"	"20.126"
"1929"	"1.461"	"3.945"	"0"	"8.208"	"0.637"	"63.095"	"206.755"	"143.709"	"17.579"	"3.97"	"0"	"7.118"
"1930"	"6.099"	"3.108"	"0"	"1.183"	"12.704"	"115.224"	"416.189"	"183.991"	"43.223"	"15.584"	"0.353"	"0"
"1931"	"0"	"2.446"	"0.096"	"0.347"	"2.049"	"34.581"	"187.989"	"351.748"	"180.221"	"48.042"	"0.353"	"0"
