
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.65"	"3.5"	"5.27"	"6.64"	"7.63"	"7.45"	"5.74"	"4.66"	"4.96"	"4.91"	"3.63"	"2.82"
"1902"	"2.9"	"3.74"	"5.56"	"6.84"	"7.64"	"7.19"	"5.51"	"4.82"	"4.81"	"4.7"	"3.53"	"2.69"
"1903"	"2.8"	"3.56"	"5.09"	"6.48"	"7.44"	"7.46"	"5.71"	"4.67"	"4.86"	"4.64"	"3.45"	"2.65"
"1904"	"2.77"	"3.65"	"5.15"	"6.85"	"7.53"	"7.17"	"5.33"	"4.57"	"4.82"	"4.69"	"3.52"	"2.74"
"1905"	"2.67"	"3.15"	"4.86"	"6.37"	"7.76"	"7.44"	"5.61"	"4.76"	"5.04"	"4.84"	"3.73"	"2.78"
"1906"	"2.73"	"3.45"	"5.02"	"6.66"	"7.88"	"7.12"	"5.48"	"4.75"	"4.76"	"4.71"	"3.64"	"2.78"
"1907"	"2.92"	"3.47"	"4.96"	"6.42"	"7.35"	"7.28"	"5.83"	"4.62"	"4.9"	"4.78"	"3.6"	"2.65"
"1908"	"2.76"	"3.62"	"5.14"	"6.82"	"7.56"	"7.3"	"5.32"	"4.59"	"4.79"	"4.65"	"3.52"	"2.68"
"1909"	"2.76"	"3.55"	"5.32"	"6.41"	"7.43"	"7.01"	"5.33"	"4.61"	"4.75"	"4.71"	"3.68"	"2.67"
"1910"	"2.72"	"3.67"	"5.25"	"6.55"	"7.6"	"6.99"	"5.46"	"4.7"	"4.81"	"4.55"	"3.46"	"2.73"
"1911"	"2.93"	"3.67"	"4.97"	"6.66"	"7.77"	"7.21"	"5.71"	"4.81"	"4.76"	"4.78"	"3.42"	"2.74"
"1912"	"2.86"	"3.76"	"5.12"	"6.73"	"7.66"	"7.42"	"5.56"	"4.66"	"4.73"	"4.7"	"3.46"	"2.71"
"1913"	"2.82"	"3.62"	"4.98"	"6.87"	"7.37"	"6.95"	"5.51"	"4.79"	"5.01"	"4.88"	"3.56"	"2.74"
"1914"	"2.96"	"3.62"	"5.16"	"6.79"	"7.68"	"7.08"	"5.46"	"4.68"	"4.89"	"4.67"	"3.64"	"2.68"
"1915"	"2.77"	"3.42"	"5.18"	"6.63"	"7.81"	"7.33"	"5.79"	"4.78"	"5.09"	"4.9"	"3.59"	"2.8"
"1916"	"2.86"	"3.56"	"5.51"	"6.88"	"7.56"	"6.95"	"5.63"	"4.62"	"4.81"	"4.59"	"3.37"	"2.65"
"1917"	"2.85"	"3.63"	"5.15"	"6.31"	"7.08"	"6.95"	"5.34"	"4.6"	"4.7"	"4.49"	"3.29"	"2.71"
"1918"	"2.71"	"3.67"	"5.2"	"6.39"	"7.77"	"7.14"	"5.79"	"4.85"	"4.94"	"4.8"	"3.57"	"2.65"
"1919"	"2.8"	"3.53"	"5.28"	"6.57"	"7.48"	"7.34"	"5.38"	"4.6"	"4.79"	"4.65"	"3.5"	"2.67"
"1920"	"2.79"	"3.58"	"5.27"	"6.62"	"7.12"	"6.95"	"5.34"	"4.7"	"5.04"	"4.88"	"3.69"	"2.77"
"1921"	"2.86"	"3.7"	"5.55"	"7.03"	"7.85"	"7.33"	"5.8"	"4.65"	"4.71"	"4.65"	"3.56"	"2.87"
"1922"	"2.77"	"3.77"	"5.37"	"6.8"	"7.6"	"7.09"	"5.48"	"4.6"	"4.73"	"4.67"	"3.52"	"2.7"
"1923"	"2.77"	"3.57"	"5.28"	"6.78"	"7.48"	"7.48"	"5.55"	"4.57"	"4.81"	"4.62"	"3.53"	"2.72"
"1924"	"2.71"	"3.59"	"5.39"	"6.78"	"7.26"	"7.36"	"5.5"	"4.62"	"4.73"	"4.55"	"3.45"	"2.71"
"1925"	"2.63"	"3.4"	"5.24"	"6.95"	"7.47"	"6.7"	"5.26"	"4.78"	"5.01"	"4.82"	"3.5"	"2.73"
"1926"	"2.82"	"3.81"	"5.06"	"6.26"	"7.28"	"7.41"	"5.57"	"4.65"	"4.72"	"4.6"	"3.33"	"2.61"
"1927"	"2.62"	"3.41"	"5.02"	"6.55"	"7.45"	"7.21"	"5.46"	"4.59"	"4.78"	"4.7"	"3.4"	"2.78"
"1928"	"2.75"	"3.65"	"5.27"	"6.64"	"7.72"	"7.2"	"5.52"	"4.81"	"4.91"	"4.75"	"3.61"	"2.68"
"1929"	"2.74"	"3.45"	"5.44"	"6.79"	"7.66"	"7.2"	"5.44"	"4.62"	"4.94"	"4.75"	"3.63"	"2.67"
"1930"	"2.77"	"3.58"	"5.36"	"6.62"	"7.49"	"7.13"	"5.35"	"4.66"	"4.98"	"4.8"	"3.51"	"2.76"
"1931"	"2.91"	"3.48"	"5.15"	"6.88"	"7.63"	"7.36"	"5.59"	"4.7"	"4.82"	"4.6"	"3.52"	"2.78"
"1932"	"3.03"	"3.57"	"5.26"	"6.59"	"7.47"	"7.35"	"5.6"	"4.59"	"4.91"	"4.73"	"3.45"	"2.73"
"1933"	"2.66"	"3.64"	"5.24"	"6.43"	"7.19"	"7.02"	"5.42"	"4.59"	"4.7"	"4.56"	"3.51"	"2.73"
"1934"	"2.67"	"3.72"	"5.06"	"6.63"	"7.47"	"7.03"	"5.41"	"4.6"	"4.78"	"4.5"	"3.46"	"2.78"
"1935"	"2.62"	"3.65"	"5.2"	"6.28"	"7.58"	"7.33"	"5.42"	"4.63"	"4.77"	"4.56"	"3.58"	"2.71"
"1936"	"2.66"	"3.65"	"5.14"	"6.58"	"7.8"	"6.89"	"5.39"	"4.63"	"4.81"	"4.65"	"3.55"	"2.72"
"1937"	"2.72"	"3.7"	"5"	"6.51"	"7.58"	"7.3"	"5.42"	"4.76"	"4.87"	"4.65"	"3.6"	"2.64"
"1938"	"2.74"	"3.47"	"5.43"	"6.81"	"7.82"	"6.84"	"5.51"	"4.72"	"5"	"4.81"	"3.45"	"2.72"
