
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.204"	"8.009"	"8.186"	"8.793"	"14.241"	"27.15"	"32.653"	"28.806"	"26.652"	"16.248"	"10.005"	"10.066"
"1902"	"9.381"	"9.035"	"9.455"	"9.297"	"14.156"	"24.616"	"29.206"	"30.427"	"25.232"	"14.397"	"9.462"	"9.152"
"1903"	"8.754"	"8.289"	"7.852"	"8.442"	"13.723"	"27.17"	"32.518"	"28.687"	"26.189"	"14.294"	"9.333"	"8.764"
"1904"	"8.68"	"8.608"	"7.832"	"8.995"	"13.808"	"24.504"	"27.503"	"28.664"	"25.427"	"14.397"	"9.41"	"9.412"
"1905"	"8.028"	"6.284"	"6.863"	"7.818"	"14.763"	"26.25"	"30.478"	"30.135"	"28.294"	"15.151"	"10.411"	"9.412"
"1906"	"8.647"	"7.654"	"7.787"	"8.762"	"15.907"	"24.055"	"29.257"	"30.543"	"24.474"	"14.3"	"10.005"	"9.412"
"1907"	"9.435"	"8.01"	"7.414"	"7.897"	"13.061"	"25.554"	"34.326"	"28.694"	"26.535"	"14.501"	"10.038"	"8.81"
"1908"	"8.66"	"8.66"	"7.934"	"9.075"	"13.808"	"25.73"	"27.821"	"28.387"	"25.232"	"14.342"	"9.261"	"9.114"
"1909"	"8.584"	"8.162"	"8.617"	"7.843"	"13.352"	"23.341"	"27.334"	"28.355"	"25.122"	"14.397"	"9.803"	"8.711"
"1910"	"8.732"	"8.608"	"8.186"	"8.487"	"13.808"	"23.486"	"29.257"	"28.663"	"25.232"	"13.644"	"9.2"	"9.32"
"1911"	"9.454"	"8.608"	"7.186"	"9.044"	"14.906"	"23.389"	"32.191"	"31.318"	"25.331"	"14.397"	"8.913"	"9.412"
"1912"	"9.383"	"9.164"	"7.835"	"9.097"	"14.311"	"27.201"	"30.328"	"28.663"	"25.277"	"14.397"	"9.109"	"9.215"
"1913"	"8.734"	"8.608"	"7.161"	"9.173"	"13.161"	"22.581"	"29.174"	"30.312"	"27.789"	"15.37"	"10.005"	"9.172"
"1914"	"9.835"	"8.463"	"8.011"	"8.818"	"14.569"	"24.103"	"29.065"	"28.663"	"25.257"	"14.396"	"10.005"	"8.83"
"1915"	"8.68"	"7.591"	"7.986"	"9.097"	"15.856"	"25.504"	"34.153"	"30.787"	"28.16"	"15.397"	"9.98"	"9.412"
"1916"	"9.383"	"8.132"	"9.19"	"9.412"	"13.808"	"22.934"	"29.205"	"28.663"	"25.232"	"13.563"	"8.66"	"8.764"
"1917"	"8.758"	"8.608"	"8.032"	"7.274"	"11.633"	"23.22"	"27.918"	"28.663"	"24.32"	"13.019"	"8.262"	"9.412"
"1918"	"8.281"	"8.608"	"8.186"	"7.948"	"14.852"	"24.055"	"34.37"	"32.265"	"26.604"	"14.495"	"10.005"	"8.785"
"1919"	"8.732"	"8.01"	"8.287"	"8.442"	"13.808"	"26.737"	"29.033"	"28.663"	"25.233"	"14.246"	"9.286"	"8.81"
"1920"	"8.733"	"8.591"	"8.186"	"8.79"	"11.801"	"23.191"	"27.671"	"30.08"	"28.631"	"15.417"	"10.005"	"9.268"
"1921"	"8.925"	"8.608"	"9.664"	"10.268"	"15.894"	"25.227"	"32.933"	"28.663"	"25.392"	"14.397"	"9.562"	"10.086"
"1922"	"8.732"	"9.23"	"8.379"	"9.075"	"14.151"	"24.103"	"29.332"	"28.663"	"25.331"	"14.397"	"9.61"	"8.9"
"1923"	"8.68"	"8.416"	"8.186"	"9.044"	"13.808"	"27.736"	"30.352"	"28.74"	"25.299"	"14.046"	"9.353"	"9.411"
"1924"	"8.187"	"8.608"	"8.886"	"9.043"	"12.217"	"25.625"	"29.159"	"28.663"	"25.021"	"13.66"	"9.355"	"9.283"
"1925"	"7.681"	"7.442"	"8.287"	"9.717"	"13.655"	"20.308"	"27.478"	"30.589"	"26.787"	"15.372"	"9.393"	"9.274"
"1926"	"8.779"	"9.164"	"7.72"	"7.474"	"13.054"	"27.152"	"30.693"	"28.663"	"25.331"	"13.369"	"8.454"	"8.711"
"1927"	"7.535"	"7.609"	"7.688"	"8.442"	"13.808"	"25.108"	"29.034"	"28.74"	"25.252"	"14.397"	"9.355"	"9.412"
"1928"	"8.779"	"8.608"	"8.186"	"9.043"	"14.711"	"24.055"	"29.234"	"30.652"	"26.622"	"14.422"	"10.005"	"9.285"
"1929"	"8.779"	"7.909"	"8.935"	"9.097"	"14.372"	"24.102"	"29.11"	"28.663"	"26.398"	"14.345"	"10.061"	"8.756"
"1930"	"8.707"	"8.639"	"8.287"	"8.52"	"13.808"	"24.103"	"27.38"	"28.663"	"26.862"	"14.46"	"9.287"	"9.364"
"1931"	"9.435"	"7.962"	"8.07"	"9.642"	"13.808"	"26.056"	"30.955"	"29.759"	"25.331"	"13.619"	"9.261"	"9.391"
"1932"	"10.484"	"8.164"	"8.134"	"8.79"	"13.807"	"25.665"	"30.216"	"28.663"	"26.554"	"14.397"	"9.308"	"9.29"
"1933"	"7.939"	"8.608"	"8.186"	"7.775"	"12.13"	"24.055"	"29.257"	"28.614"	"25.232"	"13.668"	"9.261"	"9.412"
"1934"	"8.18"	"8.709"	"7.787"	"9.044"	"13.808"	"24.08"	"29.085"	"28.663"	"25.09"	"12.802"	"9.282"	"9.288"
"1935"	"8.107"	"8.608"	"8.032"	"7.217"	"13.952"	"25.503"	"29.164"	"28.694"	"25.409"	"13.497"	"10.005"	"8.921"
"1936"	"8.18"	"8.364"	"7.687"	"8.462"	"15.856"	"22.339"	"29.009"	"28.718"	"25.432"	"14.397"	"9.778"	"9.234"
"1937"	"8.507"	"8.361"	"7.587"	"8.417"	"13.808"	"25.353"	"29.054"	"30.852"	"25.331"	"14.323"	"9.889"	"8.81"
"1938"	"8.631"	"7.936"	"8.886"	"9.465"	"15.542"	"21.908"	"29.961"	"30.314"	"27.767"	"15.331"	"9.308"	"9.274"
"1939"	"9.406"	"8.515"	"7.059"	"8.394"	"14.874"	"23.486"	"29.134"	"32.189"	"26.115"	"15.079"	"9.656"	"9.346"
"1940"	"8.913"	"8.384"	"7.638"	"8.417"	"14.441"	"24.103"	"30.454"	"28.663"	"25.33"	"14.604"	"10.005"	"9.16"
"1941"	"8.779"	"8.884"	"9.455"	"9.667"	"14.855"	"24.102"	"31.564"	"30.417"	"26.623"	"16.402"	"10.005"	"10.079"
"1942"	"8.136"	"8.708"	"8.98"	"9.742"	"14.681"	"25.625"	"29.03"	"28.663"	"24.948"	"14.397"	"10.005"	"8.81"
"1943"	"8.807"	"8.639"	"8.287"	"8.442"	"14.39"	"24.102"	"29.174"	"28.663"	"25.331"	"14.397"	"10.005"	"9.308"
"1944"	"8.583"	"8.264"	"7.787"	"8.343"	"14.862"	"24.103"	"28.842"	"29.799"	"25.331"	"13.689"	"10.005"	"10.111"
"1945"	"7.681"	"8.009"	"8.186"	"8.417"	"13.808"	"24.693"	"28.573"	"29.785"	"25.232"	"13.497"	"9.675"	"8.713"
"1946"	"8.779"	"9.23"	"7.932"	"10.09"	"13.808"	"24.103"	"29.11"	"28.537"	"25.996"	"14.397"	"9.727"	"9.431"
"1947"	"8.232"	"9.002"	"8.786"	"9.444"	"14.855"	"26.754"	"30.343"	"29.472"	"25.101"	"13.497"	"10.005"	"9.412"
"1948"	"8.779"	"8.333"	"7.938"	"9.722"	"15.647"	"27.122"	"29.034"	"28.663"	"25.282"	"14.397"	"9.261"	"9.166"
"1949"	"9.406"	"8.608"	"8.186"	"9.642"	"15.512"	"25.424"	"29.279"	"28.663"	"26.225"	"14.397"	"9.189"	"8.81"
"1950"	"9.1"	"7.886"	"7.762"	"8.442"	"13.808"	"25.387"	"29.033"	"28.663"	"25.331"	"14.191"	"9.254"	"8.661"
"1951"	"8.279"	"8.454"	"8.186"	"7.843"	"13.808"	"23.992"	"32.019"	"28.663"	"25.891"	"16.497"	"10.555"	"9.412"
"1952"	"9.326"	"9.306"	"8.139"	"9.642"	"15.58"	"23.34"	"29.085"	"28.663"	"26.513"	"14.397"	"10.005"	"9.412"
"1953"	"8.156"	"9.315"	"9.677"	"9.541"	"14.861"	"26.135"	"29.034"	"28.663"	"25.331"	"14.397"	"9.714"	"10.606"
"1954"	"8.629"	"9.208"	"8.186"	"9.391"	"15.804"	"25.157"	"29.151"	"29.677"	"25.051"	"13.1"	"10.005"	"9.411"
"1955"	"8.655"	"8.908"	"8.981"	"8.087"	"13.808"	"25.192"	"30.339"	"28.663"	"25.33"	"13.499"	"9.354"	"9.268"
