
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.5984"	"1.0657"	"1.2879"	"0.4797"	"0.9999"	"2.2383"	"9.4967"	"10.6818"	"1.1568"	"1.2004"	"0"	"1.0626"
"1902"	"1.0632"	"0"	"0.0021"	"0.3477"	"0.5163"	"4.0607"	"10.7437"	"8.1255"	"4.3257"	"1.1571"	"2.5191"	"0.7743"
"1903"	"1.0639"	"0.9043"	"1.201"	"0"	"1.2124"	"1.1306"	"10.1785"	"11.5026"	"4.546"	"1.4707"	"0"	"0"
"1904"	"1.0639"	"1.0657"	"1.5568"	"0"	"1.3415"	"3.9844"	"11.7431"	"10.0108"	"3.4173"	"1.2388"	"1.39"	"1.2457"
"1905"	"1.4504"	"1.3398"	"1.4834"	"1.1138"	"0.9999"	"2.0341"	"9.6965"	"3.7956"	"4.2865"	"0"	"0"	"0.6851"
"1906"	"0.345"	"1.4065"	"1.6313"	"0"	"0.768"	"4.9309"	"9.7048"	"7.3529"	"5.881"	"0.1758"	"0"	"1.0676"
"1907"	"1.0639"	"1.7119"	"1.2303"	"1.6306"	"1.0385"	"1.9277"	"7.6056"	"13.4726"	"0.9999"	"0"	"0.5269"	"0"
"1908"	"1.509"	"0"	"0.1435"	"0.9924"	"0.9999"	"2.877"	"16.1487"	"13.35"	"3.9956"	"1.0817"	"1.0512"	"0.6851"
"1909"	"1.0639"	"1.0657"	"0"	"1.5051"	"1.3932"	"4.2036"	"13.815"	"8.0564"	"5.2127"	"0"	"0"	"1.3585"
"1910"	"1.0795"	"1.0616"	"0.0014"	"1.1547"	"0.9999"	"4.3786"	"8.5257"	"10.4829"	"4.4222"	"1.4694"	"0.9065"	"0"
"1911"	"1.6304"	"0"	"1.8504"	"0"	"0"	"3.2455"	"5.4645"	"6.8436"	"6.1042"	"0.3206"	"2.7419"	"1.1002"
"1912"	"1.5559"	"0.9043"	"1.3341"	"0.6006"	"0.768"	"2.5854"	"11.43"	"11.1449"	"4.6483"	"1.2523"	"2.5985"	"1.0626"
"1913"	"0"	"1.7314"	"0.6452"	"0"	"1.6083"	"3.8994"	"8.0531"	"5.7421"	"3.1581"	"0"	"0"	"1.1303"
"1914"	"0"	"1.0657"	"0.38"	"1.3532"	"1.7088"	"4.6521"	"12.8488"	"8.6103"	"5.5192"	"1.0817"	"1.2373"	"0.6207"
"1915"	"1.0639"	"1.4978"	"2.7282"	"1.4355"	"0.9999"	"3.1313"	"8.8866"	"7.6807"	"3.5635"	"2.5187"	"0.1553"	"0.5439"
"1916"	"0"	"1.3161"	"0"	"0.7102"	"1.055"	"4.212"	"11.2269"	"13.5065"	"4.9155"	"1.752"	"1.2291"	"0"
"1917"	"1.0557"	"1.1778"	"1.5597"	"1.3926"	"2.4884"	"4.4948"	"12.539"	"13.5973"	"6.8629"	"2.6801"	"0"	"1.0626"
"1918"	"1.0639"	"0"	"1.23"	"0"	"1.0814"	"3.1574"	"5.6336"	"8.1159"	"2.2011"	"0"	"1.6609"	"0"
"1919"	"2.1749"	"0"	"0.619"	"1.1547"	"0.9999"	"2.5546"	"11.1828"	"12.8233"	"3.337"	"1.0817"	"1.5408"	"1.0626"
"1920"	"1.0639"	"1.0983"	"1.4111"	"0"	"1.419"	"5.2805"	"11.6998"	"5.7722"	"2.7469"	"0"	"0"	"0"
"1921"	"1.1901"	"0"	"0"	"0.3477"	"0"	"3.1565"	"8.6656"	"8.1233"	"5.8561"	"0"	"0"	"0"
"1922"	"1.4023"	"1.0655"	"0.1536"	"1.0577"	"0.3353"	"3.7299"	"10.4549"	"9.3252"	"6.0159"	"0.9616"	"1.6718"	"1.2432"
"1923"	"0.9533"	"1.4794"	"0.8885"	"0.8306"	"0.9999"	"0.9999"	"11.1679"	"11.5437"	"4.5926"	"1.0817"	"0"	"1.183"
"1924"	"1.6425"	"1.1012"	"0.0021"	"0"	"1.2136"	"2.2547"	"9.8437"	"9.7454"	"5.9877"	"1.4557"	"1.2298"	"1.2808"
"1925"	"0"	"0"	"0"	"0"	"1.4162"	"5.4261"	"14.8854"	"6.9979"	"1.6407"	"0.3206"	"2.2728"	"0.1035"
"1926"	"1.0639"	"1.0657"	"2.3975"	"1.3217"	"1.7236"	"2.1219"	"10.1211"	"12.5063"	"5.8347"	"0"	"1.2727"	"0"
"1927"	"0"	"1.2921"	"0.6419"	"1.0577"	"0.9999"	"2.1789"	"11.5125"	"12.6077"	"4.1566"	"1.4583"	"2.5477"	"1.0676"
"1928"	"1.1086"	"1.6115"	"0.2535"	"0"	"0.9999"	"2.2347"	"10.8091"	"8.5664"	"3.7569"	"3.0871"	"1.2701"	"1.376"
"1929"	"1.0479"	"1.0657"	"0"	"1.2991"	"0.6107"	"3.6906"	"9.7512"	"9.2926"	"1.9605"	"1.096"	"0"	"1.2632"
"1930"	"1.0692"	"1.1792"	"0"	"1.0237"	"1.2052"	"5.0273"	"12.708"	"8.8669"	"3.0837"	"1.8728"	"0.3539"	"0"
"1931"	"0"	"1.1521"	"0.0962"	"0.3477"	"0.9999"	"2.2872"	"8.9561"	"13.4256"	"5.8203"	"3.2201"	"0.3539"	"0"
"1932"	"0"	"1.0657"	"1.4486"	"1.1547"	"0.9999"	"2.5405"	"8.3586"	"12.8955"	"4.8205"	"0.9134"	"0"	"0"
"1933"	"0"	"1.1729"	"1.23"	"1.2376"	"1.8721"	"7.1516"	"7.6922"	"13.3262"	"6.2334"	"1.604"	"1.0001"	"1.0626"
"1934"	"1.3139"	"0"	"1.8613"	"0"	"0"	"5.4833"	"8.6872"	"12.4672"	"3.3954"	"0"	"1.851"	"1.2181"
"1935"	"1.39"	"1.2654"	"0.2742"	"1.3141"	"0.9999"	"2.432"	"12.9428"	"7.3412"	"4.8864"	"1.4604"	"0"	"1.1328"
"1936"	"0.2932"	"1.263"	"1.4766"	"0.6312"	"1.1677"	"7.1702"	"9.9397"	"10.4054"	"4.1471"	"0"	"2.2145"	"1.2256"
"1937"	"0"	"2.0701"	"0.1787"	"1.3587"	"0.9999"	"2.9095"	"9.4444"	"5.8336"	"5.0987"	"1.0817"	"1.2298"	"1.2356"
