
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.302"	"17.855"	"25.202"	"29.96"	"34.746"	"35.163"	"31.002"	"26.804"	"28.601"	"28.72"	"22.083"	"18.537"
"1902"	"18.098"	"20.273"	"27.73"	"31.487"	"34.626"	"33.995"	"29.387"	"28.911"	"27.153"	"26.379"	"20.879"	"16.962"
"1903"	"16.998"	"18.479"	"23.831"	"28.787"	"32.893"	"35.48"	"30.484"	"27.178"	"27.165"	"26.025"	"20.104"	"16.574"
"1904"	"16.847"	"19.254"	"24.08"	"31.564"	"34.059"	"32.695"	"27.497"	"26.342"	"27.739"	"26.67"	"21.267"	"17.603"
"1905"	"15.71"	"14.714"	"22.412"	"28.081"	"35.565"	"35.112"	"29.711"	"28.46"	"29.289"	"28.125"	"23.435"	"18.199"
"1906"	"15.856"	"17.652"	"23.917"	"30.478"	"36.012"	"32.906"	"28.296"	"28.293"	"26.621"	"26.254"	"22.109"	"18.106"
"1907"	"18.279"	"18.277"	"23.422"	"28.601"	"32.356"	"34.036"	"31.784"	"26.662"	"28.016"	"27.79"	"22.181"	"16.52"
"1908"	"16.561"	"19.526"	"24.052"	"31.342"	"34.146"	"33.831"	"27.266"	"26.43"	"27.057"	"26.245"	"21.183"	"16.822"
"1909"	"16.929"	"19.186"	"26.659"	"28.59"	"33.369"	"31.936"	"27.478"	"26.549"	"26.813"	"26.688"	"22.643"	"16.779"
"1910"	"16.332"	"19.772"	"25.173"	"29.386"	"34.103"	"30.683"	"27.94"	"27.366"	"27.168"	"25.068"	"20.185"	"17.725"
"1911"	"18.708"	"19.701"	"23.089"	"30.006"	"35.207"	"32.355"	"30.823"	"28.938"	"26.82"	"27.531"	"20.491"	"17.962"
"1912"	"18.077"	"20.998"	"24.474"	"30.686"	"34.616"	"34.852"	"29.121"	"26.89"	"26.735"	"26.528"	"20.278"	"17.24"
"1913"	"17.182"	"19.373"	"23.216"	"31.692"	"32.825"	"31.289"	"28.817"	"27.663"	"28.63"	"28.524"	"21.685"	"17.566"
"1914"	"18.783"	"19.473"	"24.363"	"30.448"	"34.617"	"31.971"	"28.255"	"27.447"	"28.089"	"26.811"	"22.975"	"17.278"
"1915"	"16.945"	"17.414"	"24.883"	"30.186"	"35.244"	"34.733"	"31.628"	"28.272"	"30.233"	"28.187"	"22.087"	"18.607"
"1916"	"17.96"	"18.952"	"27.363"	"31.605"	"33.922"	"30.76"	"29.859"	"26.841"	"27.614"	"25.601"	"19.645"	"16.663"
"1917"	"17.728"	"19.513"	"24.425"	"28.105"	"31.037"	"30.792"	"27.257"	"26.473"	"26.21"	"24.502"	"18.591"	"17.247"
"1918"	"15.36"	"19.89"	"24.85"	"28.407"	"35.122"	"32.341"	"30.589"	"28.357"	"28.275"	"27.813"	"22.07"	"16.381"
"1919"	"16.992"	"18.529"	"25.612"	"29.574"	"33.312"	"33.3"	"27.764"	"26.568"	"26.905"	"26.203"	"21.186"	"16.779"
"1920"	"17"	"19.161"	"25.597"	"29.81"	"30.898"	"31.388"	"27.236"	"26.993"	"29.149"	"28.351"	"22.764"	"18.262"
"1921"	"17.573"	"19.786"	"27.62"	"32.238"	"35.23"	"33.826"	"31.301"	"27.14"	"26.079"	"26.314"	"21.467"	"19.327"
"1922"	"16.332"	"20.855"	"26.09"	"30.986"	"34.052"	"32.415"	"28.43"	"26.814"	"26.54"	"26.165"	"21.105"	"17.122"
"1923"	"16.846"	"18.863"	"25.462"	"30.772"	"33.074"	"35.259"	"28.802"	"25.961"	"27.206"	"25.877"	"21.188"	"17.624"
"1924"	"16.059"	"19.549"	"26.671"	"31.306"	"32.101"	"33.814"	"28.845"	"26.796"	"26.447"	"24.936"	"19.917"	"17.107"
"1925"	"15.009"	"17.491"	"25.47"	"32.156"	"32.89"	"29.943"	"26.84"	"28.517"	"29.395"	"28.215"	"21.304"	"17.595"
"1926"	"17.623"	"21.678"	"23.755"	"26.925"	"32.121"	"35.002"	"29.256"	"27.094"	"26.272"	"25.61"	"18.889"	"15.943"
"1927"	"14.66"	"17.222"	"23.254"	"29.294"	"33.119"	"33.242"	"28.401"	"26.48"	"26.96"	"26.215"	"18.993"	"17.472"
"1928"	"16.293"	"19.379"	"25.125"	"29.903"	"34.419"	"33.037"	"28.323"	"27.601"	"27.64"	"26.522"	"21.718"	"16.534"
