
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.952"	"13.309"	"25.22"	"22.313"	"25.078"	"46.328"	"69.483"	"68.588"	"47.607"	"18.812"	"11.311"	"12.732"
"1902"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.636"	"69.423"	"68.782"	"47.607"	"18.826"	"11.311"	"12.732"
"1903"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.328"	"69.423"	"68.81"	"47.607"	"18.787"	"11.311"	"12.732"
"1904"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.328"	"69.387"	"68.765"	"47.607"	"18.826"	"11.311"	"12.732"
"1905"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.328"	"69.423"	"68.81"	"47.607"	"18.826"	"11.311"	"12.732"
"1906"	"16.952"	"13.342"	"25.208"	"22.313"	"25.078"	"46.328"	"69.423"	"68.81"	"47.607"	"18.661"	"11.311"	"12.732"
"1907"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.328"	"69.4"	"68.81"	"47.607"	"19.246"	"11.876"	"12.711"
"1908"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.329"	"69.423"	"68.784"	"47.607"	"18.826"	"11.311"	"12.732"
"1909"	"16.881"	"13.342"	"25.22"	"22.313"	"25.026"	"46.34"	"69.423"	"68.588"	"47.581"	"18.826"	"11.311"	"12.732"
"1910"	"16.952"	"13.342"	"25.22"	"22.313"	"24.961"	"46.328"	"69.682"	"68.763"	"47.607"	"18.826"	"11.311"	"12.732"
"1911"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.328"	"69.423"	"68.81"	"47.607"	"18.826"	"11.227"	"12.732"
"1912"	"16.952"	"13.342"	"25.208"	"21.991"	"25.078"	"46.328"	"68.748"	"68.681"	"47.49"	"18.826"	"11.068"	"12.732"
"1913"	"16.952"	"13.342"	"25.22"	"22.313"	"24.558"	"46.281"	"69.6"	"68.81"	"47.56"	"18.826"	"11.311"	"12.732"
"1914"	"16.952"	"13.342"	"25.198"	"22.313"	"24.818"	"46.05"	"69.206"	"68.81"	"47.326"	"18.756"	"11.311"	"12.732"
"1915"	"16.952"	"13.342"	"24.845"	"22.313"	"24.419"	"46.273"	"69.235"	"68.251"	"47.211"	"18.787"	"11.125"	"12.732"
"1916"	"16.952"	"13.342"	"25.22"	"22.313"	"25.078"	"46.328"	"69.048"	"68.81"	"47.607"	"18.621"	"11.311"	"12.732"
"1917"	"16.881"	"13.078"	"25.22"	"21.783"	"24.391"	"46.05"	"68.762"	"68.436"	"47.56"	"18.826"	"11.299"	"12.732"
