
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1902"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1903"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1904"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1905"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1906"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1907"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1908"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1909"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1910"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1911"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1912"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1913"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1914"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.138"	"15.169"
"1915"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1916"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.262"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1917"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1918"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1919"	"15.097"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
"1920"	"15.021"	"15.578"	"16.086"	"15.18"	"13.915"	"11.673"	"8.117"	"6.731"	"9.306"	"13.93"	"15.317"	"15.169"
