
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.1835"	"0.8068"	"0.1245"	"0.3376"	"0"	"0"	"0"	"0.0436"	"0"	"0"	"0.0681"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0207"	"0.0774"	"0.3537"	"1.4736"
"1903"	"0"	"0.4788"	"0.8948"	"0.7685"	"0.1275"	"0"	"0"	"0"	"0"	"0.1576"	"0.8227"	"1.7302"
"1904"	"0.1572"	"0.0926"	"0.693"	"0"	"0.0006"	"0"	"0.1418"	"0.0842"	"0.0145"	"0.007"	"0.4266"	"0.4348"
"1905"	"2.2874"	"1.2273"	"1.3009"	"0.9485"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1436"
"1906"	"2.0865"	"0.7499"	"0.9807"	"0.0991"	"0"	"0"	"0.0228"	"0"	"0.164"	"0.0622"	"0"	"0"
"1907"	"0"	"0.6029"	"1.0376"	"0.9469"	"0.3466"	"0"	"0"	"0.0964"	"0"	"0"	"0"	"1.9893"
"1908"	"0.9722"	"0.1188"	"0.6813"	"0"	"0.0011"	"0"	"0.1753"	"0.1233"	"0.0513"	"0.2495"	"0.5299"	"1.6453"
"1909"	"1.1489"	"0.3339"	"0"	"0.8457"	"0.1136"	"0.077"	"0.1673"	"0.0875"	"0.2081"	"0.1491"	"0.0874"	"1.2633"
"1910"	"1.1605"	"0.0288"	"0.0457"	"0.6156"	"0.0032"	"0.1776"	"0.0731"	"0"	"0.008"	"0.81"	"0.6498"	"0.644"
"1911"	"0"	"0.0554"	"1.0777"	"0.2714"	"0"	"0.0237"	"0"	"0"	"0.1511"	"0"	"0.6159"	"0.4583"
"1912"	"0"	"0"	"0.5653"	"0.0251"	"0"	"0"	"0"	"0"	"0.1608"	"0.123"	"0.8278"	"1.268"
"1913"	"0"	"0.1207"	"1.1294"	"0"	"0.287"	"0.2465"	"0"	"0"	"0"	"0"	"0.2173"	"0.4923"
"1914"	"0"	"0.2527"	"0.6671"	"0.1597"	"0"	"0.0022"	"0.0327"	"0"	"0"	"0.0977"	"0"	"1.0032"
"1915"	"0.2108"	"0.6909"	"0.2788"	"0.2407"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1545"	"0"
"1916"	"0"	"0.4849"	"0"	"0"	"0"	"0.2411"	"0"	"0"	"0"	"0.5827"	"0.8846"	"2.1016"
"1917"	"0"	"0.1912"	"0.5804"	"0.9678"	"0.62"	"0.2204"	"0.1694"	"0.1184"	"0.3018"	"0.8582"	"0.9445"	"0.6073"
"1918"	"2.5204"	"0"	"0.4749"	"0.8838"	"0"	"0.071"	"0"	"0"	"0"	"0"	"0.0477"	"1.615"
"1919"	"0.3386"	"0.3745"	"0.0522"	"0.4623"	"0.1101"	"0"	"0.101"	"0.0603"	"0.0974"	"0.2626"	"0.2666"	"1.5008"
"1920"	"0.0015"	"0.2908"	"0.0251"	"0.3418"	"0.6591"	"0.2055"	"0.1707"	"0"	"0"	"0"	"0"	"0.0665"
"1921"	"0"	"0.0701"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3055"	"0.2939"	"0.5005"	"0"
"1922"	"1.2237"	"0"	"0"	"0"	"0"	"0.0031"	"0.0023"	"0.0021"	"0.2222"	"0.3314"	"0.492"	"1.2631"
"1923"	"0.1245"	"0.3369"	"0"	"0.0011"	"0.153"	"0"	"0"	"0.2041"	"0.0001"	"0.446"	"0.4964"	"0.3732"
"1924"	"1.3034"	"0.1164"	"0"	"0"	"0.4045"	"0"	"0"	"0"	"0.2144"	"0.7711"	"0.8334"	"1.0277"
"1925"	"3.1402"	"0.7885"	"0.0286"	"0"	"0.25"	"0.3077"	"0.3206"	"0"	"0"	"0"	"0.4078"	"0.7422"
"1926"	"0"	"0"	"0.6766"	"1.1342"	"0.3271"	"0"	"0"	"0"	"0.2094"	"0.5417"	"0.9648"	"1.5051"
"1927"	"2.94"	"0.8747"	"1.0758"	"0.5962"	"0.1704"	"0"	"0.0343"	"0.0713"	"0.1342"	"0.229"	"0.8921"	"0.5315"
"1928"	"1.0509"	"0.084"	"0.0514"	"0.3458"	"0"	"0"	"0.0001"	"0"	"0"	"0.101"	"0.155"	"1.5864"
"1929"	"1.2985"	"0.7094"	"0"	"0.0966"	"0"	"0"	"0.0949"	"0.1137"	"0"	"0.1823"	"0.0001"	"2.0363"
"1930"	"0.4027"	"0.299"	"0"	"0.4414"	"0.057"	"0"	"0.1768"	"0.0032"	"0"	"0"	"0.5479"	"0.0508"
"1931"	"0"	"0.6186"	"0.5013"	"0"	"0"	"0"	"0"	"0"	"0.056"	"0.5648"	"0.5308"	"0.5274"
"1932"	"0"	"0.292"	"0.3359"	"0.4185"	"0.0338"	"0"	"0"	"0.0353"	"0"	"0"	"0.6673"	"0.219"
"1933"	"2.2052"	"0"	"0.1502"	"0.7043"	"0.6114"	"0.1014"	"0.0039"	"0.0888"	"0.2813"	"0.6516"	"0.3855"	"0.4279"
"1934"	"2.524"	"0"	"0.7583"	"0.2232"	"0.0226"	"0.0015"	"0.0746"	"0.0402"	"0.2848"	"0.7697"	"0.6394"	"0.223"
"1935"	"2.9467"	"0.0374"	"0.3414"	"1.1046"	"0"	"0"	"0.0901"	"0.0559"	"0.1842"	"0.5953"	"0.1631"	"0.9372"
"1936"	"2.8634"	"0.1498"	"0.5791"	"0.5306"	"0"	"0.2733"	"0.0484"	"0"	"0.0269"	"0.2956"	"0.4138"	"1.0048"
"1937"	"1.7424"	"0.0338"	"1.0688"	"0.6107"	"0"	"0"	"0.1382"	"0"	"0.0023"	"0.4056"	"0.0024"	"2.0663"
"1938"	"0.6515"	"0.6804"	"0"	"0"	"0"	"0.3915"	"0.0042"	"0"	"0"	"0"	"0.6766"	"0.6319"
"1939"	"0"	"0.1834"	"1.2627"	"0.8269"	"0.0053"	"0.0643"	"0.0004"	"0"	"0.0002"	"0"	"0.263"	"0.2157"
"1940"	"0"	"0.1811"	"1.1504"	"0.7065"	"0"	"0"	"0"	"0.0517"	"0.0278"	"0.0824"	"0.0059"	"0.7608"
"1941"	"1.117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1942"	"2.4764"	"0"	"0"	"0"	"0"	"0"	"0.1825"	"0.0582"	"0.2383"	"0.2094"	"0.2072"	"1.6726"
"1943"	"0.3682"	"0.1942"	"0"	"0.5761"	"0"	"0.0629"	"0.0897"	"0.157"	"0.0156"	"0.3612"	"0"	"0.113"
"1944"	"1.2829"	"0.3679"	"0.9519"	"0.5348"	"0"	"0.0018"	"0.1581"	"0.0688"	"0.0021"	"0.7616"	"0.3421"	"0"
"1945"	"3.2393"	"0.4015"	"0"	"0.7275"	"0.0534"	"0"	"0.0993"	"0"	"0.1948"	"0.6"	"0.5971"	"2.3665"
"1946"	"0"	"0"	"0.4513"	"0"	"0"	"0.0898"	"0.0802"	"0.1447"	"0.1537"	"0"	"0.6524"	"0.2992"
"1947"	"2.7504"	"0.1832"	"0"	"0.054"	"0"	"0"	"0"	"0"	"0.2869"	"0.8551"	"0.1762"	"0.0605"
"1948"	"0.918"	"0.425"	"0.4541"	"0"	"0"	"0"	"0"	"0"	"0.1425"	"0"	"0.4347"	"0.2196"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1379"	"0.6669"	"1.3918"
"1950"	"0"	"0.7632"	"0.666"	"0.6635"	"0"	"0"	"0.0871"	"0"	"0.1347"	"0.4488"	"0.8297"	"2.0535"
"1951"	"2.0178"	"0.3961"	"0.2486"	"0.9266"	"0.0238"	"0.0021"	"0"	"0"	"0"	"0"	"0"	"0.7465"
"1952"	"0"	"0"	"0.1843"	"0"	"0"	"0.079"	"0.0992"	"0.1637"	"0"	"0"	"0.2398"	"0"
