
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.839"	"25.669"	"33.271"	"37.582"	"41.703"	"41.022"	"35.068"	"30.186"	"33.277"	"35.696"	"29.768"	"26.153"
"1902"	"25.634"	"28.088"	"35.801"	"39.109"	"41.583"	"39.839"	"33.451"	"32.293"	"31.828"	"33.392"	"28.567"	"24.574"
"1903"	"24.535"	"26.296"	"31.901"	"36.396"	"39.867"	"41.361"	"34.55"	"30.562"	"31.841"	"33.003"	"27.792"	"24.177"
"1904"	"24.384"	"27.07"	"32.149"	"39.175"	"41.022"	"38.504"	"31.564"	"29.723"	"32.415"	"33.647"	"28.953"	"25.205"
"1905"	"23.249"	"22.532"	"30.482"	"35.703"	"42.527"	"40.992"	"33.766"	"31.841"	"33.966"	"35.138"	"31.122"	"25.777"
"1906"	"23.397"	"25.468"	"31.986"	"38.097"	"42.969"	"38.729"	"32.351"	"31.672"	"31.297"	"33.247"	"29.794"	"25.708"
"1907"	"25.815"	"26.091"	"31.492"	"36.213"	"39.319"	"39.915"	"35.852"	"30.044"	"32.693"	"34.804"	"29.868"	"24.135"
"1908"	"24.098"	"27.342"	"32.122"	"38.963"	"41.116"	"39.69"	"31.334"	"29.811"	"31.734"	"33.259"	"28.869"	"24.433"
"1909"	"24.466"	"27.002"	"34.729"	"36.201"	"40.33"	"37.785"	"31.543"	"29.918"	"31.49"	"33.68"	"30.33"	"24.346"
"1910"	"23.868"	"27.588"	"33.243"	"37.006"	"41.068"	"36.562"	"32.007"	"30.749"	"31.844"	"32.08"	"27.873"	"25.302"
"1911"	"26.246"	"27.52"	"31.157"	"37.628"	"42.178"	"38.236"	"34.888"	"32.315"	"31.497"	"34.509"	"28.177"	"25.574"
"1912"	"25.613"	"28.816"	"32.542"	"38.307"	"41.573"	"40.711"	"33.186"	"30.26"	"31.411"	"33.493"	"27.965"	"24.818"
"1913"	"24.72"	"27.19"	"31.284"	"39.313"	"39.797"	"37.153"	"32.882"	"31.046"	"33.306"	"35.526"	"29.374"	"25.179"
"1914"	"26.319"	"27.288"	"32.432"	"38.07"	"41.588"	"37.8"	"32.309"	"30.831"	"32.767"	"33.824"	"30.57"	"24.856"
"1915"	"24.481"	"25.231"	"32.951"	"37.807"	"42.218"	"40.591"	"35.694"	"31.649"	"34.911"	"35.201"	"29.772"	"26.221"
"1916"	"25.495"	"26.769"	"35.432"	"39.215"	"40.882"	"36.639"	"34.006"	"30.224"	"32.291"	"32.584"	"27.332"	"24.276"
"1917"	"25.264"	"27.329"	"32.494"	"35.726"	"38.012"	"36.672"	"31.324"	"29.852"	"30.887"	"31.514"	"26.277"	"24.813"
"1918"	"22.898"	"27.705"	"32.919"	"36.03"	"42.084"	"38.22"	"34.652"	"31.738"	"32.952"	"34.827"	"29.758"	"23.995"
"1919"	"24.556"	"26.347"	"33.681"	"37.196"	"40.273"	"39.181"	"31.829"	"29.938"	"31.581"	"33.18"	"28.873"	"24.346"
"1920"	"24.538"	"26.978"	"33.667"	"37.431"	"37.862"	"37.268"	"31.303"	"30.375"	"33.826"	"35.349"	"30.449"	"25.874"
"1921"	"25.108"	"27.602"	"35.691"	"39.848"	"42.191"	"39.704"	"35.368"	"30.522"	"30.757"	"33.327"	"29.155"	"26.94"
"1922"	"23.868"	"28.673"	"34.157"	"38.608"	"41.025"	"38.222"	"32.498"	"30.196"	"31.217"	"33.159"	"28.792"	"24.725"
"1923"	"24.383"	"26.678"	"33.531"	"38.393"	"40.048"	"41.103"	"32.866"	"29.333"	"31.883"	"32.889"	"28.874"	"25.236"
"1924"	"23.596"	"27.367"	"34.741"	"38.926"	"39.073"	"39.693"	"32.9"	"30.178"	"31.124"	"31.949"	"27.604"	"24.71"
"1925"	"22.545"	"25.308"	"33.538"	"39.766"	"39.866"	"35.823"	"30.907"	"31.899"	"34.072"	"35.209"	"28.989"	"25.207"
"1926"	"25.159"	"29.493"	"31.824"	"34.546"	"39.091"	"40.846"	"33.309"	"30.466"	"30.949"	"32.586"	"26.575"	"23.558"
"1927"	"22.198"	"25.038"	"31.323"	"36.913"	"40.092"	"39.066"	"32.467"	"29.858"	"31.636"	"33.191"	"26.681"	"25.086"
"1928"	"23.829"	"27.196"	"33.195"	"37.526"	"41.391"	"38.917"	"32.39"	"30.986"	"32.317"	"33.533"	"29.406"	"24.153"
"1929"	"23.437"	"25.364"	"34.533"	"38.107"	"41.233"	"39.018"	"32.246"	"30.282"	"32.82"	"33.935"	"30.201"	"24.207"
"1930"	"24.526"	"27.015"	"34.033"	"37.194"	"40.064"	"38.737"	"31.728"	"30.693"	"33.856"	"35.257"	"28.671"	"25.727"
"1931"	"26.253"	"25.974"	"32.643"	"39.448"	"41.472"	"40.814"	"33.596"	"30.728"	"31.997"	"32.344"	"28.869"	"25.64"
"1932"	"27.54"	"26.576"	"32.995"	"37.203"	"40.491"	"39.542"	"33.102"	"30.503"	"32.943"	"34.341"	"28.104"	"25.545"
"1933"	"23.102"	"27.601"	"33.053"	"36.118"	"38.241"	"37.674"	"32.461"	"30.036"	"30.77"	"32.455"	"28.668"	"25.156"
"1934"	"23.066"	"28.497"	"32.045"	"37.886"	"40.474"	"38.22"	"32.085"	"30.223"	"31.06"	"32.418"	"28.55"	"25.468"
"1935"	"22.236"	"27.218"	"32.596"	"34.809"	"41.074"	"39.535"	"31.834"	"29.83"	"31.274"	"32.259"	"29.371"	"24.647"
"1936"	"22.51"	"26.907"	"32.237"	"36.699"	"42.108"	"36.623"	"32.022"	"30.239"	"31.813"	"33.41"	"28.607"	"24.631"
"1937"	"23.583"	"27.795"	"31.3"	"36.724"	"40.836"	"39.447"	"31.579"	"30.782"	"32.265"	"33.093"	"29.81"	"23.771"
"1938"	"23.996"	"25.595"	"34.736"	"38.493"	"42.043"	"35.152"	"32.253"	"31.095"	"33.772"	"34.456"	"27.958"	"25.269"
"1939"	"25.823"	"26.382"	"30.474"	"36.203"	"40.892"	"37.752"	"32.247"	"32.686"	"32.429"	"34.882"	"29.407"	"25.3"
"1940"	"24.611"	"27.053"	"31.742"	"36.711"	"41.296"	"38.952"	"33.244"	"29.831"	"32.101"	"33.884"	"29.878"	"24.984"
"1941"	"23.84"	"27.99"	"34.979"	"39.381"	"41.579"	"39.131"	"33.614"	"31.287"	"33.617"	"36.388"	"30.285"	"27.014"
"1942"	"22.872"	"27.797"	"34.492"	"39.662"	"41.393"	"40.314"	"31.121"	"29.812"	"31.38"	"33.562"	"29.412"	"23.951"
"1943"	"24.509"	"27.052"	"34"	"37.2"	"41.427"	"38.159"	"31.962"	"29.746"	"31.87"	"33.099"	"30.239"	"25.763"
"1944"	"23.84"	"26.633"	"31.811"	"36.991"	"41.112"	"37.599"	"31.311"	"29.944"	"32.029"	"32.046"	"29.126"	"26.231"
"1945"	"22.195"	"26.571"	"33.769"	"36.694"	"40.112"	"38.939"	"31.597"	"30.648"	"31.282"	"32.407"	"28.424"	"23.46"
"1946"	"24.777"	"28.77"	"32.442"	"39.755"	"41"	"38.056"	"32.126"	"29.696"	"31.752"	"33.931"	"27.65"	"25.304"
"1947"	"22.868"	"26.811"	"33.897"	"38.233"	"41.679"	"39.881"	"32.981"	"31.137"	"30.99"	"32.32"	"29.785"	"25.744"
"1948"	"23.921"	"26.322"	"32.628"	"39.207"	"42.626"	"39.391"	"33.009"	"30.388"	"31.446"	"34.248"	"28.36"	"25.314"
"1949"	"26.449"	"27.633"	"33.735"	"39.546"	"42.57"	"38.669"	"32.807"	"31.274"	"32.671"	"33.712"	"28.11"	"24.669"
"1950"	"25.699"	"25.393"	"32.033"	"36.638"	"41.175"	"39.122"	"32.189"	"30.25"	"31.654"	"32.891"	"27.713"	"23.676"
"1951"	"23.282"	"26.507"	"32.721"	"36.198"	"40.656"	"38.045"	"34.346"	"31.005"	"34.167"	"36.791"	"30.97"	"25.132"
"1952"	"25.936"	"29.112"	"33.132"	"39.38"	"42.563"	"37.766"	"32.003"	"29.793"	"32.95"	"34.16"	"29.651"	"25.769"
"1953"	"23.769"	"29.461"	"35.649"	"38.424"	"41.445"	"39.48"	"33.475"	"30.895"	"32.732"	"33.677"	"29.526"	"27.823"
"1954"	"24.275"	"28.769"	"33.481"	"38.795"	"42.576"	"39.849"	"33.087"	"31.509"	"31.203"	"31.701"	"29.741"	"25.293"
"1955"	"24.386"	"27.495"	"35.335"	"36.183"	"40.38"	"38.867"	"33.483"	"30.604"	"31.573"	"31.835"	"27.826"	"25.429"
"1956"	"24.488"	"26.938"	"33.688"	"38.06"	"42.025"	"37.743"	"31.039"	"29.927"	"32.147"	"31.642"	"27.597"	"25.72"
"1957"	"23.682"	"25.857"	"31.468"	"37.04"	"39.537"	"39.531"	"32.702"	"31.369"	"31.799"	"33.821"	"31.238"	"25.759"
"1958"	"26.176"	"27.869"	"34.306"	"39.85"	"41.359"	"39.922"	"31.62"	"31.508"	"31.036"	"32.588"	"30.366"	"26.573"
"1959"	"24.537"	"26.823"	"34.823"	"38.238"	"40.523"	"38.918"	"31.947"	"30.089"	"31.474"	"33.461"	"29.184"	"26.187"
"1960"	"23.58"	"29.623"	"32.473"	"36.951"	"40.595"	"39.425"	"33.233"	"29.453"	"32.762"	"32.661"	"28.338"	"25.327"
"1961"	"23.114"	"24.691"	"33.273"	"37.632"	"40.86"	"38.204"	"32.416"	"30.267"	"31.402"	"31.725"	"29.043"	"23.872"
"1962"	"23.2"	"27.912"	"33.3"	"38.181"	"39.366"	"37.837"	"31.699"	"29.178"	"29.743"	"31.213"	"27.914"	"25.956"
"1963"	"24.813"	"29.869"	"33.574"	"37.65"	"40.754"	"38.636"	"33.925"	"29.374"	"31.89"	"33.834"	"31.612"	"26.31"
"1964"	"23.724"	"27.662"	"34.855"	"40.323"	"40.244"	"36.731"	"32.249"	"30.878"	"32.064"	"34.327"	"28.819"	"25.378"
"1965"	"26.537"	"28.314"	"33.347"	"37.37"	"40.331"	"39.866"	"33.39"	"31.849"	"32.142"	"34.88"	"31.215"	"25.603"
"1966"	"25.834"	"30.942"	"33.686"	"38.5"	"41.39"	"38.149"	"34.494"	"29.831"	"31.809"	"34.533"	"30.246"	"24.823"
"1967"	"22.995"	"29.632"	"31.424"	"36.223"	"39.75"	"37.711"	"32.316"	"28.684"	"29.808"	"32.714"	"29.979"	"26.243"
"1968"	"23.934"	"26.107"	"33.426"	"37.229"	"39.262"	"39.597"	"32.363"	"29.501"	"33.643"	"32.971"	"29.712"	"25.568"
"1969"	"24.356"	"27.92"	"35.826"	"37.578"	"39.577"	"38.984"	"32.874"	"30.037"	"32.047"	"35.18"	"31.288"	"26.701"
"1970"	"25.397"	"26.83"	"32.798"	"39.266"	"41.811"	"37.673"	"33.452"	"30.415"	"31.15"	"33.879"	"28.789"	"25.85"
"1971"	"23.82"	"27.244"	"32.457"	"38.482"	"38.967"	"35.792"	"30.074"	"29.95"	"31.816"	"32.546"	"29.071"	"25.386"
"1972"	"24.773"	"25.269"	"34.29"	"36.921"	"40.793"	"38.996"	"34.127"	"31.276"	"31.536"	"33.112"	"29.692"	"26.089"
"1973"	"23.697"	"28.345"	"32.644"	"40.026"	"41.764"	"38.345"	"32.089"	"30.078"	"31.263"	"33.159"	"29.219"	"24.891"
"1974"	"23.319"	"26.474"	"35.033"	"38.737"	"41.15"	"38.739"	"32.52"	"31.109"	"33.979"	"33.241"	"28.824"	"24.468"
"1975"	"23.761"	"26.337"	"31.066"	"38.345"	"41.914"	"37.592"	"31.121"	"30.439"	"30.644"	"32.816"	"27.743"	"26.084"
"1976"	"25.336"	"27.619"	"33.529"	"37.022"	"40.654"	"36.772"	"32.785"	"29.892"	"31.292"	"34.427"	"31.217"	"26.092"
"1977"	"23.762"	"27.922"	"35.597"	"37.523"	"39.388"	"37.616"	"30.529"	"29.534"	"30.69"	"34.346"	"30.722"	"28.558"
"1978"	"24.075"	"25.772"	"30.905"	"37.097"	"42.383"	"37.093"	"30.21"	"28.828"	"31.278"	"33.613"	"30.468"	"24.081"
"1979"	"25.55"	"25.725"	"30.852"	"38.048"	"37.697"	"38.174"	"31.893"	"30.853"	"33.435"	"34.215"	"30.764"	"25.917"
"1980"	"25.047"	"30.029"	"32.558"	"39.788"	"40.736"	"37.152"	"32.025"	"30.466"	"33.195"	"35.183"	"30.727"	"24.637"
"1981"	"24.579"	"29.126"	"32.456"	"38.725"	"40.666"	"39.458"	"31.655"	"30.149"	"32.742"	"34.4"	"28.539"	"24.198"
