
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.816"	"10.091"	"17.18"	"22.391"	"27.79"	"29.314"	"26.952"	"23.443"	"23.971"	"21.73"	"14.396"	"10.983"
"1902"	"10.612"	"12.511"	"19.71"	"23.918"	"27.654"	"28.145"	"25.335"	"25.561"	"22.487"	"19.378"	"13.251"	"9.369"
"1903"	"9.513"	"10.717"	"15.788"	"21.218"	"25.952"	"29.689"	"26.435"	"23.817"	"22.499"	"19.046"	"12.418"	"9.008"
"1904"	"9.361"	"11.491"	"16.022"	"23.96"	"27.108"	"26.826"	"23.449"	"22.979"	"23.109"	"19.671"	"13.635"	"10.037"
"1905"	"8.224"	"6.951"	"14.358"	"20.478"	"28.612"	"29.264"	"25.649"	"25.109"	"24.659"	"21.173"	"15.806"	"10.598"
"1906"	"8.373"	"9.887"	"15.862"	"22.907"	"29.045"	"27.057"	"24.235"	"24.94"	"21.98"	"19.276"	"14.421"	"10.541"
"1907"	"10.794"	"10.513"	"15.367"	"20.997"	"25.406"	"28.242"	"27.735"	"23.301"	"23.385"	"20.825"	"14.514"	"8.965"
"1908"	"9.073"	"11.728"	"15.998"	"23.774"	"27.186"	"28.017"	"23.218"	"23.08"	"22.415"	"19.245"	"13.518"	"9.244"
"1909"	"9.445"	"11.423"	"18.641"	"20.985"	"26.415"	"26.106"	"23.43"	"23.187"	"22.182"	"19.687"	"14.956"	"9.177"
"1910"	"8.846"	"12.006"	"17.139"	"21.817"	"27.153"	"24.854"	"23.89"	"24.018"	"22.503"	"18.113"	"12.5"	"10.133"
"1911"	"11.223"	"11.937"	"15.07"	"22.415"	"28.244"	"26.537"	"26.773"	"25.584"	"22.179"	"20.553"	"12.839"	"10.393"
"1912"	"10.59"	"13.235"	"16.416"	"23.116"	"27.644"	"29.038"	"25.071"	"23.529"	"22.058"	"19.541"	"12.649"	"9.625"
"1913"	"9.695"	"11.61"	"15.181"	"24.123"	"25.884"	"25.479"	"24.768"	"24.312"	"23.999"	"21.544"	"14.022"	"10.01"
"1914"	"11.299"	"11.708"	"16.325"	"22.892"	"27.674"	"26.127"	"24.194"	"24.099"	"23.459"	"19.878"	"15.431"	"9.676"
"1915"	"9.461"	"9.653"	"16.825"	"22.618"	"28.298"	"28.884"	"27.576"	"24.919"	"25.604"	"21.176"	"14.4"	"11.051"
"1916"	"10.472"	"11.19"	"19.325"	"24.001"	"26.968"	"24.942"	"25.721"	"23.481"	"22.985"	"18.601"	"11.98"	"9.107"
"1917"	"10.244"	"11.749"	"16.392"	"20.5"	"24.086"	"24.978"	"23.209"	"23.121"	"21.544"	"17.584"	"10.927"	"9.643"
"1918"	"7.876"	"12.124"	"16.833"	"20.838"	"28.165"	"26.545"	"26.538"	"25.006"	"23.647"	"20.859"	"14.441"	"8.803"
"1919"	"9.433"	"10.767"	"17.596"	"21.981"	"26.354"	"27.484"	"23.712"	"23.205"	"22.275"	"19.203"	"13.522"	"9.177"
"1920"	"9.516"	"11.398"	"17.581"	"22.241"	"23.947"	"25.56"	"23.188"	"23.63"	"24.519"	"21.364"	"15.133"	"10.694"
"1921"	"10.088"	"12.021"	"19.577"	"24.669"	"28.261"	"28.011"	"27.25"	"23.778"	"21.45"	"19.359"	"13.837"	"11.749"
"1922"	"8.847"	"13.093"	"18.041"	"23.428"	"27.095"	"26.549"	"24.379"	"23.453"	"21.874"	"19.165"	"13.419"	"9.555"
"1923"	"9.361"	"11.102"	"17.419"	"23.201"	"26.105"	"29.431"	"24.753"	"22.598"	"22.541"	"18.889"	"13.521"	"10.069"
"1924"	"8.539"	"11.786"	"18.655"	"23.738"	"25.158"	"28.018"	"24.785"	"23.435"	"21.817"	"17.99"	"12.286"	"9.541"
"1925"	"7.475"	"9.728"	"17.415"	"24.585"	"25.935"	"24.092"	"22.789"	"25.168"	"24.764"	"21.228"	"13.636"	"10.039"
"1926"	"10.138"	"13.914"	"15.686"	"19.355"	"25.167"	"29.153"	"25.194"	"23.73"	"21.607"	"18.611"	"11.26"	"8.389"
"1927"	"7.141"	"9.459"	"15.232"	"21.725"	"26.15"	"27.388"	"24.35"	"23.128"	"22.294"	"19.216"	"11.362"	"9.881"
"1928"	"8.809"	"11.617"	"17.075"	"22.346"	"27.476"	"27.244"	"24.272"	"24.253"	"22.999"	"19.541"	"14.053"	"8.933"
"1929"	"8.413"	"9.784"	"18.442"	"22.918"	"27.317"	"27.309"	"24.13"	"23.551"	"23.514"	"19.97"	"14.859"	"9.037"
"1930"	"9.504"	"11.438"	"17.943"	"21.969"	"26.138"	"27.064"	"23.612"	"23.962"	"24.55"	"21.295"	"13.353"	"10.559"
"1931"	"11.231"	"10.357"	"16.54"	"24.258"	"27.572"	"29.143"	"25.481"	"23.995"	"22.68"	"18.364"	"13.495"	"10.472"
"1932"	"12.518"	"10.997"	"16.884"	"21.977"	"26.55"	"27.871"	"24.986"	"23.872"	"23.637"	"20.361"	"12.768"	"10.341"
"1933"	"8.004"	"12.196"	"16.931"	"20.927"	"24.325"	"25.981"	"24.346"	"23.305"	"21.464"	"18.501"	"13.33"	"9.989"
"1934"	"7.997"	"12.918"	"15.917"	"22.696"	"26.534"	"26.544"	"23.972"	"23.48"	"21.753"	"18.451"	"13.234"	"10.3"
"1935"	"7.214"	"11.639"	"16.488"	"19.618"	"27.144"	"27.805"	"23.717"	"23.097"	"21.987"	"18.247"	"14.019"	"9.478"
"1936"	"7.471"	"11.119"	"16.14"	"21.485"	"28.178"	"24.928"	"23.906"	"23.496"	"22.496"	"19.384"	"13.289"	"9.461"
"1937"	"8.525"	"12.215"	"15.181"	"21.51"	"26.921"	"27.774"	"23.464"	"24.039"	"22.959"	"19.1"	"14.437"	"8.605"
"1938"	"8.974"	"10.017"	"18.634"	"23.304"	"28.115"	"23.452"	"24.138"	"24.362"	"24.465"	"20.479"	"12.641"	"10.1"
"1939"	"10.8"	"10.803"	"14.362"	"20.977"	"26.978"	"26.08"	"24.132"	"25.954"	"23.123"	"20.867"	"14.091"	"10.108"
"1940"	"9.589"	"11.473"	"15.652"	"21.486"	"27.38"	"27.279"	"25.129"	"23.098"	"22.784"	"19.87"	"14.504"	"9.816"
"1941"	"8.819"	"12.41"	"18.869"	"24.136"	"27.655"	"27.457"	"25.498"	"24.543"	"24.31"	"22.427"	"14.912"	"11.809"
"1942"	"7.834"	"12.217"	"18.383"	"24.436"	"27.478"	"28.641"	"23.003"	"23.081"	"22.027"	"19.576"	"14.072"	"8.772"
"1943"	"9.488"	"11.474"	"17.915"	"21.985"	"27.512"	"26.484"	"23.847"	"23.013"	"22.529"	"19.1"	"14.886"	"10.584"
"1944"	"8.819"	"11.056"	"15.72"	"21.801"	"27.185"	"25.867"	"23.183"	"23.203"	"22.724"	"18.118"	"13.808"	"11.062"
"1945"	"7.137"	"10.992"	"17.667"	"21.469"	"26.166"	"27.243"	"23.482"	"23.916"	"21.975"	"18.394"	"13.087"	"8.278"
"1946"	"9.701"	"13.191"	"16.355"	"24.577"	"27.075"	"26.326"	"24.011"	"22.964"	"22.435"	"19.953"	"12.297"	"10.135"
"1947"	"7.834"	"11.234"	"17.812"	"23.055"	"27.746"	"28.115"	"24.863"	"24.403"	"21.671"	"18.354"	"14.411"	"10.576"
"1948"	"8.9"	"10.743"	"16.538"	"23.983"	"28.694"	"27.719"	"24.893"	"23.656"	"22.127"	"20.234"	"12.988"	"10.134"
"1949"	"11.427"	"12.052"	"17.636"	"24.367"	"28.653"	"26.997"	"24.692"	"24.543"	"23.304"	"19.728"	"12.795"	"9.5"
"1950"	"10.676"	"9.778"	"15.929"	"21.449"	"27.244"	"27.449"	"24.075"	"23.519"	"22.301"	"18.879"	"12.34"	"8.508"
"1951"	"8.363"	"10.929"	"16.703"	"20.973"	"26.722"	"26.336"	"26.229"	"24.259"	"24.861"	"22.822"	"15.652"	"9.963"
"1952"	"11.012"	"13.533"	"16.997"	"24.19"	"28.549"	"26.092"	"23.888"	"23.062"	"23.644"	"19.682"	"14.336"	"10.601"
"1953"	"8.747"	"13.883"	"19.535"	"23.467"	"27.526"	"27.774"	"25.359"	"24.217"	"23.425"	"19.683"	"14.303"	"12.62"
"1954"	"9.251"	"13.19"	"17.394"	"23.615"	"28.724"	"28.176"	"24.97"	"25.153"	"21.896"	"17.602"	"14.369"	"10.123"
"1955"	"9.199"	"11.916"	"19.212"	"20.969"	"26.465"	"27.193"	"25.45"	"23.859"	"22.269"	"17.872"	"12.453"	"10.249"
"1956"	"9.542"	"11.322"	"17.684"	"23.204"	"28.111"	"26.065"	"22.671"	"23.182"	"22.84"	"18.034"	"12.28"	"10.541"
"1957"	"8.624"	"10.243"	"15.345"	"21.85"	"25.606"	"27.824"	"24.586"	"25.041"	"22.492"	"19.853"	"15.124"	"10.591"
"1958"	"11.271"	"12.255"	"18.216"	"24.659"	"27.443"	"28.229"	"23.505"	"24.778"	"21.718"	"18.623"	"14.993"	"11.356"
"1959"	"9.514"	"11.243"	"18.701"	"23.051"	"26.602"	"27.234"	"23.831"	"23.347"	"22.126"	"19.504"	"13.751"	"10.613"
"1960"	"8.523"	"14.046"	"16.385"	"21.788"	"26.475"	"27.696"	"25.117"	"22.71"	"23.453"	"18.672"	"12.987"	"10.158"
"1961"	"8.057"	"9.652"	"17.807"	"22.594"	"27.443"	"26.305"	"24.638"	"23.648"	"22.227"	"18.269"	"13.848"	"8.669"
"1962"	"8.255"	"12.423"	"16.879"	"23.302"	"25.636"	"26.163"	"23.758"	"22.546"	"20.91"	"17.492"	"12.827"	"11.303"
"1963"	"8.835"	"13.898"	"17.798"	"22.892"	"26.939"	"26.929"	"25.762"	"22.939"	"22.538"	"20.21"	"16.74"	"10.638"
"1964"	"8.842"	"12.096"	"18.745"	"25.225"	"26.385"	"25.059"	"24.55"	"24.251"	"22.756"	"20.307"	"13.446"	"10.927"
"1965"	"11.208"	"12.813"	"17.389"	"22.249"	"27.382"	"28.257"	"25.375"	"25.275"	"22.718"	"21.078"	"16.007"	"10.399"
"1966"	"10.563"	"14.977"	"17.488"	"23.811"	"27.272"	"26.227"	"25.819"	"23.098"	"22.469"	"20.338"	"14.769"	"9.247"
"1967"	"7.423"	"13.369"	"15.267"	"20.998"	"25.722"	"25.78"	"23.881"	"22.158"	"20.455"	"18.741"	"14.462"	"11.053"
"1968"	"8.889"	"10.731"	"16.837"	"21.977"	"25.25"	"27.889"	"24.158"	"22.767"	"23.379"	"19.004"	"14.327"	"10.297"
"1969"	"9.335"	"12.609"	"18.831"	"22.523"	"25.655"	"27.322"	"24.679"	"23.271"	"22.847"	"21.146"	"16.087"	"10.844"
"1970"	"10.358"	"11.187"	"16.727"	"23.322"	"27.785"	"25.794"	"24.768"	"23.47"	"21.807"	"19.175"	"13.197"	"10.021"
"1971"	"8.474"	"11.537"	"16.332"	"23.084"	"25.207"	"24.124"	"22.266"	"23.018"	"21.629"	"18.338"	"13.347"	"9.349"
"1972"	"9.752"	"9.77"	"17.601"	"21.507"	"26.922"	"27.149"	"25.095"	"24.451"	"22.532"	"19.673"	"14.748"	"11.334"
"1973"	"10.05"	"12.734"	"16.537"	"24.141"	"27.464"	"26.387"	"23.759"	"23.446"	"21.942"	"19.159"	"13.489"	"9.608"
"1974"	"8.359"	"10.894"	"18.847"	"23.359"	"25.312"	"27.068"	"24.403"	"24.024"	"23.877"	"19.23"	"13.183"	"9.475"
