
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.11"	"5.86"	"7.09"	"8.16"	"8.62"	"8.1"	"6.41"	"5.32"	"5.93"	"6.87"	"6.16"	"5.29"
"1902"	"5.23"	"6.02"	"7.25"	"8.31"	"8.71"	"8.08"	"6.25"	"5.4"	"6"	"6.78"	"6.05"	"5.21"
"1903"	"5.18"	"5.97"	"7.06"	"8.11"	"8.51"	"8.07"	"6.38"	"5.35"	"5.97"	"6.78"	"6.02"	"5.16"
"1904"	"5.14"	"6.02"	"7.03"	"8.23"	"8.72"	"8.07"	"6.19"	"5.22"	"5.94"	"6.8"	"6.07"	"5.28"
"1905"	"5.19"	"5.69"	"6.89"	"7.98"	"8.61"	"8.16"	"6.3"	"5.33"	"6.03"	"6.82"	"6.21"	"5.37"
"1906"	"5.14"	"5.9"	"7.01"	"8.12"	"8.75"	"8.11"	"6.19"	"5.35"	"5.96"	"6.73"	"6.1"	"5.26"
"1907"	"5.29"	"6"	"7.05"	"8.12"	"8.53"	"7.95"	"6.41"	"5.34"	"5.93"	"6.82"	"6.18"	"5.21"
"1908"	"5.13"	"6.04"	"7.04"	"8.21"	"8.7"	"8.12"	"6.2"	"5.25"	"5.93"	"6.77"	"6.07"	"5.21"
"1909"	"5.15"	"5.96"	"7.26"	"8.18"	"8.62"	"8.01"	"6.18"	"5.26"	"5.9"	"6.74"	"6.19"	"5.24"
"1910"	"5.11"	"6.02"	"7.16"	"8.15"	"8.71"	"7.96"	"6.13"	"5.3"	"5.99"	"6.74"	"5.97"	"5.21"
"1911"	"5.25"	"6.11"	"7.01"	"8.11"	"8.71"	"7.99"	"6.26"	"5.44"	"5.96"	"6.81"	"6.03"	"5.22"
"1912"	"5.21"	"6.14"	"7.12"	"8.17"	"8.67"	"8.12"	"6.32"	"5.32"	"5.94"	"6.79"	"6.02"	"5.21"
"1913"	"5.17"	"6.05"	"6.97"	"8.22"	"8.75"	"7.92"	"6.18"	"5.3"	"5.96"	"6.87"	"6.16"	"5.21"
"1914"	"5.27"	"6.07"	"7.07"	"8.16"	"8.74"	"8.04"	"6.19"	"5.27"	"5.99"	"6.76"	"6.15"	"5.27"
"1915"	"5.2"	"5.89"	"7.07"	"8.16"	"8.68"	"8.08"	"6.38"	"5.35"	"6.05"	"6.91"	"6.14"	"5.3"
"1916"	"5.26"	"5.95"	"7.21"	"8.32"	"8.77"	"7.9"	"6.3"	"5.31"	"5.98"	"6.79"	"5.97"	"5.14"
"1917"	"5.19"	"6.05"	"7.15"	"8.16"	"8.56"	"7.9"	"6.14"	"5.27"	"5.94"	"6.71"	"5.87"	"5.21"
"1918"	"5.04"	"6"	"7.17"	"8.07"	"8.68"	"7.99"	"6.27"	"5.38"	"5.99"	"6.84"	"6.18"	"5.2"
"1919"	"5.17"	"5.94"	"7.15"	"8.22"	"8.62"	"8.07"	"6.22"	"5.26"	"5.93"	"6.77"	"6.09"	"5.2"
"1920"	"5.15"	"5.98"	"7.16"	"8.27"	"8.59"	"7.92"	"6.11"	"5.21"	"5.97"	"6.87"	"6.19"	"5.32"
"1921"	"5.21"	"5.98"	"7.22"	"8.31"	"8.75"	"8.05"	"6.39"	"5.41"	"5.89"	"6.74"	"6.02"	"5.37"
"1922"	"5.13"	"6.07"	"7.21"	"8.25"	"8.71"	"8.03"	"6.21"	"5.31"	"5.93"	"6.75"	"6.06"	"5.21"
"1923"	"5.16"	"5.97"	"7.11"	"8.25"	"8.6"	"8.1"	"6.33"	"5.26"	"5.94"	"6.75"	"6.06"	"5.29"
"1924"	"5.13"	"5.97"	"7.18"	"8.34"	"8.61"	"8.01"	"6.27"	"5.31"	"5.95"	"6.73"	"5.96"	"5.23"
"1925"	"5.06"	"5.84"	"7.07"	"8.32"	"8.79"	"7.91"	"6.02"	"5.26"	"6.03"	"6.9"	"6.12"	"5.25"
"1926"	"5.15"	"6.2"	"7.19"	"8.04"	"8.47"	"8.06"	"6.31"	"5.33"	"5.93"	"6.77"	"5.95"	"5.16"
"1927"	"5.04"	"5.84"	"6.99"	"8.13"	"8.62"	"8.05"	"6.24"	"5.27"	"5.93"	"6.81"	"5.92"	"5.21"
"1928"	"5.13"	"5.99"	"7.15"	"8.16"	"8.68"	"8.07"	"6.2"	"5.31"	"5.98"	"6.78"	"6.12"	"5.22"
"1929"	"5.13"	"5.83"	"7.15"	"8.23"	"8.69"	"8.08"	"6.22"	"5.25"	"5.96"	"6.79"	"6.18"	"5.21"
"1930"	"5.15"	"5.97"	"7.21"	"8.22"	"8.64"	"8.05"	"6.18"	"5.24"	"5.98"	"6.88"	"6.09"	"5.22"
"1931"	"5.36"	"5.94"	"7.09"	"8.34"	"8.75"	"8.31"	"6.41"	"5.37"	"6.04"	"6.68"	"6.19"	"5.28"
"1932"	"5.42"	"6.11"	"7.17"	"8.23"	"8.72"	"8.12"	"6.34"	"5.26"	"6.08"	"7.01"	"6.24"	"5.34"
"1933"	"5.13"	"5.98"	"7.23"	"8.17"	"8.48"	"7.94"	"6.22"	"5.24"	"5.84"	"6.73"	"6.13"	"5.32"
"1934"	"5.06"	"6.22"	"7.12"	"8.31"	"8.76"	"8.11"	"6.19"	"5.31"	"6.01"	"6.95"	"6.07"	"5.29"
"1935"	"5.02"	"5.91"	"7.26"	"7.97"	"8.68"	"8.46"	"6.31"	"5.29"	"6"	"6.83"	"6.18"	"5.29"
"1936"	"5.15"	"5.97"	"7.14"	"8.16"	"8.77"	"7.93"	"6.18"	"5.31"	"5.98"	"6.81"	"6.1"	"5.18"
"1937"	"5.14"	"5.97"	"7.09"	"8.16"	"8.68"	"8.22"	"6.21"	"5.31"	"6.05"	"6.82"	"6.21"	"5.22"
"1938"	"5.13"	"5.84"	"7.22"	"8.35"	"8.86"	"7.84"	"6.24"	"5.32"	"6.14"	"7.05"	"6.11"	"5.31"
"1939"	"5.34"	"5.97"	"6.93"	"8.14"	"8.76"	"7.95"	"6.19"	"5.46"	"6.09"	"6.93"	"6.29"	"5.35"
"1940"	"5.18"	"5.98"	"7.01"	"8.16"	"8.7"	"8.06"	"6.36"	"5.31"	"6.03"	"6.92"	"6.26"	"5.35"
"1941"	"5.12"	"6.05"	"7.27"	"8.39"	"8.72"	"8"	"6.33"	"5.36"	"5.99"	"6.94"	"6.38"	"5.53"
"1942"	"5.07"	"5.95"	"7.29"	"8.37"	"8.7"	"8.34"	"6.19"	"5.27"	"5.94"	"6.83"	"6.25"	"5.21"
"1943"	"5.04"	"6.15"	"7.31"	"8.26"	"8.76"	"8.12"	"6.22"	"5.27"	"6"	"6.92"	"6.33"	"5.41"
"1944"	"5.14"	"5.93"	"7.04"	"8.17"	"8.82"	"8.23"	"6.2"	"5.22"	"6.03"	"6.9"	"6.19"	"5.45"
"1945"	"5.06"	"6.06"	"7.3"	"8.22"	"8.73"	"8.23"	"6.24"	"5.33"	"5.96"	"6.73"	"6.26"	"5.21"
"1946"	"5.22"	"6.26"	"7.21"	"8.38"	"8.74"	"8.05"	"6.25"	"5.26"	"6"	"6.84"	"6.19"	"5.32"
"1947"	"5.15"	"6.06"	"7.29"	"8.39"	"8.86"	"8.25"	"6.46"	"5.4"	"5.97"	"6.73"	"6.15"	"5.37"
"1948"	"5.15"	"5.95"	"7.01"	"8.3"	"8.86"	"8.19"	"6.37"	"5.31"	"5.97"	"6.8"	"6.13"	"5.19"
"1949"	"5.3"	"6.07"	"7.15"	"8.4"	"8.82"	"8.2"	"6.23"	"5.34"	"6.05"	"6.91"	"6.25"	"5.23"
"1950"	"5.23"	"6.01"	"7.05"	"8.24"	"8.68"	"8.04"	"6.19"	"5.28"	"5.94"	"6.81"	"6.2"	"5.25"
"1951"	"5.06"	"6.06"	"7.11"	"8.11"	"8.67"	"8.06"	"6.4"	"5.33"	"6.08"	"6.99"	"6.28"	"5.32"
"1952"	"5.26"	"6.16"	"7.01"	"8.21"	"8.79"	"8.1"	"6.18"	"5.19"	"6.01"	"7.14"	"6.3"	"5.36"
"1953"	"4.95"	"6.1"	"7.44"	"8.31"	"8.68"	"8.1"	"6.21"	"5.28"	"5.98"	"6.91"	"6.16"	"5.47"
"1954"	"5.08"	"5.88"	"7.19"	"8.27"	"8.75"	"8.12"	"6.33"	"5.31"	"5.94"	"6.67"	"6.18"	"5.32"
"1955"	"4.98"	"6"	"7.31"	"8.31"	"8.59"	"7.99"	"6.23"	"5.29"	"5.88"	"6.52"	"6.04"	"5.21"
"1956"	"5.06"	"6.11"	"7.13"	"8.15"	"8.7"	"7.88"	"6.15"	"5.19"	"5.97"	"6.39"	"5.93"	"5.23"
"1957"	"4.98"	"6.01"	"6.85"	"8.12"	"8.61"	"8.12"	"6.23"	"5.21"	"6.01"	"6.77"	"6.28"	"5.21"
"1958"	"5.23"	"6.05"	"7.18"	"8.31"	"8.74"	"8.27"	"6.08"	"5.34"	"5.8"	"6.53"	"6.04"	"5.28"
"1959"	"5.11"	"5.92"	"7.32"	"8.29"	"8.66"	"8.04"	"6.14"	"5.24"	"5.79"	"6.54"	"6.04"	"5.41"
"1960"	"5.11"	"6.38"	"7.04"	"8.18"	"8.75"	"8.08"	"6.27"	"5.2"	"5.99"	"6.78"	"6.16"	"5.29"
"1961"	"5.04"	"5.61"	"6.99"	"8.18"	"8.51"	"8.05"	"6.02"	"5.23"	"5.79"	"6.47"	"5.99"	"5.21"
"1962"	"5.08"	"5.97"	"7.16"	"8.16"	"8.67"	"8.06"	"6.15"	"5.26"	"5.68"	"6.73"	"5.98"	"5.18"
"1963"	"5.34"	"6.34"	"7.2"	"8.09"	"8.63"	"8.03"	"6.4"	"5.19"	"5.97"	"6.65"	"6"	"5.46"
"1964"	"5.17"	"6.02"	"7.26"	"8.35"	"8.8"	"7.97"	"5.97"	"5.27"	"5.69"	"6.84"	"6.22"	"5.17"
"1965"	"5.28"	"6.14"	"7.19"	"8.08"	"8.36"	"8.13"	"6.22"	"5.38"	"6.05"	"6.74"	"6.29"	"5.35"
"1966"	"5.22"	"6.3"	"7.35"	"8.14"	"8.84"	"8.02"	"6.58"	"5.33"	"6.01"	"6.92"	"6"	"5.43"
"1967"	"5.15"	"6.45"	"6.94"	"8.1"	"8.69"	"8.08"	"6.28"	"5.15"	"5.79"	"6.75"	"6.09"	"5.05"
"1968"	"5.04"	"5.88"	"7.24"	"8.31"	"8.65"	"8.06"	"6.31"	"5.24"	"6.39"	"6.87"	"6.24"	"5.35"
"1969"	"5.24"	"6.03"	"7.55"	"8.3"	"8.6"	"8.06"	"6.31"	"5.31"	"5.83"	"6.87"	"6.19"	"5.49"
"1970"	"5.2"	"5.89"	"6.97"	"8.37"	"8.76"	"7.96"	"6.44"	"5.38"	"5.85"	"6.86"	"6.24"	"5.48"
"1971"	"5.19"	"6.13"	"7.11"	"8.31"	"8.61"	"7.73"	"5.86"	"5.29"	"6.16"	"6.56"	"6.18"	"5.43"
"1972"	"5.31"	"5.83"	"7.29"	"8.18"	"8.65"	"8.22"	"6.63"	"5.41"	"6.06"	"6.72"	"6.15"	"5.31"
"1973"	"5.01"	"6.09"	"7.1"	"8.46"	"8.89"	"8.1"	"6.21"	"5.2"	"5.77"	"6.67"	"6.28"	"5.22"
"1974"	"5.19"	"5.94"	"7.27"	"8.32"	"9.17"	"8.07"	"6.3"	"5.42"	"6.4"	"6.69"	"6.24"	"5.21"
"1975"	"5.07"	"5.96"	"6.92"	"8.21"	"8.84"	"8.09"	"6.16"	"5.39"	"5.57"	"6.59"	"6.11"	"5.41"
"1976"	"5.18"	"5.98"	"7.1"	"8.22"	"8.75"	"7.84"	"6.22"	"5.21"	"5.86"	"6.9"	"6.03"	"5.4"
"1977"	"5.11"	"6.05"	"7.52"	"8.15"	"8.57"	"7.87"	"6.01"	"5.17"	"5.71"	"6.8"	"5.95"	"5.41"
"1978"	"5.28"	"5.79"	"6.81"	"8.06"	"9.03"	"8.15"	"5.93"	"5.08"	"5.75"	"6.79"	"5.98"	"5.18"
"1979"	"5.09"	"5.81"	"6.73"	"8.3"	"8.59"	"8.06"	"6.14"	"5.45"	"6.17"	"6.8"	"5.84"	"5.17"
"1980"	"5.08"	"6.22"	"7.02"	"8.32"	"8.77"	"7.82"	"6.06"	"5.25"	"5.95"	"6.81"	"6.2"	"5.21"
"1981"	"5.02"	"6.14"	"7.09"	"8.25"	"8.59"	"8.1"	"6.18"	"5.27"	"5.96"	"6.93"	"6.02"	"5.16"
"1982"	"5.16"	"5.91"	"6.91"	"8.1"	"8.39"	"7.95"	"6.36"	"5.27"	"6.15"	"6.82"	"6.04"	"5.35"
"1983"	"5.17"	"5.94"	"7.15"	"7.95"	"8.48"	"7.81"	"6.32"	"5.35"	"5.94"	"6.72"	"6.03"	"5.27"
"1984"	"5.21"	"5.74"	"7.15"	"8.22"	"8.79"	"8.09"	"6.27"	"5.32"	"5.9"	"6.83"	"6.07"	"5.21"
"1985"	"5.12"	"6.24"	"7.27"	"8.29"	"8.7"	"8.03"	"6.21"	"5.23"	"5.98"	"6.61"	"6.01"	"5.46"
"1986"	"5.24"	"5.99"	"7.11"	"8.22"	"8.69"	"8.1"	"6.2"	"5.18"	"6.01"	"6.8"	"6.17"	"5.29"
"1987"	"5.29"	"6.11"	"7.19"	"8.28"	"8.46"	"8"	"6.12"	"5.4"	"6.14"	"6.78"	"6.35"	"5.28"
"1988"	"5.16"	"6.16"	"7.14"	"8.22"	"8.78"	"8.11"	"6.06"	"5.18"	"5.87"	"6.79"	"6.1"	"5.36"
"1989"	"5.08"	"5.94"	"7.09"	"8.2"	"8.61"	"7.93"	"6.3"	"5.25"	"5.98"	"6.77"	"6.18"	"5.28"
"1990"	"5.31"	"6.05"	"7"	"8.16"	"8.6"	"7.99"	"6.15"	"5.25"	"5.91"	"6.63"	"6.15"	"5.3"
"1991"	"5.12"	"6.05"	"7.2"	"8.21"	"8.57"	"8.03"	"6.32"	"5.31"	"5.96"	"6.79"	"6.08"	"5.3"
"1992"	"5.27"	"6.01"	"7.15"	"8.22"	"8.59"	"8.06"	"6.36"	"5.34"	"5.94"	"6.75"	"6.04"	"5.34"
"1993"	"5.22"	"6.14"	"7.08"	"8.13"	"8.71"	"8.08"	"6.19"	"5.34"	"5.92"	"6.76"	"6.15"	"5.33"
"1994"	"5.28"	"6"	"7.26"	"8.18"	"8.71"	"8.1"	"6.14"	"5.26"	"5.91"	"6.75"	"6.1"	"5.35"
"1995"	"5.12"	"6.04"	"7.05"	"8.13"	"8.6"	"8.15"	"6.33"	"5.28"	"5.93"	"6.81"	"6.15"	"5.31"
"1996"	"5.37"	"6.08"	"7.23"	"8.38"	"8.69"	"8.12"	"6.39"	"5.14"	"5.85"	"6.71"	"6.2"	"5.4"
"1997"	"5.22"	"6.04"	"7.08"	"8.2"	"8.65"	"8"	"6.37"	"5.46"	"6.04"	"6.65"	"5.96"	"4.85"
"1998"	"5.14"	"6.09"	"7.12"	"8.2"	"8.76"	"8.17"	"6.32"	"5.34"	"5.96"	"6.72"	"6.08"	"5.4"
"1999"	"5.24"	"5.97"	"7.29"	"8.47"	"8.68"	"8.08"	"6.21"	"5.48"	"5.81"	"6.71"	"6.23"	"5.4"
"2000"	"5.39"	"5.96"	"7.11"	"8.33"	"8.76"	"7.98"	"6.15"	"5.44"	"6.08"	"6.8"	"6.15"	"5.6"
"2001"	"5.26"	"6.07"	"7.2"	"8.23"	"8.71"	"7.82"	"5.93"	"5.41"	"6.29"	"6.74"	"6.11"	"5.35"
"2002"	"5.25"	"5.96"	"7.13"	"8.23"	"8.68"	"8.09"	"6.5"	"5.23"	"6.09"	"6.83"	"6.03"	"5.24"
