
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.317"	"1.009"	"1.419"	"0.538"	"4.994"	"40.742"	"268.893"	"255.343"	"31.827"	"36.388"	"0.182"	"3.573"
"1902"	"7.314"	"0"	"0"	"0.011"	"0.105"	"57.563"	"248.963"	"146.988"	"127.564"	"19.441"	"42.952"	"2.795"
"1903"	"1.163"	"0.145"	"0.247"	"0"	"5.748"	"15.224"	"344.853"	"295.627"	"126.176"	"9.708"	"0.182"	"0"
"1904"	"1.494"	"2.35"	"17.075"	"0"	"20.364"	"61.08"	"218.85"	"194.307"	"91.001"	"16.718"	"13.53"	"3.917"
"1905"	"4.934"	"4.715"	"1.681"	"0.685"	"5.766"	"16.993"	"308.396"	"46.293"	"163.078"	"0.2"	"0.425"	"0.371"
"1906"	"0.111"	"4.69"	"0.748"	"0"	"0.255"	"130.8"	"269.554"	"174.342"	"206.392"	"0.932"	"0.182"	"9.504"
"1907"	"17.193"	"10.505"	"0.222"	"6.53"	"2.248"	"38.311"	"176.878"	"381.196"	"9.827"	"0.2"	"2.616"	"0"
"1908"	"9.185"	"0"	"1.603"	"0.491"	"1.821"	"74.44"	"484.687"	"378.622"	"142.991"	"2.829"	"2.227"	"0.371"
"1909"	"13.408"	"0.338"	"0"	"2.984"	"6.773"	"69.843"	"397.673"	"214.49"	"269.854"	"0.2"	"0.182"	"7.256"
"1910"	"2.908"	"0.34"	"0"	"1.132"	"6.11"	"117.964"	"145.333"	"305.646"	"142.503"	"5.589"	"4.599"	"0"
"1911"	"6.388"	"0"	"6.726"	"0"	"0"	"66.361"	"85.097"	"150.349"	"147.439"	"0.263"	"88.926"	"2.385"
"1912"	"5.411"	"0.149"	"0.314"	"0.129"	"0.252"	"50.566"	"310.184"	"268.001"	"89.397"	"8.465"	"67.085"	"0.793"
"1913"	"0"	"3.904"	"0.902"	"0"	"5.365"	"77.615"	"258.606"	"97.207"	"151.586"	"0.2"	"0.182"	"3.763"
"1914"	"0"	"0.934"	"1.766"	"1.435"	"28.489"	"124.542"	"378.635"	"162.707"	"286.004"	"5.456"	"20.12"	"2.134"
"1915"	"7.405"	"5.181"	"22.193"	"2.191"	"5.814"	"78.547"	"198.861"	"114.695"	"127.88"	"80.008"	"1.133"	"1.871"
"1916"	"0"	"1.078"	"0"	"0.123"	"9.918"	"63.541"	"323.451"	"311.379"	"199.539"	"27.309"	"14.326"	"0"
"1917"	"0.743"	"3.338"	"0.723"	"3.6"	"31.655"	"95.411"	"258.529"	"300.868"	"339.871"	"56.388"	"0.182"	"5.543"
"1918"	"3.937"	"0"	"1.889"	"0"	"19.353"	"46.156"	"93.254"	"130.916"	"41.893"	"0.386"	"20.107"	"0.002"
"1919"	"17.541"	"0"	"0.028"	"3.609"	"1.343"	"90.591"	"248.852"	"302.987"	"103.848"	"27.992"	"36.275"	"1.969"
"1920"	"5.378"	"2.244"	"1.379"	"0"	"6.069"	"92.08"	"237.577"	"72.759"	"58.19"	"0.2"	"0.182"	"0"
"1921"	"9.013"	"0"	"0"	"0.007"	"0"	"80.94"	"228.577"	"154.673"	"226.972"	"0.2"	"0.182"	"0"
"1922"	"6.735"	"1.451"	"0.003"	"0.213"	"0.099"	"68.626"	"233.599"	"107.823"	"260.345"	"4.029"	"27.284"	"11.082"
"1923"	"0.76"	"1.93"	"2.329"	"0.964"	"0.921"	"8.121"	"399.037"	"255.887"	"221.571"	"1.884"	"0.185"	"2.735"
"1924"	"2.974"	"1.388"	"0"	"0"	"10.862"	"40.2"	"201.742"	"200.378"	"211.211"	"43.115"	"1.521"	"12.779"
"1925"	"0"	"0"	"0"	"0"	"20.398"	"114.101"	"322.203"	"119.782"	"47.978"	"0.262"	"99.027"	"0.553"
"1926"	"32.514"	"1.467"	"14.877"	"2.808"	"8.458"	"22.911"	"206.873"	"394.683"	"156.042"	"0.219"	"13.319"	"0"
"1927"	"0"	"3.534"	"1.836"	"0.218"	"1.654"	"43.754"	"329.19"	"272.318"	"138.165"	"19.656"	"62.782"	"6.783"
"1928"	"1.375"	"10.208"	"0.405"	"0.003"	"0.558"	"34.235"	"239.332"	"161.674"	"149.468"	"70.913"	"22.781"	"24.827"
