
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.81"	"3.65"	"5.37"	"6.63"	"7.48"	"7.11"	"5.39"	"4.28"	"4.7"	"4.89"	"3.64"	"2.96"
"1902"	"3.05"	"3.9"	"5.69"	"6.83"	"7.48"	"6.95"	"5.22"	"4.48"	"4.56"	"4.64"	"3.53"	"2.82"
"1903"	"2.96"	"3.72"	"5.19"	"6.46"	"7.22"	"7.13"	"5.35"	"4.31"	"4.56"	"4.61"	"3.47"	"2.79"
"1904"	"2.95"	"3.8"	"5.23"	"6.84"	"7.4"	"6.76"	"5"	"4.23"	"4.61"	"4.65"	"3.56"	"2.88"
"1905"	"2.84"	"3.32"	"5.03"	"6.37"	"7.6"	"7.11"	"5.26"	"4.42"	"4.77"	"4.82"	"3.77"	"2.92"
"1906"	"2.87"	"3.63"	"5.21"	"6.69"	"7.69"	"6.79"	"5.1"	"4.42"	"4.5"	"4.62"	"3.65"	"2.91"
"1907"	"3.06"	"3.7"	"5.16"	"6.45"	"7.15"	"6.95"	"5.48"	"4.25"	"4.63"	"4.78"	"3.66"	"2.79"
"1908"	"2.91"	"3.83"	"5.23"	"6.81"	"7.4"	"6.93"	"4.99"	"4.23"	"4.55"	"4.63"	"3.56"	"2.8"
"1909"	"2.96"	"3.79"	"5.54"	"6.44"	"7.29"	"6.64"	"5"	"4.24"	"4.51"	"4.67"	"3.7"	"2.81"
"1910"	"2.9"	"3.85"	"5.37"	"6.54"	"7.39"	"6.51"	"5.06"	"4.32"	"4.56"	"4.5"	"3.47"	"2.89"
"1911"	"3.08"	"3.85"	"5.11"	"6.64"	"7.55"	"6.72"	"5.37"	"4.48"	"4.52"	"4.74"	"3.51"	"2.9"
"1912"	"3.05"	"3.98"	"5.29"	"6.71"	"7.48"	"7.06"	"5.19"	"4.28"	"4.51"	"4.64"	"3.47"	"2.84"
"1913"	"2.97"	"3.82"	"5.13"	"6.87"	"7.21"	"6.56"	"5.15"	"4.35"	"4.7"	"4.88"	"3.6"	"2.87"
"1914"	"3.09"	"3.82"	"5.28"	"6.68"	"7.47"	"6.65"	"5.1"	"4.33"	"4.63"	"4.66"	"3.7"	"2.83"
"1915"	"2.96"	"3.59"	"5.34"	"6.65"	"7.56"	"7.04"	"5.45"	"4.42"	"4.87"	"4.85"	"3.64"	"2.96"
"1916"	"3.04"	"3.77"	"5.65"	"6.85"	"7.38"	"6.5"	"5.31"	"4.28"	"4.59"	"4.56"	"3.44"	"2.79"
"1917"	"3.01"	"3.82"	"5.29"	"6.37"	"6.97"	"6.51"	"4.99"	"4.23"	"4.46"	"4.44"	"3.32"	"2.83"
"1918"	"2.81"	"3.85"	"5.32"	"6.41"	"7.54"	"6.71"	"5.35"	"4.43"	"4.66"	"4.79"	"3.63"	"2.78"
"1919"	"2.97"	"3.73"	"5.41"	"6.57"	"7.28"	"6.85"	"5.05"	"4.24"	"4.53"	"4.62"	"3.56"	"2.81"
"1920"	"2.96"	"3.79"	"5.41"	"6.61"	"6.96"	"6.59"	"4.99"	"4.28"	"4.76"	"4.85"	"3.71"	"2.92"
"1921"	"3"	"3.85"	"5.68"	"6.94"	"7.56"	"6.91"	"5.44"	"4.3"	"4.45"	"4.63"	"3.57"	"3.01"
"1922"	"2.9"	"3.96"	"5.47"	"6.77"	"7.4"	"6.71"	"5.11"	"4.27"	"4.49"	"4.62"	"3.55"	"2.83"
"1923"	"2.95"	"3.76"	"5.39"	"6.73"	"7.27"	"7.11"	"5.15"	"4.19"	"4.56"	"4.58"	"3.56"	"2.88"
"1924"	"2.89"	"3.84"	"5.56"	"6.8"	"7.14"	"6.92"	"5.15"	"4.27"	"4.48"	"4.49"	"3.44"	"2.83"
"1925"	"2.79"	"3.6"	"5.4"	"6.93"	"7.24"	"6.41"	"4.94"	"4.44"	"4.77"	"4.84"	"3.56"	"2.87"
"1926"	"3"	"4.04"	"5.2"	"6.2"	"7.13"	"7.09"	"5.19"	"4.3"	"4.47"	"4.55"	"3.35"	"2.75"
"1927"	"2.77"	"3.58"	"5.14"	"6.52"	"7.27"	"6.84"	"5.11"	"4.23"	"4.54"	"4.62"	"3.36"	"2.87"
"1928"	"2.9"	"3.82"	"5.37"	"6.61"	"7.43"	"6.81"	"5.1"	"4.34"	"4.59"	"4.64"	"3.6"	"2.79"
"1929"	"2.88"	"3.62"	"5.53"	"6.69"	"7.43"	"6.83"	"5.09"	"4.29"	"4.64"	"4.68"	"3.69"	"2.79"
"1930"	"2.96"	"3.79"	"5.46"	"6.58"	"7.27"	"6.78"	"5.03"	"4.32"	"4.76"	"4.84"	"3.53"	"2.91"
"1931"	"3.08"	"3.69"	"5.3"	"6.89"	"7.46"	"7.09"	"5.24"	"4.32"	"4.55"	"4.53"	"3.56"	"2.91"
"1932"	"3.21"	"3.75"	"5.34"	"6.58"	"7.31"	"6.9"	"5.18"	"4.28"	"4.65"	"4.72"	"3.51"	"2.91"
"1933"	"2.83"	"3.85"	"5.35"	"6.42"	"7.02"	"6.64"	"5.11"	"4.25"	"4.45"	"4.55"	"3.53"	"2.87"
"1934"	"2.83"	"3.94"	"5.22"	"6.65"	"7.31"	"6.7"	"5.06"	"4.28"	"4.47"	"4.55"	"3.52"	"2.89"
"1935"	"2.77"	"3.82"	"5.29"	"6.24"	"7.4"	"6.9"	"5.04"	"4.23"	"4.48"	"4.51"	"3.6"	"2.82"
"1936"	"2.79"	"3.8"	"5.24"	"6.5"	"7.54"	"6.51"	"5.06"	"4.28"	"4.55"	"4.64"	"3.52"	"2.82"
"1937"	"2.89"	"3.86"	"5.13"	"6.52"	"7.37"	"6.87"	"5.01"	"4.33"	"4.59"	"4.62"	"3.65"	"2.76"
"1938"	"2.92"	"3.64"	"5.55"	"6.74"	"7.53"	"6.31"	"5.08"	"4.36"	"4.76"	"4.74"	"3.47"	"2.88"
"1939"	"3.07"	"3.73"	"5.04"	"6.44"	"7.37"	"6.64"	"5.09"	"4.5"	"4.61"	"4.81"	"3.6"	"2.89"
"1940"	"2.96"	"3.79"	"5.19"	"6.5"	"7.43"	"6.81"	"5.19"	"4.23"	"4.58"	"4.69"	"3.66"	"2.85"
"1941"	"2.9"	"3.88"	"5.59"	"6.89"	"7.48"	"6.84"	"5.23"	"4.39"	"4.73"	"4.95"	"3.7"	"3.02"
