
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.464"	"6.723"	"7.343"	"8.399"	"14.491"	"26.524"	"30.955"	"26.948"	"25.087"	"14.981"	"9.74"	"8.949"
"1902"	"8.628"	"7.861"	"8.432"	"8.864"	"14.652"	"24.578"	"28.022"	"28.747"	"24.322"	"13.537"	"8.979"	"8.415"
"1903"	"8.064"	"7.353"	"6.921"	"7.916"	"13.574"	"26.928"	"30.476"	"26.861"	"25.082"	"12.974"	"8.773"	"8.221"
"1904"	"8.058"	"7.776"	"6.868"	"8.496"	"14.014"	"23.984"	"26.759"	"26.897"	"24.322"	"13.537"	"9.054"	"8.82"
"1905"	"7.442"	"5.596"	"6.184"	"7.261"	"15.331"	"26.009"	"28.77"	"28.733"	"26.604"	"14.294"	"9.985"	"8.819"
"1906"	"7.619"	"6.693"	"6.847"	"8.285"	"15.965"	"23.895"	"28.005"	"28.747"	"22.971"	"13.333"	"9.783"	"8.82"
"1907"	"8.54"	"7.094"	"6.924"	"7.481"	"13.199"	"25.169"	"32.352"	"26.816"	"24.384"	"14.037"	"9.785"	"8.221"
"1908"	"7.923"	"7.729"	"6.942"	"8.512"	"14.014"	"25.03"	"26.407"	"26.95"	"24.322"	"13.305"	"8.994"	"8.371"
"1909"	"8.063"	"7.517"	"7.951"	"7.342"	"13.48"	"23.796"	"26.273"	"26.853"	"23.883"	"13.271"	"9.299"	"8.22"
"1910"	"8.064"	"7.729"	"7.343"	"7.753"	"14.014"	"23.288"	"27.554"	"26.946"	"24.322"	"12.66"	"8.55"	"8.618"
"1911"	"8.614"	"7.76"	"6.435"	"8.52"	"15.019"	"23.274"	"30.538"	"28.499"	"24.339"	"13.537"	"8.982"	"8.82"
"1912"	"8.523"	"8.319"	"7.152"	"8.559"	"14.491"	"26.964"	"28.183"	"26.96"	"24.322"	"13.636"	"8.681"	"8.517"
"1913"	"7.951"	"7.74"	"6.34"	"8.915"	"13.682"	"22.645"	"27.959"	"28.082"	"25.84"	"14.515"	"9.767"	"8.815"
"1914"	"8.973"	"7.665"	"6.996"	"8.337"	"14.665"	"23.97"	"27.941"	"26.96"	"24.322"	"13.62"	"9.783"	"8.425"
"1915"	"8.058"	"6.959"	"7.143"	"8.512"	"15.508"	"26.681"	"31.901"	"28.331"	"26.963"	"14.562"	"9.771"	"8.82"
"1916"	"8.443"	"7.114"	"8.233"	"8.613"	"14.014"	"22.564"	"29.012"	"26.944"	"24.322"	"12.644"	"8.467"	"8.221"
"1917"	"8.064"	"7.792"	"7.046"	"7.19"	"12.21"	"22.578"	"26.369"	"26.943"	"23.735"	"12.202"	"8.103"	"8.794"
"1918"	"7.477"	"7.793"	"7.343"	"7.683"	"14.772"	"23.906"	"30.528"	"29.422"	"24.83"	"13.986"	"9.738"	"8.221"
"1919"	"8.038"	"7.379"	"7.443"	"8.324"	"14.014"	"25.023"	"27.914"	"26.96"	"24.334"	"13.113"	"9.351"	"8.221"
"1920"	"8.064"	"7.793"	"7.431"	"8.414"	"12.205"	"23.665"	"26.76"	"27.786"	"26.577"	"14.62"	"9.783"	"8.759"
"1921"	"8.07"	"7.777"	"8.764"	"9.423"	"15.31"	"24.223"	"30.933"	"26.962"	"24.081"	"13.349"	"9.316"	"9.432"
"1922"	"8.064"	"8.366"	"7.443"	"8.559"	"14.024"	"23.97"	"28.126"	"26.946"	"24.322"	"13.537"	"9.28"	"8.318"
"1923"	"8.064"	"7.766"	"7.343"	"8.557"	"14.014"	"26.638"	"28.526"	"26.915"	"24.322"	"12.727"	"9.014"	"8.82"
"1924"	"7.771"	"7.793"	"8.042"	"8.54"	"12.786"	"25.356"	"27.966"	"26.946"	"23.971"	"12.664"	"8.712"	"8.492"
"1925"	"6.888"	"7.028"	"7.671"	"9.159"	"13.583"	"20.729"	"26.318"	"28.687"	"25.892"	"14.537"	"9.076"	"8.406"
"1926"	"8.064"	"8.486"	"6.942"	"6.936"	"13.297"	"27.01"	"28.692"	"26.948"	"24.324"	"12.557"	"7.855"	"8.069"
"1927"	"6.89"	"6.777"	"6.779"	"7.884"	"14.014"	"24.458"	"27.941"	"26.935"	"24.322"	"13.574"	"8.608"	"8.82"
"1928"	"8.064"	"7.78"	"7.343"	"8.557"	"14.69"	"23.921"	"27.941"	"28.192"	"24.896"	"13.537"	"9.767"	"8.35"
"1929"	"7.744"	"6.889"	"8.038"	"8.558"	"14.394"	"23.958"	"27.925"	"26.944"	"24.471"	"13.514"	"9.769"	"8.198"
"1930"	"8.064"	"7.793"	"7.443"	"7.96"	"14.014"	"23.953"	"26.23"	"26.888"	"25.959"	"14.277"	"8.922"	"8.816"
"1931"	"8.629"	"7.146"	"7.204"	"9.06"	"14.179"	"26.474"	"29.746"	"27.748"	"24.324"	"12.643"	"8.994"	"8.816"
"1932"	"9.442"	"7.42"	"7.094"	"7.914"	"14.014"	"24.883"	"28.086"	"26.962"	"24.943"	"13.537"	"8.994"	"8.815"
"1933"	"7.432"	"7.793"	"7.443"	"7.506"	"12.621"	"23.921"	"28.082"	"26.946"	"23.738"	"12.685"	"9.036"	"8.82"
"1934"	"7.244"	"7.876"	"6.859"	"8.556"	"14.014"	"23.921"	"28.026"	"26.888"	"23.612"	"12.288"	"8.984"	"8.82"
