
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1362"	"0.8487"	"0.9895"	"0.5375"	"1.0078"	"3.2344"	"11.2235"	"11.1977"	"2.5777"	"1.5427"	"0.182"	"1.0001"
"1902"	"1.0363"	"0"	"0"	"0.011"	"0.1053"	"4.609"	"9.3465"	"8.4224"	"5.7234"	"1.1713"	"2.1491"	"0.9882"
"1903"	"0.8792"	"0.1452"	"0.2438"	"0"	"1.3693"	"1.7859"	"11.7362"	"12.0381"	"6.1125"	"1.1181"	"0.182"	"0"
"1904"	"0.9423"	"1.0001"	"1.0001"	"0"	"1.4159"	"4.3018"	"10.7249"	"9.0081"	"5.0071"	"1.2654"	"1.0811"	"1.0001"
"1905"	"1.0572"	"1.0001"	"1.0001"	"0.6023"	"1.0078"	"1.9823"	"10.5847"	"4.8588"	"5.9756"	"0.2001"	"0.4245"	"0.3693"
"1906"	"0.1109"	"1.0001"	"0.5763"	"0"	"0.256"	"5.8599"	"10.5439"	"8.7689"	"7.3437"	"0.8945"	"0.182"	"1.0001"
"1907"	"1.0363"	"1.0001"	"0.2229"	"1.0001"	"1.0078"	"3.075"	"8.7112"	"14.2914"	"1.3551"	"0.2001"	"1.0638"	"0"
"1908"	"1.0811"	"0"	"0.9276"	"0.4902"	"1.0074"	"4.2637"	"15.4693"	"13.7406"	"4.3281"	"1.0501"	"1.0047"	"0.3693"
"1909"	"1.0363"	"0.3374"	"0"	"0.9164"	"1.3154"	"5.0223"	"12.7799"	"8.162"	"7.3103"	"0.2001"	"0.182"	"1.0001"
"1910"	"1.0385"	"0.3392"	"0"	"0.7426"	"1.0078"	"5.8865"	"7.9283"	"12.3392"	"5.5521"	"1.2795"	"1.0862"	"0"
"1911"	"1.142"	"0"	"1.0001"	"0"	"0"	"4.8216"	"5.4037"	"7.4851"	"6.5215"	"0.2631"	"2.6309"	"1.0001"
"1912"	"1.0999"	"0.1489"	"0.2945"	"0.1296"	"0.2532"	"3.2824"	"11.5626"	"12.148"	"4.6291"	"1.0966"	"2.3504"	"0.7906"
"1913"	"0"	"1.0001"	"0.8777"	"0"	"1.1968"	"4.9541"	"8.8745"	"6.8726"	"5.7924"	"0.2001"	"0.182"	"1.0001"
"1914"	"0"	"0.8075"	"0.9764"	"0.7857"	"1.762"	"5.7478"	"12.2757"	"8.9818"	"7.0177"	"1.0501"	"1.08"	"0.9645"
"1915"	"1.0363"	"1.0001"	"1.0001"	"1.0001"	"1.0078"	"4.2371"	"8.9833"	"7.4265"	"5.6785"	"2.6938"	"0.9063"	"0.9527"
"1916"	"0"	"0.8593"	"0"	"0.1223"	"1.2391"	"4.6447"	"10.7092"	"11.9705"	"6.9006"	"1.8243"	"1.1602"	"0"
"1917"	"0.7287"	"1.0001"	"0.6084"	"1.0001"	"2.2721"	"4.8648"	"10.3269"	"13.6869"	"8.9134"	"2.3204"	"0.182"	"0.9992"
"1918"	"1.0363"	"0"	"1.0001"	"0"	"1.4259"	"3.6518"	"6.3106"	"8.356"	"3.3514"	"0.3839"	"1.2395"	"0.0019"
"1919"	"1.3079"	"0"	"0.0277"	"0.9582"	"0.9131"	"3.9368"	"10.8996"	"13.6146"	"4.6881"	"1.4153"	"1.5748"	"1.0001"
"1920"	"1.0363"	"1.0001"	"0.9582"	"0"	"1.2691"	"6.2668"	"10.5685"	"6.3899"	"3.0341"	"0.2001"	"0.182"	"0"
"1921"	"1.0869"	"0"	"0"	"0.0073"	"0"	"4.375"	"8.9751"	"9.589"	"7.0564"	"0.2001"	"0.182"	"0"
"1922"	"1.1285"	"1.0001"	"0.0027"	"0.2136"	"0.0984"	"4.4037"	"10.941"	"8.3809"	"7.8788"	"1.0501"	"1.6001"	"1.0001"
"1923"	"0.7232"	"0.9582"	"1.0001"	"0.7985"	"0.8202"	"1.2078"	"12.4625"	"12.1285"	"5.7969"	"1.0501"	"0.1848"	"1.0001"
"1924"	"1.0895"	"0.9114"	"0"	"0"	"1.194"	"3.1735"	"9.87"	"10.0294"	"7.3515"	"1.7146"	"1.08"	"1.0001"
"1925"	"0"	"0"	"0"	"0"	"1.4704"	"5.9889"	"11.3665"	"7.7154"	"2.9279"	"0.2622"	"2.5562"	"0.5528"
"1926"	"1.0363"	"1.0001"	"1.0001"	"1.0001"	"1.4746"	"2.3832"	"9.7419"	"14.0033"	"7.8016"	"0.2078"	"1.0802"	"0"
"1927"	"0"	"1.0001"	"0.9645"	"0.2192"	"0.9556"	"2.7932"	"13.0133"	"13.8853"	"5.5559"	"1.6763"	"2.5243"	"1.0001"
"1928"	"0.9162"	"1.0001"	"0.4037"	"0.0028"	"0.5577"	"2.8873"	"10.9914"	"8.6782"	"5.7371"	"2.6959"	"1.158"	"1.0001"
"1929"	"1.0413"	"1.0001"	"0"	"1.0001"	"0.2578"	"4.8409"	"10.5725"	"9.0516"	"2.8374"	"1.0571"	"0.182"	"1.0001"
"1930"	"1.0363"	"0.651"	"0"	"0.3485"	"1.2945"	"5.5185"	"11.1649"	"8.7688"	"4.9699"	"1.4821"	"1.0239"	"0"
"1931"	"0"	"0.5589"	"0"	"0.0073"	"0.6858"	"3.2026"	"8.5435"	"16.083"	"7.3704"	"2.959"	"1.1969"	"0"
