
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.443"	"17.061"	"25.193"	"29.797"	"34.562"	"35.964"	"33.08"	"30.064"	"30.757"	"29.475"	"22.441"	"18.648"
"1902"	"17.711"	"19.903"	"27.026"	"31.371"	"34.318"	"33.601"	"32.652"	"31.448"	"29.88"	"27.622"	"21.956"	"17.079"
"1903"	"16.156"	"18.047"	"22.142"	"28.431"	"33.86"	"36.184"	"32.617"	"30.039"	"30.536"	"27.872"	"20.452"	"16.36"
"1904"	"15.753"	"19.504"	"23.333"	"30.937"	"34.236"	"33.97"	"30.937"	"29.636"	"30.203"	"27.752"	"21.827"	"17.183"
"1905"	"14.194"	"13.953"	"21.023"	"28.115"	"36.074"	"34.626"	"32.36"	"31.076"	"30.987"	"28.441"	"23.576"	"17.632"
"1906"	"14.625"	"16.248"	"22.547"	"29.119"	"35.549"	"33.911"	"32.037"	"30.789"	"29.418"	"28.062"	"23.07"	"18.184"
"1907"	"18.328"	"17.442"	"22.599"	"28.635"	"32.361"	"34.446"	"33.62"	"28.504"	"28.881"	"27.185"	"22.423"	"16.494"
"1908"	"16.334"	"18.892"	"23.46"	"30.386"	"33.695"	"34.574"	"29.622"	"28.084"	"28.452"	"26.424"	"20.85"	"16.3"
"1909"	"15.14"	"17.835"	"24.17"	"28.508"	"32.676"	"34.119"	"29.564"	"28.365"	"27.926"	"26.961"	"22.321"	"15.888"
"1910"	"15.485"	"19.242"	"24.042"	"28.188"	"33.873"	"33.921"	"29.973"	"28.82"	"29.704"	"26.349"	"20.335"	"16.658"
"1911"	"17.011"	"19.605"	"22.042"	"29.469"	"35.074"	"33.942"	"33.043"	"31.222"	"29.75"	"27.875"	"19.773"	"17.477"
"1912"	"17.272"	"19.493"	"23.197"	"30.169"	"34.554"	"35.594"	"31.508"	"29.17"	"28.725"	"27.289"	"20.426"	"17.147"
"1913"	"16.906"	"18.608"	"21.847"	"30.927"	"33.037"	"33.442"	"30.605"	"29.747"	"30.014"	"28.348"	"21.732"	"16.636"
"1914"	"18.357"	"17.625"	"22.985"	"29.995"	"35.552"	"33.739"	"30.7"	"29.587"	"30.102"	"27.157"	"22.566"	"15.978"
"1915"	"15.725"	"17.303"	"24.528"	"29.493"	"35.19"	"35.344"	"33.2"	"31.072"	"32.252"	"29.054"	"21.897"	"17.857"
"1916"	"17.473"	"17.277"	"26.499"	"30.359"	"33.269"	"33.325"	"32.088"	"29.191"	"29.174"	"25.637"	"19.356"	"16.016"
"1917"	"17.035"	"19.407"	"23.663"	"27.041"	"30.805"	"32.789"	"29.647"	"28.134"	"27.81"	"25.044"	"19.723"	"16.937"
"1918"	"15.118"	"19.527"	"23.586"	"27.442"	"34.804"	"33.553"	"32.344"	"30.742"	"29.528"	"27.69"	"21.939"	"16.003"
"1919"	"15.81"	"18.291"	"24.067"	"28.697"	"33.382"	"35.203"	"31.276"	"29.107"	"28.542"	"27.025"	"20.956"	"16.289"
"1920"	"16.177"	"18.22"	"24.393"	"28.809"	"30.294"	"31.199"	"30.077"	"28.926"	"31.171"	"28.575"	"22.654"	"16.906"
"1921"	"16.835"	"19.307"	"26.833"	"32.031"	"34.693"	"35.28"	"32.669"	"29.226"	"29.248"	"27.008"	"21.871"	"18.649"
"1922"	"15.548"	"20.227"	"24.694"	"30.617"	"33.406"	"33.755"	"31.924"	"29.361"	"28.979"	"26.77"	"21.413"	"16.833"
"1923"	"16.323"	"18.038"	"25.322"	"30.164"	"32.807"	"34.872"	"31.487"	"28.468"	"29.751"	"27.005"	"20.66"	"16.842"
"1924"	"15.302"	"19.09"	"26.14"	"30.321"	"31.414"	"34.934"	"32.458"	"29.706"	"28.035"	"26.379"	"20.361"	"17.011"
"1925"	"14.192"	"16.614"	"25.434"	"32.458"	"33.455"	"32.069"	"29.84"	"30.837"	"31.365"	"29.049"	"21.169"	"17.488"
"1926"	"16.784"	"21.511"	"23.271"	"27.314"	"32.005"	"35.492"	"32.008"	"29.377"	"28.484"	"26.61"	"19.446"	"16.311"
"1927"	"14.171"	"16.655"	"22.816"	"28.989"	"32.993"	"34.314"	"30.696"	"28.447"	"28.724"	"27.457"	"20.751"	"17.636"
"1928"	"15.939"	"19.645"	"24.933"	"29.881"	"34.74"	"34.219"	"31.616"	"29.777"	"28.866"	"27.632"	"22.076"	"16.021"
"1929"	"15.551"	"17.645"	"26.46"	"30.418"	"34.015"	"34.283"	"30.221"	"28.676"	"29.741"	"27.058"	"22.363"	"15.17"
"1930"	"15.387"	"18.717"	"24.536"	"28.747"	"33.163"	"33.27"	"29.566"	"28.959"	"31.27"	"28.076"	"20.719"	"17.053"
"1931"	"17.32"	"16.229"	"23.531"	"31.049"	"33.662"	"34.836"	"31.48"	"29.559"	"29.204"	"26.546"	"21.397"	"17.828"
"1932"	"19.157"	"18.789"	"24.843"	"29.716"	"33.649"	"35.017"	"31.211"	"28.475"	"30.578"	"27.604"	"21.08"	"17.646"
"1933"	"14.721"	"19.092"	"23.988"	"28.426"	"31.792"	"33.446"	"30.705"	"27.725"	"28.577"	"26.654"	"21.501"	"17.475"
"1934"	"13.867"	"20.588"	"23.287"	"29.797"	"33.199"	"33.92"	"30.832"	"28.837"	"29.366"	"26.439"	"21.104"	"18.095"
"1935"	"14.005"	"19.054"	"24.263"	"27.11"	"33.756"	"35.152"	"30.487"	"29.188"	"28.819"	"26.399"	"21.954"	"17.239"
"1936"	"14.9"	"19.313"	"23.129"	"29.573"	"35.828"	"32.739"	"30.759"	"29.245"	"29.666"	"27.876"	"21.676"	"16.915"
"1937"	"15.78"	"19.315"	"22.627"	"29.204"	"34.222"	"35.245"	"30.272"	"29.883"	"29.941"	"26.48"	"21.584"	"15.189"
"1938"	"15.235"	"17.303"	"25.645"	"30.614"	"35.236"	"32.847"	"31.834"	"30.291"	"30.981"	"28.653"	"20.383"	"17.206"
"1939"	"17.183"	"19.402"	"21.594"	"27.88"	"34.011"	"33.017"	"31.634"	"31.656"	"30.61"	"28.479"	"21.931"	"18.745"
"1940"	"17.33"	"18.834"	"22.612"	"28.785"	"34.76"	"33.763"	"31.805"	"29.153"	"29.083"	"28.154"	"22.812"	"17.039"
"1941"	"15.339"	"20.369"	"26.398"	"31.676"	"34.651"	"33.486"	"31.476"	"30.608"	"30.162"	"29.997"	"22.318"	"18.34"
"1942"	"15.459"	"19.653"	"25.564"	"31.738"	"33.906"	"35.34"	"30.327"	"28.812"	"28.578"	"27.221"	"22.216"	"15.897"
"1943"	"15.672"	"18.992"	"25.381"	"28.894"	"34.714"	"33.81"	"30.556"	"28.372"	"29.357"	"27.054"	"21.628"	"18.586"
"1944"	"15.711"	"18.613"	"23.471"	"29.427"	"34.458"	"33.903"	"30.673"	"28.773"	"29.091"	"26.137"	"22.165"	"17.847"
"1945"	"13.724"	"17.851"	"24.87"	"28.708"	"33.332"	"33.728"	"29.759"	"29.481"	"28.942"	"26.741"	"21.187"	"15.443"
"1946"	"16.482"	"20.454"	"23.777"	"32.774"	"34.141"	"34.617"	"31.047"	"28.722"	"28.532"	"28.045"	"20.703"	"16.34"
"1947"	"14.975"	"19.13"	"25.141"	"30.651"	"34.88"	"34.975"	"33.02"	"30.194"	"28.451"	"25.626"	"22.741"	"17.364"
