
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.966"	"15.34"	"25.658"	"22.13"	"21.605"	"33.382"	"57.605"	"55.863"	"33.848"	"11.617"	"10.367"	"12.924"
"1902"	"17.041"	"15.95"	"26.275"	"22.13"	"21.103"	"32.759"	"57.287"	"55.939"	"33.423"	"11.724"	"10.367"	"12.924"
"1903"	"17.041"	"15.95"	"26.219"	"22.13"	"21.62"	"33.212"	"57.339"	"56.501"	"34.146"	"10.959"	"10.367"	"12.924"
"1904"	"17.041"	"15.95"	"26.243"	"22.199"	"21.537"	"33.382"	"57.139"	"55.946"	"34.128"	"11.724"	"10.538"	"12.924"
"1905"	"17.041"	"15.95"	"26.275"	"22.13"	"21.596"	"33.382"	"57.637"	"56.501"	"33.782"	"11.708"	"10.367"	"12.924"
"1906"	"17.041"	"15.95"	"25.629"	"22.13"	"21.604"	"33.708"	"57.339"	"56.057"	"34.146"	"10.868"	"10.367"	"12.92"
"1907"	"17.041"	"15.991"	"26.045"	"22.13"	"21.605"	"33.821"	"57.911"	"56.375"	"34.146"	"12.079"	"11.073"	"12.884"
"1908"	"17.041"	"15.95"	"26.171"	"22.267"	"21.663"	"32.974"	"57.255"	"56.174"	"33.766"	"11.724"	"10.367"	"12.924"
"1909"	"16.778"	"15.95"	"26.275"	"22.018"	"20.832"	"32.79"	"57.32"	"55.939"	"33.508"	"11.07"	"10.356"	"12.924"
"1910"	"17.041"	"15.95"	"26.275"	"22.055"	"21.501"	"33.382"	"57.621"	"55.946"	"34.146"	"11.724"	"10.367"	"12.924"
"1911"	"17.041"	"15.95"	"26.275"	"22.13"	"21.605"	"33.224"	"57.142"	"56.068"	"34.146"	"11.724"	"9.664"	"12.924"
"1912"	"17.041"	"15.95"	"25.603"	"21.47"	"21.602"	"33.32"	"56.144"	"55.887"	"33.407"	"11.066"	"9.611"	"12.905"
"1913"	"17.064"	"15.945"	"25.802"	"22.13"	"20.641"	"32.742"	"57.17"	"56.249"	"33.435"	"11.629"	"10.336"	"12.924"
"1914"	"17.041"	"15.95"	"25.523"	"21.592"	"20.881"	"32.671"	"56.827"	"56.418"	"32.864"	"10.943"	"10.725"	"12.993"
"1915"	"16.908"	"15.953"	"25.208"	"22.136"	"20.32"	"32.181"	"56.952"	"55.507"	"33.1"	"10.959"	"9.721"	"12.924"
"1916"	"17.437"	"15.95"	"26.275"	"21.961"	"21.605"	"33.327"	"56.843"	"56.402"	"34.146"	"10.86"	"10.188"	"12.924"
"1917"	"16.751"	"15.387"	"25.291"	"21.407"	"20.435"	"32.619"	"56.446"	"55.862"	"33.411"	"11.668"	"9.74"	"12.922"
