
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1902"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1903"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.359"	"10.755"	"16.06"	"17.203"	"17.029"
"1904"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1905"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1906"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1907"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"15.919"	"17.203"	"17.029"
"1908"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.797"	"16.06"	"17.203"	"17.029"
"1909"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1910"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1911"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1912"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1913"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1914"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"16.215"	"17.029"
"1915"	"16.444"	"16.351"	"16.478"	"15.712"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1916"	"16.444"	"16.351"	"16.537"	"15.755"	"14.465"	"12.177"	"9.603"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1917"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1918"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1919"	"16.994"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.226"
"1920"	"16.441"	"16.351"	"16.478"	"15.513"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1921"	"16.444"	"16.351"	"16.38"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.16"	"17.203"	"17.029"
"1922"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.332"	"17.203"	"17.029"
"1923"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1924"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.131"	"17.203"	"17.029"
"1925"	"16.439"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1926"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.061"	"17.232"	"17.029"
"1927"	"16.444"	"16.351"	"16.483"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1928"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.211"	"16.942"
"1929"	"16.444"	"16.35"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1930"	"16.444"	"16.251"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1931"	"16.444"	"16.266"	"16.478"	"15.755"	"14.465"	"12.154"	"9.141"	"8.263"	"10.842"	"16.06"	"17.203"	"17.029"
"1932"	"16.444"	"16.351"	"16.575"	"15.755"	"14.465"	"12.177"	"9.141"	"8.262"	"10.755"	"16.06"	"17.203"	"17.025"
"1933"	"16.991"	"16.25"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.05"	"17.005"
"1934"	"16.444"	"16.409"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.105"	"17.203"	"17.029"
"1935"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.155"	"9.141"	"8.304"	"10.858"	"16.06"	"17.203"	"17.029"
"1936"	"16.444"	"16.975"	"16.549"	"15.756"	"14.489"	"12.177"	"9.141"	"8.263"	"10.755"	"16.125"	"17.203"	"17.029"
"1937"	"16.444"	"16.358"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.421"	"10.755"	"16.034"	"17.203"	"17.328"
"1938"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.081"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1939"	"16.444"	"16.351"	"16.478"	"15.755"	"14.485"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1940"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.256"	"10.755"	"16.06"	"17.203"	"17.029"
"1941"	"16.444"	"16.351"	"16.544"	"15.958"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1942"	"16.444"	"16.351"	"16.52"	"15.755"	"14.465"	"12.177"	"9.144"	"8.263"	"10.755"	"16.06"	"17.203"	"17.121"
"1943"	"16.444"	"16.351"	"16.478"	"15.755"	"14.363"	"12.177"	"9.394"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1944"	"16.444"	"16.351"	"16.478"	"15.756"	"14.465"	"12.177"	"9.474"	"8.263"	"10.755"	"16.06"	"17.203"	"16.718"
"1945"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1946"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.224"	"9.203"	"8.269"	"10.756"	"16.06"	"17.203"	"17.029"
"1947"	"16.444"	"16.351"	"16.699"	"15.755"	"14.465"	"12.374"	"9.141"	"8.263"	"10.755"	"16.125"	"17.203"	"17.029"
"1948"	"16.444"	"16.415"	"16.478"	"15.57"	"14.465"	"12.177"	"9.141"	"8.164"	"10.755"	"16.06"	"17.203"	"17.029"
"1949"	"16.446"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.997"	"16.06"	"17.225"	"17.029"
"1950"	"16.444"	"16.351"	"16.478"	"15.756"	"14.465"	"12.275"	"9.166"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1951"	"16.513"	"16.351"	"16.478"	"15.756"	"14.465"	"12.178"	"9.169"	"8.271"	"10.755"	"16.06"	"17.203"	"17.084"
"1952"	"16.144"	"16.351"	"16.478"	"15.755"	"14.77"	"12.336"	"9.141"	"8.257"	"10.755"	"17.283"	"17.123"	"17.029"
"1953"	"16.444"	"16.417"	"16.478"	"15.429"	"14.465"	"12.177"	"9.141"	"8.209"	"10.755"	"16.06"	"16.837"	"17.029"
"1954"	"16.444"	"16.351"	"16.439"	"15.755"	"14.433"	"12.177"	"9.075"	"7.698"	"10.927"	"16.56"	"17.04"	"17.029"
"1955"	"16.444"	"16.439"	"16.451"	"15.756"	"14.424"	"12.171"	"9.005"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1956"	"16.317"	"16.368"	"16.356"	"15.296"	"14.465"	"12.177"	"9.367"	"8.263"	"10.755"	"15.757"	"17.203"	"17.029"
"1957"	"16.444"	"16.351"	"16.544"	"15.755"	"14.465"	"12.177"	"9.141"	"7.668"	"10.709"	"15.972"	"17.452"	"17.034"
"1958"	"16.439"	"16.351"	"16.478"	"15.753"	"14.459"	"12.205"	"9.18"	"8.258"	"10.755"	"16.06"	"17.203"	"17.021"
"1959"	"16.407"	"16.289"	"16.479"	"15.755"	"14.458"	"12.177"	"9.143"	"8.263"	"10.779"	"16.12"	"17.263"	"17.271"
"1960"	"16.444"	"16.378"	"16.478"	"15.558"	"14.493"	"12.177"	"9.141"	"8.287"	"10.755"	"16.062"	"17.035"	"17.029"
"1961"	"16.444"	"15.811"	"16.001"	"15.446"	"13.856"	"12.246"	"8.78"	"7.976"	"10.416"	"15.6"	"17.051"	"16.856"
"1962"	"16.307"	"15.749"	"17.071"	"15.343"	"14.279"	"12.22"	"9.045"	"8.138"	"10.294"	"15.865"	"16.557"	"16.478"
"1963"	"17.468"	"16.753"	"16.212"	"15.094"	"14.137"	"12.121"	"9.306"	"8.095"	"10.741"	"15.897"	"16.707"	"17.538"
"1964"	"16.242"	"16.103"	"16.478"	"15.642"	"14.409"	"12.077"	"8.715"	"8.456"	"10.755"	"16.094"	"17.203"	"16.34"
"1965"	"16.209"	"16.266"	"16.28"	"15.642"	"13.949"	"12.11"	"8.942"	"8.13"	"10.537"	"15.812"	"17.212"	"17.029"
"1966"	"17.222"	"16.568"	"16.37"	"15.221"	"14.784"	"12.513"	"9.438"	"8.418"	"10.755"	"16.244"	"17.552"	"17.787"
"1967"	"17.14"	"16.666"	"16.532"	"15.75"	"14.781"	"12.487"	"9.521"	"8.065"	"11.086"	"15.905"	"17.337"	"17.029"
"1968"	"16.644"	"15.974"	"17.078"	"15.756"	"14.345"	"11.973"	"9.244"	"8.372"	"11.997"	"16.06"	"17.009"	"16.849"
"1969"	"16.439"	"16.217"	"17.362"	"15.36"	"14.465"	"11.983"	"8.847"	"8.486"	"10.755"	"16.084"	"16.517"	"17.393"
"1970"	"16.471"	"16.682"	"16.383"	"16.282"	"14.766"	"12.445"	"9.725"	"8.481"	"10.757"	"16.957"	"18.088"	"17.558"
"1971"	"16.904"	"16.596"	"16.503"	"15.906"	"14.37"	"12.315"	"8.822"	"8.384"	"11.975"	"16.442"	"17.571"	"18.143"
"1972"	"16.444"	"16.308"	"16.873"	"15.822"	"14.118"	"12.3"	"9.785"	"8.528"	"10.354"	"15.483"	"16.716"	"16.168"
"1973"	"15.025"	"16.396"	"16.283"	"16.556"	"14.857"	"12.29"	"9.366"	"8.224"	"10.755"	"16.054"	"17.881"	"17.543"
"1974"	"16.074"	"16.224"	"16.61"	"15.946"	"15.487"	"12.186"	"9.141"	"8.658"	"11.301"	"16.114"	"17.749"	"16.911"
"1975"	"16.413"	"16.507"	"16.26"	"15.475"	"14.837"	"12.17"	"9.353"	"8.264"	"9.948"	"16.643"	"17.626"	"17.131"
"1976"	"16.547"	"16.153"	"16.402"	"16.075"	"14.675"	"12.076"	"9.141"	"8.115"	"10.761"	"16.465"	"17.293"	"17.029"
"1977"	"15.979"	"17.049"	"17.332"	"15.605"	"14.379"	"11.79"	"8.92"	"8.161"	"10.416"	"16.171"	"17.454"	"17.159"
"1978"	"16.471"	"16.284"	"16.4"	"15.809"	"15.122"	"12.942"	"8.981"	"8.05"	"10.502"	"16.344"	"16.333"	"17.265"
"1979"	"16.342"	"16.155"	"15.756"	"15.567"	"14.264"	"12.201"	"9.045"	"8.707"	"10.755"	"16.124"	"17.139"	"17.035"
"1980"	"16.315"	"16.05"	"16.275"	"15.987"	"14.465"	"11.808"	"9.239"	"8.123"	"10.29"	"15.81"	"17.666"	"17.402"
"1981"	"16.03"	"16.389"	"16.478"	"15.984"	"14.356"	"12.177"	"9.322"	"8.271"	"10.755"	"16.544"	"16.703"	"17.156"
"1982"	"16.236"	"15.942"	"16.178"	"15.565"	"14.376"	"12.177"	"9.148"	"8.139"	"11.046"	"15.984"	"15.784"	"16.8"
"1983"	"16.208"	"16.351"	"16.475"	"15.38"	"14.055"	"11.818"	"9.343"	"8.301"	"10.755"	"15.871"	"17.33"	"17.029"
"1984"	"16.444"	"16.253"	"16.478"	"15.667"	"14.465"	"12.077"	"9.182"	"8.263"	"10.755"	"16.328"	"16.594"	"15.296"
"1985"	"16.109"	"17.908"	"16.143"	"15.756"	"14.465"	"12.034"	"9.161"	"8.005"	"10.755"	"15.72"	"17.203"	"17.029"
"1986"	"16.662"	"16.351"	"16.478"	"15.577"	"14.465"	"12.177"	"9.234"	"8.161"	"10.526"	"16.043"	"17.157"	"17.007"
"1987"	"17.662"	"16.609"	"16.219"	"15.436"	"13.882"	"12.177"	"8.533"	"8.263"	"10.509"	"15.517"	"18.296"	"17.21"
"1988"	"16.288"	"16.351"	"16.175"	"15.996"	"14.519"	"12.074"	"9.043"	"7.998"	"10.225"	"16.159"	"17.387"	"17.029"
"1989"	"16.295"	"15.709"	"16.899"	"16.365"	"14.163"	"11.895"	"9.273"	"8.255"	"10.755"	"16.054"	"17.043"	"16.728"
"1990"	"16.413"	"16.141"	"16.349"	"15.755"	"14.213"	"11.927"	"9.254"	"8.223"	"10.957"	"15.861"	"17.199"	"16.745"
"1991"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"11.952"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1992"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1993"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1994"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1995"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1996"	"16.444"	"16.351"	"16.474"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"1997"	"16.544"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.071"	"17.203"	"17.029"
"1998"	"16.444"	"16.353"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.445"	"17.029"
"1999"	"16.444"	"16.351"	"16.478"	"15.647"	"14.465"	"12.177"	"9.141"	"8.263"	"10.741"	"16.055"	"17.203"	"17.029"
"2000"	"16.444"	"16.351"	"16.478"	"15.567"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
"2001"	"16.413"	"16.392"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.629"	"16.06"	"17.197"	"17.029"
"2002"	"16.444"	"16.351"	"16.478"	"15.755"	"14.465"	"12.177"	"9.141"	"8.263"	"10.755"	"16.06"	"17.203"	"17.029"
