
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.8626"	"1.3409"	"0"	"0.0997"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0058"	"0.0203"
"1902"	"0"	"0"	"0"	"0"	"0"	"0.0377"	"0"	"0"	"0"	"0.0035"	"0.0106"	"2.2329"
"1903"	"1.6133"	"0.5713"	"0.319"	"0.199"	"0.0109"	"0"	"0"	"0"	"0"	"0"	"0.195"	"3.7946"
"1904"	"3.3304"	"0"	"0.1633"	"0"	"0"	"0"	"0.0112"	"0"	"0"	"0"	"0.0345"	"1.879"
"1905"	"5.9134"	"1.8552"	"0.3919"	"0.2091"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1136"
"1906"	"5.1329"	"1.3083"	"0.2804"	"0.1169"	"0"	"0.0012"	"0"	"0"	"0"	"0"	"0"	"0.0003"
"1907"	"0"	"0.9708"	"0.2618"	"0.1721"	"0.0797"	"0"	"0"	"0.0557"	"0.0331"	"0.0538"	"0"	"3.7098"
"1908"	"1.8454"	"0.1545"	"0.1794"	"0"	"0.0112"	"0"	"0.0867"	"0.0938"	"0.0636"	"0.1399"	"0.1601"	"4.2065"
"1909"	"4.3331"	"0.788"	"0.0527"	"0.1804"	"0.0572"	"0"	"0.0836"	"0.0713"	"0.0948"	"0.0855"	"0.0066"	"4.5253"
"1910"	"3.3981"	"0.0133"	"0.112"	"0.2146"	"0"	"0"	"0.066"	"0.0492"	"0"	"0.1567"	"0.2174"	"3.2429"
"1911"	"0.5354"	"0"	"0.3257"	"0.0929"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2614"	"1.5766"
"1912"	"0.1149"	"0.0044"	"0.1956"	"0.0192"	"0"	"0"	"0"	"0.0131"	"0.058"	"0.0046"	"0.2058"	"2.3002"
"1913"	"0.2015"	"0.2499"	"0.3326"	"0"	"0.0429"	"0.0195"	"0.0274"	"0"	"0"	"0"	"0.0641"	"2.6973"
"1914"	"0"	"0.7209"	"0.2292"	"0.0608"	"0"	"0.0013"	"0.029"	"0.0006"	"0"	"0.0347"	"0"	"4.5217"
"1915"	"2.2522"	"1.1065"	"0.0141"	"0.0739"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0397"	"0.898"
"1916"	"0.0317"	"0.991"	"0"	"0"	"0.0055"	"0.031"	"0"	"0.0016"	"0.012"	"0.1864"	"0.2762"	"4.1768"
"1917"	"0.6644"	"0.0063"	"0.1446"	"0.2668"	"0.1307"	"0.0829"	"0.0814"	"0.1006"	"0.1001"	"0.2796"	"0.2433"	"2.5194"
"1918"	"3.9308"	"0"	"0.1507"	"0.2389"	"0"	"0.0109"	"0"	"0"	"0.0023"	"0"	"0.0484"	"4.4328"
"1919"	"2.9827"	"0.5248"	"0.0744"	"0.1413"	"0.0138"	"0"	"0"	"0.0313"	"0.0526"	"0.0422"	"0.107"	"3.9199"
"1920"	"1.7287"	"0.4836"	"0.0125"	"0.1519"	"0.1498"	"0.1387"	"0.0653"	"0.026"	"0"	"0"	"0"	"2.096"
"1921"	"0.3789"	"0.0029"	"0"	"0"	"0"	"0"	"0"	"0.0117"	"0"	"0.0695"	"0.0469"	"0.0001"
"1922"	"3.0316"	"0"	"0"	"0"	"0.0215"	"0.0017"	"0"	"0"	"0.0332"	"0.0985"	"0.064"	"2.7535"
"1923"	"1.6368"	"0.6338"	"0"	"0.0306"	"0.0568"	"0"	"0"	"0.0801"	"0.0012"	"0.0633"	"0.1852"	"2.1487"
"1924"	"3.435"	"0.2016"	"0"	"0"	"0.1145"	"0"	"0"	"0"	"0.0849"	"0.0622"	"0.1803"	"2.1121"
"1925"	"5.1354"	"1.3366"	"0"	"0"	"0.0076"	"0.0854"	"0.069"	"0"	"0"	"0"	"0.0851"	"1.4354"
"1926"	"0.9727"	"0"	"0.1857"	"0.2728"	"0.0942"	"0"	"0"	"0.0176"	"0.0386"	"0.0809"	"0.2551"	"3.5298"
"1927"	"5.599"	"1.1628"	"0.2539"	"0.1447"	"0.044"	"0"	"0.0203"	"0.0685"	"0.0391"	"0"	"0.1642"	"0.7979"
"1928"	"1.9082"	"0"	"0.0001"	"0.0097"	"0"	"0"	"0"	"0"	"0.0392"	"0"	"0.0119"	"4.6503"
"1929"	"3.2312"	"0.7779"	"0"	"0"	"0"	"0"	"0.0425"	"0.0455"	"0"	"0.0669"	"0.0012"	"5.5501"
"1930"	"3.3902"	"0.2359"	"0.0124"	"0.1543"	"0.0315"	"0.02"	"0.0883"	"0.016"	"0"	"0"	"0.1703"	"1.9546"
"1931"	"0.0432"	"1.4292"	"0.1151"	"0"	"0.0146"	"0"	"0"	"0"	"0"	"0.0966"	"0.0632"	"0.6968"
"1932"	"0"	"0.1532"	"0"	"0.0576"	"0.0035"	"0"	"0"	"0.0607"	"0"	"0"	"0.1305"	"0.8602"
"1933"	"4.3606"	"0.0007"	"0.0829"	"0.1722"	"0.0991"	"0.0112"	"0.0016"	"0.1579"	"0.0554"	"0.062"	"0.0506"	"0.6831"
"1934"	"5.7208"	"0"	"0.1725"	"0.063"	"0.0374"	"0"	"0"	"0.0306"	"0.0058"	"0.1508"	"0.0926"	"0.3549"
"1935"	"6.2063"	"0.0476"	"0.0313"	"0.2565"	"0.0027"	"0"	"0.0205"	"0.0084"	"0.0208"	"0.13"	"0.0133"	"1.5582"
"1936"	"4.4285"	"0.0115"	"0.2303"	"0.0538"	"0"	"0.0718"	"0.0209"	"0.0097"	"0"	"0.0151"	"0.0402"	"2.5716"
"1937"	"2.9262"	"0"	"0.2449"	"0.0806"	"0"	"0"	"0.0293"	"0"	"0"	"0.0998"	"0.025"	"5.4389"
"1938"	"3.7304"	"0.8623"	"0"	"0"	"0"	"0.0395"	"0"	"0"	"0"	"0"	"0.1943"	"1.3058"
"1939"	"0.3565"	"0"	"0.3286"	"0.2404"	"0"	"0.0371"	"0"	"0"	"0"	"0"	"0.0099"	"0.0113"
"1940"	"0.0274"	"0.0533"	"0.2692"	"0.1454"	"0"	"0.0001"	"0"	"0.0032"	"0.0016"	"0"	"0"	"1.8056"
"1941"	"3.4308"	"0"	"0"	"0"	"0"	"0.0003"	"0"	"0"	"0"	"0"	"0"	"0.008"
"1942"	"3.6932"	"0"	"0"	"0"	"0.0012"	"0"	"0.0336"	"0.0261"	"0.0318"	"0.0115"	"0"	"4.4865"
"1943"	"3.1174"	"0.0602"	"0"	"0.1561"	"0"	"0"	"0.0128"	"0.0652"	"0.0145"	"0.0346"	"0.033"	"0"
"1944"	"2.8141"	"0.306"	"0.1482"	"0.0932"	"0"	"0"	"0.0365"	"0.0437"	"0.0232"	"0.1243"	"0.0017"	"0.1325"
