
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.683"	"25.243"	"33.449"	"37.676"	"41.819"	"42.051"	"37.67"	"34.213"	"36.174"	"37.518"	"31.054"	"27.188"
"1902"	"25.96"	"28.094"	"35.277"	"39.262"	"41.571"	"39.69"	"37.242"	"35.596"	"35.291"	"35.667"	"30.589"	"25.621"
"1903"	"24.386"	"26.236"	"30.412"	"36.326"	"41.118"	"42.282"	"37.21"	"34.247"	"35.948"	"35.908"	"29.082"	"24.901"
"1904"	"23.992"	"27.695"	"31.596"	"38.83"	"41.493"	"40.07"	"35.526"	"33.785"	"35.6"	"35.795"	"30.458"	"25.72"
"1905"	"22.449"	"22.126"	"29.291"	"36.009"	"43.332"	"40.725"	"36.95"	"35.227"	"36.401"	"36.475"	"32.204"	"26.172"
"1906"	"22.879"	"24.436"	"30.81"	"37.016"	"42.805"	"40.01"	"36.626"	"34.939"	"34.825"	"36.11"	"31.686"	"26.714"
"1907"	"26.582"	"25.63"	"30.869"	"36.53"	"39.62"	"40.549"	"38.209"	"32.654"	"34.287"	"35.178"	"31.036"	"25.036"
"1908"	"24.588"	"27.083"	"31.729"	"38.274"	"40.954"	"40.675"	"34.193"	"32.235"	"33.884"	"34.458"	"29.48"	"24.843"
"1909"	"23.393"	"26.021"	"32.411"	"36.403"	"39.934"	"40.201"	"34.138"	"32.514"	"33.34"	"34.997"	"30.949"	"24.428"
"1910"	"23.734"	"27.425"	"32.314"	"36.084"	"41.129"	"40.022"	"34.562"	"32.97"	"35.118"	"34.377"	"28.964"	"25.187"
"1911"	"25.255"	"27.795"	"30.312"	"37.359"	"42.328"	"40.027"	"37.629"	"35.369"	"35.148"	"35.904"	"28.391"	"26.013"
"1912"	"25.523"	"27.682"	"31.459"	"38.062"	"41.809"	"41.691"	"36.099"	"33.315"	"34.14"	"35.336"	"29.042"	"25.674"
"1913"	"25.13"	"26.797"	"30.108"	"38.811"	"40.285"	"39.543"	"35.183"	"33.898"	"35.425"	"36.39"	"30.363"	"25.165"
"1914"	"26.609"	"25.813"	"31.253"	"37.89"	"42.812"	"39.838"	"35.287"	"33.738"	"35.494"	"35.199"	"30.695"	"24.515"
"1915"	"23.961"	"25.484"	"32.799"	"37.352"	"42.446"	"41.447"	"37.789"	"35.208"	"37.665"	"37.095"	"30.526"	"26.398"
"1916"	"25.727"	"25.461"	"34.775"	"38.251"	"40.529"	"39.428"	"36.901"	"33.343"	"34.568"	"33.676"	"27.985"	"24.545"
"1917"	"25.29"	"27.59"	"31.926"	"34.935"	"38.06"	"38.892"	"34.223"	"32.286"	"33.22"	"33.093"	"28.352"	"25.474"
"1918"	"23.367"	"27.717"	"31.848"	"35.335"	"42.058"	"39.654"	"36.936"	"34.888"	"34.926"	"35.731"	"30.571"	"24.536"
