
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.223"	"8.888"	"16.963"	"21.923"	"27.355"	"29.874"	"28.529"	"25.947"	"25.405"	"21.455"	"13.844"	"10.141"
"1902"	"9.508"	"11.738"	"18.783"	"23.489"	"27.105"	"27.505"	"28.099"	"27.328"	"24.525"	"19.607"	"13.382"	"8.571"
"1903"	"7.927"	"9.877"	"13.928"	"20.556"	"26.647"	"30.107"	"28.066"	"25.87"	"25.185"	"19.846"	"11.869"	"7.86"
"1904"	"7.53"	"11.333"	"15.095"	"23.058"	"27.03"	"27.895"	"26.364"	"25.521"	"24.832"	"19.732"	"13.255"	"8.686"
"1905"	"5.969"	"5.777"	"12.779"	"20.237"	"28.859"	"28.549"	"27.805"	"26.963"	"25.624"	"20.408"	"14.998"	"9.119"
"1906"	"6.419"	"8.076"	"14.327"	"21.246"	"28.334"	"27.82"	"27.478"	"26.671"	"24.061"	"20.048"	"14.455"	"9.667"
"1907"	"10.138"	"9.268"	"14.367"	"20.763"	"25.145"	"28.372"	"29.07"	"24.39"	"23.522"	"19.232"	"13.826"	"7.976"
"1908"	"8.125"	"10.717"	"15.234"	"22.503"	"26.487"	"28.499"	"25.051"	"23.964"	"23.078"	"18.396"	"12.252"	"7.796"
"1909"	"6.933"	"9.66"	"15.926"	"20.634"	"25.466"	"28.025"	"24.994"	"24.246"	"22.578"	"18.933"	"13.739"	"7.399"
"1910"	"7.291"	"11.066"	"15.796"	"20.315"	"26.658"	"27.844"	"25.399"	"24.698"	"24.353"	"18.317"	"11.742"	"8.151"
"1911"	"8.763"	"11.438"	"13.812"	"21.594"	"27.855"	"27.85"	"28.484"	"27.107"	"24.381"	"19.843"	"11.167"	"8.975"
"1912"	"9.065"	"11.325"	"14.976"	"22.295"	"27.341"	"29.51"	"26.941"	"25.045"	"23.362"	"19.271"	"11.825"	"8.636"
"1913"	"8.686"	"10.434"	"13.615"	"23.054"	"25.813"	"27.352"	"26.016"	"25.636"	"24.645"	"20.33"	"13.159"	"8.116"
"1914"	"10.138"	"9.457"	"14.774"	"22.122"	"28.337"	"27.662"	"26.125"	"25.474"	"24.722"	"19.136"	"14.481"	"7.468"
"1915"	"7.486"	"9.133"	"16.306"	"21.633"	"27.976"	"29.271"	"28.644"	"26.945"	"26.903"	"21.034"	"13.319"	"9.346"
"1916"	"9.265"	"9.11"	"18.233"	"22.495"	"26.065"	"27.251"	"27.299"	"25.07"	"23.807"	"17.616"	"10.783"	"7.489"
"1917"	"8.808"	"11.236"	"15.446"	"19.164"	"23.59"	"26.714"	"25.062"	"24.018"	"22.45"	"17.03"	"11.115"	"8.421"
"1918"	"6.89"	"11.364"	"15.367"	"19.565"	"27.595"	"27.456"	"27.79"	"26.625"	"24.16"	"19.672"	"13.363"	"7.474"
"1919"	"7.326"	"10.133"	"15.82"	"20.82"	"26.171"	"29.114"	"26.726"	"24.992"	"23.193"	"19.007"	"12.373"	"7.7"
"1920"	"7.971"	"10.059"	"16.15"	"21.059"	"23.076"	"25.115"	"25.494"	"24.807"	"25.809"	"20.556"	"14.084"	"8.418"
"1921"	"8.629"	"11.121"	"18.664"	"24.156"	"27.485"	"29.207"	"28.116"	"25.111"	"23.866"	"18.926"	"13.293"	"10.136"
"1922"	"7.33"	"12.066"	"16.461"	"22.739"	"26.192"	"27.68"	"27.37"	"25.246"	"23.613"	"18.623"	"12.817"	"8.321"
"1923"	"8.132"	"9.871"	"17.088"	"22.286"	"25.582"	"28.781"	"26.916"	"24.357"	"24.393"	"18.992"	"12.06"	"8.349"
"1924"	"7.096"	"10.907"	"17.911"	"22.438"	"24.19"	"28.854"	"27.891"	"25.586"	"22.687"	"18.307"	"11.764"	"8.489"
"1925"	"6.004"	"8.439"	"17.207"	"24.594"	"26.244"	"25.986"	"25.286"	"26.72"	"26.002"	"21.038"	"12.566"	"8.971"
"1926"	"8.574"	"13.344"	"15.06"	"19.429"	"24.781"	"29.418"	"27.44"	"25.26"	"23.141"	"18.595"	"10.85"	"7.783"
"1927"	"5.937"	"8.489"	"14.59"	"21.113"	"25.787"	"28.237"	"26.126"	"24.336"	"23.366"	"19.442"	"12.168"	"9.132"
"1928"	"7.704"	"11.468"	"16.706"	"22.002"	"27.526"	"28.128"	"27.047"	"25.662"	"23.517"	"19.613"	"13.452"	"7.568"
"1929"	"7.337"	"9.474"	"18.231"	"22.536"	"26.809"	"28.188"	"25.65"	"24.556"	"24.397"	"19.042"	"13.774"	"6.642"
"1930"	"7.195"	"10.586"	"16.294"	"20.867"	"25.956"	"27.179"	"24.992"	"24.842"	"25.913"	"20.054"	"12.14"	"8.539"
"1931"	"9.096"	"8.104"	"15.313"	"23.175"	"26.455"	"28.784"	"26.926"	"25.444"	"23.78"	"18.532"	"12.789"	"9.32"
"1932"	"10.937"	"10.626"	"16.568"	"21.843"	"26.431"	"28.925"	"26.627"	"24.365"	"25.23"	"19.586"	"12.485"	"9.138"
"1933"	"6.238"	"10.991"	"15.776"	"20.558"	"24.578"	"27.364"	"26.121"	"23.605"	"23.214"	"18.635"	"12.983"	"8.969"
"1934"	"5.659"	"12.414"	"15.065"	"21.918"	"25.989"	"27.839"	"26.265"	"24.726"	"24.016"	"18.395"	"12.503"	"9.584"
"1935"	"5.814"	"10.895"	"16.042"	"19.232"	"26.546"	"29.082"	"25.914"	"25.047"	"23.386"	"18.379"	"13.349"	"8.722"
"1936"	"6.679"	"10.825"	"14.849"	"21.694"	"28.608"	"26.665"	"26.192"	"25.126"	"24.318"	"19.815"	"13.078"	"8.41"
"1937"	"7.546"	"11.146"	"14.417"	"21.327"	"27.016"	"29.164"	"25.719"	"25.68"	"24.584"	"18.46"	"12.992"	"6.543"
"1938"	"7.031"	"9.135"	"17.387"	"22.746"	"28.021"	"26.771"	"27.283"	"26.174"	"25.628"	"20.638"	"11.788"	"8.683"
"1939"	"8.952"	"11.239"	"13.376"	"20.001"	"26.782"	"26.929"	"27.063"	"27.541"	"25.248"	"20.459"	"13.341"	"10.242"
"1940"	"9.118"	"10.675"	"14.386"	"20.905"	"27.549"	"27.682"	"27.253"	"25.041"	"23.701"	"20.137"	"14.226"	"8.534"
"1941"	"7.128"	"12.202"	"18.122"	"23.705"	"27.446"	"27.409"	"26.905"	"26.475"	"24.798"	"21.983"	"13.726"	"9.838"
"1942"	"7.232"	"11.485"	"17.312"	"23.861"	"26.695"	"29.256"	"25.754"	"24.696"	"23.225"	"19.207"	"13.625"	"7.352"
"1943"	"7.44"	"10.818"	"17.148"	"21.016"	"27.526"	"27.736"	"25.859"	"24.254"	"23.986"	"19.035"	"13.042"	"10.077"
"1944"	"7.498"	"10.452"	"15.239"	"21.542"	"27.247"	"27.812"	"25.937"	"24.657"	"23.73"	"18.122"	"13.573"	"9.49"
"1945"	"5.505"	"9.683"	"16.64"	"20.841"	"26.125"	"27.654"	"25.207"	"25.367"	"23.591"	"18.714"	"12.596"	"6.912"
"1946"	"8.267"	"12.289"	"15.561"	"24.909"	"26.931"	"28.525"	"26.449"	"24.601"	"23.175"	"20.027"	"12.128"	"7.816"
"1947"	"6.767"	"10.961"	"16.786"	"22.775"	"27.669"	"28.794"	"28.469"	"26.077"	"23.099"	"17.559"	"14.157"	"8.839"
"1948"	"7.581"	"9.929"	"15.962"	"23.112"	"28.323"	"28.973"	"27.161"	"24.923"	"24.755"	"20.376"	"12.236"	"9.085"
"1949"	"9.495"	"10.863"	"16.694"	"23.777"	"28.9"	"27.502"	"26.002"	"25.087"	"25.914"	"18.854"	"11.595"	"7.858"
"1950"	"8.771"	"8.053"	"15.265"	"20.883"	"27.194"	"28.09"	"25.514"	"24.23"	"23.475"	"18.605"	"11.395"	"6.432"
"1951"	"6.933"	"9.642"	"15.385"	"19.958"	"26.078"	"27.173"	"28.148"	"25.19"	"25.432"	"22.183"	"14.265"	"9.137"
"1952"	"8.948"	"12.034"	"15.833"	"23.386"	"27.434"	"27.801"	"26.407"	"24.583"	"24.047"	"18.43"	"12.659"	"8.533"
"1953"	"7.376"	"12.884"	"18.855"	"22.379"	"26.395"	"28.329"	"26.912"	"24.709"	"23.854"	"18.846"	"13.237"	"11.08"
"1954"	"7.127"	"11.54"	"16.364"	"22.241"	"27.743"	"28.618"	"26.906"	"26.573"	"24.353"	"17.133"	"13.44"	"8.61"
"1955"	"7.842"	"11.297"	"18.156"	"19.805"	"25.617"	"28.383"	"27.379"	"25.127"	"23.32"	"17.789"	"11.51"	"8.918"
"1956"	"7.612"	"10.473"	"16.133"	"22.414"	"28.331"	"27.868"	"24.078"	"24.049"	"24.567"	"17.461"	"11.362"	"8.817"
"1957"	"6.784"	"9.102"	"14.956"	"20.477"	"24.529"	"27.733"	"26.844"	"25.931"	"24.037"	"19.288"	"14.136"	"8.643"
"1958"	"9.934"	"11.341"	"17.209"	"24.173"	"26.713"	"29.031"	"25.957"	"26.919"	"22.771"	"18.635"	"13.244"	"9.908"
"1959"	"7.291"	"9.967"	"17.461"	"22.228"	"26.177"	"27.733"	"25.963"	"24.29"	"23.076"	"19.969"	"12.833"	"8.875"
"1960"	"7.443"	"12.818"	"14.894"	"20.492"	"25.881"	"28.03"	"26.357"	"24.983"	"25.232"	"19.297"	"12.582"	"9.308"
"1961"	"7.522"	"8.913"	"17.253"	"20.991"	"26.972"	"26.934"	"26.143"	"25.835"	"23.431"	"18.581"	"12.199"	"7.02"
"1962"	"6.853"	"11.906"	"15.926"	"22.673"	"26.271"	"27.177"	"26.059"	"25.173"	"23.189"	"17.52"	"12.806"	"8.909"
"1963"	"7.241"	"12.724"	"16.447"	"22.536"	"26.523"	"28.452"	"28.119"	"25.878"	"24.229"	"20.718"	"15.311"	"9.048"
"1964"	"6.113"	"10.612"	"18.16"	"23.871"	"25.978"	"26.682"	"26.147"	"25.08"	"24.08"	"19.055"	"12.122"	"8.754"
"1965"	"10.612"	"11.534"	"16.024"	"20.342"	"25.888"	"28.12"	"26.482"	"25.605"	"24.359"	"21.081"	"15.153"	"7.841"
"1966"	"9.114"	"13.669"	"15.804"	"22.218"	"26.182"	"27.16"	"27.188"	"24.607"	"23.251"	"20.007"	"12.857"	"7.105"
"1967"	"5.176"	"12.598"	"14.691"	"20.401"	"24.963"	"27.03"	"26.246"	"24.377"	"22.394"	"18.595"	"13.922"	"9.137"
"1968"	"6.845"	"8.929"	"15.694"	"21.693"	"25.134"	"28.913"	"26.741"	"25.384"	"24.289"	"19.489"	"13.827"	"8.902"
