
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.921"	"0.76"	"0.415"	"0.006"	"3.896"	"11.554"	"145.863"	"77.162"	"0.757"	"2.533"	"0"	"4.807"
"1902"	"0.018"	"0"	"0.02"	"0.61"	"1.642"	"67.447"	"46.789"	"77.36"	"42.122"	"0.829"	"0.104"	"0.005"
"1903"	"0.494"	"0.025"	"1.998"	"0"	"13.229"	"2.095"	"231.362"	"123.506"	"111.512"	"1.376"	"0"	"0.53"
"1904"	"1.05"	"2.241"	"21.384"	"0.3"	"9.414"	"36.777"	"63.404"	"45.131"	"68.633"	"8.924"	"7.401"	"11.166"
"1905"	"6.239"	"8.149"	"1.4"	"13.897"	"0.209"	"16.065"	"42.173"	"1.476"	"37.13"	"0"	"0"	"0.274"
"1906"	"0"	"68.442"	"6.642"	"0"	"1.295"	"25.047"	"112.791"	"60.776"	"98.09"	"0"	"0"	"15.897"
"1907"	"2.694"	"28.632"	"1.378"	"22.22"	"4.991"	"6.339"	"73.793"	"183.772"	"0.586"	"0"	"0.006"	"0"
"1908"	"12.611"	"0.584"	"0"	"4.783"	"3.579"	"11.284"	"347.537"	"272.085"	"217.702"	"0.167"	"4.098"	"0.018"
"1909"	"12.857"	"1.559"	"0"	"51.156"	"4.789"	"46.498"	"266.975"	"59.73"	"192.614"	"0.041"	"0"	"6.007"
"1910"	"2.978"	"1.312"	"0.013"	"16.247"	"0.17"	"78.028"	"68.313"	"153.168"	"22.748"	"3.154"	"0.01"	"0"
"1911"	"4.47"	"0"	"29.305"	"0.996"	"0.122"	"32.46"	"6.926"	"12.764"	"94.294"	"3.277"	"15.226"	"0.182"
"1912"	"1.905"	"0.97"	"0.287"	"5.776"	"2.815"	"50.707"	"134.163"	"177.488"	"52.087"	"18.476"	"31.23"	"0.055"
"1913"	"0.041"	"4.019"	"1.562"	"1.283"	"15.103"	"48.276"	"51.476"	"39.883"	"42.583"	"0"	"2.138"	"1.461"
"1914"	"1.525"	"5.725"	"0.547"	"8.798"	"3.251"	"69.264"	"99.802"	"82.225"	"69.048"	"2.538"	"27.52"	"0"
"1915"	"6.054"	"11.038"	"16.286"	"5.15"	"0.306"	"14.007"	"37.439"	"26.154"	"16.679"	"43.687"	"0"	"0"
"1916"	"0.069"	"1.903"	"0.504"	"5.115"	"31.326"	"28.975"	"84.449"	"251.36"	"97.535"	"13.14"	"0.035"	"0"
"1917"	"1.987"	"14.56"	"0.569"	"34.587"	"69.58"	"161.52"	"180.611"	"317.385"	"185.249"	"21.567"	"0"	"14.493"
"1918"	"0.567"	"0"	"2.633"	"0.896"	"1.105"	"6.552"	"5.262"	"47.522"	"3.342"	"0"	"0.049"	"0.843"
"1919"	"12.375"	"0.667"	"0.444"	"54.52"	"8.984"	"1.258"	"146.421"	"125.236"	"61.552"	"0.066"	"12.066"	"0.924"
"1920"	"3.447"	"4.534"	"1.131"	"7.719"	"38.921"	"133.147"	"121.926"	"24.347"	"2.808"	"0"	"0"	"0"
"1921"	"1.338"	"0"	"0"	"0.72"	"0.122"	"5.275"	"120.727"	"87.665"	"59.474"	"0.952"	"0"	"0.248"
"1922"	"0.954"	"0.868"	"0.224"	"2.449"	"2.312"	"20.965"	"137.848"	"32.216"	"103.194"	"1.935"	"0.066"	"2.527"
"1923"	"2.924"	"11.939"	"1.451"	"0.31"	"9.325"	"7.954"	"254.913"	"146.425"	"8.487"	"1.807"	"0"	"2.982"
"1924"	"3.749"	"3.477"	"0.532"	"0.673"	"13.646"	"21.722"	"123.711"	"76.797"	"122.08"	"3.081"	"0.604"	"17.106"
"1925"	"0.184"	"0"	"0"	"0"	"4.553"	"73.34"	"116.092"	"43.388"	"2.661"	"0.041"	"12.305"	"0"
"1926"	"12.228"	"0.116"	"20.305"	"8.336"	"11.727"	"4.483"	"137.965"	"175.472"	"167.159"	"0"	"0.751"	"1.34"
"1927"	"0"	"10.44"	"0.339"	"0.509"	"9.915"	"9.47"	"175.682"	"252.315"	"37.193"	"10.736"	"1.849"	"11.186"
"1928"	"1.824"	"4.057"	"0.68"	"2.614"	"1.074"	"7.855"	"114.291"	"170.182"	"43.747"	"23.217"	"19.362"	"1.375"
"1929"	"0.427"	"0.03"	"0"	"8.038"	"6.046"	"19.272"	"159.969"	"147.449"	"5.584"	"0.164"	"0.251"	"10.7"
"1930"	"4.849"	"1.56"	"0"	"8.681"	"22.375"	"71.019"	"132.951"	"44.816"	"10.494"	"11.239"	"1.734"	"0.048"
"1931"	"0.105"	"2.027"	"1.791"	"0.666"	"6.129"	"11.116"	"74.359"	"293.971"	"18.08"	"26.92"	"0.023"	"0"
"1932"	"0"	"0.09"	"4.777"	"3.341"	"3.296"	"22.775"	"91.515"	"271.21"	"24.999"	"0.032"	"0"	"0"
"1933"	"0.008"	"14.431"	"3.936"	"31.538"	"25.137"	"106.461"	"66.375"	"344.368"	"62.839"	"5.936"	"0.015"	"0.015"
"1934"	"1.087"	"0"	"5.955"	"0.025"	"1.227"	"107.012"	"63.967"	"205.111"	"14.946"	"0"	"0.142"	"3.551"
"1935"	"12.067"	"3.374"	"4.312"	"37.11"	"2.844"	"9.256"	"172.428"	"45.243"	"90.419"	"9.352"	"1.077"	"0.434"
"1936"	"0.046"	"9.886"	"11.323"	"3.199"	"0.501"	"124.122"	"71.535"	"68.719"	"51.506"	"0.028"	"36.366"	"2.793"
"1937"	"0"	"23.992"	"0"	"2.048"	"0.807"	"11.441"	"189.456"	"3.631"	"102.507"	"2.438"	"0.373"	"3.986"
"1938"	"1.878"	"0.073"	"1.794"	"0.89"	"0.503"	"132.772"	"78.997"	"49.173"	"7.027"	"0.265"	"0.02"	"0.548"
"1939"	"0.19"	"8.629"	"6.731"	"1.612"	"0.122"	"30.027"	"25.039"	"88.453"	"23.734"	"0.006"	"0.014"	"0.006"
"1940"	"3.808"	"16.549"	"12.806"	"0.319"	"0.899"	"16.625"	"145.093"	"137.334"	"1.481"	"4.975"	"2.318"	"0.055"
"1941"	"4.047"	"0.269"	"0.808"	"0.031"	"9.472"	"18.477"	"63.422"	"84.258"	"44.363"	"3.612"	"0"	"0.372"
"1942"	"5.166"	"9.269"	"0"	"21.151"	"18.054"	"22.787"	"260.788"	"107.503"	"65.331"	"0"	"0"	"2.18"
"1943"	"1.672"	"0"	"0"	"20.92"	"1.297"	"15.654"	"377.378"	"69.442"	"141.707"	"0.027"	"0"	"0"
"1944"	"17.487"	"6.919"	"21.042"	"7.452"	"0.589"	"29.869"	"191.916"	"282.254"	"33.944"	"12.291"	"0"	"0"
"1945"	"8.664"	"0"	"0.025"	"9.102"	"20.421"	"25.862"	"331.206"	"118.029"	"54.26"	"0.507"	"0"	"0"
"1946"	"0"	"0.682"	"0"	"0.023"	"1.885"	"32.368"	"88.789"	"152.737"	"8.525"	"0.859"	"0.166"	"0.453"
"1947"	"0.479"	"1.514"	"0.142"	"0.068"	"1.278"	"1.562"	"47.945"	"148.895"	"169.91"	"26.197"	"0"	"0.396"
"1948"	"10.179"	"10.206"	"4.749"	"0.341"	"0.861"	"20.077"	"191.891"	"113.259"	"20.601"	"1.127"	"0.498"	"0.53"
"1949"	"7.499"	"2.887"	"0.146"	"0"	"2.253"	"18.458"	"224.329"	"47.256"	"33.145"	"7.349"	"0"	"0.018"
"1950"	"1.895"	"0.155"	"4.39"	"0.04"	"2.175"	"12.72"	"254.15"	"71.692"	"75.874"	"0.006"	"0"	"0.026"
"1951"	"0.766"	"0"	"3.257"	"3.429"	"17.271"	"54.767"	"69.359"	"142.93"	"11.759"	"0.606"	"46.466"	"0"
"1952"	"0.207"	"2.279"	"1.022"	"2.415"	"3.773"	"27.351"	"247.365"	"161.957"	"0.747"	"0"	"0"	"0.956"
"1953"	"5.951"	"0"	"0"	"3.65"	"4.296"	"34.266"	"112.462"	"182.612"	"67.465"	"0.116"	"0"	"0.025"
"1954"	"4.223"	"11.794"	"1.549"	"0"	"1.312"	"18.026"	"149.9"	"64.689"	"167.168"	"21.759"	"14.336"	"0"
"1955"	"1.752"	"0.067"	"1.861"	"2.446"	"10.086"	"26.478"	"20.981"	"233.139"	"112.128"	"7.408"	"0"	"4.559"
"1956"	"7.93"	"0.024"	"13.749"	"0.647"	"0.136"	"24.837"	"364.257"	"104.569"	"4.802"	"34.49"	"0.329"	"1.228"
"1957"	"11.353"	"0"	"9.483"	"0.59"	"10.979"	"31.332"	"82.939"	"150.978"	"19.317"	"2.57"	"13.932"	"1.024"
