
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.73"	"3.53"	"5.32"	"6.67"	"7.65"	"7.41"	"6"	"5.08"	"5.22"	"5.2"	"3.74"	"2.99"
"1902"	"3.02"	"3.81"	"5.56"	"6.92"	"7.62"	"7.07"	"5.95"	"5.22"	"5.13"	"4.98"	"3.7"	"2.84"
"1903"	"2.88"	"3.64"	"4.97"	"6.48"	"7.54"	"7.43"	"5.95"	"5.1"	"5.2"	"5.01"	"3.54"	"2.77"
"1904"	"2.84"	"3.78"	"5.11"	"6.83"	"7.58"	"7.13"	"5.75"	"5.05"	"5.16"	"5.01"	"3.69"	"2.84"
"1905"	"2.72"	"3.21"	"4.85"	"6.47"	"7.86"	"7.22"	"5.92"	"5.17"	"5.25"	"5.07"	"3.83"	"2.89"
"1906"	"2.75"	"3.47"	"5.01"	"6.6"	"7.79"	"7.12"	"5.88"	"5.16"	"5.08"	"5.02"	"3.78"	"2.94"
"1907"	"3.06"	"3.58"	"5.01"	"6.53"	"7.33"	"7.22"	"6.04"	"4.91"	"5"	"4.91"	"3.74"	"2.78"
"1908"	"2.9"	"3.72"	"5.13"	"6.76"	"7.5"	"7.23"	"5.61"	"4.85"	"4.98"	"4.84"	"3.59"	"2.77"
"1909"	"2.77"	"3.62"	"5.2"	"6.48"	"7.37"	"7.15"	"5.6"	"4.9"	"4.91"	"4.9"	"3.72"	"2.74"
"1910"	"2.8"	"3.77"	"5.19"	"6.47"	"7.52"	"7.14"	"5.65"	"4.96"	"5.09"	"4.84"	"3.53"	"2.79"
"1911"	"2.97"	"3.79"	"4.95"	"6.64"	"7.73"	"7.14"	"6.01"	"5.22"	"5.11"	"5.01"	"3.47"	"2.87"
"1912"	"2.98"	"3.77"	"5.09"	"6.73"	"7.65"	"7.36"	"5.81"	"4.98"	"5"	"4.94"	"3.54"	"2.83"
"1913"	"2.94"	"3.7"	"4.94"	"6.85"	"7.42"	"7.04"	"5.72"	"5.04"	"5.15"	"5.05"	"3.66"	"2.79"
"1914"	"3.07"	"3.61"	"5.06"	"6.71"	"7.79"	"7.1"	"5.71"	"5.03"	"5.14"	"4.93"	"3.64"	"2.74"
"1915"	"2.83"	"3.55"	"5.24"	"6.63"	"7.74"	"7.32"	"6.02"	"5.17"	"5.39"	"5.15"	"3.7"	"2.91"
"1916"	"2.99"	"3.55"	"5.51"	"6.74"	"7.46"	"7.03"	"6.02"	"4.99"	"5.06"	"4.77"	"3.46"	"2.75"
"1917"	"2.94"	"3.77"	"5.16"	"6.31"	"7.08"	"6.96"	"5.6"	"4.87"	"4.89"	"4.7"	"3.48"	"2.82"
"1918"	"2.78"	"3.79"	"5.14"	"6.36"	"7.66"	"7.06"	"5.91"	"5.15"	"5.09"	"4.98"	"3.7"	"2.74"
"1919"	"2.89"	"3.66"	"5.19"	"6.54"	"7.45"	"7.31"	"5.79"	"4.99"	"4.98"	"4.9"	"3.6"	"2.78"
"1920"	"2.88"	"3.66"	"5.23"	"6.51"	"7.02"	"6.76"	"5.66"	"4.96"	"5.26"	"5.1"	"3.76"	"2.82"
"1921"	"2.93"	"3.77"	"5.51"	"7.01"	"7.65"	"7.32"	"5.95"	"4.99"	"5.07"	"4.94"	"3.69"	"2.98"
"1922"	"2.8"	"3.85"	"5.27"	"6.79"	"7.46"	"7.1"	"5.88"	"5"	"5.03"	"4.93"	"3.64"	"2.8"
"1923"	"2.88"	"3.64"	"5.34"	"6.73"	"7.39"	"7.26"	"5.82"	"4.9"	"5.11"	"4.91"	"3.57"	"2.8"
"1924"	"2.79"	"3.76"	"5.43"	"6.75"	"7.16"	"7.28"	"5.95"	"5.05"	"4.92"	"4.86"	"3.53"	"2.82"
"1925"	"2.72"	"3.49"	"5.34"	"7.06"	"7.48"	"6.88"	"5.62"	"5.15"	"5.26"	"5.12"	"3.61"	"2.87"
"1926"	"2.93"	"3.96"	"5.09"	"6.35"	"7.28"	"7.34"	"5.88"	"5.01"	"4.96"	"4.88"	"3.46"	"2.78"
"1927"	"2.73"	"3.5"	"5.03"	"6.58"	"7.4"	"7.19"	"5.72"	"4.9"	"5.01"	"4.95"	"3.57"	"2.9"
"1928"	"2.86"	"3.79"	"5.3"	"6.69"	"7.67"	"7.18"	"5.84"	"5.04"	"5"	"4.97"	"3.7"	"2.74"
"1929"	"2.81"	"3.6"	"5.48"	"6.78"	"7.55"	"7.19"	"5.66"	"4.93"	"5.11"	"4.9"	"3.73"	"2.68"
"1930"	"2.79"	"3.71"	"5.25"	"6.55"	"7.44"	"7.03"	"5.59"	"4.96"	"5.27"	"5.02"	"3.56"	"2.83"
"1931"	"3.01"	"3.45"	"5.14"	"6.88"	"7.51"	"7.23"	"5.8"	"5.02"	"5.09"	"4.86"	"3.65"	"2.9"
"1932"	"3.14"	"3.73"	"5.3"	"6.67"	"7.5"	"7.27"	"5.77"	"4.89"	"5.21"	"4.97"	"3.62"	"2.88"
"1933"	"2.8"	"3.74"	"5.19"	"6.49"	"7.22"	"7.06"	"5.72"	"4.81"	"4.98"	"4.88"	"3.65"	"2.88"
"1934"	"2.7"	"3.9"	"5.11"	"6.66"	"7.45"	"7.11"	"5.74"	"4.94"	"5.07"	"4.86"	"3.62"	"2.92"
"1935"	"2.69"	"3.74"	"5.21"	"6.32"	"7.51"	"7.29"	"5.69"	"5.01"	"5.04"	"4.84"	"3.69"	"2.86"
"1936"	"2.77"	"3.81"	"5.09"	"6.66"	"7.82"	"6.95"	"5.73"	"5"	"5.1"	"5.01"	"3.67"	"2.82"
"1937"	"2.83"	"3.76"	"5"	"6.61"	"7.58"	"7.3"	"5.68"	"5.1"	"5.14"	"4.85"	"3.65"	"2.72"
"1938"	"2.79"	"3.55"	"5.38"	"6.79"	"7.75"	"6.97"	"5.84"	"5.09"	"5.25"	"5.08"	"3.53"	"2.83"
"1939"	"2.97"	"3.78"	"4.91"	"6.42"	"7.56"	"6.99"	"5.85"	"5.25"	"5.21"	"5.07"	"3.71"	"2.99"
