
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.42"	"6.831"	"7.576"	"9.434"	"15.415"	"25.986"	"30.039"	"27.717"	"24.674"	"13.739"	"8.133"	"8.159"
"1902"	"7.456"	"7.81"	"8.89"	"9.934"	"14.822"	"23.099"	"29.529"	"30.457"	"23.213"	"11.963"	"8.076"	"7.177"
"1903"	"6.938"	"7.396"	"6.689"	"8.644"	"14.532"	"26.118"	"30.124"	"27.338"	"24.796"	"12.101"	"7.499"	"6.996"
"1904"	"6.945"	"7.358"	"7.061"	"9.384"	"14.617"	"23.351"	"26.896"	"28.034"	"23.615"	"11.981"	"8.101"	"7.599"
"1905"	"6.189"	"5.125"	"5.957"	"8.279"	"16.812"	"23.612"	"28.659"	"29.162"	"24.895"	"12.876"	"8.731"	"7.595"
"1906"	"6.413"	"6.354"	"6.88"	"8.849"	"16.168"	"23.117"	"28.428"	"28.749"	"23.181"	"11.996"	"8.258"	"7.824"
"1907"	"7.857"	"6.877"	"6.94"	"8.721"	"13.679"	"23.796"	"30.571"	"27.374"	"23.722"	"11.963"	"8.133"	"6.903"
"1908"	"7.003"	"7.382"	"7.206"	"9.377"	"14.617"	"24.365"	"25.431"	"25.921"	"23.103"	"11.379"	"7.474"	"7.075"
"1909"	"6.509"	"6.923"	"7.799"	"8.601"	"13.716"	"23.305"	"25.285"	"26.358"	"21.97"	"11.725"	"8.423"	"6.984"
"1910"	"6.959"	"7.36"	"7.576"	"8.302"	"14.617"	"23.292"	"26.424"	"27.374"	"23.243"	"11.487"	"7.047"	"7.243"
"1911"	"6.926"	"7.431"	"6.547"	"9.053"	"15.355"	"23.154"	"30.257"	"30.252"	"23.452"	"12.074"	"7.014"	"7.599"
"1912"	"7.459"	"7.587"	"7.22"	"9.491"	"15.417"	"24.879"	"27.41"	"27.31"	"23.231"	"11.965"	"7.459"	"7.543"
"1913"	"6.962"	"7.344"	"6.519"	"9.491"	"14.534"	"22.167"	"26.913"	"27.385"	"23.752"	"12.881"	"8.08"	"7.409"
"1914"	"7.931"	"6.935"	"7.121"	"8.881"	"16.226"	"23.288"	"26.856"	"27.277"	"23.209"	"11.637"	"8.135"	"6.996"
"1915"	"6.852"	"6.575"	"7.502"	"9.28"	"15.584"	"24.727"	"30.057"	"29.109"	"27.403"	"12.978"	"8.097"	"7.599"
"1916"	"7.465"	"6.871"	"8.373"	"9.403"	"14.611"	"22.914"	"27.926"	"27.34"	"23.205"	"11.386"	"6.904"	"6.996"
"1917"	"7.085"	"7.528"	"7.419"	"7.646"	"12.453"	"22.347"	"25.584"	"27.215"	"21.936"	"10.52"	"6.876"	"7.553"
"1918"	"6.509"	"7.357"	"7.358"	"8.14"	"14.961"	"23.115"	"29.679"	"28.718"	"23.236"	"11.981"	"8.042"	"6.993"
