
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.41"	"17.786"	"25.66"	"29.761"	"33.554"	"33.64"	"30.824"	"28.217"	"29.141"	"28.729"	"22.772"	"19.394"
"1902"	"18.465"	"20.481"	"27.301"	"31.228"	"32.817"	"31.876"	"31.208"	"29.674"	"28.328"	"27.519"	"22.336"	"17.809"
"1903"	"17.033"	"18.491"	"22.416"	"28.38"	"32.844"	"33.611"	"30.649"	"28.189"	"28.689"	"27.435"	"20.384"	"16.966"
"1904"	"16.727"	"20.229"	"23.578"	"30.461"	"32.767"	"31.891"	"28.802"	"28.129"	"28.94"	"27.435"	"22.237"	"17.91"
"1905"	"15.327"	"14.873"	"21.899"	"27.847"	"34.585"	"32.234"	"29.655"	"29.209"	"29.134"	"28.083"	"23.678"	"18.321"
"1906"	"15.392"	"17.139"	"23.094"	"28.924"	"33.727"	"31.935"	"29.581"	"28.497"	"27.435"	"27.302"	"22.878"	"18.462"
"1907"	"18.447"	"18.634"	"23.491"	"28.78"	"31.171"	"32.333"	"31.608"	"26.486"	"26.958"	"26.5"	"22.85"	"17.136"
"1908"	"16.953"	"19.101"	"23.517"	"29.827"	"32.304"	"32.464"	"27.635"	"26.456"	"26.68"	"25.885"	"21.022"	"16.646"
"1909"	"15.985"	"18.573"	"24.656"	"28.416"	"31.146"	"31.901"	"27.863"	"26.275"	"26.205"	"26.03"	"21.681"	"16.5"
"1910"	"16.306"	"19.71"	"24.268"	"28.036"	"31.905"	"31.49"	"27.6"	"26.985"	"28.031"	"25.833"	"20.217"	"17.053"
"1911"	"17.571"	"19.899"	"22.461"	"28.911"	"33.38"	"31.391"	"30.544"	"28.684"	"27.918"	"27.345"	"20.645"	"18.593"
"1912"	"18.289"	"21.341"	"23.739"	"29.907"	"33.426"	"33.097"	"29.363"	"27.152"	"26.738"	"26.596"	"20.85"	"17.714"
