
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.424"	"12.359"	"22.981"	"20.251"	"20.722"	"35.402"	"62.805"	"61.783"	"38.605"	"12.923"	"10.026"	"10.406"
"1902"	"13.427"	"12.783"	"23.306"	"20.251"	"20.472"	"35.303"	"62.247"	"61.888"	"38.078"	"13.119"	"10.026"	"10.406"
"1903"	"13.427"	"12.783"	"23.285"	"20.251"	"20.728"	"35.392"	"62.25"	"62.172"	"38.605"	"12.603"	"10.026"	"10.406"
"1904"	"13.427"	"12.783"	"23.299"	"20.34"	"20.637"	"35.402"	"62.374"	"61.888"	"38.605"	"13.119"	"10.082"	"10.406"
"1905"	"13.427"	"12.783"	"23.306"	"20.251"	"20.722"	"35.402"	"62.401"	"62.172"	"38.605"	"13.119"	"10.026"	"10.406"
"1906"	"13.427"	"12.783"	"23.12"	"20.251"	"20.722"	"35.766"	"62.25"	"61.9"	"38.605"	"12.579"	"10.026"	"10.406"
"1907"	"13.427"	"12.788"	"23.306"	"20.251"	"20.722"	"35.679"	"62.732"	"62.172"	"38.605"	"13.334"	"10.513"	"10.406"
"1908"	"13.427"	"12.783"	"23.326"	"20.262"	"20.891"	"35.251"	"62.24"	"62.15"	"38.605"	"13.119"	"10.026"	"10.406"
"1909"	"13.4"	"12.783"	"23.306"	"20.251"	"20.305"	"35.196"	"62.247"	"61.888"	"38.345"	"12.686"	"10.026"	"10.406"
"1910"	"13.427"	"12.783"	"23.306"	"20.251"	"20.909"	"35.402"	"62.916"	"61.884"	"38.605"	"13.119"	"10.026"	"10.406"
"1911"	"13.427"	"12.783"	"23.306"	"20.251"	"20.722"	"35.427"	"62.106"	"61.93"	"38.605"	"13.119"	"9.516"	"10.406"
"1912"	"13.427"	"12.783"	"22.998"	"19.916"	"20.722"	"35.44"	"61.539"	"61.753"	"38.015"	"13.055"	"9.539"	"10.406"
"1913"	"13.427"	"12.783"	"23.228"	"20.251"	"20.164"	"34.792"	"62.408"	"62.172"	"38.091"	"13.059"	"10.023"	"10.406"
