
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1902"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1903"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.269"	"9.928"	"15.191"	"16.201"	"16.175"
"1904"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1905"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1906"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1907"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.165"	"16.201"	"16.175"
"1908"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.931"	"15.191"	"16.201"	"16.175"
"1909"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1910"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1911"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1912"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1913"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1914"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"15.265"	"16.175"
"1915"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1916"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.485"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1917"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1918"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1919"	"16.379"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1920"	"15.891"	"15.988"	"16.087"	"15.025"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1921"	"15.891"	"15.988"	"16.063"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.259"	"16.201"	"16.175"
"1922"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.304"	"16.201"	"16.175"
"1923"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1924"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1925"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1926"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1927"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1928"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.177"
"1929"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1930"	"15.891"	"15.977"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1931"	"15.891"	"15.982"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.962"	"15.191"	"16.201"	"16.175"
"1932"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1933"	"16.022"	"15.887"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.094"	"16.175"
"1934"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1935"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"10.032"	"15.191"	"16.201"	"16.175"
"1936"	"15.891"	"16.525"	"16.089"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1937"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.266"	"9.928"	"15.191"	"16.201"	"16.201"
"1938"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1939"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1940"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1941"	"15.891"	"15.988"	"16.087"	"15.282"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1942"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1943"	"15.891"	"15.988"	"16.087"	"15.214"	"14.075"	"11.623"	"8.368"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1944"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.358"	"7.253"	"9.928"	"15.191"	"16.201"	"16.003"
"1945"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1946"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.269"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1947"	"15.891"	"15.988"	"16.162"	"15.214"	"14.143"	"11.716"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1948"	"15.891"	"15.988"	"16.087"	"15.189"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1949"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"10.151"	"15.191"	"16.201"	"16.175"
"1950"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.636"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1951"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.305"	"9.928"	"15.191"	"16.201"	"16.175"
"1952"	"15.724"	"15.988"	"16.087"	"15.214"	"14.362"	"11.647"	"8.263"	"7.253"	"9.928"	"16.212"	"16.201"	"16.289"
"1953"	"15.891"	"15.988"	"16.087"	"15.159"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"15.929"	"16.175"
"1954"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"6.95"	"10.031"	"15.237"	"16.116"	"16.175"
"1955"	"15.891"	"15.995"	"16.087"	"15.214"	"14.143"	"11.623"	"8.252"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1956"	"15.891"	"15.988"	"16.064"	"14.818"	"14.143"	"11.623"	"8.432"	"7.253"	"9.928"	"14.984"	"16.201"	"16.175"
"1957"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"6.865"	"9.928"	"15.189"	"16.524"	"16.175"
"1958"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1959"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.214"	"16.321"
"1960"	"15.891"	"15.988"	"16.087"	"15.192"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.133"	"16.175"
"1961"	"15.891"	"15.609"	"15.861"	"15.114"	"13.741"	"11.623"	"7.972"	"7.063"	"9.86"	"15.114"	"16.201"	"16.166"
"1962"	"15.891"	"15.632"	"16.586"	"14.936"	"14.098"	"11.623"	"8.25"	"7.208"	"9.626"	"15.044"	"16.052"	"15.876"
"1963"	"16.543"	"16.247"	"15.878"	"14.883"	"13.703"	"11.623"	"8.282"	"7.078"	"9.928"	"15.054"	"15.991"	"16.473"
"1964"	"15.397"	"15.977"	"16.087"	"15.214"	"14.143"	"11.623"	"7.942"	"7.361"	"9.823"	"15.191"	"16.201"	"15.78"
"1965"	"15.782"	"15.988"	"15.977"	"15.214"	"13.789"	"11.623"	"8.154"	"7.181"	"9.902"	"15.067"	"16.267"	"16.175"
"1966"	"15.975"	"16.16"	"16.007"	"14.859"	"14.2"	"11.747"	"8.388"	"7.351"	"9.928"	"15.309"	"16.238"	"16.769"
"1967"	"16.322"	"16.066"	"16.087"	"15.214"	"14.265"	"11.677"	"8.605"	"7.157"	"9.966"	"15.12"	"16.274"	"16.175"
"1968"	"16.092"	"15.528"	"16.438"	"15.214"	"13.96"	"11.465"	"8.335"	"7.386"	"10.767"	"15.191"	"16.047"	"16.138"
"1969"	"15.891"	"15.916"	"16.333"	"14.944"	"14.143"	"11.53"	"7.968"	"7.34"	"9.94"	"15.191"	"15.702"	"16.197"
"1970"	"15.891"	"16.025"	"16.076"	"15.41"	"14.314"	"11.737"	"8.707"	"7.394"	"9.799"	"15.611"	"16.942"	"16.377"
"1971"	"16.184"	"16.182"	"16.087"	"15.225"	"14.037"	"11.821"	"8.051"	"7.264"	"10.951"	"15.435"	"16.442"	"16.684"
"1972"	"15.891"	"15.977"	"16.331"	"15.214"	"14.019"	"11.646"	"8.707"	"7.274"	"9.675"	"14.882"	"16.003"	"15.592"
"1973"	"14.696"	"15.988"	"15.93"	"15.743"	"14.468"	"11.634"	"8.437"	"7.159"	"9.928"	"15.191"	"16.681"	"16.672"
"1974"	"15.564"	"15.949"	"16.188"	"15.227"	"15.303"	"11.623"	"8.263"	"7.492"	"10.287"	"15.191"	"16.689"	"16.164"
"1975"	"15.891"	"16.114"	"15.93"	"14.956"	"14.393"	"11.623"	"8.414"	"7.265"	"9.277"	"15.61"	"16.562"	"16.175"
"1976"	"15.902"	"15.887"	"16.087"	"15.455"	"14.178"	"11.61"	"8.263"	"7.152"	"9.919"	"15.27"	"16.201"	"16.175"
"1977"	"15.69"	"16.492"	"16.426"	"15.214"	"14.143"	"11.442"	"8.177"	"7.227"	"9.86"	"15.215"	"16.238"	"16.187"
"1978"	"15.891"	"15.988"	"16.085"	"15.214"	"14.453"	"12.118"	"8.193"	"7.24"	"9.906"	"15.365"	"15.688"	"16.385"
"1979"	"15.819"	"15.893"	"15.745"	"15.169"	"14.047"	"11.623"	"8.25"	"7.38"	"9.928"	"15.198"	"16.193"	"16.175"
"1980"	"15.891"	"15.794"	"15.917"	"15.225"	"14.143"	"11.324"	"8.334"	"7.152"	"9.687"	"15.137"	"16.514"	"16.277"
"1981"	"15.619"	"15.988"	"16.087"	"15.239"	"14.12"	"11.623"	"8.517"	"7.253"	"9.928"	"15.535"	"15.946"	"16.175"
"1982"	"15.818"	"15.446"	"15.875"	"15.025"	"14.133"	"11.624"	"8.263"	"7.242"	"10.165"	"15.191"	"15.165"	"16.154"
"1983"	"15.767"	"15.988"	"16.011"	"15.047"	"13.993"	"11.471"	"8.465"	"7.253"	"9.928"	"15.166"	"16.224"	"16.175"
"1984"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.603"	"8.26"	"7.253"	"9.928"	"15.374"	"15.757"	"14.686"
"1985"	"15.601"	"17.193"	"15.867"	"15.214"	"14.143"	"11.634"	"8.263"	"7.045"	"9.928"	"14.895"	"16.201"	"16.175"
"1986"	"15.989"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.274"	"7.182"	"9.781"	"15.102"	"16.135"	"16.175"
"1987"	"16.971"	"16.105"	"15.916"	"14.914"	"13.631"	"11.623"	"7.913"	"7.253"	"9.632"	"14.851"	"17.153"	"16.364"
"1988"	"15.821"	"15.988"	"15.872"	"15.44"	"14.143"	"11.597"	"8.263"	"7.155"	"9.558"	"15.191"	"16.303"	"16.175"
"1989"	"15.879"	"15.604"	"16.557"	"15.758"	"13.99"	"11.586"	"8.365"	"7.253"	"9.928"	"15.191"	"15.864"	"16.089"
"1990"	"15.891"	"15.794"	"15.988"	"15.213"	"14.087"	"11.586"	"8.282"	"7.253"	"9.985"	"15.15"	"16.201"	"16.119"
"1991"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.48"	"8.263"	"7.253"	"9.85"	"15.191"	"16.201"	"16.175"
"1992"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1993"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1994"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1995"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1996"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1997"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"1998"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.304"	"16.175"
"1999"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"2000"	"15.891"	"15.988"	"16.087"	"15.126"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"2001"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
"2002"	"15.891"	"15.988"	"16.087"	"15.214"	"14.143"	"11.623"	"8.263"	"7.253"	"9.928"	"15.191"	"16.201"	"16.175"
