
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.371"	"25.817"	"33.72"	"37.385"	"40.653"	"39.466"	"34.963"	"31.849"	"34.104"	"36.342"	"30.892"	"27.496"
"1902"	"26.426"	"28.512"	"35.359"	"38.855"	"39.936"	"37.701"	"35.373"	"33.33"	"33.29"	"35.135"	"30.455"	"25.912"
"1903"	"24.989"	"26.52"	"30.478"	"36.007"	"39.958"	"39.427"	"34.82"	"31.847"	"33.653"	"35.05"	"28.505"	"25.069"
"1904"	"24.687"	"28.26"	"31.638"	"38.087"	"39.882"	"37.715"	"32.962"	"31.775"	"33.905"	"35.048"	"30.357"	"26.012"
"1905"	"23.289"	"22.901"	"29.961"	"35.473"	"41.677"	"38.047"	"33.813"	"32.865"	"34.099"	"35.7"	"31.797"	"26.424"
"1906"	"23.352"	"25.166"	"31.156"	"36.55"	"40.824"	"37.748"	"33.739"	"32.145"	"32.398"	"34.896"	"30.997"	"26.565"
"1907"	"26.405"	"26.663"	"31.555"	"36.407"	"38.288"	"38.148"	"35.76"	"30.144"	"31.922"	"34.096"	"30.97"	"25.231"
"1908"	"24.915"	"27.13"	"31.574"	"37.45"	"39.413"	"38.28"	"31.781"	"30.113"	"31.645"	"33.501"	"29.143"	"24.748"
"1909"	"23.947"	"26.606"	"32.718"	"36.041"	"38.24"	"37.715"	"32.033"	"29.931"	"31.166"	"33.643"	"29.8"	"24.601"
"1910"	"24.268"	"27.74"	"32.327"	"35.661"	"39.02"	"37.315"	"31.77"	"30.644"	"32.993"	"33.446"	"28.334"	"25.153"
"1911"	"25.531"	"27.932"	"30.524"	"36.538"	"40.492"	"37.207"	"34.7"	"32.34"	"32.882"	"34.96"	"28.764"	"26.696"
"1912"	"26.252"	"29.373"	"31.799"	"37.533"	"40.543"	"38.923"	"33.532"	"30.808"	"31.701"	"34.21"	"28.971"	"25.814"
"1913"	"25.366"	"27.381"	"30.262"	"38.195"	"39.062"	"37.755"	"33.275"	"30.952"	"32.571"	"35.277"	"30.335"	"25.484"
"1914"	"26.902"	"26.595"	"31.557"	"37.5"	"41.243"	"37.751"	"33.212"	"31.224"	"33.662"	"34.976"	"31.01"	"24.9"
"1915"	"24.533"	"26.313"	"33.275"	"36.756"	"40.372"	"39.098"	"35.015"	"32.931"	"35.608"	"36.244"	"30.716"	"26.643"
"1916"	"26.287"	"26.124"	"34.595"	"37.652"	"39.559"	"37.152"	"34.695"	"31.387"	"32.81"	"33.215"	"28.123"	"24.822"
"1917"	"25.963"	"28.001"	"32.162"	"34.899"	"37.32"	"36.241"	"31.716"	"30.492"	"31.511"	"32.312"	"28.826"	"25.092"
"1918"	"23.802"	"28.005"	"32.011"	"35.207"	"39.761"	"36.974"	"34.107"	"32.504"	"32.716"	"34.683"	"31.012"	"24.999"
"1919"	"24.982"	"27.36"	"32.451"	"36.221"	"39.739"	"38.329"	"33.08"	"31.066"	"31.942"	"34.076"	"30.183"	"25.306"
"1920"	"25.532"	"27.064"	"33.161"	"36.483"	"36.924"	"35.543"	"32.203"	"30.731"	"34.309"	"35.662"	"31.181"	"25.641"
"1921"	"25.699"	"27.658"	"34.644"	"38.92"	"40.176"	"38.729"	"34.841"	"31.206"	"32.509"	"34.552"	"30.268"	"27.031"
"1922"	"24.369"	"29.057"	"33.155"	"38.202"	"39.343"	"37.941"	"33.819"	"31.168"	"32.237"	"34.151"	"30.03"	"25.372"
"1923"	"25.405"	"26.618"	"33.725"	"37.184"	"38.917"	"38.477"	"33.609"	"30.389"	"33.297"	"34.145"	"29.044"	"25.966"
"1924"	"24.475"	"27.972"	"34.677"	"37.825"	"38.235"	"38.587"	"34.444"	"31.881"	"31.865"	"33.283"	"28.554"	"25.757"
"1925"	"22.645"	"25.473"	"33.789"	"39.469"	"39.6"	"36.821"	"32.349"	"32.599"	"34.433"	"36.681"	"30.571"	"26.583"
"1926"	"25.663"	"30.21"	"32.211"	"34.836"	"38.546"	"39.549"	"34.023"	"31.459"	"32.205"	"33.752"	"28.295"	"25.177"
"1927"	"23.068"	"25.849"	"31.077"	"36.189"	"38.858"	"38.267"	"32.736"	"30.02"	"32.251"	"34.226"	"28.532"	"26.19"
"1928"	"24.843"	"28.08"	"33.289"	"37.35"	"39.925"	"37.826"	"33.766"	"31.398"	"31.942"	"34.476"	"30.146"	"24.91"
"1929"	"24.161"	"26.634"	"34.509"	"37.914"	"40.169"	"38.065"	"32.975"	"30.563"	"32.896"	"34.128"	"31.014"	"23.974"
"1930"	"24.439"	"27.251"	"32.828"	"36.448"	"39.638"	"38.054"	"32.117"	"30.958"	"35.036"	"35.808"	"29.658"	"26.551"
"1931"	"26.42"	"25.83"	"32.326"	"38.514"	"39.935"	"39.411"	"34.433"	"31.551"	"32.935"	"33.963"	"29.944"	"26.288"
"1932"	"27.95"	"27.581"	"33.268"	"36.884"	"39.827"	"38.169"	"33.56"	"30.61"	"33.773"	"35.165"	"29.507"	"26.749"
"1933"	"24.319"	"27.801"	"32.491"	"36.367"	"38.134"	"37.22"	"33.023"	"29.725"	"32.114"	"34.243"	"30.007"	"25.851"
"1934"	"22.67"	"28.995"	"31.739"	"37.406"	"39.472"	"38.225"	"32.821"	"30.764"	"32.112"	"33.72"	"29.544"	"26.769"
"1935"	"22.781"	"27.651"	"32.455"	"34.827"	"39.729"	"39.064"	"32.688"	"31.082"	"32.3"	"34.055"	"30.408"	"26.34"
"1936"	"23.953"	"28.142"	"31.741"	"36.873"	"41.183"	"36.53"	"33.188"	"31.599"	"33.249"	"35.373"	"30.469"	"25.534"
"1937"	"24.488"	"28.078"	"31.297"	"36.983"	"39.771"	"38.844"	"32.597"	"31.688"	"33.429"	"34.24"	"30.757"	"24.468"
"1938"	"24.55"	"26.212"	"34.019"	"38.122"	"40.129"	"36.754"	"33.125"	"31.795"	"34.069"	"35.864"	"29.008"	"26.289"
"1939"	"25.974"	"27.933"	"30.352"	"35.483"	"39.207"	"37.28"	"33.843"	"33.161"	"33.272"	"35.487"	"30.603"	"27.635"
"1940"	"26.188"	"27.909"	"30.862"	"36.304"	"40.561"	"37.977"	"33.944"	"31.187"	"32.78"	"35.293"	"30.951"	"25.497"
"1941"	"24.275"	"29.151"	"34.166"	"38.348"	"40.271"	"38.12"	"33.039"	"32.042"	"33.779"	"37.107"	"30.709"	"27.104"
