
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.474"	"9.807"	"17.609"	"22.165"	"26.509"	"27.833"	"26.695"	"24.581"	"24.177"	"21.132"	"14.68"	"11.319"
"1902"	"10.537"	"12.527"	"19.25"	"23.641"	"25.793"	"26.056"	"27.105"	"26.065"	"23.365"	"19.941"	"14.253"	"9.731"
"1903"	"9.099"	"10.512"	"14.391"	"20.776"	"25.812"	"27.793"	"26.55"	"24.578"	"23.726"	"19.833"	"12.302"	"8.871"
"1904"	"8.789"	"12.253"	"15.549"	"22.868"	"25.738"	"26.095"	"24.7"	"24.519"	"23.978"	"19.835"	"14.157"	"9.836"
"1905"	"7.392"	"6.916"	"13.872"	"20.245"	"27.5"	"26.416"	"25.548"	"25.598"	"24.172"	"20.486"	"15.584"	"10.244"
"1906"	"7.456"	"9.171"	"15.068"	"21.334"	"26.666"	"26.127"	"25.465"	"24.894"	"22.473"	"19.703"	"14.786"	"10.39"
"1907"	"10.514"	"10.676"	"15.453"	"21.186"	"24.134"	"26.525"	"27.496"	"22.889"	"21.997"	"18.913"	"14.759"	"9.055"
"1908"	"9.017"	"11.131"	"15.487"	"22.234"	"25.249"	"26.656"	"23.518"	"22.855"	"21.716"	"18.308"	"12.942"	"8.571"
"1909"	"8.055"	"10.586"	"16.626"	"20.804"	"24.087"	"26.094"	"23.77"	"22.665"	"21.243"	"18.43"	"13.599"	"8.425"
"1910"	"8.367"	"11.753"	"16.222"	"20.44"	"24.842"	"25.696"	"23.493"	"23.387"	"23.067"	"18.235"	"12.135"	"8.957"
"1911"	"9.641"	"11.945"	"14.427"	"21.319"	"26.339"	"25.586"	"26.436"	"25.088"	"22.956"	"19.749"	"12.552"	"10.517"
"1912"	"10.361"	"13.355"	"15.704"	"22.312"	"26.398"	"27.301"	"25.267"	"23.544"	"21.776"	"18.995"	"12.754"	"9.639"
"1913"	"9.476"	"11.373"	"14.164"	"22.944"	"24.915"	"26.133"	"25.002"	"23.69"	"22.643"	"20.082"	"14.133"	"9.308"
"1914"	"11.01"	"10.578"	"15.469"	"22.282"	"27.091"	"26.125"	"24.947"	"23.963"	"23.734"	"19.763"	"15.74"	"8.724"
"1915"	"8.641"	"10.306"	"17.185"	"21.524"	"26.21"	"27.464"	"26.745"	"25.677"	"25.683"	"21.031"	"14.513"	"10.466"
"1916"	"10.395"	"10.115"	"18.493"	"22.41"	"25.417"	"25.527"	"26.186"	"24.132"	"22.883"	"18.021"	"11.921"	"8.647"
"1917"	"10.072"	"11.993"	"16.071"	"19.658"	"23.158"	"24.597"	"23.439"	"23.24"	"21.585"	"17.1"	"12.626"	"8.917"
"1918"	"7.905"	"12.016"	"15.896"	"19.989"	"25.616"	"25.348"	"25.839"	"25.246"	"22.788"	"19.472"	"14.81"	"8.823"
"1919"	"8.591"	"11.35"	"16.331"	"21.006"	"25.576"	"26.704"	"24.806"	"23.802"	"22.014"	"18.867"	"13.97"	"9.131"
"1920"	"9.641"	"11.054"	"17.069"	"21.424"	"22.75"	"23.922"	"23.937"	"23.466"	"24.383"	"20.45"	"14.979"	"9.46"
"1921"	"9.805"	"11.659"	"18.57"	"23.702"	"26.03"	"27.107"	"26.571"	"23.945"	"22.584"	"19.26"	"14.068"	"10.852"
"1922"	"8.469"	"13.045"	"17.053"	"22.983"	"25.186"	"26.31"	"25.557"	"23.903"	"22.311"	"18.85"	"13.828"	"9.197"
"1923"	"9.512"	"10.607"	"17.616"	"21.965"	"24.722"	"26.843"	"25.343"	"23.136"	"23.371"	"18.932"	"12.844"	"9.791"
"1924"	"8.582"	"11.977"	"18.556"	"22.604"	"24.083"	"26.956"	"26.18"	"24.618"	"21.938"	"18.091"	"12.343"	"9.575"
"1925"	"6.754"	"9.487"	"17.688"	"24.254"	"25.436"	"25.2"	"24.084"	"25.346"	"24.504"	"21.47"	"14.37"	"10.384"
"1926"	"9.77"	"14.224"	"16.104"	"19.607"	"24.383"	"27.912"	"25.759"	"24.192"	"22.277"	"18.541"	"12.093"	"9.002"
"1927"	"7.172"	"9.842"	"14.978"	"20.975"	"24.696"	"26.64"	"24.472"	"22.763"	"22.325"	"19.029"	"12.331"	"10.013"
"1928"	"8.947"	"12.071"	"17.169"	"22.13"	"25.781"	"26.202"	"25.502"	"24.127"	"22.015"	"19.283"	"13.943"	"8.733"
"1929"	"8.269"	"10.636"	"18.398"	"22.682"	"26.027"	"26.443"	"24.712"	"23.306"	"22.969"	"18.919"	"14.813"	"7.8"
"1930"	"8.548"	"11.254"	"16.737"	"21.216"	"25.483"	"26.422"	"23.855"	"23.695"	"25.109"	"20.611"	"13.455"	"10.376"
"1931"	"10.528"	"9.81"	"16.227"	"23.299"	"25.791"	"27.787"	"26.165"	"24.298"	"22.951"	"18.773"	"13.734"	"10.113"
"1932"	"12.058"	"11.586"	"17.15"	"21.665"	"25.672"	"26.536"	"25.288"	"23.357"	"23.848"	"19.951"	"13.294"	"10.572"
"1933"	"8.278"	"11.914"	"16.369"	"21.134"	"23.971"	"25.598"	"24.751"	"22.47"	"22.187"	"19.031"	"13.914"	"9.672"
"1934"	"6.773"	"13.005"	"15.65"	"22.189"	"25.309"	"26.601"	"24.54"	"23.501"	"22.187"	"18.526"	"13.341"	"10.594"
"1935"	"6.887"	"11.652"	"16.337"	"19.613"	"25.557"	"27.442"	"24.423"	"23.818"	"22.25"	"18.846"	"14.198"	"10.158"
"1936"	"8.062"	"11.608"	"15.649"	"21.657"	"27.018"	"24.908"	"24.924"	"24.346"	"23.322"	"20.178"	"14.268"	"9.333"
"1937"	"8.59"	"12.068"	"15.202"	"21.756"	"25.609"	"27.221"	"24.33"	"24.421"	"23.504"	"19.046"	"14.555"	"8.268"
"1938"	"8.653"	"10.195"	"17.909"	"22.903"	"25.984"	"25.124"	"24.86"	"24.537"	"24.142"	"20.649"	"12.804"	"10.107"
"1939"	"10.084"	"11.944"	"14.265"	"20.242"	"25.064"	"25.658"	"25.581"	"25.894"	"23.346"	"20.274"	"14.387"	"11.451"
"1940"	"10.295"	"11.921"	"14.776"	"21.092"	"26.413"	"26.356"	"25.679"	"23.92"	"22.853"	"20.098"	"14.738"	"9.317"
"1941"	"8.374"	"13.16"	"18.062"	"23.023"	"26.128"	"26.495"	"24.765"	"24.791"	"23.851"	"21.896"	"14.496"	"10.928"
"1942"	"8.512"	"12.226"	"17.734"	"23.502"	"25.188"	"27.794"	"24.439"	"23.764"	"22.666"	"19.561"	"14.084"	"8.558"
"1943"	"8.524"	"11.932"	"17.495"	"21.392"	"26.897"	"26.238"	"24.494"	"23.185"	"22.36"	"18.895"	"13.787"	"10.951"
"1944"	"8.921"	"11.295"	"15.961"	"21.22"	"25.949"	"26.116"	"24.244"	"23.156"	"22.649"	"18.705"	"14.252"	"10.571"
"1945"	"6.796"	"10.891"	"17.162"	"20.963"	"24.591"	"26.121"	"23.62"	"24.022"	"22.279"	"18.86"	"13.047"	"8.272"
"1946"	"9.173"	"13.192"	"15.968"	"23.971"	"25.145"	"26.351"	"24.621"	"22.882"	"22.073"	"19.916"	"12.626"	"9.148"
"1947"	"8.104"	"11.993"	"16.998"	"22.225"	"26.168"	"26.613"	"26.039"	"25.107"	"21.788"	"17.433"	"14.419"	"9.819"
"1948"	"8.368"	"11.029"	"16.828"	"22.561"	"26.623"	"27.057"	"25.898"	"23.432"	"23.056"	"20.264"	"13.709"	"10.201"
"1949"	"10.834"	"12.004"	"17.382"	"23.685"	"27.299"	"26.112"	"24.81"	"24.08"	"24.374"	"19.711"	"13.144"	"9.093"
"1950"	"9.771"	"9.188"	"16.11"	"21.295"	"25.777"	"26.15"	"23.87"	"23.219"	"22.536"	"19.341"	"12.644"	"8.142"
"1951"	"8.254"	"11.03"	"16.254"	"20.363"	"25.286"	"25.833"	"26.417"	"23.788"	"24.735"	"22.337"	"15.412"	"10.459"
"1952"	"10.273"	"13.062"	"16.682"	"23.299"	"26.37"	"26.246"	"24.229"	"23.146"	"22.71"	"19.224"	"13.77"	"10.073"
