
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.23"	"5.87"	"7.15"	"8.23"	"8.8"	"8.17"	"6.49"	"5.68"	"6.3"	"7.18"	"6.27"	"5.46"
"1902"	"5.39"	"6.08"	"7.26"	"8.35"	"8.84"	"8.09"	"6.43"	"5.77"	"6.34"	"7.11"	"6.26"	"5.39"
"1903"	"5.32"	"6.04"	"6.98"	"8.1"	"8.71"	"8.15"	"6.49"	"5.68"	"6.31"	"7.17"	"6.14"	"5.31"
"1904"	"5.24"	"6.12"	"7.05"	"8.22"	"8.83"	"8.13"	"6.36"	"5.61"	"6.31"	"7.14"	"6.22"	"5.43"
"1905"	"5.29"	"5.74"	"6.88"	"8"	"8.82"	"8.19"	"6.39"	"5.68"	"6.33"	"7.13"	"6.32"	"5.5"
"1906"	"5.25"	"5.87"	"7"	"8.1"	"8.81"	"8.13"	"6.41"	"5.69"	"6.27"	"7.06"	"6.25"	"5.39"
"1907"	"5.41"	"6.06"	"7.04"	"8.2"	"8.68"	"8.05"	"6.53"	"5.68"	"6.23"	"7"	"6.24"	"5.37"
"1908"	"5.29"	"6.06"	"7.04"	"8.21"	"8.79"	"8.18"	"6.36"	"5.57"	"6.24"	"7.03"	"6.14"	"5.32"
"1909"	"5.23"	"5.97"	"7.13"	"8.21"	"8.68"	"8.13"	"6.37"	"5.58"	"6.2"	"7.01"	"6.19"	"5.32"
"1910"	"5.2"	"6.06"	"7.15"	"8.14"	"8.73"	"8.13"	"6.31"	"5.55"	"6.31"	"7.06"	"6.1"	"5.29"
"1911"	"5.31"	"6.13"	"7.01"	"8.1"	"8.81"	"8.1"	"6.41"	"5.71"	"6.31"	"7.14"	"6.13"	"5.37"
"1912"	"5.35"	"6.23"	"7.11"	"8.2"	"8.8"	"8.18"	"6.46"	"5.66"	"6.26"	"7.07"	"6.14"	"5.34"
