
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.472"	"0.044"	"0.658"	"0.141"	"18.377"	"16.664"	"174.552"	"85.922"	"2.368"	"10.001"	"0.016"	"3.194"
"1902"	"0.351"	"0"	"0"	"0"	"4.964"	"56.41"	"37.519"	"112.941"	"87.858"	"1.001"	"2.688"	"0.09"
"1903"	"0.076"	"0.143"	"4.629"	"0"	"17.258"	"1.57"	"310.598"	"158.685"	"168.021"	"0.246"	"0.016"	"0"
"1904"	"1.127"	"1.477"	"14.485"	"0"	"7.382"	"37.591"	"78.916"	"34.212"	"65.859"	"12.729"	"0.388"	"6.069"
"1905"	"2.795"	"3.529"	"2.12"	"7.634"	"0.86"	"17.438"	"148.873"	"4.533"	"56.213"	"0"	"0.016"	"0.012"
"1906"	"0"	"40.907"	"1.715"	"0"	"0.777"	"26.907"	"180.289"	"91.509"	"146.918"	"0.619"	"0.016"	"9.277"
"1907"	"2.616"	"15.402"	"1.675"	"12.87"	"2.421"	"10.614"	"101.778"	"283.221"	"4.509"	"0"	"0.157"	"0"
"1908"	"13.183"	"0.066"	"0"	"0.088"	"1.307"	"21.62"	"465.34"	"330.685"	"292.838"	"0.061"	"6.248"	"0"
"1909"	"10.796"	"0"	"0"	"30.056"	"0.944"	"32.493"	"280.236"	"87.642"	"268.416"	"0.105"	"0.016"	"2.004"
"1910"	"8.095"	"0.356"	"0"	"16.217"	"2.027"	"129.645"	"85.564"	"189.619"	"12.823"	"2.569"	"0.284"	"0"
"1911"	"9.702"	"0"	"47.935"	"0"	"0"	"49.576"	"13.889"	"14.574"	"110.857"	"0"	"9.013"	"0.033"
"1912"	"0.108"	"0"	"0"	"0.965"	"0.777"	"61.604"	"187.068"	"237.526"	"57.233"	"32.53"	"51.781"	"0"
"1913"	"0"	"0.539"	"0.374"	"0"	"10.853"	"66.071"	"147.893"	"95.722"	"75.078"	"0"	"0.417"	"0.48"
"1914"	"0"	"3.779"	"0.042"	"2.971"	"8.195"	"86.263"	"137.414"	"111.93"	"85.266"	"3.431"	"38.065"	"0.022"
"1915"	"5.848"	"5.431"	"19.386"	"1.46"	"0.843"	"21.348"	"49.405"	"26.133"	"20.217"	"57.08"	"0.02"	"0.017"
"1916"	"0"	"0.044"	"0"	"0"	"21.859"	"38.461"	"62.249"	"336.281"	"143.963"	"11.596"	"0.905"	"0"
"1917"	"0.884"	"15.73"	"0.638"	"13.968"	"60.135"	"189.825"	"208.958"	"426.305"	"275.374"	"25.582"	"0.016"	"9.135"
"1918"	"0.073"	"0"	"1.07"	"0"	"9.864"	"19.275"	"14.448"	"96.335"	"6.611"	"0"	"1.346"	"0.049"
"1919"	"16.483"	"0"	"0.743"	"30.13"	"12.028"	"16.343"	"222.149"	"220.454"	"43.158"	"1.454"	"19.948"	"0.112"
"1920"	"2.746"	"3.043"	"0.7"	"0"	"44.063"	"154.814"	"145.048"	"26.339"	"5.787"	"0"	"0.016"	"0"
"1921"	"0.252"	"0"	"0"	"0"	"0"	"9.385"	"191.946"	"80.733"	"114.867"	"0.002"	"0.016"	"0"
"1922"	"0.308"	"0.473"	"0"	"0.029"	"1.169"	"25.365"	"174.659"	"66.118"	"166.134"	"0.191"	"3.916"	"0.154"
"1923"	"1.756"	"5.304"	"1.41"	"9.128"	"7.757"	"2.477"	"275.269"	"149.9"	"12.188"	"1.617"	"0.016"	"0.033"
"1924"	"1.303"	"1.128"	"0"	"0"	"14.473"	"31.174"	"204.514"	"90.737"	"207.561"	"2.185"	"0.049"	"9.219"
"1925"	"0"	"0"	"0"	"0"	"4.028"	"104.452"	"115.923"	"56.958"	"3.198"	"0"	"9.399"	"0"
"1926"	"18.961"	"0.138"	"25.058"	"9.261"	"9.758"	"6.355"	"169.68"	"238.959"	"334.21"	"0"	"0.828"	"0"
"1927"	"0"	"6.66"	"0"	"0.022"	"5.468"	"17.987"	"346.155"	"347.971"	"61.699"	"12.477"	"2.878"	"9.155"
"1928"	"0.896"	"1.623"	"0"	"0"	"0.033"	"6.859"	"161.268"	"193.726"	"67.722"	"37.752"	"37.056"	"0.65"
"1929"	"0.885"	"0.472"	"0"	"5.581"	"1.97"	"42.781"	"203.855"	"209.443"	"6.97"	"0.491"	"0.429"	"4.891"
"1930"	"13.161"	"0.033"	"0"	"2.914"	"14.365"	"70.483"	"146.319"	"73.129"	"24.947"	"21.725"	"0.097"	"0"
"1931"	"0"	"0.697"	"0.389"	"0"	"3.643"	"14.039"	"53.63"	"440.477"	"29.611"	"41.34"	"0.097"	"0.191"
"1932"	"0"	"0.529"	"3.422"	"1.087"	"1.238"	"29.699"	"146.367"	"339.293"	"22.96"	"3.217"	"0.016"	"0"
"1933"	"0"	"6.097"	"2.852"	"18.237"	"28.197"	"103.314"	"104.866"	"465.402"	"92.108"	"4.794"	"2.048"	"0.266"
"1934"	"0.354"	"0"	"5.333"	"0"	"0"	"153.669"	"104.667"	"306.499"	"32.217"	"0.852"	"3.613"	"0.119"
"1935"	"12.932"	"0.697"	"0.433"	"18.419"	"2.041"	"6.99"	"224.882"	"34.198"	"139.653"	"13.813"	"0.016"	"0.022"
"1936"	"0"	"4.755"	"7.885"	"1.964"	"2.388"	"105.504"	"82.14"	"60.041"	"94.177"	"0"	"49.393"	"0.097"
"1937"	"0"	"8.499"	"0"	"0.044"	"0.108"	"43.159"	"287.921"	"3.579"	"195.875"	"3.642"	"0.173"	"3.306"
"1938"	"0.037"	"0"	"1.352"	"0"	"5.157"	"180.79"	"139.457"	"74.359"	"16.355"	"1.426"	"0.016"	"0"
"1939"	"0.062"	"4.768"	"7.94"	"0.959"	"0"	"17.915"	"41.394"	"144.731"	"51.265"	"0.139"	"0.382"	"0.117"
"1940"	"5.042"	"8.49"	"14.074"	"4.411"	"2.127"	"40.986"	"167.028"	"150.208"	"6.53"	"6.988"	"9.828"	"0"
"1941"	"1.399"	"10.941"	"0"	"0.141"	"4.515"	"2.026"	"189.696"	"161.856"	"66.838"	"4.556"	"0.016"	"0.858"
"1942"	"3.975"	"6.875"	"0"	"11.614"	"22.111"	"26.33"	"252.932"	"154.548"	"36.043"	"0"	"0.016"	"0.679"
"1943"	"1.014"	"0"	"0"	"9.39"	"0.964"	"29.045"	"474.379"	"88.72"	"213.697"	"0.827"	"0.016"	"0"
"1944"	"13.198"	"1.491"	"10.649"	"0.311"	"0.283"	"52.035"	"304.551"	"368.349"	"37.741"	"10.974"	"0.016"	"0"
"1945"	"8.092"	"0"	"0"	"1.324"	"17.513"	"55.014"	"399.073"	"153.517"	"58.862"	"0.017"	"0.016"	"0"
"1946"	"0"	"1.766"	"0"	"0.712"	"1.952"	"50.625"	"102.833"	"234.889"	"28"	"0.117"	"9.078"	"2.78"
"1947"	"0.271"	"0.424"	"0"	"0.563"	"0.393"	"1.731"	"84.541"	"228.665"	"250.426"	"34.716"	"0.178"	"0.215"
"1948"	"8.094"	"3.567"	"1.593"	"0.449"	"1.173"	"24.702"	"236.338"	"116.638"	"13.072"	"3.34"	"14.868"	"0.012"
"1949"	"5.237"	"0.402"	"0"	"0"	"1.743"	"26.932"	"212.082"	"89.974"	"46.663"	"12.286"	"0.016"	"0"
"1950"	"0.871"	"0"	"1.077"	"0"	"0.527"	"11.889"	"306.2"	"42.011"	"154.222"	"0.139"	"0.018"	"0.128"
"1951"	"0.033"	"0"	"2.819"	"1.634"	"11.204"	"61.905"	"96.669"	"183.883"	"6.269"	"2.555"	"58.493"	"0"
"1952"	"0"	"0.568"	"0.342"	"1.062"	"0.701"	"37.489"	"348.998"	"174.426"	"4.219"	"0.111"	"0.016"	"0.141"
"1953"	"2.737"	"0"	"0"	"2.045"	"2.706"	"53.251"	"135.953"	"245.992"	"99.064"	"0.585"	"0.016"	"0.02"
"1954"	"3.367"	"2.086"	"1.41"	"0"	"0.764"	"31.93"	"212.505"	"120.092"	"262.887"	"25.939"	"21.852"	"0"
"1955"	"0.142"	"0"	"0.439"	"0.004"	"5.789"	"22.817"	"16.215"	"282.863"	"224.129"	"9.828"	"0.016"	"3.028"
"1956"	"5.859"	"0"	"9.469"	"0.928"	"0.221"	"57.148"	"462.054"	"140.358"	"35.88"	"42.365"	"1.542"	"0.251"
"1957"	"7.551"	"0"	"10.338"	"4.852"	"6.969"	"52.105"	"88.403"	"207.878"	"5.952"	"1.457"	"17.01"	"0.09"
"1958"	"0.607"	"0.022"	"0.342"	"0.539"	"2.93"	"16.679"	"147.392"	"45.056"	"301.266"	"21.975"	"79.868"	"3.051"
"1959"	"0.646"	"0.339"	"0.022"	"3.176"	"4.717"	"61.663"	"219.216"	"129.362"	"215.924"	"14.543"	"18.343"	"0"
"1960"	"1.24"	"0"	"0.353"	"0"	"3.956"	"56.872"	"137.126"	"53.781"	"5.665"	"1.638"	"0.016"	"0.905"
"1961"	"2.283"	"10.094"	"0"	"9.623"	"4.956"	"49.534"	"135.178"	"88.614"	"295.71"	"5.774"	"0.173"	"0.148"
"1962"	"0.097"	"0"	"23.287"	"1.892"	"2.999"	"9.523"	"220.997"	"80.995"	"95.728"	"0"	"1.974"	"0.536"
"1963"	"0.06"	"1.63"	"4.062"	"0.022"	"0.644"	"19.377"	"57.431"	"168.487"	"129.353"	"19.731"	"30.908"	"0.363"
"1964"	"0"	"0"	"0.022"	"0"	"15.957"	"31.969"	"175.959"	"217.717"	"26.742"	"6.286"	"0.016"	"3.041"
"1965"	"9.486"	"0.709"	"8.166"	"3.407"	"0.452"	"9.039"	"294.828"	"90.743"	"13.784"	"0.295"	"0.016"	"0.022"
"1966"	"0"	"0.033"	"0"	"0"	"7.706"	"46.907"	"172.702"	"188.916"	"124.282"	"0"	"3.372"	"0.082"
"1967"	"0"	"0"	"73.924"	"0.117"	"5.011"	"97.812"	"242.399"	"170.472"	"196.553"	"31.174"	"0.016"	"2.469"
"1968"	"0.152"	"0.551"	"4.755"	"0.141"	"3.083"	"1.095"	"182.728"	"76.01"	"4.782"	"0.263"	"0.016"	"0"
"1969"	"5.25"	"0.056"	"0.363"	"0"	"0.247"	"16.679"	"103.245"	"79.735"	"58.808"	"0"	"2.382"	"0"
"1970"	"0.8"	"0.84"	"1.148"	"5.107"	"6.089"	"85.927"	"99.833"	"315.844"	"170.78"	"10.339"	"2.717"	"0"
"1971"	"0.06"	"4.238"	"0.363"	"2.699"	"11.242"	"103.562"	"121.027"	"96.732"	"66.907"	"8.119"	"0.087"	"0"
"1972"	"0"	"0.808"	"0"	"2.863"	"5.886"	"43.624"	"56.425"	"295.491"	"10.067"	"0"	"1.443"	"0.022"
"1973"	"2.014"	"1.073"	"0"	"0"	"19.335"	"88.839"	"144.459"	"458.96"	"160.835"	"5.121"	"0.016"	"0.286"
"1974"	"0"	"0.383"	"0"	"2.487"	"34.96"	"77.482"	"173.085"	"50.57"	"26.453"	"33.033"	"0.016"	"3.33"
"1975"	"0.016"	"0.335"	"0.776"	"0"	"4.147"	"180.447"	"412.521"	"255.024"	"158.76"	"47.743"	"0.016"	"0"
"1976"	"6.655"	"5.323"	"0"	"3.821"	"0.022"	"31.359"	"128.341"	"226.183"	"245.47"	"0"	"23.388"	"0.082"
"1977"	"11.665"	"1.288"	"1.161"	"7.917"	"6.278"	"156.048"	"230.592"	"103.841"	"68.193"	"0.944"	"3.787"	"0"
"1978"	"0.712"	"6.336"	"4.019"	"9.984"	"0"	"60.098"	"240.822"	"217.221"	"14.567"	"3.17"	"59.56"	"0.28"
"1979"	"0.586"	"10.824"	"0.033"	"0"	"10.172"	"75.241"	"317.807"	"262.876"	"11.539"	"35.518"	"19.296"	"0.134"
"1980"	"0.046"	"0.454"	"0.266"	"0"	"3.513"	"103.055"	"156.902"	"68.772"	"30.991"	"0.097"	"3.574"	"11.53"
