
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.38"	"6.567"	"8.265"	"11.003"	"17.309"	"26.93"	"29.61"	"27.042"	"25.113"	"14.715"	"8.848"	"8.236"
"1902"	"7.396"	"7.528"	"9.411"	"11.837"	"16.844"	"24.453"	"29.614"	"29.943"	"23.957"	"13.237"	"8.773"	"7.34"
"1903"	"6.839"	"7.22"	"7.214"	"10.242"	"16.728"	"27.081"	"29.601"	"26.954"	"25.169"	"12.906"	"7.912"	"7.063"
"1904"	"6.916"	"7.339"	"7.794"	"11.071"	"16.803"	"24.909"	"27.527"	"27.142"	"24.69"	"13.26"	"8.512"	"7.71"
"1905"	"6.334"	"5.382"	"6.746"	"9.881"	"18.862"	"24.895"	"28.689"	"28.787"	"25.274"	"13.832"	"9.271"	"7.7"
"1906"	"6.342"	"6.423"	"7.477"	"10.445"	"17.831"	"24.774"	"28.148"	"27.726"	"23.869"	"13.239"	"9.068"	"7.881"
"1907"	"7.595"	"6.96"	"7.743"	"10.267"	"15.807"	"24.894"	"31.049"	"27.035"	"23.942"	"13.328"	"8.808"	"6.94"
"1908"	"6.887"	"7.281"	"7.761"	"10.905"	"16.803"	"25.355"	"26.564"	"26.186"	"23.532"	"12.628"	"8.188"	"7.132"
"1909"	"6.615"	"7.196"	"8.56"	"10.27"	"16.009"	"24.826"	"26.25"	"25.821"	"22.642"	"12.535"	"8.898"	"7.057"
"1910"	"6.921"	"7.239"	"8.265"	"9.821"	"16.803"	"24.905"	"26.392"	"27.042"	"24.112"	"12.706"	"7.546"	"7.112"
"1911"	"6.993"	"7.226"	"7.122"	"10.306"	"17.014"	"24.806"	"29.944"	"28.512"	"24.071"	"13.255"	"7.796"	"7.71"
"1912"	"7.399"	"7.854"	"7.784"	"11.123"	"17.621"	"26.42"	"27.442"	"27.042"	"23.946"	"13.266"	"8.141"	"7.673"
"1913"	"6.903"	"7.509"	"7.164"	"10.983"	"16.822"	"24.038"	"27.314"	"27.013"	"23.987"	"13.786"	"8.736"	"7.491"
"1914"	"7.593"	"7.044"	"7.733"	"10.57"	"18.299"	"24.897"	"27.358"	"27.042"	"24.012"	"13.171"	"8.87"	"7.063"
"1915"	"6.924"	"6.963"	"8.216"	"10.702"	"17.629"	"26.891"	"29.777"	"28.732"	"27.3"	"14.158"	"8.852"	"7.71"
"1916"	"7.474"	"6.996"	"9.017"	"10.905"	"16.803"	"24.316"	"28.799"	"26.992"	"23.942"	"12.617"	"7.584"	"7.109"
"1917"	"7"	"7.779"	"8.095"	"9.483"	"15.012"	"23.94"	"26.285"	"26.55"	"23.265"	"11.824"	"7.82"	"7.339"
"1918"	"6.36"	"7.525"	"7.98"	"9.766"	"16.813"	"24.806"	"28.977"	"27.961"	"23.832"	"13.273"	"8.859"	"7.06"
"1919"	"6.895"	"7.156"	"8.288"	"10.171"	"16.807"	"24.904"	"27.434"	"27.033"	"23.589"	"13.041"	"8.218"	"7.085"
"1920"	"6.887"	"7.294"	"8.265"	"10.451"	"14.575"	"23.16"	"27.353"	"27.042"	"25.642"	"14.077"	"8.868"	"7.382"
"1921"	"6.945"	"7.239"	"9.381"	"11.805"	"17.396"	"26.185"	"30.255"	"27.038"	"23.952"	"13.269"	"8.83"	"8.095"
"1922"	"6.887"	"7.978"	"8.265"	"11.095"	"16.803"	"24.774"	"28.381"	"27.042"	"23.882"	"13.288"	"8.865"	"7.407"
"1923"	"6.887"	"7.126"	"8.262"	"11.071"	"16.803"	"25.922"	"27.378"	"27.024"	"24.121"	"12.744"	"8.101"	"7.366"
"1924"	"6.921"	"7.274"	"9.057"	"10.944"	"15.634"	"25.713"	"28.73"	"27.042"	"23.636"	"12.578"	"7.866"	"7.71"
"1925"	"6.133"	"6.442"	"8.781"	"12.226"	"16.884"	"23.432"	"27.347"	"28.277"	"25.874"	"14.218"	"8.268"	"7.65"
"1926"	"6.916"	"8.621"	"7.719"	"9.588"	"15.997"	"27.506"	"28.557"	"27.013"	"24.082"	"12.328"	"7.599"	"7.038"
"1927"	"6.051"	"6.618"	"7.779"	"10.289"	"16.803"	"25.059"	"27.498"	"26.968"	"23.946"	"13.163"	"7.75"	"7.71"
"1928"	"6.785"	"7.505"	"8.234"	"10.997"	"17.445"	"24.933"	"28.315"	"27.042"	"23.956"	"13.239"	"8.688"	"7.12"
