
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.448"	"16.523"	"24.226"	"28.099"	"31.525"	"31.22"	"28.145"	"25.455"	"26.765"	"26.78"	"21.235"	"18.345"
"1902"	"17.43"	"19.3"	"25.867"	"29.497"	"30.863"	"29.607"	"28.446"	"26.989"	"25.928"	"25.405"	"20.577"	"16.71"
"1903"	"16.03"	"17.126"	"21.118"	"26.715"	"30.736"	"31.106"	"27.937"	"25.572"	"26.2"	"25.304"	"18.737"	"15.959"
"1904"	"15.831"	"18.736"	"22.17"	"28.781"	"30.819"	"29.274"	"26.142"	"25.532"	"26.56"	"25.486"	"20.687"	"16.998"
"1905"	"14.429"	"13.696"	"20.666"	"26.11"	"32.599"	"29.875"	"26.827"	"26.491"	"26.62"	"25.954"	"22.043"	"17.258"
"1906"	"14.354"	"15.948"	"21.885"	"27.391"	"31.766"	"29.273"	"26.768"	"25.876"	"25.041"	"25.161"	"21.324"	"17.36"
"1907"	"17.281"	"17.419"	"22.133"	"26.981"	"29.196"	"29.919"	"28.88"	"23.908"	"24.761"	"24.834"	"21.41"	"16.065"
"1908"	"15.837"	"17.737"	"22.05"	"28.239"	"30.332"	"29.908"	"25.04"	"23.996"	"24.592"	"24.065"	"19.694"	"15.707"
"1909"	"15.171"	"17.442"	"23.453"	"26.722"	"29.437"	"29.317"	"25.322"	"23.833"	"24.107"	"24.081"	"20.221"	"15.731"
"1910"	"15.403"	"18.407"	"22.968"	"26.482"	"29.968"	"28.792"	"25.047"	"24.588"	"25.59"	"23.8"	"18.649"	"16.234"
"1911"	"16.776"	"18.502"	"21.143"	"27.233"	"31.425"	"28.773"	"27.836"	"26.013"	"25.54"	"25.504"	"19.471"	"17.853"
"1912"	"17.236"	"20.031"	"22.475"	"28.235"	"31.438"	"30.746"	"26.795"	"24.596"	"24.561"	"24.726"	"19.409"	"16.687"
"1913"	"16.23"	"18.194"	"20.985"	"28.956"	"29.978"	"29.295"	"26.416"	"24.633"	"25.412"	"25.773"	"20.833"	"16.611"
"1914"	"17.934"	"17.479"	"22.168"	"28.121"	"32.107"	"29.324"	"26.346"	"25.077"	"26.369"	"25.398"	"21.91"	"16.023"
