
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.087"	"12.361"	"23.762"	"20.385"	"21.651"	"38.407"	"66.001"	"65.008"	"41.956"	"15.109"	"10.381"	"10.962"
"1902"	"14.087"	"12.654"	"23.939"	"20.385"	"21.624"	"38.462"	"65.532"	"65.132"	"41.562"	"15.151"	"10.381"	"10.962"
"1903"	"14.087"	"12.654"	"23.939"	"20.385"	"21.583"	"38.407"	"65.532"	"65.303"	"41.956"	"14.837"	"10.381"	"10.962"
"1904"	"14.087"	"12.654"	"23.939"	"20.342"	"21.569"	"38.407"	"65.719"	"65.132"	"41.956"	"15.151"	"10.343"	"10.962"
"1905"	"14.087"	"12.654"	"23.939"	"20.385"	"21.651"	"38.407"	"65.55"	"65.303"	"41.956"	"15.151"	"10.381"	"10.962"
"1906"	"14.087"	"12.654"	"23.902"	"20.385"	"21.651"	"38.66"	"65.532"	"65.145"	"41.956"	"14.825"	"10.381"	"10.962"
"1907"	"14.087"	"12.654"	"23.939"	"20.385"	"21.651"	"38.535"	"65.832"	"65.303"	"41.956"	"15.35"	"10.792"	"10.962"
"1908"	"14.087"	"12.654"	"23.939"	"20.367"	"21.73"	"38.315"	"65.532"	"65.303"	"41.956"	"15.151"	"10.381"	"10.962"
"1909"	"14.086"	"12.654"	"23.939"	"20.385"	"21.387"	"38.262"	"65.532"	"65.132"	"41.901"	"15.117"	"10.381"	"10.962"
"1910"	"14.087"	"12.654"	"23.939"	"20.385"	"21.841"	"38.407"	"66.148"	"65.132"	"41.956"	"15.151"	"10.381"	"10.962"
"1911"	"14.087"	"12.654"	"23.939"	"20.385"	"21.651"	"38.407"	"65.512"	"65.177"	"41.956"	"15.151"	"9.916"	"10.962"
"1912"	"14.087"	"12.654"	"23.782"	"20.124"	"21.651"	"38.407"	"64.826"	"64.939"	"41.493"	"15.151"	"10.003"	"10.962"
"1913"	"14.087"	"12.654"	"23.939"	"20.385"	"21.191"	"37.95"	"65.875"	"65.303"	"41.586"	"15.042"	"10.381"	"10.962"
"1914"	"14.087"	"12.654"	"23.664"	"20.14"	"21.387"	"37.95"	"65.527"	"65.303"	"41.319"	"14.825"	"10.362"	"10.943"
"1915"	"14.087"	"12.654"	"23.382"	"20.385"	"21.027"	"38.334"	"65.381"	"64.607"	"41.624"	"14.893"	"10.148"	"10.962"
"1916"	"14.213"	"12.654"	"23.939"	"20.385"	"21.651"	"38.408"	"65.174"	"65.303"	"41.956"	"14.659"	"10.381"	"10.962"
"1917"	"14.068"	"12.486"	"23.688"	"20.356"	"20.838"	"37.938"	"64.919"	"65.008"	"41.711"	"15.151"	"10.148"	"10.962"
"1918"	"14.087"	"12.654"	"23.939"	"20.385"	"21.236"	"38.702"	"65.756"	"65.114"	"41.648"	"15.151"	"10.381"	"10.957"
"1919"	"14.087"	"12.654"	"23.939"	"20.14"	"21.651"	"38.407"	"65.532"	"65.267"	"41.463"	"14.471"	"9.648"	"10.962"
"1920"	"14.381"	"12.654"	"23.939"	"20.385"	"21.651"	"38.407"	"65.568"	"64.709"	"41.956"	"14.565"	"10.337"	"10.956"
"1921"	"14.087"	"12.654"	"23.939"	"20.385"	"21.651"	"38.337"	"65.052"	"65.132"	"41.956"	"14.637"	"10.336"	"10.962"
"1922"	"14.087"	"12.654"	"23.939"	"20.385"	"21.651"	"38.343"	"65.532"	"65.229"	"41.956"	"15.151"	"10.16"	"10.962"
"1923"	"14.087"	"12.654"	"23.939"	"20.385"	"21.624"	"38.763"	"66.125"	"65.303"	"41.956"	"14.665"	"9.591"	"10.857"
"1924"	"13.973"	"12.363"	"23.939"	"20.385"	"21.651"	"38.407"	"65.532"	"65.303"	"41.956"	"14.709"	"10.149"	"10.956"
"1925"	"14.087"	"12.033"	"23.259"	"19.983"	"21.028"	"38.665"	"65.382"	"64.621"	"41.704"	"15.151"	"9.873"	"10.167"
"1926"	"13.999"	"12.654"	"23.683"	"20.778"	"21.175"	"38.407"	"65.532"	"65.29"	"41.956"	"14.825"	"10.381"	"10.962"
"1927"	"14.124"	"12.654"	"23.683"	"20.385"	"21.651"	"38.315"	"65.532"	"65.009"	"41.887"	"15.151"	"10.381"	"10.962"
"1928"	"14.087"	"12.654"	"23.952"	"20.385"	"21.651"	"38.407"	"65.649"	"65.303"	"41.899"	"15.151"	"10.381"	"10.905"
"1929"	"14.087"	"12.654"	"23.782"	"19.619"	"21.651"	"38.407"	"65.864"	"65.303"	"41.956"	"14.629"	"10.381"	"11.355"
"1930"	"14.087"	"12.654"	"23.382"	"20.549"	"21.651"	"38.893"	"65.826"	"65.31"	"42.355"	"15.315"	"9.718"	"10.962"
"1931"	"13.123"	"18.471"	"22.149"	"15.327"	"17.73"	"27.863"	"60.679"	"62.941"	"38.206"	"17.721"	"3.047"	"8.157"
"1932"	"11.687"	"9.963"	"25.259"	"18.155"	"17.338"	"35.041"	"61.65"	"66.831"	"36.262"	"6.885"	"0"	"8.573"
"1933"	"13.168"	"14.197"	"23.058"	"22.415"	"27.957"	"38.211"	"66.104"	"70.807"	"45.86"	"13.909"	"5.439"	"8.793"
"1934"	"12.957"	"5.246"	"24.254"	"12.831"	"17.651"	"35.835"	"66.376"	"65.657"	"39.141"	"2.648"	"6.54"	"11.649"
"1935"	"15.606"	"16.53"	"21.594"	"26.213"	"17.378"	"16.335"	"61.251"	"63.62"	"37.621"	"9.399"	"6.386"	"9.909"
"1936"	"9.19"	"16.017"	"22.978"	"17.222"	"20.374"	"43.45"	"64.796"	"63.032"	"39.68"	"13.723"	"8.53"	"15.077"
"1937"	"11.804"	"18.28"	"23.929"	"17.664"	"20.542"	"29.495"	"65.506"	"63.22"	"37.733"	"10.984"	"7.265"	"9.415"
"1938"	"17.37"	"13.72"	"22.693"	"13.34"	"22.313"	"41.891"	"57.559"	"62.59"	"36.381"	"8.44"	"5.058"	"4.88"
"1939"	"11.6"	"20.527"	"29.916"	"17.348"	"15.222"	"43.552"	"62.186"	"59.994"	"35.866"	"10.18"	"1.068"	"7.869"
"1940"	"15.661"	"16.442"	"27.506"	"17.185"	"20.251"	"38.6"	"61.651"	"63.904"	"35.83"	"7.114"	"4.485"	"8.041"
"1941"	"14.364"	"11.265"	"23.23"	"16.967"	"23.58"	"42.767"	"62.873"	"62.02"	"38.794"	"12.392"	"0"	"5.474"
"1942"	"17.514"	"15.073"	"18.176"	"18.881"	"23.312"	"26.528"	"66.75"	"63.999"	"41.103"	"11.943"	"3.944"	"9.47"
"1943"	"22.399"	"3.25"	"16.899"	"16.885"	"17.069"	"34.256"	"64.15"	"64.209"	"39.052"	"3.826"	"0"	"6.582"
"1944"	"15.328"	"17.969"	"26.168"	"18.895"	"14.898"	"26.824"	"63.894"	"69.297"	"39.773"	"4.348"	"0.186"	"6.356"
"1945"	"13.411"	"5.203"	"16.553"	"18.902"	"15.901"	"28.499"	"61.27"	"63.924"	"41.842"	"14.825"	"1.124"	"5.545"
"1946"	"9.328"	"6.27"	"17.542"	"11.293"	"24.457"	"38.764"	"62.948"	"65.504"	"35.816"	"14.014"	"0.102"	"8.056"
"1947"	"10.866"	"5.556"	"17.618"	"8.593"	"11.256"	"29.792"	"53.804"	"63.315"	"42.016"	"13.613"	"7.936"	"8.058"
"1948"	"15.488"	"16.473"	"26.749"	"16.715"	"14.477"	"33.509"	"58.288"	"64.337"	"38.444"	"16.017"	"4.919"	"11.631"
"1949"	"13.122"	"12.978"	"24.509"	"8.848"	"17.711"	"31.085"	"63.998"	"63.904"	"39.735"	"11.821"	"0.067"	"8.385"
"1950"	"17.28"	"10.161"	"25.087"	"11.631"	"20.132"	"41.016"	"67.149"	"65.831"	"42.549"	"13.59"	"0.972"	"5.566"
"1951"	"15.123"	"7.458"	"26.494"	"21.419"	"22.651"	"31.883"	"57.734"	"63.904"	"34.122"	"10.175"	"9.256"	"8.51"
"1952"	"11.985"	"13.339"	"28.629"	"20.018"	"22.462"	"36.08"	"66.555"	"66.502"	"39.486"	"4.19"	"0.032"	"9.383"
"1953"	"17.771"	"11.832"	"16.977"	"16.619"	"22.862"	"35.477"	"69.387"	"66.744"	"42.531"	"9.511"	"4.456"	"7.649"
"1954"	"17.989"	"23.125"	"22.576"	"16.439"	"17.242"	"36.691"	"58.609"	"59.974"	"44.949"	"14.532"	"7.009"	"8.344"
"1955"	"22.957"	"9.324"	"24.729"	"12.37"	"23.957"	"38.97"	"63.826"	"68.169"	"45.682"	"22.512"	"4.865"	"12.898"
"1956"	"18.956"	"6.257"	"24.273"	"18.212"	"21.422"	"47.504"	"70.638"	"68.671"	"41.662"	"28.058"	"8.488"	"11.949"
"1957"	"21.338"	"8.362"	"30.316"	"22.682"	"21.518"	"33.259"	"63.366"	"64.069"	"38.092"	"13.875"	"11.571"	"15.02"
"1958"	"14.61"	"12.27"	"22.576"	"18.62"	"20.068"	"30.877"	"70.332"	"63.914"	"48.606"	"21.026"	"11.593"	"14.954"
"1959"	"19.187"	"13.848"	"17.965"	"19.33"	"22.631"	"37.713"	"69.722"	"68.918"	"50.857"	"25.963"	"13.044"	"8.774"
"1960"	"13.319"	"1.705"	"30.157"	"18.48"	"14.394"	"38.074"	"66.75"	"67.703"	"39.303"	"12.207"	"1.477"	"9.674"
"1961"	"16.304"	"16.69"	"22.576"	"20.175"	"23.904"	"39.905"	"69.328"	"66.648"	"48.934"	"18.383"	"12.906"	"9.47"
