
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1902"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1903"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1904"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1905"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1906"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1907"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1908"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1909"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1910"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1911"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1912"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1913"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
"1914"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"14.39"	"15.21"
"1915"	"15.015"	"15.076"	"15.158"	"14.188"	"13.315"	"11.07"	"7.564"	"6.478"	"9.051"	"14.08"	"15.103"	"15.21"
