
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.987"	"24.1"	"31.828"	"35.198"	"38.202"	"36.777"	"31.964"	"28.704"	"31.29"	"33.825"	"28.807"	"25.996"
"1902"	"24.968"	"26.877"	"33.468"	"36.61"	"37.539"	"35.164"	"32.254"	"30.241"	"30.456"	"32.452"	"28.147"	"24.349"
"1903"	"23.568"	"24.684"	"28.717"	"33.826"	"37.411"	"36.663"	"31.757"	"28.823"	"30.725"	"32.353"	"26.307"	"23.584"
"1904"	"23.368"	"26.311"	"29.771"	"35.882"	"37.496"	"34.831"	"29.961"	"28.78"	"31.086"	"32.529"	"28.257"	"24.652"
"1905"	"21.968"	"21.272"	"28.27"	"33.223"	"39.277"	"35.411"	"30.648"	"29.742"	"31.148"	"32.999"	"29.613"	"24.909"
"1906"	"21.894"	"23.506"	"29.487"	"34.505"	"38.444"	"34.83"	"30.586"	"29.128"	"29.569"	"32.207"	"28.894"	"25.008"
"1907"	"24.82"	"24.983"	"29.737"	"34.094"	"35.873"	"35.455"	"32.655"	"27.159"	"29.288"	"31.866"	"28.982"	"23.66"
"1908"	"23.376"	"25.314"	"29.651"	"35.35"	"37.007"	"35.446"	"28.86"	"27.248"	"29.122"	"31.111"	"27.267"	"23.358"
"1909"	"22.71"	"25.017"	"31.053"	"33.833"	"36.113"	"34.875"	"29.139"	"27.082"	"28.633"	"31.129"	"27.791"	"23.376"
"1910"	"22.946"	"25.984"	"30.567"	"33.583"	"36.645"	"34.327"	"28.866"	"27.84"	"30.114"	"30.843"	"26.219"	"23.88"
"1911"	"24.316"	"26.077"	"28.744"	"34.344"	"38.102"	"34.33"	"31.656"	"29.264"	"30.064"	"32.551"	"27.04"	"25.506"
"1912"	"24.776"	"27.607"	"30.075"	"35.346"	"38.115"	"36.302"	"30.615"	"27.848"	"29.091"	"31.771"	"26.979"	"24.341"
"1913"	"23.77"	"25.769"	"28.585"	"36.069"	"36.654"	"34.852"	"30.236"	"27.884"	"29.938"	"32.819"	"28.404"	"24.219"
"1914"	"25.473"	"25.034"	"29.768"	"35.233"	"38.783"	"34.881"	"30.168"	"28.327"	"30.896"	"32.442"	"29.149"	"23.649"
