
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.929"	"9.025"	"16.637"	"21.01"	"24.887"	"25.697"	"24.399"	"22.204"	"22.237"	"19.746"	"13.702"	"10.774"
"1902"	"9.955"	"11.78"	"18.285"	"22.422"	"24.223"	"24.094"	"24.69"	"23.739"	"21.402"	"18.372"	"13.043"	"9.058"
"1903"	"8.553"	"9.606"	"13.541"	"19.64"	"24.098"	"25.575"	"24.193"	"22.327"	"21.674"	"18.271"	"11.192"	"8.374"
"1904"	"8.296"	"11.217"	"14.588"	"21.694"	"24.18"	"23.742"	"22.378"	"22.285"	"22.033"	"18.452"	"13.155"	"9.436"
"1905"	"6.907"	"6.184"	"13.112"	"19.034"	"25.954"	"24.342"	"23.083"	"23.239"	"22.094"	"18.92"	"14.51"	"9.628"
"1906"	"6.823"	"8.373"	"14.323"	"20.317"	"25.128"	"23.76"	"23.023"	"22.65"	"20.516"	"18.128"	"13.791"	"9.787"
"1907"	"9.805"	"9.908"	"14.561"	"19.885"	"22.558"	"24.387"	"25.092"	"20.679"	"20.236"	"17.788"	"13.877"	"8.451"
"1908"	"8.304"	"10.227"	"14.483"	"21.161"	"23.694"	"24.378"	"21.296"	"20.752"	"20.067"	"17.031"	"12.163"	"8.149"
"1909"	"7.682"	"9.933"	"15.878"	"19.647"	"22.798"	"23.786"	"21.556"	"20.607"	"19.58"	"17.048"	"12.686"	"8.154"
"1910"	"7.871"	"10.896"	"15.399"	"19.394"	"23.323"	"23.26"	"21.301"	"21.357"	"21.064"	"16.764"	"11.114"	"8.661"
"1911"	"9.298"	"10.98"	"13.553"	"20.156"	"24.786"	"23.261"	"24.072"	"22.781"	"21.012"	"18.47"	"11.935"	"10.28"
"1912"	"9.76"	"12.528"	"14.913"	"21.157"	"24.799"	"25.2"	"23.051"	"21.371"	"20.035"	"17.693"	"11.865"	"9.105"
"1913"	"8.754"	"10.694"	"13.411"	"21.881"	"23.34"	"23.762"	"22.652"	"21.387"	"20.884"	"18.741"	"13.3"	"8.988"
"1914"	"10.459"	"9.96"	"14.593"	"21.026"	"25.468"	"23.792"	"22.604"	"21.827"	"21.844"	"18.363"	"14.715"	"8.441"
"1915"	"8.258"	"9.531"	"16.262"	"20.399"	"24.71"	"25.498"	"24.548"	"23.315"	"23.672"	"19.535"	"13.633"	"9.851"
"1916"	"9.723"	"9.452"	"17.639"	"21.415"	"23.999"	"23.059"	"23.872"	"21.996"	"21.123"	"16.738"	"11.09"	"8.277"
"1917"	"9.535"	"11.088"	"15.226"	"18.658"	"21.708"	"22.388"	"21.264"	"21.22"	"19.913"	"15.88"	"11.556"	"8.635"
"1918"	"7.25"	"11.281"	"15.112"	"18.946"	"24.115"	"23.159"	"23.642"	"22.946"	"20.972"	"18.235"	"14.026"	"8.435"
"1919"	"8.224"	"10.564"	"15.646"	"19.975"	"24.05"	"24.323"	"22.459"	"21.615"	"20.374"	"17.47"	"13.215"	"8.768"
"1920"	"9.11"	"10.263"	"16.212"	"20.327"	"21.233"	"22.064"	"21.714"	"21.325"	"22.469"	"19.054"	"14.025"	"9.22"
"1921"	"9.251"	"10.811"	"17.712"	"22.549"	"24.52"	"24.754"	"24.346"	"21.758"	"20.66"	"17.862"	"12.985"	"10.449"
"1922"	"7.903"	"12.305"	"16.247"	"21.814"	"23.787"	"24.031"	"23.124"	"21.738"	"20.506"	"17.497"	"12.797"	"8.62"
"1923"	"8.991"	"9.794"	"16.66"	"20.821"	"23.262"	"24.929"	"23.022"	"20.954"	"21.489"	"17.492"	"12.056"	"9.61"
"1924"	"8.222"	"11.274"	"17.705"	"21.58"	"22.651"	"24.813"	"23.71"	"22.417"	"20.262"	"16.669"	"11.371"	"9.13"
"1925"	"6.166"	"8.818"	"16.724"	"23.037"	"23.71"	"22.858"	"21.845"	"23.065"	"22.578"	"20.092"	"13.571"	"9.882"
"1926"	"9.263"	"13.342"	"15.362"	"18.505"	"23.03"	"25.968"	"23.471"	"22.039"	"20.555"	"17.341"	"11.277"	"8.618"
"1927"	"6.77"	"9.148"	"14.211"	"19.919"	"23.163"	"24.316"	"22.101"	"20.669"	"20.54"	"17.612"	"11.167"	"9.561"
