
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.07"	"5.7"	"6.89"	"7.93"	"8.49"	"7.86"	"6.06"	"5.19"	"5.91"	"6.85"	"6.04"	"5.29"
"1902"	"5.25"	"5.91"	"7.02"	"8.07"	"8.54"	"7.76"	"5.99"	"5.29"	"5.95"	"6.79"	"6"	"5.24"
"1903"	"5.16"	"5.84"	"6.74"	"7.79"	"8.41"	"7.85"	"6.05"	"5.2"	"5.93"	"6.84"	"5.9"	"5.13"
"1904"	"5.11"	"5.92"	"6.79"	"7.93"	"8.52"	"7.83"	"5.93"	"5.16"	"5.94"	"6.79"	"6.01"	"5.27"
"1905"	"5.14"	"5.53"	"6.63"	"7.7"	"8.51"	"7.86"	"5.94"	"5.2"	"5.95"	"6.8"	"6.09"	"5.32"
"1906"	"5.08"	"5.71"	"6.74"	"7.83"	"8.53"	"7.82"	"5.94"	"5.22"	"5.88"	"6.74"	"6.02"	"5.25"
"1907"	"5.25"	"5.87"	"6.8"	"7.88"	"8.36"	"7.73"	"6.1"	"5.18"	"5.8"	"6.68"	"6.05"	"5.2"
"1908"	"5.14"	"5.86"	"6.76"	"7.91"	"8.48"	"7.85"	"5.93"	"5.1"	"5.81"	"6.69"	"5.92"	"5.14"
"1909"	"5.07"	"5.79"	"6.91"	"7.9"	"8.4"	"7.82"	"5.93"	"5.11"	"5.8"	"6.66"	"5.96"	"5.15"
"1910"	"5.07"	"5.88"	"6.9"	"7.84"	"8.42"	"7.79"	"5.87"	"5.12"	"5.92"	"6.75"	"5.84"	"5.12"
"1911"	"5.16"	"5.96"	"6.75"	"7.8"	"8.52"	"7.76"	"5.98"	"5.23"	"5.91"	"6.82"	"5.89"	"5.24"
"1912"	"5.2"	"6.04"	"6.87"	"7.91"	"8.49"	"7.88"	"6.03"	"5.17"	"5.82"	"6.75"	"5.91"	"5.17"
"1913"	"5.15"	"5.93"	"6.7"	"7.93"	"8.49"	"7.79"	"5.96"	"5.15"	"5.85"	"6.77"	"6.03"	"5.16"
"1914"	"5.28"	"5.88"	"6.77"	"7.87"	"8.56"	"7.85"	"5.95"	"5.15"	"5.93"	"6.77"	"5.99"	"5.22"
