
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.708"	"0.001"	"1.053"	"0.453"	"28.039"	"29.628"	"227.175"	"108.615"	"7.071"	"16.266"	"0.188"	"3.854"
"1902"	"1.668"	"0"	"0"	"0"	"8.2"	"59.714"	"71.389"	"133.517"	"102.868"	"3.245"	"13.569"	"0.511"
"1903"	"0.066"	"0.001"	"3.331"	"0"	"21.792"	"4.714"	"348.666"	"185.807"	"194.216"	"0.397"	"0.188"	"0"
"1904"	"0.007"	"2.171"	"27.334"	"0"	"13.809"	"44.734"	"96.515"	"45.794"	"85.973"	"14.04"	"0.38"	"7.679"
"1905"	"3.764"	"3.871"	"4.476"	"6.971"	"2.947"	"20.955"	"185.849"	"10.491"	"89.584"	"0"	"0.21"	"0"
"1906"	"0"	"45.551"	"0.788"	"0"	"0.64"	"43.871"	"246.097"	"118.154"	"163.448"	"0.09"	"0.188"	"12.003"
"1907"	"5.98"	"16.216"	"2.181"	"10.689"	"1.968"	"14.468"	"136.258"	"301.381"	"2.977"	"0"	"0.808"	"0"
"1908"	"21.985"	"0"	"0"	"0.257"	"1.025"	"42.009"	"474.034"	"381.343"	"314.94"	"0.025"	"8.84"	"0"
"1909"	"15.911"	"0"	"0"	"30.752"	"1.634"	"44.361"	"304.86"	"103.279"	"307.046"	"0.001"	"0.188"	"2.47"
"1910"	"20.825"	"0.351"	"0"	"23.588"	"5.125"	"137.301"	"99.099"	"231.976"	"31.705"	"7.279"	"1.415"	"0"
"1911"	"23.373"	"0"	"68.407"	"0"	"0"	"66.327"	"34.125"	"35.428"	"118.25"	"0"	"20.834"	"0.001"
"1912"	"0.049"	"0"	"0"	"0.875"	"0.64"	"66.023"	"220.186"	"254.069"	"58.697"	"26.75"	"83.726"	"0"
"1913"	"0"	"0.401"	"1.02"	"0"	"8.492"	"62.343"	"187.242"	"93.086"	"101.739"	"0"	"1.163"	"0.855"
"1914"	"0"	"4.19"	"0"	"2.644"	"20.822"	"102.484"	"165.541"	"121.147"	"123.621"	"4.212"	"55.131"	"0.384"
"1915"	"8.887"	"8.841"	"44.611"	"2.497"	"2.782"	"32.701"	"72.069"	"40.109"	"40.641"	"57.187"	"0.34"	"0.323"
"1916"	"0"	"0.001"	"0"	"0"	"22.559"	"52.64"	"102.852"	"344.245"	"173.353"	"12.303"	"4.523"	"0"
"1917"	"1.258"	"18.019"	"0.58"	"11.819"	"58.296"	"197.116"	"206.103"	"393.644"	"307.596"	"26.263"	"0.188"	"11.516"
"1918"	"0.035"	"0"	"3.067"	"0"	"20.795"	"27.145"	"28.983"	"107.531"	"7.966"	"0"	"6.626"	"0"
"1919"	"36.467"	"0"	"0.395"	"26.258"	"16.733"	"32.557"	"232.373"	"217.234"	"54.472"	"4.696"	"37.733"	"0.28"
"1920"	"3.893"	"4.668"	"2.032"	"0"	"38.88"	"161.163"	"196.893"	"30.624"	"12.219"	"0"	"0.188"	"0"
"1921"	"0.69"	"0"	"0"	"0"	"0"	"26.747"	"195.838"	"103.331"	"142.434"	"0"	"0.188"	"0"
"1922"	"1.258"	"0.813"	"0"	"0"	"0.976"	"33.947"	"209.409"	"54.907"	"191.269"	"0.629"	"15.133"	"0.18"
"1923"	"2.496"	"4.116"	"2.429"	"0.839"	"10.292"	"4.043"	"319.096"	"169.179"	"39.527"	"1.28"	"0.188"	"0.001"
"1924"	"1.706"	"1.034"	"0"	"0"	"18.884"	"35.403"	"224.767"	"107.389"	"225.142"	"6.897"	"0.189"	"11.608"
"1925"	"0"	"0"	"0"	"0"	"10.679"	"112.614"	"138.899"	"68.995"	"10.158"	"0"	"26.042"	"0.036"
"1926"	"43.836"	"0.358"	"31.244"	"14.986"	"6.401"	"9.926"	"198.417"	"276.485"	"325.535"	"0"	"4.204"	"0"
"1927"	"0"	"7.391"	"0"	"0"	"5.642"	"23.117"	"366.273"	"369.614"	"80.13"	"13.443"	"10.795"	"11.49"
"1928"	"1.259"	"3.368"	"0"	"0"	"0.001"	"15.298"	"178.26"	"204.744"	"98.294"	"39.727"	"66.074"	"2.858"
"1929"	"0.644"	"1.493"	"0"	"8.772"	"1.595"	"63.869"	"246.92"	"209.858"	"13.42"	"1.489"	"0.188"	"5.608"
"1930"	"27.926"	"0.001"	"0"	"2.619"	"15.647"	"82.685"	"181.143"	"98.76"	"66.601"	"16.263"	"0.589"	"0"
"1931"	"0"	"0.352"	"0.208"	"0"	"2.573"	"26.441"	"91.141"	"446.25"	"65.332"	"48.832"	"0.589"	"0.495"
"1932"	"0"	"1.755"	"8.351"	"1.241"	"0.987"	"38.424"	"183.215"	"352.118"	"46.676"	"5.966"	"0.188"	"0"
"1933"	"0"	"5.841"	"6.499"	"16.084"	"25.178"	"130.784"	"128.355"	"464.059"	"144.343"	"4.145"	"6.776"	"1.407"
"1934"	"1.464"	"0"	"10.899"	"0"	"0"	"177.104"	"142.517"	"348.657"	"63.46"	"1.583"	"18.236"	"0.049"
"1935"	"17.471"	"0.681"	"0.209"	"16.508"	"1.77"	"10.263"	"264.067"	"48.775"	"175.865"	"14.436"	"0.188"	"0"
"1936"	"0"	"4.405"	"25.981"	"1.875"	"8.091"	"128.171"	"94.171"	"67.916"	"111.603"	"0"	"67.565"	"0.025"
"1937"	"0"	"7.979"	"0"	"0.001"	"0.049"	"55.418"	"304.296"	"6.687"	"228.885"	"4.481"	"0.261"	"3.97"
"1938"	"0.061"	"0"	"4.069"	"0.036"	"14.929"	"216.001"	"180.455"	"86.227"	"42.978"	"4.536"	"0.21"	"0"
"1939"	"0.035"	"4.933"	"18.524"	"0.874"	"0"	"19.316"	"77.774"	"179.33"	"77.283"	"0.468"	"1.897"	"0.657"
"1940"	"6.955"	"11.193"	"29.937"	"9.003"	"7.048"	"53.679"	"187.628"	"170.744"	"16.052"	"8.17"	"16.987"	"0"
"1941"	"3.438"	"17.366"	"0"	"0.453"	"3.268"	"2.224"	"224.367"	"208.667"	"89.229"	"3.873"	"0.188"	"1.008"
"1942"	"5.964"	"7.84"	"0"	"10.773"	"23.217"	"26.19"	"310.895"	"206.419"	"52.697"	"0"	"0.188"	"1.548"
"1943"	"1.522"	"0"	"0"	"9.734"	"2.313"	"33.543"	"451.373"	"97.285"	"254.136"	"2.863"	"0.188"	"0"
"1944"	"17.775"	"1.378"	"31.167"	"0.086"	"0.294"	"71.764"	"319.212"	"387.734"	"60.757"	"10.236"	"0.188"	"0"
"1945"	"13.011"	"0"	"0"	"1.14"	"21.418"	"78.333"	"382.417"	"181.903"	"69.398"	"0.087"	"0.188"	"0"
"1946"	"0"	"2.65"	"0"	"0.485"	"3.537"	"82.219"	"109.299"	"248.467"	"34.851"	"0.001"	"30.919"	"6.116"
"1947"	"0.487"	"0.595"	"0"	"1.344"	"0.306"	"3.806"	"99.382"	"268.458"	"289.421"	"37.62"	"0.189"	"0.996"
"1948"	"16.015"	"3.434"	"0.787"	"1.425"	"3.807"	"37.709"	"273.747"	"143.09"	"27.985"	"5.768"	"42.355"	"0"
"1949"	"7.474"	"0.363"	"0"	"0"	"3.983"	"35.684"	"253.857"	"124.68"	"76.59"	"15.303"	"0.188"	"0"
