
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.74"	"3.44"	"5.07"	"6.14"	"6.89"	"6.38"	"4.88"	"4.05"	"4.44"	"4.69"	"3.53"	"2.93"
"1902"	"2.98"	"3.73"	"5.28"	"6.35"	"6.78"	"6.16"	"4.92"	"4.21"	"4.37"	"4.55"	"3.46"	"2.8"
"1903"	"2.86"	"3.51"	"4.7"	"5.96"	"6.77"	"6.38"	"4.86"	"4.07"	"4.39"	"4.53"	"3.3"	"2.73"
"1904"	"2.86"	"3.68"	"4.84"	"6.23"	"6.78"	"6.14"	"4.69"	"4.07"	"4.42"	"4.56"	"3.47"	"2.81"
"1905"	"2.73"	"3.18"	"4.65"	"5.88"	"7.02"	"6.21"	"4.76"	"4.17"	"4.43"	"4.59"	"3.62"	"2.85"
"1906"	"2.73"	"3.39"	"4.81"	"6.05"	"6.91"	"6.14"	"4.75"	"4.09"	"4.27"	"4.51"	"3.53"	"2.85"
"1907"	"2.97"	"3.54"	"4.83"	"6.01"	"6.55"	"6.23"	"4.98"	"3.91"	"4.25"	"4.48"	"3.54"	"2.74"
"1908"	"2.86"	"3.56"	"4.82"	"6.16"	"6.71"	"6.22"	"4.57"	"3.92"	"4.24"	"4.39"	"3.38"	"2.71"
"1909"	"2.79"	"3.54"	"4.99"	"5.96"	"6.57"	"6.14"	"4.61"	"3.91"	"4.17"	"4.41"	"3.42"	"2.71"
"1910"	"2.81"	"3.64"	"4.92"	"5.93"	"6.65"	"6.08"	"4.57"	"4"	"4.32"	"4.36"	"3.29"	"2.76"
"1911"	"2.93"	"3.65"	"4.71"	"6.03"	"6.86"	"6.08"	"4.87"	"4.11"	"4.32"	"4.56"	"3.36"	"2.89"
"1912"	"2.97"	"3.8"	"4.87"	"6.17"	"6.87"	"6.34"	"4.76"	"3.99"	"4.23"	"4.47"	"3.37"	"2.79"
"1913"	"2.87"	"3.62"	"4.7"	"6.25"	"6.65"	"6.14"	"4.71"	"3.99"	"4.3"	"4.57"	"3.49"	"2.79"
"1914"	"3.01"	"3.54"	"4.84"	"6.15"	"6.96"	"6.14"	"4.7"	"4.03"	"4.4"	"4.54"	"3.52"	"2.73"
"1915"	"2.85"	"3.5"	"5.04"	"6.06"	"6.85"	"6.36"	"4.9"	"4.18"	"4.59"	"4.65"	"3.53"	"2.85"
"1916"	"2.97"	"3.5"	"5.2"	"6.21"	"6.76"	"6.05"	"4.9"	"4.03"	"4.33"	"4.36"	"3.3"	"2.71"
"1917"	"2.95"	"3.66"	"4.9"	"5.82"	"6.45"	"5.98"	"4.57"	"3.98"	"4.2"	"4.28"	"3.33"	"2.76"
"1918"	"2.78"	"3.68"	"4.9"	"5.85"	"6.79"	"6.06"	"4.82"	"4.12"	"4.32"	"4.53"	"3.55"	"2.74"
"1919"	"2.91"	"3.61"	"4.97"	"6.01"	"6.77"	"6.22"	"4.69"	"4.01"	"4.26"	"4.45"	"3.47"	"2.78"
"1920"	"2.91"	"3.57"	"5.03"	"6.01"	"6.37"	"5.91"	"4.62"	"3.99"	"4.47"	"4.62"	"3.55"	"2.81"
"1921"	"2.93"	"3.64"	"5.22"	"6.35"	"6.83"	"6.26"	"4.88"	"4.03"	"4.28"	"4.49"	"3.46"	"2.9"
"1922"	"2.81"	"3.79"	"5.03"	"6.24"	"6.72"	"6.16"	"4.76"	"4.02"	"4.27"	"4.46"	"3.43"	"2.77"
"1923"	"2.91"	"3.54"	"5.07"	"6.12"	"6.63"	"6.3"	"4.75"	"3.94"	"4.37"	"4.44"	"3.37"	"2.83"
"1924"	"2.84"	"3.69"	"5.22"	"6.22"	"6.56"	"6.29"	"4.82"	"4.08"	"4.25"	"4.36"	"3.32"	"2.8"
"1925"	"2.66"	"3.42"	"5.08"	"6.42"	"6.71"	"6.02"	"4.62"	"4.14"	"4.48"	"4.73"	"3.52"	"2.85"
"1926"	"2.93"	"3.87"	"4.92"	"5.8"	"6.62"	"6.43"	"4.79"	"4.04"	"4.27"	"4.43"	"3.32"	"2.76"
"1927"	"2.71"	"3.47"	"4.8"	"6.01"	"6.63"	"6.23"	"4.64"	"3.91"	"4.27"	"4.46"	"3.29"	"2.82"
"1928"	"2.86"	"3.68"	"5.04"	"6.1"	"6.79"	"6.15"	"4.75"	"4.02"	"4.26"	"4.49"	"3.46"	"2.73"
"1929"	"2.79"	"3.53"	"5.18"	"6.2"	"6.82"	"6.18"	"4.69"	"3.98"	"4.33"	"4.45"	"3.54"	"2.66"
"1930"	"2.84"	"3.59"	"4.99"	"6.03"	"6.74"	"6.21"	"4.6"	"4.01"	"4.5"	"4.62"	"3.39"	"2.85"
"1931"	"2.99"	"3.47"	"4.92"	"6.29"	"6.79"	"6.38"	"4.84"	"4.04"	"4.33"	"4.43"	"3.43"	"2.83"
"1932"	"3.1"	"3.61"	"5.01"	"6.06"	"6.75"	"6.21"	"4.75"	"4.01"	"4.4"	"4.59"	"3.38"	"2.85"
"1933"	"2.83"	"3.67"	"4.97"	"6.02"	"6.52"	"6.08"	"4.69"	"3.91"	"4.26"	"4.45"	"3.44"	"2.8"
"1934"	"2.68"	"3.77"	"4.86"	"6.14"	"6.72"	"6.23"	"4.66"	"3.99"	"4.26"	"4.42"	"3.39"	"2.87"
"1935"	"2.69"	"3.64"	"4.92"	"5.79"	"6.75"	"6.32"	"4.64"	"4.01"	"4.28"	"4.44"	"3.47"	"2.84"
"1936"	"2.79"	"3.71"	"4.86"	"6.05"	"6.96"	"5.98"	"4.7"	"4.05"	"4.37"	"4.57"	"3.48"	"2.78"
"1937"	"2.8"	"3.69"	"4.81"	"6.08"	"6.75"	"6.29"	"4.63"	"4.05"	"4.38"	"4.46"	"3.53"	"2.7"
"1938"	"2.87"	"3.48"	"5.14"	"6.24"	"6.8"	"5.97"	"4.69"	"4.06"	"4.44"	"4.61"	"3.36"	"2.85"
"1939"	"2.95"	"3.69"	"4.68"	"5.91"	"6.67"	"6.1"	"4.77"	"4.19"	"4.34"	"4.57"	"3.48"	"2.9"
"1940"	"2.96"	"3.68"	"4.74"	"6.01"	"6.86"	"6.16"	"4.76"	"4.02"	"4.32"	"4.57"	"3.52"	"2.78"
"1941"	"2.81"	"3.77"	"5.15"	"6.28"	"6.81"	"6.23"	"4.7"	"4.09"	"4.42"	"4.75"	"3.53"	"2.91"
"1942"	"2.79"	"3.71"	"5.09"	"6.34"	"6.74"	"6.36"	"4.62"	"3.97"	"4.27"	"4.49"	"3.47"	"2.69"
"1943"	"2.82"	"3.66"	"5.06"	"6.05"	"6.9"	"6.11"	"4.64"	"3.96"	"4.26"	"4.44"	"3.47"	"2.88"
"1944"	"2.84"	"3.6"	"4.88"	"6.01"	"6.79"	"6.1"	"4.62"	"3.95"	"4.31"	"4.41"	"3.47"	"2.85"
"1945"	"2.67"	"3.55"	"5.06"	"5.99"	"6.62"	"6.16"	"4.57"	"4.02"	"4.26"	"4.42"	"3.37"	"2.67"
"1946"	"2.86"	"3.79"	"4.89"	"6.34"	"6.7"	"6.14"	"4.66"	"3.92"	"4.26"	"4.55"	"3.34"	"2.78"
"1947"	"2.79"	"3.65"	"5.04"	"6.14"	"6.83"	"6.29"	"4.8"	"4.11"	"4.21"	"4.33"	"3.49"	"2.82"
"1948"	"2.79"	"3.55"	"4.98"	"6.23"	"6.93"	"6.29"	"4.8"	"4.02"	"4.32"	"4.58"	"3.44"	"2.85"
"1949"	"3.01"	"3.68"	"5.07"	"6.35"	"6.99"	"6.17"	"4.73"	"4.06"	"4.48"	"4.53"	"3.38"	"2.76"
"1950"	"2.93"	"3.39"	"4.9"	"6.03"	"6.78"	"6.19"	"4.6"	"3.99"	"4.27"	"4.51"	"3.35"	"2.7"
"1951"	"2.79"	"3.55"	"4.96"	"5.9"	"6.73"	"6.11"	"4.87"	"4.02"	"4.53"	"4.81"	"3.63"	"2.84"
"1952"	"2.96"	"3.79"	"4.99"	"6.31"	"6.96"	"6.14"	"4.63"	"3.94"	"4.34"	"4.68"	"3.46"	"2.85"
"1953"	"2.84"	"3.88"	"5.27"	"6.18"	"6.71"	"6.25"	"4.76"	"4"	"4.34"	"4.48"	"3.44"	"2.97"
"1954"	"2.83"	"3.78"	"5.06"	"6.22"	"6.89"	"6.27"	"4.73"	"4.03"	"4.29"	"4.29"	"3.47"	"2.8"
"1955"	"2.88"	"3.74"	"5.25"	"5.9"	"6.68"	"6.21"	"4.8"	"4.02"	"4.26"	"4.36"	"3.32"	"2.81"
"1956"	"2.87"	"3.61"	"5.05"	"6.07"	"6.89"	"6.12"	"4.49"	"3.93"	"4.33"	"4.26"	"3.34"	"2.81"
"1957"	"2.79"	"3.47"	"4.83"	"6.01"	"6.56"	"6.25"	"4.77"	"4.01"	"4.32"	"4.53"	"3.67"	"2.86"
"1958"	"3.03"	"3.72"	"5.12"	"6.36"	"6.83"	"6.35"	"4.63"	"4.16"	"4.2"	"4.43"	"3.53"	"2.89"
"1959"	"2.86"	"3.61"	"5.19"	"6.19"	"6.77"	"6.23"	"4.62"	"3.92"	"4.22"	"4.48"	"3.44"	"2.86"
"1960"	"2.83"	"3.87"	"4.86"	"5.98"	"6.66"	"6.16"	"4.74"	"3.95"	"4.43"	"4.48"	"3.43"	"2.85"
"1961"	"2.81"	"3.4"	"5.07"	"6.01"	"6.69"	"6.08"	"4.59"	"4.05"	"4.19"	"4.36"	"3.42"	"2.71"
