
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.414"	"5.275"	"6.794"	"9.419"	"15.63"	"25.153"	"27.594"	"24.738"	"22.978"	"12.92"	"7.632"	"7.192"
"1902"	"6.46"	"6.198"	"7.87"	"10.208"	"15.211"	"23.012"	"27.663"	"27.402"	"22.036"	"11.587"	"7.41"	"6.305"
"1903"	"5.982"	"5.963"	"5.768"	"8.633"	"14.942"	"25.322"	"27.505"	"24.674"	"22.796"	"11.098"	"6.702"	"6.133"
"1904"	"5.969"	"6.188"	"6.281"	"9.538"	"15.084"	"23.276"	"25.587"	"24.844"	"22.624"	"11.598"	"7.183"	"6.734"
"1905"	"5.429"	"4.239"	"5.418"	"8.24"	"16.924"	"23.236"	"26.499"	"26.459"	"23.033"	"12.118"	"8.069"	"6.734"
"1906"	"5.353"	"5.25"	"6.088"	"8.969"	"16.162"	"23.068"	"25.914"	"25.441"	"21.793"	"11.592"	"7.828"	"6.835"
"1907"	"6.529"	"5.814"	"6.294"	"8.715"	"14.071"	"23.181"	"29.105"	"24.682"	"22.041"	"11.839"	"7.638"	"6.028"
"1908"	"5.963"	"6.031"	"6.294"	"9.349"	"15.084"	"23.698"	"24.554"	"24.366"	"21.676"	"11.035"	"7.019"	"6.214"
"1909"	"5.783"	"6.125"	"7.143"	"8.646"	"14.389"	"23.157"	"24.578"	"23.795"	"20.729"	"10.719"	"7.533"	"6.069"
"1910"	"6.014"	"6.061"	"6.794"	"8.37"	"15.084"	"23.246"	"24.329"	"24.77"	"22.195"	"10.964"	"6.437"	"6.15"
"1911"	"6.169"	"6.031"	"5.725"	"8.779"	"15.317"	"23.146"	"27.9"	"25.886"	"22.036"	"11.598"	"6.723"	"6.734"
"1912"	"6.46"	"6.845"	"6.324"	"9.538"	"15.784"	"24.841"	"25.53"	"24.77"	"22.035"	"11.617"	"6.962"	"6.734"
"1913"	"5.946"	"6.349"	"5.708"	"9.448"	"15.084"	"22.407"	"25.425"	"24.715"	"22.107"	"12.094"	"7.638"	"6.665"
