
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.9998"	"0.0008"	"0.8622"	"0.4534"	"1.0087"	"2.7703"	"10.5497"	"8.4508"	"1.3506"	"1.7854"	"0.186"	"0.9998"
"1902"	"0.971"	"0"	"0"	"0"	"0.8895"	"4.1228"	"5.5449"	"9.1303"	"5.605"	"1.1061"	"1.5316"	"0.5106"
"1903"	"0.0647"	"0.0005"	"0.9839"	"0"	"1.2487"	"1.2301"	"13.032"	"11.0552"	"6.0276"	"0.3938"	"0.186"	"0"
"1904"	"0.0029"	"0.9988"	"0.9998"	"0"	"1.0087"	"3.0287"	"6.5819"	"5.8049"	"4.3917"	"1.3188"	"0.2979"	"0.9998"
"1905"	"0.9998"	"0.9998"	"0.9998"	"0.9998"	"1.0062"	"2.0205"	"8.6367"	"2.7566"	"4.0416"	"0"	"0.2088"	"0"
"1906"	"0"	"0.9998"	"0.6922"	"0"	"0.6367"	"3.9147"	"10.8365"	"9.3179"	"6.5853"	"0.0908"	"0.186"	"0.9998"
"1907"	"0.9998"	"0.9998"	"0.987"	"0.9998"	"1.0087"	"2.0931"	"8.7233"	"13.7059"	"1.1004"	"0"	"0.6683"	"0"
"1908"	"0.9998"	"0"	"0"	"0.2571"	"0.926"	"2.4184"	"14.8751"	"15.4668"	"8.1669"	"0.0243"	"1.1657"	"0"
"1909"	"0.9998"	"0"	"0"	"0.9998"	"1.0504"	"3.3704"	"12.5609"	"9.6478"	"8.5423"	"0.0005"	"0.186"	"0.9998"
"1910"	"0.9998"	"0.3504"	"0"	"0.9998"	"1.0087"	"6.0756"	"7.3061"	"12.9465"	"3.2824"	"1.415"	"0.9585"	"0"
"1911"	"0.9998"	"0"	"0.9998"	"0"	"0"	"3.8595"	"2.1579"	"5.1838"	"4.9572"	"0"	"1.9044"	"0.0006"
"1912"	"0.0488"	"0"	"0"	"0.8287"	"0.6367"	"4.0214"	"10.7045"	"12.6415"	"3.1042"	"1.558"	"2.0618"	"0"
"1913"	"0"	"0.3978"	"0.9536"	"0"	"1.2468"	"4.0743"	"8.5494"	"7.4775"	"6.0902"	"0"	"0.8776"	"0.8115"
"1914"	"0"	"0.9998"	"0"	"0.9998"	"1.0499"	"5.299"	"9.7733"	"8.404"	"5.8412"	"1.114"	"1.3214"	"0.3865"
"1915"	"0.9998"	"0.9998"	"0.9998"	"0.9996"	"1.0062"	"2.9131"	"6.6594"	"3.5355"	"3.2632"	"2.5583"	"0.3399"	"0.3245"
"1916"	"0"	"0.0008"	"0"	"0"	"1.5068"	"3.3253"	"8.3094"	"14.364"	"6.7548"	"1.4751"	"1.1888"	"0"
"1917"	"0.964"	"0.9998"	"0.5799"	"0.9998"	"2.4294"	"5.1758"	"11.0761"	"14.9139"	"9.1922"	"2.0842"	"0.186"	"0.9998"
"1918"	"0.0363"	"0"	"0.9998"	"0"	"1.1841"	"2.3765"	"3.7986"	"7.825"	"1.928"	"0"	"1.1859"	"0"
"1919"	"0.9998"	"0"	"0.3958"	"0.9998"	"1.0285"	"2.1854"	"11.0289"	"12.086"	"4.3978"	"1.1061"	"1.9812"	"0.28"
"1920"	"0.9998"	"0.9998"	"0.9927"	"0"	"1.6688"	"6.566"	"9.6924"	"4.8404"	"1.3074"	"0"	"0.186"	"0"
"1921"	"0.6654"	"0"	"0"	"0"	"0"	"2.1632"	"9.2861"	"8.486"	"7.0542"	"0"	"0.186"	"0"
"1922"	"0.9648"	"0.7494"	"0"	"0.0004"	"0.926"	"2.6776"	"10.267"	"6.966"	"7.2254"	"0.5973"	"1.5748"	"0.1813"
"1923"	"0.9998"	"0.9998"	"0.9998"	"0.7249"	"1.0087"	"1.013"	"10.0707"	"11.0372"	"3.5607"	"1.0415"	"0.186"	"0.0006"
"1924"	"0.9794"	"0.8999"	"0"	"0"	"1.0894"	"2.9"	"10.7718"	"8.7684"	"7.7173"	"1.3834"	"0.1866"	"0.9998"
