
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.993"	"17.751"	"25.188"	"30.063"	"35.029"	"36.712"	"32.724"	"28.697"	"30.144"	"29.507"	"22.718"	"18.489"
"1902"	"18.018"	"20.234"	"27.48"	"31.535"	"35.078"	"34.883"	"30.727"	"30.459"	"28.713"	"27.312"	"21.713"	"16.947"
"1903"	"16.797"	"18.439"	"23.617"	"28.924"	"33.69"	"36.912"	"32.286"	"28.832"	"29.183"	"26.938"	"20.825"	"16.459"
"1904"	"16.584"	"19.328"	"24.14"	"31.543"	"34.425"	"34.551"	"29.056"	"27.793"	"28.91"	"27.346"	"21.594"	"17.442"
"1905"	"15.259"	"14.349"	"21.835"	"28.195"	"35.932"	"36.56"	"31.54"	"29.927"	"30.973"	"28.8"	"23.997"	"18.006"
"1906"	"15.828"	"17.297"	"23.404"	"30.295"	"36.66"	"34.384"	"30.276"	"29.797"	"28.343"	"27.537"	"22.849"	"18.128"
"1907"	"18.417"	"17.714"	"22.862"	"28.627"	"32.933"	"35.566"	"33.373"	"28.315"	"29.553"	"28.211"	"22.594"	"16.369"
"1908"	"16.328"	"19.257"	"24.053"	"31.323"	"34.573"	"35.499"	"28.841"	"27.875"	"28.541"	"26.922"	"21.557"	"16.677"
"1909"	"16.391"	"18.631"	"25.718"	"28.608"	"33.578"	"33.62"	"28.916"	"28.167"	"28.277"	"27.512"	"23.301"	"16.529"
"1910"	"15.98"	"19.458"	"24.91"	"29.33"	"34.804"	"33.14"	"29.958"	"29.004"	"28.862"	"25.932"	"20.905"	"17.35"
"1911"	"18.492"	"19.61"	"22.837"	"30.192"	"36.011"	"34.686"	"32.608"	"30.596"	"28.332"	"28.171"	"20.587"	"17.519"
"1912"	"17.73"	"20.56"	"24.014"	"30.766"	"35.16"	"36.528"	"30.932"	"28.751"	"28.036"	"27.319"	"20.869"	"17.184"
"1913"	"17.187"	"19.119"	"22.817"	"31.698"	"33.195"	"33.008"	"30.418"	"29.931"	"30.467"	"29.167"	"22.114"	"17.396"
"1914"	"18.787"	"19.066"	"24.234"	"30.944"	"35.439"	"33.916"	"30.063"	"28.99"	"29.55"	"27.177"	"23.097"	"16.767"
"1915"	"16.607"	"17.154"	"24.53"	"30.15"	"36.178"	"35.876"	"33.209"	"30.062"	"31.562"	"29.285"	"22.357"	"18.412"
"1916"	"17.74"	"18.513"	"27.148"	"31.725"	"34.465"	"32.964"	"31.193"	"28.247"	"28.842"	"26.252"	"19.938"	"16.349"
"1917"	"17.51"	"19.298"	"24.232"	"27.736"	"31.181"	"32.838"	"28.883"	"27.914"	"27.565"	"25.238"	"18.957"	"17.113"
"1918"	"15.601"	"19.555"	"24.494"	"28.314"	"36.015"	"34.308"	"32.787"	"30.49"	"29.85"	"28.374"	"22.245"	"16.224"
"1919"	"16.729"	"18.163"	"25.278"	"29.599"	"33.868"	"35.72"	"29.555"	"28.113"	"28.442"	"27.01"	"21.428"	"16.535"
"1920"	"16.679"	"18.714"	"25.209"	"29.838"	"31.305"	"32.761"	"28.895"	"28.964"	"30.867"	"29.048"	"23.275"	"17.846"
"1921"	"17.459"	"19.768"	"27.495"	"32.668"	"36.224"	"35.87"	"33.01"	"28.742"	"27.797"	"26.921"	"21.983"	"19.198"
"1922"	"16.348"	"20.599"	"25.868"	"31.114"	"34.663"	"34.004"	"30.356"	"28.289"	"28.048"	"26.856"	"21.548"	"17.002"
"1923"	"16.578"	"18.625"	"25.372"	"30.988"	"33.784"	"36.823"	"30.788"	"27.84"	"28.867"	"26.684"	"21.527"	"17.278"
"1924"	"15.626"	"18.967"	"26.26"	"31.15"	"32.329"	"35.779"	"30.538"	"28.341"	"27.805"	"25.805"	"20.625"	"17.023"
"1925"	"14.699"	"16.921"	"24.931"	"32.259"	"33.717"	"31.23"	"28.391"	"30.133"	"30.77"	"28.675"	"21.445"	"17.338"
"1926"	"17.232"	"21.193"	"23.52"	"27.291"	"32.604"	"36.431"	"31.088"	"28.666"	"27.733"	"26.401"	"19.524"	"16.013"
"1927"	"14.5"	"17.045"	"23.22"	"29.476"	"33.638"	"34.992"	"30.153"	"28.035"	"28.343"	"27.316"	"20.245"	"17.777"
"1928"	"16.253"	"19.336"	"25.173"	"30.093"	"35.527"	"34.849"	"30.507"	"29.93"	"29.528"	"27.753"	"22.485"	"16.628"
"1929"	"15.979"	"17.446"	"26.522"	"31.001"	"35.01"	"34.886"	"29.89"	"28.5"	"29.919"	"27.808"	"22.798"	"16.424"
"1930"	"16.494"	"18.996"	"25.771"	"29.862"	"33.903"	"34.252"	"29.055"	"28.793"	"30.535"	"28.512"	"21.495"	"17.572"
"1931"	"18.316"	"17.674"	"24.22"	"31.846"	"34.962"	"36.177"	"31.151"	"29.049"	"28.716"	"26.368"	"21.643"	"18.048"
"1932"	"19.71"	"18.612"	"25.005"	"29.731"	"33.987"	"35.785"	"31.072"	"28.478"	"29.707"	"27.822"	"20.82"	"17.429"
"1933"	"14.943"	"19.464"	"24.858"	"28.538"	"31.824"	"33.548"	"29.783"	"27.981"	"27.61"	"26.153"	"21.411"	"17.363"
"1934"	"15.257"	"20.264"	"23.658"	"30.096"	"33.916"	"33.77"	"29.807"	"28.188"	"28.405"	"25.71"	"21.061"	"17.972"
"1935"	"14.651"	"19.339"	"24.515"	"27.5"	"34.627"	"35.603"	"29.757"	"28.282"	"28.336"	"25.989"	"22.154"	"17.014"
"1936"	"14.957"	"19.033"	"24.108"	"29.559"	"36.14"	"32.631"	"29.569"	"28.516"	"28.666"	"27.098"	"21.772"	"17.127"
"1937"	"15.784"	"19.876"	"23.016"	"29.316"	"34.619"	"35.527"	"29.599"	"29.553"	"29.262"	"26.933"	"22.375"	"16.115"
"1938"	"16.046"	"17.646"	"26.469"	"31.165"	"36.258"	"32"	"30.561"	"29.472"	"30.656"	"28.403"	"20.779"	"17.338"
"1939"	"17.953"	"18.898"	"22.193"	"28.666"	"35.114"	"33.522"	"30.256"	"31.214"	"29.449"	"28.471"	"21.853"	"17.725"
"1940"	"17.008"	"18.786"	"23.368"	"29.139"	"35.22"	"34.979"	"31.216"	"28.145"	"28.792"	"27.648"	"22.979"	"17.284"
"1941"	"16.028"	"20.084"	"26.925"	"32.329"	"35.477"	"34.46"	"31.975"	"30.031"	"30.276"	"30.363"	"22.896"	"19.137"
"1942"	"15.286"	"20.121"	"26.393"	"32.255"	"35.37"	"36.036"	"29.046"	"27.861"	"27.99"	"27.13"	"22.4"	"16.356"
"1943"	"17.054"	"19.192"	"25.8"	"29.424"	"34.888"	"34.018"	"29.754"	"27.85"	"28.723"	"26.938"	"22.494"	"18.46"
"1944"	"16.096"	"18.804"	"23.664"	"29.436"	"35.134"	"33.51"	"29.298"	"28.692"	"28.984"	"26.079"	"22.136"	"18.515"
"1945"	"14.515"	"18.529"	"25.747"	"29.429"	"34.024"	"34.846"	"29.66"	"29.026"	"28.213"	"26.27"	"21.545"	"15.838"
"1946"	"17.094"	"20.903"	"24.372"	"32.502"	"34.848"	"34.185"	"30.016"	"28.224"	"28.622"	"27.83"	"21.171"	"17.583"
"1947"	"15.294"	"19.428"	"26.031"	"31.277"	"35.425"	"35.945"	"31.221"	"29.285"	"27.98"	"25.885"	"22.776"	"17.767"
"1948"	"16.421"	"18.432"	"24.123"	"31.783"	"36.279"	"35.883"	"30.707"	"28.703"	"28.639"	"28.083"	"21.34"	"17.784"
"1949"	"18.637"	"19.799"	"25.529"	"32.086"	"36.392"	"34.942"	"30.377"	"29.137"	"29.372"	"27.448"	"20.759"	"16.849"
"1950"	"17.972"	"17.527"	"23.816"	"29.134"	"35.027"	"35.101"	"29.874"	"28.409"	"28.26"	"26.791"	"20.63"	"15.852"
"1951"	"15.709"	"18.517"	"24.381"	"28.295"	"34.223"	"33.906"	"32.013"	"29.137"	"30.112"	"30.518"	"23.699"	"17.575"
"1952"	"18.193"	"21.19"	"24.915"	"32.188"	"36.237"	"33.576"	"29.632"	"28.015"	"29.776"	"27.749"	"22.308"	"17.931"
"1953"	"15.775"	"20.884"	"27.643"	"31.562"	"35.667"	"35.319"	"30.989"	"28.82"	"29.299"	"27.529"	"21.936"	"20.169"
"1954"	"16.091"	"20.813"	"25.215"	"31.474"	"36.423"	"35.713"	"30.657"	"29.618"	"28.199"	"25.384"	"22.557"	"17.338"
"1955"	"16.446"	"19.333"	"26.836"	"28.657"	"34.122"	"35.025"	"31.163"	"28.668"	"28.771"	"25.938"	"20.921"	"17.79"
"1956"	"16.652"	"18.803"	"25.186"	"30.927"	"36.037"	"34.062"	"28.487"	"28.26"	"29.331"	"25.808"	"20.521"	"17.768"
"1957"	"15.824"	"17.679"	"23.354"	"29.388"	"33.398"	"34.619"	"30.127"	"29.57"	"28.293"	"27.422"	"23.346"	"17.917"
"1958"	"18.85"	"19.93"	"26.265"	"32.499"	"35.123"	"35.768"	"29.434"	"29.023"	"27.99"	"26.835"	"22.764"	"19.026"
"1959"	"16.41"	"18.803"	"26.302"	"30.743"	"34.143"	"34.874"	"29.57"	"28.376"	"28.552"	"27.635"	"22.074"	"18.525"
"1960"	"16.195"	"21.782"	"24.333"	"29.462"	"34.565"	"35.227"	"30.565"	"27.883"	"29.478"	"26.634"	"21.122"	"17.616"
"1961"	"15.795"	"17.364"	"25.273"	"30.085"	"34.788"	"34.05"	"30.354"	"28.372"	"28.599"	"26.174"	"21.516"	"15.694"
"1962"	"15.601"	"20.109"	"24.937"	"31.261"	"33.608"	"34.213"	"30.306"	"28.047"	"27.175"	"25.403"	"21.271"	"18.425"
"1963"	"16.454"	"21.924"	"25.805"	"30.8"	"34.622"	"34.821"	"31.833"	"27.962"	"28.548"	"28.28"	"24.741"	"18.027"
"1964"	"15.83"	"19.608"	"26.842"	"32.657"	"33.669"	"33.371"	"29.87"	"29.315"	"28.587"	"27.773"	"21.28"	"17.909"
"1965"	"18.829"	"19.93"	"25.11"	"29.725"	"34.303"	"36.047"	"30.895"	"29.948"	"28.888"	"28.507"	"23.905"	"17.536"
"1966"	"17.943"	"22.723"	"25.432"	"31.441"	"35.104"	"33.569"	"32.106"	"28.157"	"28.673"	"28.258"	"22.772"	"16.867"
"1967"	"15.117"	"21.413"	"23.584"	"29.237"	"33.704"	"33.981"	"29.932"	"27.092"	"27.061"	"26.629"	"22.521"	"18.478"
"1968"	"16.058"	"17.974"	"24.606"	"29.854"	"33.34"	"35.544"	"29.593"	"28.186"	"30.011"	"26.996"	"22.29"	"17.842"
"1969"	"16.693"	"20.015"	"27.478"	"30.902"	"33.223"	"35.903"	"30.295"	"28.458"	"28.567"	"28.833"	"23.913"	"18.398"
"1970"	"17.578"	"18.595"	"24.32"	"31.336"	"35.05"	"33.317"	"31.107"	"28.964"	"28.313"	"27.529"	"21.727"	"17.897"
"1971"	"15.524"	"19.15"	"24.735"	"31.478"	"33.275"	"31.473"	"28.423"	"27.829"	"28.373"	"26.747"	"21.346"	"17.408"
"1972"	"16.518"	"16.917"	"25.454"	"29.761"	"35.884"	"34.677"	"31.939"	"28.237"	"28.321"	"27.19"	"22.477"	"18.127"
"1973"	"15.941"	"20.393"	"24.464"	"33.193"	"36.253"	"34.983"	"30.143"	"28.202"	"28.484"	"26.99"	"21.475"	"16.243"
"1974"	"15.439"	"17.988"	"26.671"	"32.014"	"34.114"	"34.301"	"29.749"	"29.047"	"30.179"	"27.388"	"21.398"	"16.431"
"1975"	"14.794"	"17.937"	"24.278"	"31.78"	"35.85"	"33.105"	"29.65"	"28.286"	"27.63"	"26.605"	"20.375"	"18.334"
"1976"	"17.508"	"19.646"	"24.612"	"30.178"	"34"	"32.546"	"30.346"	"28.031"	"28.073"	"27.846"	"23.134"	"17.445"
"1977"	"15.709"	"19.692"	"26.934"	"30.069"	"32.714"	"33.194"	"27.929"	"28.128"	"26.958"	"27.687"	"23.672"	"19.436"
"1978"	"15.97"	"17.877"	"22.909"	"30.653"	"36.746"	"33.726"	"28.182"	"27.23"	"28.05"	"27.29"	"22.645"	"17.315"
"1979"	"17.226"	"17.661"	"22.928"	"29.232"	"30.492"	"33.262"	"29.002"	"28.359"	"29.085"	"28.07"	"23.921"	"18.176"
"1980"	"16.241"	"21.105"	"24.288"	"31.074"	"33.668"	"31.966"	"28.325"	"28.029"	"29.321"	"28.949"	"22.463"	"17.418"
"1981"	"16.843"	"20.312"	"24.561"	"30.943"	"33.368"	"34.357"	"28.515"	"27.962"	"29.568"	"27.668"	"21.121"	"16.805"
