
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.59"	"15.288"	"26.887"	"23.113"	"25.702"	"44.863"	"65.807"	"64.836"	"43.942"	"17.832"	"11.301"	"14.453"
"1902"	"19.624"	"15.306"	"26.954"	"23.113"	"25.702"	"44.857"	"65.736"	"64.827"	"43.663"	"17.85"	"11.301"	"14.453"
"1903"	"19.624"	"15.306"	"26.96"	"23.113"	"25.629"	"44.876"	"65.736"	"65.197"	"43.942"	"17.436"	"11.301"	"14.453"
"1904"	"19.624"	"15.306"	"26.954"	"23.113"	"25.696"	"44.863"	"65.267"	"64.944"	"43.942"	"17.85"	"11.301"	"14.453"
"1905"	"19.624"	"15.306"	"26.954"	"23.113"	"25.702"	"44.863"	"65.736"	"65.197"	"43.942"	"17.85"	"11.301"	"14.453"
"1906"	"19.624"	"15.306"	"26.855"	"23.113"	"25.702"	"44.863"	"65.736"	"65.139"	"43.942"	"17.336"	"11.301"	"14.453"
"1907"	"19.624"	"15.306"	"26.948"	"23.113"	"25.702"	"44.972"	"65.721"	"65.186"	"43.942"	"18.432"	"12.006"	"14.461"
"1908"	"19.624"	"15.306"	"26.954"	"23.057"	"25.661"	"44.907"	"65.736"	"64.882"	"43.942"	"17.85"	"11.301"	"14.453"
"1909"	"19.419"	"15.306"	"26.954"	"23.113"	"25.302"	"44.985"	"65.736"	"64.789"	"43.547"	"17.85"	"11.301"	"14.453"
"1910"	"19.624"	"15.306"	"26.954"	"23.113"	"25.585"	"44.863"	"65.907"	"64.882"	"43.942"	"17.85"	"11.301"	"14.453"
"1911"	"19.624"	"15.306"	"26.954"	"23.113"	"25.702"	"44.876"	"65.736"	"65.065"	"43.942"	"17.85"	"11.051"	"14.453"
"1912"	"19.624"	"15.306"	"26.771"	"22.643"	"25.702"	"44.863"	"64.912"	"64.878"	"43.547"	"17.732"	"10.851"	"14.453"
"1913"	"19.624"	"15.306"	"26.948"	"23.113"	"25.173"	"44.808"	"65.643"	"65.139"	"43.567"	"17.85"	"11.301"	"14.453"
"1914"	"19.613"	"15.306"	"26.8"	"22.988"	"25.291"	"44.559"	"65.05"	"65.136"	"43.348"	"17.41"	"11.349"	"14.453"
"1915"	"19.624"	"15.319"	"26.471"	"23.108"	"24.845"	"44.548"	"65.345"	"64.53"	"43.173"	"17.41"	"10.872"	"14.453"
"1916"	"19.65"	"15.306"	"26.954"	"23.113"	"25.702"	"44.863"	"65.159"	"65.197"	"43.942"	"17.425"	"11.282"	"14.453"
"1917"	"19.361"	"14.973"	"26.84"	"22.225"	"24.992"	"44.432"	"64.919"	"64.665"	"43.547"	"17.85"	"11.078"	"14.453"
"1918"	"19.624"	"15.306"	"26.954"	"23.113"	"25.03"	"44.857"	"65.309"	"64.882"	"43.307"	"17.41"	"11.301"	"14.613"
"1919"	"19.624"	"15.306"	"26.954"	"22.525"	"25.702"	"44.863"	"65.719"	"64.809"	"43.369"	"16.923"	"10.524"	"14.442"
"1920"	"19.885"	"15.306"	"26.946"	"23.106"	"25.702"	"44.91"	"65.747"	"64.282"	"43.942"	"16.907"	"11.301"	"14.421"
"1921"	"19.624"	"15.306"	"26.954"	"23.113"	"25.702"	"44.808"	"64.78"	"64.682"	"43.942"	"17.196"	"10.999"	"14.421"
"1922"	"19.645"	"15.306"	"26.954"	"23.113"	"25.702"	"44.876"	"65.736"	"64.789"	"43.942"	"17.823"	"11.172"	"14.453"
"1923"	"19.624"	"15.306"	"26.954"	"23.113"	"25.686"	"45.347"	"65.825"	"65.197"	"43.942"	"17.302"	"10.426"	"13.471"
"1924"	"18.988"	"14.803"	"26.954"	"23.097"	"25.702"	"44.863"	"65.736"	"65.186"	"43.942"	"17.129"	"11.026"	"14.452"
"1925"	"19.624"	"14.672"	"26.147"	"22.546"	"24.691"	"44.795"	"65.256"	"64.429"	"43.217"	"17.85"	"10.516"	"13.415"
"1926"	"19.36"	"15.306"	"26.791"	"23.591"	"25.302"	"44.863"	"65.736"	"65.183"	"43.942"	"17.309"	"11.301"	"14.453"
"1927"	"19.825"	"15.306"	"26.636"	"23.113"	"25.702"	"44.951"	"65.736"	"65.183"	"43.839"	"17.85"	"11.301"	"14.453"
"1928"	"19.624"	"15.306"	"26.96"	"23.113"	"25.702"	"44.863"	"65.73"	"65.197"	"43.892"	"17.85"	"11.301"	"14.422"
"1929"	"19.35"	"15.306"	"26.546"	"22.189"	"25.614"	"44.863"	"66.005"	"64.921"	"43.942"	"17.336"	"11.301"	"15.044"
"1930"	"19.496"	"15.306"	"26.247"	"23.04"	"25.214"	"45.349"	"65.962"	"65.183"	"44.523"	"17.944"	"10.379"	"14.453"
"1931"	"16.195"	"17.582"	"21.975"	"14.484"	"19.622"	"30.56"	"60.664"	"62.605"	"41.053"	"20.567"	"1.299"	"9.003"
"1932"	"15.859"	"9.531"	"23.233"	"16.207"	"20.049"	"39.107"	"61.763"	"63.864"	"35.707"	"8.025"	"0"	"10.81"
"1933"	"17.362"	"13.521"	"23.408"	"22.736"	"28.808"	"42.233"	"64.486"	"68.449"	"47.738"	"15.395"	"4.122"	"10.915"
"1934"	"17.915"	"6.292"	"25.776"	"13.833"	"20.044"	"40.015"	"64.849"	"64.646"	"37.327"	"2.693"	"7.794"	"15.068"
"1935"	"19.948"	"19.905"	"21.594"	"24.903"	"18.515"	"22.92"	"60.565"	"63.214"	"38.209"	"9.46"	"5.368"	"12.379"
"1936"	"11.46"	"16.163"	"24.126"	"17.443"	"22.519"	"48.69"	"64.271"	"62.625"	"41.143"	"15.562"	"7.451"	"18.295"
"1937"	"15.33"	"20.248"	"24.238"	"19.389"	"22.285"	"35.5"	"64.172"	"62.523"	"37.884"	"11.368"	"6.733"	"12.051"
"1938"	"21.171"	"16.025"	"21.913"	"15.239"	"23.284"	"48.772"	"56.649"	"61.483"	"34.748"	"8.464"	"6.515"	"6.658"
"1939"	"14.416"	"19.653"	"29.132"	"16.456"	"17.532"	"47.344"	"61.836"	"59.248"	"37.125"	"11.368"	"0.115"	"9.391"
"1940"	"19.833"	"18.218"	"28.274"	"18.618"	"21.813"	"44.181"	"61.73"	"63.757"	"36.829"	"7.794"	"3.657"	"9.954"
"1941"	"19.136"	"9.601"	"22.112"	"16.278"	"25.375"	"48.72"	"61.616"	"61.721"	"40.259"	"14.539"	"0"	"8.469"
