
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.91"	"5.69"	"6.98"	"8.15"	"8.63"	"8.23"	"6.71"	"5.67"	"6.2"	"6.94"	"6.14"	"5.2"
"1902"	"5.07"	"5.86"	"7.12"	"8.28"	"8.75"	"8.23"	"6.52"	"5.74"	"6.26"	"6.86"	"6.08"	"5.12"
"1903"	"4.99"	"5.82"	"6.93"	"8.08"	"8.57"	"8.22"	"6.7"	"5.7"	"6.23"	"6.88"	"6.04"	"5.06"
"1904"	"4.95"	"5.85"	"6.92"	"8.19"	"8.74"	"8.26"	"6.52"	"5.56"	"6.19"	"6.86"	"6.06"	"5.18"
"1905"	"5.01"	"5.51"	"6.73"	"7.94"	"8.62"	"8.29"	"6.63"	"5.67"	"6.28"	"6.91"	"6.22"	"5.25"
"1906"	"4.98"	"5.71"	"6.84"	"8.05"	"8.78"	"8.28"	"6.5"	"5.69"	"6.21"	"6.85"	"6.1"	"5.17"
"1907"	"5.14"	"5.81"	"6.87"	"8.06"	"8.54"	"8.12"	"6.71"	"5.7"	"6.2"	"6.87"	"6.15"	"5.11"
"1908"	"4.94"	"5.85"	"6.92"	"8.18"	"8.7"	"8.3"	"6.52"	"5.58"	"6.2"	"6.85"	"6.07"	"5.11"
"1909"	"4.97"	"5.77"	"7.1"	"8.13"	"8.63"	"8.19"	"6.48"	"5.6"	"6.17"	"6.81"	"6.17"	"5.14"
"1910"	"4.91"	"5.84"	"7.03"	"8.11"	"8.73"	"8.18"	"6.48"	"5.66"	"6.25"	"6.82"	"6"	"5.09"
"1911"	"5.08"	"5.95"	"6.89"	"8.04"	"8.75"	"8.2"	"6.6"	"5.8"	"6.22"	"6.91"	"6.04"	"5.11"
"1912"	"5.02"	"5.97"	"6.96"	"8.15"	"8.68"	"8.28"	"6.65"	"5.69"	"6.2"	"6.86"	"6.05"	"5.11"
"1913"	"5"	"5.89"	"6.83"	"8.19"	"8.76"	"8.12"	"6.48"	"5.66"	"6.26"	"6.95"	"6.13"	"5.12"
"1914"	"5.11"	"5.88"	"6.94"	"8.14"	"8.78"	"8.23"	"6.52"	"5.63"	"6.25"	"6.85"	"6.13"	"5.13"
"1915"	"5.01"	"5.69"	"6.94"	"8.1"	"8.72"	"8.24"	"6.66"	"5.71"	"6.29"	"6.99"	"6.13"	"5.19"
"1916"	"5.08"	"5.75"	"7.06"	"8.28"	"8.79"	"8.14"	"6.65"	"5.67"	"6.21"	"6.86"	"5.97"	"5.02"
"1917"	"5"	"5.88"	"7.03"	"8.12"	"8.56"	"8.11"	"6.47"	"5.61"	"6.2"	"6.8"	"5.86"	"5.1"
"1918"	"4.89"	"5.84"	"7.03"	"8.03"	"8.7"	"8.18"	"6.61"	"5.76"	"6.29"	"6.92"	"6.14"	"5.09"
"1919"	"4.99"	"5.75"	"7.01"	"8.18"	"8.62"	"8.26"	"6.56"	"5.62"	"6.2"	"6.86"	"6.09"	"5.09"
"1920"	"4.97"	"5.79"	"7"	"8.23"	"8.61"	"8.09"	"6.42"	"5.57"	"6.24"	"6.95"	"6.18"	"5.19"
"1921"	"5.04"	"5.82"	"7.09"	"8.28"	"8.79"	"8.24"	"6.71"	"5.76"	"6.18"	"6.82"	"6.04"	"5.28"
"1922"	"4.98"	"5.88"	"7.07"	"8.22"	"8.75"	"8.2"	"6.55"	"5.66"	"6.19"	"6.85"	"6.06"	"5.12"
"1923"	"4.98"	"5.78"	"6.99"	"8.22"	"8.64"	"8.26"	"6.65"	"5.63"	"6.2"	"6.85"	"6.06"	"5.17"
"1924"	"4.93"	"5.77"	"7.05"	"8.29"	"8.61"	"8.18"	"6.61"	"5.67"	"6.2"	"6.82"	"5.99"	"5.14"
"1925"	"4.89"	"5.63"	"6.92"	"8.28"	"8.84"	"8.13"	"6.33"	"5.59"	"6.29"	"6.96"	"6.11"	"5.13"
"1926"	"4.97"	"6"	"7.04"	"8.01"	"8.5"	"8.21"	"6.63"	"5.69"	"6.2"	"6.86"	"5.95"	"5.06"
